{' b': -9.0694, ' A': -5.038006, ' B': -0.0068035806, ' "': -9.309352, " '": -10.436121}
{' b': -10.016118, ' A': -4.531565, ' B': -0.011088128, ' "': -8.945791, " '": -10.204749}
{' b': -9.823991, ' A': -4.292686, ' B': -0.013990088, ' "': -9.3037195, " '": -10.53104}
{' b': -9.815357, ' A': -4.328229, ' B': -0.013505504, ' "': -9.297761, " '": -10.497521}
{' b': -9.797291, ' A': -4.4330215, ' B': -0.012176705, ' "': -9.29175, " '": -10.418971}
{' B': -0.012071186, ' A': -4.4424276, ' "': -9.254563, ' b': -9.782983, " '": -10.434157}
{' b': -9.944653, ' A': -4.394954, ' B': -0.012683407, ' "': -8.97236, " '": -10.087562}
{' b': -9.822831, ' A': -4.715825, ' B': -0.009226936, ' "': -9.20139, " '": -10.367538}
{' b': -9.879075, ' A': -4.723919, ' B': -0.009147952, ' "': -9.218425, " '": -10.462789}
{' B': -0.012900205, ' A': -4.373912, ' "': -9.323212, ' b': -9.890793, " '": -10.559154}
{' b': -9.946585, ' A': -4.5863953, ' B': -0.010461884, ' "': -9.278938, " '": -10.464648}
{' b': -9.990484, ' A': -4.8107533, ' B': -0.008432939, ' "': -8.991972, " '": -10.2016945}
{' b': -9.987432, ' A': -4.61571, ' B': -0.010165047, ' "': -9.235393, " '": -10.46568}
{' b': -9.966159, ' A': -4.5629697, ' B': -0.010710552, ' "': -9.2141285, " '": -10.359832}
{' b': -9.901875, ' A': -4.5893335, ' B': -0.010438333, ' "': -9.239015, " '": -10.352686}
{' b': -9.9147215, ' A': -4.370846, ' B': -0.01295684, ' "': -9.1692915, " '": -10.306391}
{' b': -9.912659, ' A': -4.5036893, ' B': -0.011404414, ' "': -8.921288, " '": -10.06233}
{' b': -9.788995, ' A': -4.6136365, ' B': -0.010220383, ' "': -9.094946, " '": -10.223739}
{' B': -0.0054092202, ' A': -5.2684016, ' "': -9.085091, ' b': -9.81816, " '": -10.323796}
{' b': -9.855371, ' A': -4.847725, ' B': -0.008125408, ' "': -9.075175, " '": -10.280661}
{' B': -0.0055251885, ' A': -5.2410574, ' "': -9.194756, ' b': -10.10813, " '": -10.315911}
{' B': -0.004272249, ' A': -5.521995, ' "': -8.921997, ' b': -9.940255, " '": -10.142457}
{' B': -0.0030718106, ' A': -5.8660574, ' "': -9.110005, ' b': -9.951615, " '": -10.288516}
{' b': -9.905871, ' A': -5.7389293, ' B': -0.003461292, ' "': -9.091418, " '": -10.243065}
{' b': -9.940697, ' A': -5.907304, ' B': -0.0029539154, ' "': -9.122157, " '": -10.296925}
{' b': -9.8975, ' A': -5.7733507, ' B': -0.0033491517, ' "': -9.114308, " '": -10.284692}
{' b': -9.88597, ' A': -5.8203764, ' B': -0.0032247654, ' "': -8.993125, " '": -10.136149}
{' b': -9.8529005, ' A': -6.158674, ' B': -0.0023555038, ' "': -9.099222, " '": -10.285144}
{' b': -9.894199, ' A': -5.9209585, ' B': -0.0029252837, ' "': -9.076751, " '": -10.246151}
{' b': -10.014382, ' A': -5.9619236, ' B': -0.0027925803, ' "': -9.197477, " '": -10.364449}
{' B': -0.0020028267, ' A': -6.3576636, ' "': -8.86579, " '": -9.974082, ' b': -10.097989}
{' b': -10.002598, ' A': -6.9480987, ' B': -0.0012341125, ' "': -8.916731, " '": -9.891884}
{' b': -9.723247, ' A': -6.468322, ' B': -0.0017864106, ' "': -9.284985, " '": -10.42979}
{' b': -9.652262, ' A': -5.6672454, 'B': -10.722641, ' B': -0.0036771146, ' "': -9.474388}
{' b': -9.560902, ' A': -5.8905416, 'B': -10.700249, ' B': -0.0029720913, ' "': -9.607904}
{' b': -9.615253, ' A': -5.2351503, 'B': -10.640605, ' B': -0.005539993, ' "': -9.644069}
{' b': -9.693327, ' A': -5.7287784, 'B': -10.709638, ' B': -0.0034521401, ' "': -9.570352}
{' b': -9.771748, ' A': -5.4877415, ' B': -0.0043609063, ' "': -9.444552, " '": -10.575045}
{' b': -9.7051325, ' A': -6.0276494, 'B': -10.592925, ' B': -0.002614237, ' "': -9.627818}
{' b': -9.577499, ' A': -5.442734, 'B': -10.650098, ' B': -0.00453944, ' "': -9.643755}
{' b': -9.740919, ' A': -5.453379, 'B': -10.619221, ' B': -0.004471543, ' "': -9.77682}
{' b': -9.545698, ' A': -5.4303107, 'B': -10.629898, ' B': -0.0046080016, ' "': -9.533354}
{' b': -9.856364, ' A': -5.7908683, 'B': -10.694722, ' B': -0.0032403094, ' "': -9.666331}
{' b': -9.60876, ' A': -5.649396, 'B': -10.690093, ' B': -0.0037224053, ' "': -9.655338}
{' b': -9.643652, ' A': -6.0402765, 'B': -10.720062, ' B': -0.0025860888, ' "': -9.526741}
{' b': -9.599171, ' A': -5.4846144, 'B': -10.678012, ' B': -0.004354141, ' "': -9.686793}
{' b': -9.635162, ' A': -5.519916, 'B': -10.69901, ' B': -0.004215024, ' "': -9.632446}
{' b': -9.769126, ' A': -6.1392274, ' B': -0.002360046, ' "': -9.531108, " '": -10.659291}
{' B': -0.003461292, ' A': -5.7205915, ' "': -9.732377, ' b': -9.8022375, 'B': -10.74319}
{' B': -0.0046692607, ' A': -5.408676, ' "': -9.7609, ' b': -9.807456, 'B': -10.720006}
{' b': -9.719392, ' A': -5.7981424, 'B': -10.665276, ' B': -0.0032358866, ' "': -9.650475}
{' b': -9.729359, ' A': -5.3319397, 'B': -10.6665535, ' B': -0.0050376146, ' "': -9.701479}
{' b': -9.634944, ' A': -5.4145803, ' B': -0.004695193, ' "': -9.34045, " '": -10.433976}
{' b': -9.731483, ' A': -5.7318897, 'B': -10.700436, ' B': -0.0034338373, ' "': -9.73341}
{' b': -9.603619, ' A': -6.229515, ' B': -0.0021825556, ' "': -9.442846, " '": -10.777045}
{' B': -0.0025512516, ' A': -6.0576067, ' "': -9.462895, ' b': -9.731823, " '": -10.630909}
{' B': -0.0011592205, ' A': -6.939498, ' "': -9.544183, ' b': -9.863881, " '": -10.663622}
{' b': -9.678198, ' A': -6.4889073, ' B': -0.0017592423, ' "': -9.255833, " '": -10.388427}
{' B': -0.0010623733, ' A': -7.0519524, ' "': -9.538324, ' b': -9.805173, " '": -10.640471}
{' b': -9.736177, ' A': -6.957317, ' B': -0.001155999, ' "': -9.495087, " '": -10.575058}
{' b': -9.8277, ' A': -7.1914115, ' B': -0.00094053923, ' "': -9.603169, " '": -10.646605}
{' b': -9.765849, ' A': -7.0511236, ' B': -0.0010602257, ' "': -9.571959, " '": -10.624344}
{' b': -9.689711, ' A': -7.012183, ' B': -0.0011225202, ' "': -9.359713, " '": -10.429566}
{' b': -9.73543, ' A': -7.4132314, ' B': -0.0008001068, ' "': -9.542067, " '": -10.690326}
{' b': -9.741884, ' A': -7.3208513, ' B': -0.00085981993, ' "': -9.507895, " '": -10.619704}
{' B': -0.000787879, ' A': -7.4166293, ' "': -9.548627, ' b': -9.855534, " '": -10.673676}
{' b': -9.840602, ' A': -7.8054805, ' B': -0.0006129933, ' "': -9.357482, " '": -10.541549}
{' B': -0.0007997482, ' A': -7.4297104, ' "': -9.413282, ' b': -9.821348, " '": -10.523397}
{' b': -9.81174, ' A': -5.5300007, ' B': -0.004205984, ' "': -9.288256, " '": -10.245622}
{' b': -9.61983, ' A': -4.9413905, ' B': -0.007403995, ' "': -9.368037, " '": -10.4936075}
{' B': -0.0055005583, ' A': -5.249582, ' "': -9.356256, ' b': -9.532866, " '": -10.483037}
{' b': -9.612487, ' A': -4.800827, 'B': -10.64068, ' B': -0.0084611885, ' "': -9.632263}
{' b': -9.651018, ' A': -5.263189, ' B': -0.0054071248, ' "': -9.451759, " '": -10.679322}
{' B': -0.0050873985, ' A': -5.330973, ' "': -9.288361, ' b': -9.805451, " '": -10.278662}
{' b': -9.552594, ' A': -4.9960227, ' B': -0.007032131, ' "': -9.334089, " '": -10.444158}
{' b': -9.627995, ' A': -4.7921915, 'B': -10.66615, ' B': -0.008530679, ' "': -9.613942}
{' b': -9.820357, ' A': -5.0455856, 'B': -10.667706, ' B': -0.006641323, ' "': -9.723651}
{' B': -0.0065714824, ' A': -5.0602517, ' "': -9.595397, ' b': -9.712726, " '": -10.509616}
{' b': -9.92893, ' A': -5.1953197, ' B': -0.0057617817, ' "': -9.459351, " '": -10.386155}
{' b': -9.596666, ' A': -5.176535, ' B': -0.0058887606, ' "': -9.418301, " '": -10.543231}
{' b': -9.666917, ' A': -5.760523, ' B': -0.0033646992, ' "': -9.477546, " '": -10.575718}
{' b': -9.610678, ' A': -5.107558, ' B': -0.006289115, ' "': -9.452116, " '": -10.568171}
{' b': -9.66887, ' A': -5.1688695, ' B': -0.0059229955, ' "': -9.508121, " '": -10.504321}
{' b': -9.907136, ' A': -6.0012074, ' B': -0.0026971272, ' "': -9.326554, " '": -10.303135}
{' b': -9.9179, ' A': -5.353487, ' B': -0.0049231416, ' "': -9.645948, " '": -10.64478}
{' b': -9.843428, ' A': -5.26544, ' B': -0.0053768624, ' "': -9.583138, " '": -10.502855}
{' b': -9.809516, ' A': -5.433776, ' B': -0.004576924, ' "': -9.579113, " '": -10.46261}
{' b': -9.624446, ' A': -5.0162644, ' B': -0.0068826163, ' "': -9.347137, " '": -10.435554}
{' b': -9.709559, ' A': -5.134495, ' B': -0.0061342544, ' "': -9.312013, " '": -10.400219}
{' b': -9.566261, ' A': -5.3653035, ' B': -0.0049005575, ' "': -9.52927, " '": -10.655851}
{' b': -9.870406, ' A': -6.1932335, ' B': -0.0022389467, ' "': -9.543831, " '": -10.485779}
{' b': -9.822127, ' A': -5.7422338, ' B': -0.00340525, ' "': -9.4937105, " '": -10.679141}
{' b': -9.937368, ' A': -6.2940335, ' B': -0.0020324504, ' "': -9.595636, " '": -10.532888}
{' b': -9.873936, ' A': -5.780014, ' B': -0.0033308507, ' "': -9.199105, " '": -10.143754}
{' b': -9.767933, ' A': -6.411641, ' B': -0.0018498267, ' "': -9.425925, " '": -10.528337}
{' b': -9.844421, ' A': -6.3370314, ' B': -0.0019653211, ' "': -9.538516, " '": -10.441406}
{' b': -9.883209, ' A': -6.65976, ' B': -0.0014851508, ' "': -9.445874, " '": -10.349616}
{' b': -9.80373, ' A': -6.264306, ' B': -0.0021032302, ' "': -9.5143175, " '": -10.429321}
{' b': -9.828268, ' A': -6.6131325, ' B': -0.0015529064, ' "': -9.38881, " '": -10.303826}
{' b': -9.802166, ' A': -6.4190593, ' B': -0.0018323312, ' "': -9.470796, " '": -10.490452}
{' b': -9.726423, ' A': -6.548264, ' B': -0.0016429952, ' "': -9.3849945, " '": -10.461499}
{' b': -9.86054, ' A': -6.853979, ' B': -0.0012573282, ' "': -9.440134, " '": -10.373789}
{' b': -10.083242, ' A': -7.3076887, ' B': -0.00086172915, ' "': -9.407349, " '": -10.342885}
{' B': -0.00091947877, ' A': -7.217407, ' "': -9.497123, ' b': -10.065829, " '": -10.378264}
{' b': -9.664896, ' A': -6.260998, ' B': -0.0021340528, ' "': -9.454149, " '": -10.317085}
{' b': -9.460218, ' A': -5.508372, ' B': -0.0042995447, ' "': -9.4458885, " '": -10.472085}
{' b': -9.416882, ' A': -6.0042224, ' B': -0.0027027468, ' "': -9.496214, " '": -10.568242}
{' b': -9.568915, ' A': -5.524507, 'B': -10.606195, ' B': -0.004194014, ' "': -9.81341}
{' B': -0.0025935585, ' A': -6.029174, ' b': -9.701894, ' "': -9.797289, 'B': -10.691352}
{' b': -9.695604, ' A': -5.492202, ' B': -0.0043402533, ' "': -9.536451, " '": -10.445407}
{' b': -9.5643635, ' A': -5.775151, 'B': -10.59463, ' B': -0.0033007707, ' "': -9.893662}
{' b': -9.493876, ' A': -5.5652485, 'B': -10.601702, ' B': -0.004045762, ' "': -9.748089}
{' b': -9.486383, ' A': -5.3276763, 'B': -10.649083, ' B': -0.005063794, ' "': -9.811856}
{' b': -9.594475, ' A': -5.730358, 'B': -10.625907, ' B': -0.0034359905, ' "': -9.922265}
{' b': -9.731032, ' A': -5.6937084, ' B': -0.0035590879, ' "': -9.741584, " '": -10.632929}
{' B': -0.0041335025, ' A': -5.5368733, ' b': -9.578494, ' "': -9.908451, 'B': -10.646626}
{' B': -0.002746378, ' A': -5.9741697, ' b': -9.483195, ' "': -9.74125, 'B': -10.723325}
{' B': -0.0039780764, ' A': -5.5747066, ' b': -9.588568, ' "': -10.009882, 'B': -10.647014}
{' b': -9.688393, ' A': -5.8376236, ' B': -0.003107208, ' "': -9.831198, " '": -10.687896}
{' b': -9.793019, ' A': -6.659052, ' B': -0.0014822852, ' "': -9.582254, " '": -10.423843}
{' b': -9.735925, ' A': -5.690912, 'B': -10.755554, ' B': -0.003553345, ' "': -9.921681}
{' b': -9.660886, ' A': -5.361304, 'B': -10.703135, ' B': -0.0048870854, ' "': -9.907141}
{' b': -9.576549, ' A': -5.491087, 'B': -10.673842, ' B': -0.0043186415, ' "': -9.914489}
{' b': -9.543255, ' A': -5.2120976, 'B': -10.635611, ' B': -0.0056595136, ' "': -9.858926}
{' b': -9.6324835, ' A': -5.2005386, ' B': -0.00574104, ' "': -9.560321, " '": -10.481446}
{' b': -9.554808, ' A': -5.5244265, 'B': -10.604996, ' B': -0.0041878484, ' "': -9.883509}
{' b': -9.622684, ' A': -6.4047394, ' B': -0.001846244, ' "': -9.752681, " '": -10.665262}
{' b': -9.671268, ' A': -6.0849643, 'B': -10.716225, ' B': -0.0024638278, ' "': -9.78975}
{' b': -9.792854, ' A': -6.7589293, 'B': -10.754437, ' B': -0.0013247092, ' "': -9.928125}
{' b': -9.534503, ' A': -6.4976625, ' B': -0.0017499882, ' "': -9.34442, " '": -10.255993}
{' b': -9.680354, ' A': -6.6117454, ' B': -0.0015349359, ' "': -9.741958, " '": -10.666116}
{' b': -9.676399, ' A': -6.7685013, ' B': -0.001339094, ' "': -9.715261, " '": -10.583251}
{' B': -0.0010207263, ' A': -7.0810685, ' b': -9.756749, ' "': -9.75977, " '": -10.636479}
{' b': -9.687788, ' A': -6.8339643, ' B': -0.0012652673, ' "': -9.709367, " '": -10.595724}
{' b': -9.640591, ' A': -7.0094666, ' B': -0.0011108236, ' "': -9.512296, " '": -10.423568}
{' b': -9.6131115, ' A': -7.2822423, ' B': -0.00089328847, ' "': -9.582806, " '": -10.522124}
{' b': -9.655231, ' A': -7.1097608, ' B': -0.0010059284, ' "': -9.700873, " '": -10.575142}
{' b': -9.727477, ' A': -7.1998982, ' B': -0.00093779556, ' "': -9.614226, " '": -10.568728}
{' b': -9.882973, ' A': -7.9742785, ' B': -0.00053898164, ' "': -9.456855, " '": -10.415812}
{' B': -0.0006114436, ' A': -7.783128, ' "': -9.558292, ' b': -9.759793, " '": -10.478555}
{' B': -0.0034426295, ' A': -5.7331862, ' "': -9.607448, ' b': -9.753128, " '": -10.452491}
{' b': -9.686857, ' A': -5.517878, ' B': -0.004231065, ' "': -9.502598, " '": -10.5781}
{' B': -0.004053003, ' A': -5.559002, ' b': -9.628723, ' "': -9.697376, 'B': -10.731112}
{' b': -9.586976, ' A': -5.210898, 'B': -10.670183, ' B': -0.005673121, ' "': -9.6659355}
{' b': -9.737687, ' A': -5.878401, 'B': -10.749377, ' B': -0.0029891888, ' "': -9.6577425}
{' b': -9.855856, ' A': -5.552079, ' B': -0.0040886146, ' "': -9.535998, " '": -10.460932}
{' b': -9.711702, ' A': -5.585373, 'B': -10.650147, ' B': -0.0039489944, ' "': -9.746882}
{' b': -9.697305, ' A': -5.307235, 'B': -10.654737, ' B': -0.005154679, ' "': -9.7647295}
{' B': -0.0047016, ' A': -5.4011683, ' b': -9.655505, ' "': -9.837812, 'B': -10.721127}
{' B': -0.004102617, ' A': -5.545457, ' b': -9.63069, ' "': -9.741352, 'B': -10.715721}
{' b': -9.829456, ' A': -5.289175, ' B': -0.005245513, ' "': -9.654218, " '": -10.591719}
{' B': -0.0032748755, ' A': -5.7829266, ' "': -9.648589, ' b': -9.684793, " '": -10.759816}
{' b': -9.694852, ' A': -6.0043626, ' B': -0.0026613309, ' "': -9.645664, " '": -10.736278}
{' b': -9.789404, ' A': -5.5293527, 'B': -10.699279, ' B': -0.0041547506, ' "': -9.812654}
{' b': -9.82887, ' A': -5.648345, ' B': -0.003707447, ' "': -9.7247305, " '": -10.7402525}
{' b': -9.905187, ' A': -6.3287487, ' B': -0.0019667533, ' "': -9.679656, " '": -10.577397}
{' b': -9.94701, ' A': -5.670699, ' B': -0.0036174117, ' "': -9.773111, " '": -10.744299}
{' b': -9.851007, ' A': -5.128942, ' B': -0.0061148247, ' "': -9.787482, " '": -10.738545}
{' b': -9.782873, ' A': -5.632387, 'B': -10.722032, ' B': -0.0037613525, ' "': -9.884079}
{' b': -9.829238, ' A': -5.164031, ' B': -0.0059158625, ' "': -9.744809, " '": -10.665945}
{' b': -9.789352, ' A': -5.219362, ' B': -0.0056263064, ' "': -9.564798, " '": -10.474165}
{' b': -9.694985, ' A': -5.5045114, ' B': -0.004271412, ' "': -9.62828, " '": -10.661644}
{' b': -9.826675, ' A': -6.2417665, ' B': -0.0021252108, ' "': -9.702749, " '": -10.716674}
{' b': -9.767437, ' A': -5.8192406, ' B': -0.0031568955, ' "': -9.668034, " '": -10.771995}
{' b': -9.974173, ' A': -6.4897957, ' B': -0.0016848478, ' "': -9.786279, " '": -10.683218}
{' b': -9.719447, ' A': -6.575142, ' B': -0.0016197691, ' "': -9.376513, " '": -10.301256}
{' b': -9.856962, ' A': -6.7513447, ' B': -0.0013529991, ' "': -9.661616, " '": -10.578192}
{' b': -9.816711, ' A': -6.7900443, ' B': -0.0013121754, ' "': -9.6365595, " '": -10.520135}
{' b': -9.862552, ' A': -6.833673, ' B': -0.0012532694, ' "': -9.73505, " '": -10.600311}
{' b': -9.818207, ' A': -6.8222976, ' B': -0.0012700403, ' "': -9.709803, " '": -10.600847}
{' B': -0.0010755012, ' A': -7.0421762, ' "': -9.518926, ' b': -9.759212, " '": -10.388569}
{' b': -9.774456, ' A': -6.9149704, ' B': -0.0011885795, ' "': -9.570146, " '": -10.479626}
{' b': -9.730772, ' A': -6.9595494, ' B': -0.0011357082, ' "': -9.578936, " '": -10.707789}
{' b': -9.869704, ' A': -6.9755783, ' B': -0.0011140469, ' "': -9.636854, " '": -10.617209}
{' b': -9.983388, ' A': -7.8020697, ' B': -0.0006007101, ' "': -9.474297, " '": -10.335194}
{' b': -9.908849, ' A': -7.7929263, ' B': -0.0006064359, ' "': -9.523185, " '": -10.393145}
{' b': -10.164238, ' A': -5.6562614, ' B': -0.003723481, ' "': -9.200564, " '": -10.259353}
{' b': -10.061988, ' A': -5.392806, ' B': -0.004772925, ' "': -9.28413, " '": -10.4686365}
{' b': -9.951659, ' A': -5.62919, ' B': -0.00379354, ' "': -9.460925, " '": -10.612696}
{' b': -9.983275, ' A': -4.96982, 'B': -10.751932, ' B': -0.0071527874, ' "': -9.57114}
{' b': -10.124477, ' A': -5.7776375, 'B': -10.807492, ' B': -0.0032770287, ' "': -9.506198}
{' b': -10.191644, ' A': -5.0558386, ' B': -0.0066174413, ' "': -9.180734, " '": -10.281012}
{' b': -10.081576, ' A': -5.5031104, ' B': -0.004268477, ' "': -9.505054, " '": -10.667964}
{' B': -0.0051071094, ' A': -5.319337, ' "': -9.409628, ' b': -9.982466, " '": -10.54513}
{' b': -9.9933815, ' A': -5.2093096, ' B': -0.005675279, ' "': -9.456291, " '": -10.560323}
{' B': -0.0047662794, ' A': -5.3897166, ' "': -9.443865, ' b': -10.058018, " '": -10.518548}
{' b': -10.164992, ' A': -5.25441, ' B': -0.005443741, ' "': -9.330791, " '": -10.33752}
{' B': -0.0036336842, ' A': -5.674649, ' "': -9.373707, ' b': -10.101484, " '": -10.49505}
{' b': -10.12028, ' A': -5.901539, ' B': -0.0029321576, ' "': -9.376734, " '": -10.487672}
{' b': -10.044811, ' A': -5.5360026, ' B': -0.0041385903, ' "': -9.482747, " '": -10.55021}
{' b': -10.153244, ' A': -5.714896, ' B': -0.0035104575, ' "': -9.28167, " '": -10.354222}
{' B': -0.002778235, ' A': -5.963215, ' "': -9.2667885, " '": -10.294537, ' b': -10.348699}
{' B': -0.0037073279, ' A': -5.6577845, ' "': -9.239779, ' b': -10.152913, " '": -10.388537}
{' b': -10.137994, ' A': -5.185439, ' B': -0.00580177, ' "': -9.443294, " '": -10.525948}
{' b': -10.110858, ' A': -5.384098, ' B': -0.00479311, ' "': -9.411046, " '": -10.490365}
{' B': -0.006033208, ' A': -5.1466775, ' "': -9.388874, ' b': -10.092998, " '": -10.464429}
{' b': -10.084566, ' A': -5.000631, ' B': -0.006978769, ' "': -9.199692, " '": -10.328783}
{' b': -10.055083, ' A': -5.3012996, ' B': -0.005187631, ' "': -9.466973, " '": -10.543173}
{' b': -10.113563, ' A': -6.071744, ' B': -0.0025226867, ' "': -9.179218, " '": -10.402512}
{' b': -10.110485, ' A': -5.8103313, ' B': -0.0032233293, ' "': -9.143229, " '": -10.336194}
{' b': -10.236958, ' A': -6.334187, ' B': -0.0019614988, ' "': -9.368458, " '": -10.523145}
{' b': -10.071061, ' A': -6.0451374, ' B': -0.0026196153, ' "': -9.074442, " '": -10.035685}
{' B': -0.0016895044, ' A': -6.5077944, ' "': -9.295729, ' b': -10.21918, " '": -10.436313}
{' b': -10.133582, ' A': -6.264065, ' B': -0.0021227044, ' "': -9.149031, " '": -10.288168}
{' b': -10.162627, ' A': -6.5231223, ' B': -0.0016649051, ' "': -9.314081, " '": -10.438746}
{' B': -0.0018678019, ' A': -6.3956757, ' "': -9.343818, ' b': -10.040413, " '": -10.457472}
{' b': -10.007766, ' A': -6.6310596, ' B': -0.0015610857, ' "': -9.040976, " '": -10.162878}
{' B': -0.0012093481, ' A': -6.9115024, ' "': -9.21952, ' b': -10.018205, " '": -10.411977}
{' b': -10.006901, ' A': -6.8469353, ' B': -0.0012891982, ' "': -9.129567, " '": -10.253577}
{' b': -10.1238985, ' A': -6.9182377, ' B': -0.001188819, ' "': -9.274042, " '": -10.446186}
{' b': -10.164795, ' A': -7.5593047, ' B': -0.00076211017, ' "': -9.005928, " '": -10.103655}
{' b': -10.422203, ' A': -7.373669, ' B': -0.0008550469, ' "': -9.101906, " '": -10.030307}
{' b': -9.816354, ' A': -5.5813336, ' B': -0.0039796326, ' "': -9.481525, " '": -10.462593}
{' b': -9.670225, ' A': -5.4916596, ' B': -0.0043396545, ' "': -9.468477, " '": -10.617598}
{' b': -9.604738, ' A': -5.8382235, 'B': -10.7883835, ' B': -0.003110437, ' "': -9.668905}
{' b': -9.618966, ' A': -5.25401, 'B': -10.757863, ' B': -0.005429298, ' "': -9.72619}
{' B': -0.0034798332, ' A': -5.716906, ' "': -9.645033, ' b': -9.702708, 'B': -10.804037}
{' b': -9.831526, ' A': -5.262504, ' B': -0.005392082, ' "': -9.551982, " '": -10.58952}
{' b': -9.64671, ' A': -5.3786063, 'B': -10.761196, ' B': -0.0048042485, ' "': -9.830185}
{' B': -0.005279545, ' A': -5.281324, ' b': -9.750935, ' "': -9.8118105, " '": -10.735731}
{' b': -9.684925, ' A': -5.209712, 'B': -10.757515, ' B': -0.0056527397, ' "': -9.868367}
{' b': -9.810016, ' A': -5.3702865, 'B': -10.733247, ' B': -0.004832879, ' "': -9.907887}
{' B': -0.0061927885, ' A': -5.1162276, ' "': -9.737991, ' b': -9.855234, " '": -10.742474}
{' b': -9.821651, ' A': -5.591839, 'B': -10.788973, ' B': -0.0039024418, ' "': -9.874583}
{' b': -9.743866, ' A': -5.9053607, 'B': -10.844798, ' B': -0.002904241, ' "': -9.733583}
{' b': -9.817859, ' A': -5.248912, 'B': -10.762774, ' B': -0.005425941, ' "': -10.011573}
{' B': -0.0041850954, ' A': -5.5194855, ' "': -9.817942, ' b': -9.947289, " '": -10.695836}
{' b': -9.887925, ' A': -6.289635, ' B': -0.002037289, ' "': -9.666878, " '": -10.613875}
{' B': -0.0040071625, ' A': -5.5615783, ' "': -9.8799, ' b': -9.990749, " '": -10.7976265}
{' b': -9.880598, ' A': -5.0827465, 'B': -10.811289, ' B': -0.006386107, ' "': -9.919049}
{' b': -9.708823, ' A': -5.248434, 'B': -10.806964, ' B': -0.005447695, ' "': -9.780128}
{' b': -9.823053, ' A': -4.9181447, ' B': -0.0075174896, ' "': -9.799454, " '": -10.696276}
{' b': -9.832141, ' A': -4.891695, ' B': -0.0077267387, ' "': -9.633665, " '": -10.5743885}
{' b': -9.738073, ' A': -5.537091, 'B': -10.812318, ' B': -0.004124226, ' "': -9.732033}
{' b': -9.886563, ' A': -5.980119, ' B': -0.0026986825, ' "': -9.791901, " '": -10.741524}
{' b': -9.790421, ' A': -5.8790326, ' B': -0.0029781286, ' "': -9.681782, " '": -10.820834}
{' B': -0.0016677118, ' A': -6.4884458, ' b': -9.982621, ' "': -9.984877, 'B': -10.89049}
{' b': -9.758342, ' A': -6.157307, ' B': -0.0023300522, ' "': -9.4391365, " '": -10.438412}
{' B': -0.0014849133, ' A': -6.628239, ' "': -9.792118, ' b': -9.953935, " '": -10.796656}
{' b': -9.849193, ' A': -6.5268507, ' B': -0.00163977, ' "': -9.696288, " '": -10.673658}
{' b': -9.929674, ' A': -6.752276, ' B': -0.0013345585, ' "': -9.767721, " '": -10.682992}
{' B': -0.0015018062, ' A': -6.6231847, ' "': -9.751625, ' b': -9.867823, " '": -10.654724}
{' b': -9.839588, ' A': -6.7101893, ' B': -0.0014037351, ' "': -9.586873, " '": -10.550655}
{' b': -9.785066, ' A': -7.0002403, ' B': -0.001093223, ' "': -9.648977, " '": -10.66604}
{' b': -9.748085, ' A': -6.7088017, ' B': -0.0013991975, ' "': -9.712084, " '": -10.659762}
{' B': -0.0011908491, ' A': -6.887221, ' "': -9.729, ' b': -9.869495, " '": -10.685469}
{' b': -10.075238, ' A': -7.6807303, ' B': -0.0006294563, ' "': -9.621089, " '": -10.570928}
{' b': -9.954195, ' A': -7.425733, ' B': -0.0007722504, ' "': -9.629652, " '": -10.567883}
{' b': -8.680311, ' A': -6.4839115, 'B': -10.568924, ' B': -0.0018122065, ' "': -9.765005}
{' b': -8.905696, ' A': -6.482191, 'B': -10.650638, ' B': -0.0017473608, ' "': -10.318441}
{' B': -0.0016971468, ' A': -6.5403094, ' b': -8.700084, ' "': -10.1667185, 'B': -10.650341}
{' b': -8.795707, ' A': -6.3380184, 'B': -10.579653, ' B': -0.0020045012, ' "': -10.275105}
{' b': -8.903628, ' A': -6.878482, 'B': -10.6290865, ' B': -0.0012451529, ' "': -10.284114}
{' b': -9.066649, ' A': -6.7806826, 'B': -10.664519, ' B': -0.0013460156, ' "': -10.021667}
{' b': -8.781906, ' A': -6.648779, 'B': -10.565304, ' B': -0.0015300417, ' "': -10.373397}
{' b': -8.8463745, ' A': -6.8917093, 'B': -10.615208, ' B': -0.0012412143, ' "': -10.302627}
{' b': -8.847342, ' A': -6.6729264, 'B': -10.613632, ' B': -0.0014830022, ' "': -10.467515}
{' b': -8.903916, ' A': -6.5207725, 'B': -10.6086235, ' B': -0.0016840714, ' "': -10.447905}
{' B': -0.002287338, ' A': -6.1734776, ' b': -9.040759, ' "': -10.243824, 'B': -10.657702}
{' B': -0.001203857, ' A': -6.92961, ' b': -8.833597, ' "': -10.300667, 'B': -10.658735}
{' b': -8.916271, ' A': -7.292366, 'B': -10.64589, ' B': -0.00089340867, ' "': -10.304308}
{' b': -8.898239, ' A': -7.2080555, 'B': -10.638275, ' B': -0.0009540239, ' "': -10.360857}
{' b': -8.893621, ' A': -6.9238076, 'B': -10.607335, ' B': -0.001212272, ' "': -10.130599}
{' b': -9.141924, ' A': -7.588605, 'B': -10.729091, ' B': -0.0007109312, ' "': -9.931312}
{' b': -9.013725, ' A': -6.9978337, 'B': -10.721674, ' B': -0.001110587, ' "': -10.332057}
