{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' A': -0.019365864, 'A': -9.858498, ' B': -3.9752772, ' "': -8.470687, " '": -9.486487}
{' A': -0.030667335, 'A': -9.846988, ' B': -3.5130699, ' "': -8.464696, " '": -9.524484}
{' A': -0.012326588, 'A': -9.873498, ' B': -4.433196, ' "': -8.53109, " '": -9.604436}
{' A': -0.04965716, ' B': -3.0361397, ' "': -8.374314, " '": -9.448894, 'A': -9.842046}
{' A': -0.0065077664, 'A': -9.76774, ' B': -5.107536, ' "': -8.366859, " '": -9.432967}
{' A': -0.03291072, 'A': -9.81497, ' B': -3.4427063, ' "': -8.478743, " '": -9.568542}
{' A': -0.01227373, ' B': -4.4366927, ' "': -8.581895, " '": -9.649042, 'A': -9.866957}
{' A': -0.01616325, 'A': -9.833585, ' B': -4.1561356, ' "': -8.557557, " '": -9.669512}
{' A': -0.011121397, 'A': -9.862139, ' B': -4.5369353, ' "': -8.609392, " '": -9.691896}
{' A': -0.006286956, 'A': -9.822403, ' B': -5.1368847, ' "': -8.487897, " '": -9.562518}
{' A': -0.009340457, 'A': -9.860243, ' B': -4.718498, ' "': -8.56354, " '": -9.636572}
{' A': -0.0070368717, 'A': -9.882058, ' B': -5.010756, ' "': -8.614976, " '": -9.715111}
{' A': -0.0063550957, 'A': -9.878395, ' B': -5.1189094, ' "': -8.609256, " '": -9.689482}
{' A': -0.057167854, ' B': -2.8981578, ' "': -8.3173895, " '": -9.514772, 'A': -9.773091}
{' A': -0.086302176, 'A': -9.7523155, ' B': -2.4987051, ' "': -8.233114, " '": -9.2926655}
{' b': -10.395568, ' A': -1.1236724, ' B': -0.39366898, ' "': -8.743605, " '": -10.194222}
{' A': -0.8333878, ' B': -0.57082033, ' (': -10.180016, ' "': -8.67621, " '": -10.08376}
{' A': -1.0676068, ' B': -0.42185873, ' (': -10.191156, ' "': -8.727436, " '": -10.1510935}
{' A': -0.57021743, 'A': -10.068459, ' B': -0.8341372, ' (': -10.124971, ' "': -8.732386}
{' b': -10.47102, ' A': -0.9725049, ' B': -0.47550514, ' "': -8.91241, " '": -10.365081}
{' A': -0.42247212, 'A': -9.866852, ' B': -1.0665876, ' "': -8.543621, " '": -9.959656}
{' A': -0.47009975, 'A': -9.943381, ' B': -0.98153806, ' (': -10.059005, ' "': -8.881712}
{' A': -0.34060773, ' B': -1.2436991, ' "': -8.710204, 'A': -9.931937, " '": -10.110669}
{' A': -0.25491726, ' B': -1.4929125, ' "': -8.929724, 'A': -9.848563, " '": -10.264666}
{' A': -0.1588442, 'A': -9.811539, ' B': -1.9203092, ' "': -8.869037, " '": -10.2107315}
{' A': -0.11446387, 'A': -9.666757, ' B': -2.2272778, ' "': -8.803267, " '": -10.076521}
{' A': -0.06657685, 'A': -9.702184, ' B': -2.7473514, ' "': -8.878169, " '": -10.17945}
{' A': -0.078586705, 'A': -9.747452, ' B': -2.5863802, ' "': -8.953316, " '": -10.309106}
{' A': -0.058461327, 'A': -9.767885, ' B': -2.8737745, ' "': -8.882127, " '": -10.210211}
{' A': -0.47142974, 'A': -10.04131, ' B': -0.9792765, ' "': -8.8890295, " '": -10.23328}
{' A': -0.08051166, 'A': -9.598053, ' B': -2.562964, ' "': -9.055019, " '": -10.432688}
{' A': -0.08572359, ' B': -2.5027766, ' "': -9.023715, 'A': -9.651975, " '": -10.224321}
{' A': -0.047096513, ' B': -3.0852604, ' "': -9.0477705, 'A': -9.6747, " '": -10.198937}
{' A': -0.04527361, 'A': -9.723355, ' B': -3.1243978, ' "': -8.877879, " '": -10.2590065}
{' A': -0.031502858, 'A': -9.720824, ' B': -3.4828253, ' "': -8.943382, " '": -10.253022}
{' A': -0.0062563047, 'A': -9.724454, ' B': -5.1229763, ' "': -9.04413, " '": -10.28446}
{' A': -0.036950454, 'A': -9.69841, ' B': -3.324668, ' "': -8.961344, " '": -10.295131}
{' A': -0.042425636, 'A': -9.716168, ' B': -3.1881163, ' "': -8.943419, " '": -10.313132}
{' A': -0.01767078, 'A': -9.744371, ' B': -4.0621233, ' "': -8.831064, " '": -10.213051}
{' A': -0.060246304, 'A': -9.724179, ' B': -2.844567, ' "': -8.831938, " '": -10.164874}
{' A': -0.016916122, 'A': -9.64314, ' B': -4.1085563, ' "': -8.691466, " '": -10.061572}
{' A': -0.038352434, 'A': -9.688181, ' B': -3.2881713, ' "': -8.898596, " '": -10.22007}
{' A': -0.012674594, 'A': -9.738779, ' B': -4.396679, ' "': -9.015127, " '": -10.313993}
{' A': -0.03051677, ' B': -3.5140276, ' "': -9.009924, 'A': -9.668163, " '": -10.347999}
{' A': -0.0234097, 'A': -9.729041, ' B': -3.7783744, ' "': -8.982465, " '": -10.319794}
{' A': -0.017256325, 'A': -9.669389, ' B': -4.0855527, ' "': -8.926032, " '": -10.261863}
{' A': -0.016050285, 'A': -9.711974, ' B': -4.1583304, ' "': -8.944991, " '": -10.300444}
{' A': -0.008609375, 'A': -9.734155, ' B': -4.789699, ' (': -10.457977, ' "': -9.114033}
{' A': -0.00986384, 'A': -9.718733, ' B': -4.650517, ' "': -9.108126, " '": -10.442641}
{' A': -0.055463523, 'A': -9.704452, ' B': -2.9253688, ' "': -8.829713, " '": -10.215097}
{' A': -0.13103722, 'A': -9.67617, ' B': -2.1000826, ' "': -8.650325, " '": -9.892085}
{' b': -10.26827, ' A': -1.1812531, ' B': -0.36713564, ' "': -8.5568075, " '": -9.753998}
{' A': -0.77584195, ' B': -0.6174861, ' (': -10.016397, ' "': -8.655179, " '": -9.799831}
{' b': -10.336513, ' A': -1.0439401, ' B': -0.4345251, ' "': -8.647608, " '": -9.829234}
{' A': -0.53722626, ' B': -0.87885725, ' (': -10.072323, ' "': -8.663077, " '": -9.838854}
{' b': -10.333272, ' A': -1.2770503, ' B': -0.3273374, ' "': -8.856464, " '": -10.113648}
{' A': -0.4864898, 'A': -9.974411, ' B': -0.9549748, ' "': -8.573556, " '": -9.714873}
{' A': -0.61734676, ' B': -0.7759619, ' "': -8.69759, " '": -9.843345, ' (': -10.136622}
{' A': -0.38717863, 'A': -10.02377, ' B': -1.1374266, ' "': -8.591975, " '": -9.697851}
{' A': -0.3286517, 'A': -9.988556, ' B': -1.273762, ' "': -8.843839, " '": -9.90737}
{' A': -0.16769372, 'A': -9.8759775, ' B': -1.8704867, ' "': -8.763752, " '": -9.849351}
{' A': -0.27655575, ' B': -1.4220043, ' "': -8.616865, " '": -9.6629305, 'A': -9.901177}
{' A': -0.09495173, 'A': -9.81753, ' B': -2.4049835, ' "': -8.872028, " '": -9.888745}
{' A': -0.15338898, 'A': -9.904688, ' B': -1.9526787, ' "': -8.838205, " '": -9.9013605}
{' A': -0.07832921, 'A': -9.864934, ' B': -2.5898933, ' "': -8.852859, " '": -9.87722}
{' A': -0.5511507, 'A': -10.168065, ' B': -0.8594412, ' "': -8.877343, " '": -9.938136}
{' A': -0.08853428, 'A': -9.715513, ' B': -2.4725847, ' "': -8.672429, " '": -9.766973}
{' A': -0.11679608, 'A': -9.794924, ' B': -2.20791, ' "': -8.9664955, " '": -9.901111}
{' A': -0.03507869, 'A': -9.802935, ' B': -3.376231, ' "': -9.023572, " '": -9.903876}
{' A': -0.06211242, 'A': -9.755885, ' B': -2.814544, ' "': -9.027104, " '": -9.966949}
{' A': -0.034891784, ' B': -3.3817618, ' "': -8.9856615, 'A': -9.75958, " '": -9.841175}
{' A': -0.014989124, 'A': -9.807256, ' B': -4.2305613, ' "': -8.786021, " '": -9.780694}
{' A': -0.03558651, ' B': -3.3622506, ' "': -9.0227165, 'A': -9.735412, " '": -9.873687}
{' A': -0.03198133, 'A': -9.845402, ' B': -3.4682872, ' "': -8.869295, " '": -9.902979}
{' A': -0.038740225, ' B': -3.2785795, ' "': -8.813637, 'A': -9.833456, " '": -9.834882}
{' A': -0.09580203, 'A': -9.865495, ' B': -2.3964002, ' "': -8.824959, " '": -9.923708}
{' A': -0.026979145, 'A': -9.752761, ' B': -3.6400123, ' "': -8.659685, " '": -9.623834}
{' A': -0.044598926, 'A': -9.741541, ' B': -3.1395028, ' "': -8.94779, " '": -9.839629}
{' A': -0.019716814, 'A': -9.791907, ' B': -3.949858, ' "': -9.153494, " '": -10.038707}
{' A': -0.033559255, 'A': -9.854901, ' B': -3.4196389, ' "': -8.942702, " '": -10.129105}
{' A': -0.02969637, ' B': -3.5412717, ' "': -8.961182, 'A': -9.851396, " '": -10.029155}
{' A': -0.02283766, 'A': -9.817152, ' B': -3.8049116, ' "': -8.809504, " '": -9.880872}
{' A': -0.026655333, 'A': -9.743673, ' B': -3.6487906, ' "': -9.085941, " '": -10.024279}
{' A': -0.016907455, 'A': -9.879835, ' B': -4.10389, ' "': -9.077008, " '": -10.171411}
{' A': -0.013931519, 'A': -9.881239, ' B': -4.300459, ' "': -9.004496, " '": -10.060001}
{' A': -0.18313192, 'A': -9.888105, ' B': -1.7899166, ' "': -8.596732, " '": -9.777468}
{' A': -0.20544164, 'A': -9.88102, ' B': -1.6857463, ' "': -8.524356, " '": -9.523287}
{' b': -10.149999, ' A': -1.0801606, ' B': -0.41544196, ' "': -8.533945, " '": -9.722671}
{' b': -10.115623, ' A': -0.9440081, ' B': -0.49339896, ' "': -8.668974, " '": -9.887956}
{' b': -10.17672, ' A': -0.9559619, ' B': -0.48581758, ' "': -8.6987505, " '": -9.901664}
{' A': -0.66658366, 'A': -10.194504, ' B': -0.7211816, ' "': -8.719095, " '": -9.928105}
{' b': -10.185313, ' A': -1.2371498, ' B': -0.34320778, ' "': -8.941712, " '": -10.120666}
{' A': -0.31918636, 'A': -9.819132, ' B': -1.2987378, ' "': -8.640157, " '": -9.775389}
{' A': -0.5512006, ' B': -0.8594682, ' "': -8.747868, " '": -9.915085, 'A': -10.109907}
{' A': -0.41125706, 'A': -9.988727, ' B': -1.0881771, ' "': -8.72878, " '": -9.8814335}
{' A': -0.32416084, 'A': -9.927913, ' B': -1.2853597, ' "': -8.925455, " '": -9.999221}
{' A': -0.24725969, 'A': -9.860739, ' B': -1.519856, ' "': -8.872532, " '": -10.020215}
{' A': -0.17009072, 'A': -9.790932, ' B': -1.8574915, ' "': -8.748309, " '": -9.822804}
{' A': -0.07968523, 'A': -9.749421, ' B': -2.5732307, ' "': -8.936013, " '": -10.017595}
{' A': -0.084647655, ' B': -2.5148482, ' "': -8.966396, 'A': -9.788014, " '": -10.061321}
{' A': -0.05587741, 'A': -9.71651, ' B': -2.9175732, ' "': -9.141351, " '": -10.052703}
{' A': -0.45500866, ' B': -1.0071689, ' "': -8.960801, 'A': -10.03404, " '": -10.048812}
{' A': -0.093535714, 'A': -9.708646, ' B': -2.4191525, ' "': -8.959378, " '": -10.062837}
{' A': -0.11146368, 'A': -9.726844, ' B': -2.2520046, ' "': -9.068186, " '": -10.036112}
{' A': -0.03796721, 'A': -9.719493, ' B': -3.2968664, ' "': -9.284022, " '": -10.181772}
{' A': -0.050125, ' B': -3.0238643, ' "': -9.135259, 'A': -9.676215, " '": -10.088516}
{' A': -0.030228421, ' B': -3.523419, ' "': -9.150853, 'A': -9.675922, " '": -10.051667}
{' A': -0.009006786, 'A': -9.695059, ' B': -4.7457867, ' "': -9.174826, " '": -10.045672}
{' A': -0.036551487, 'A': -9.733526, ' B': -3.3352344, ' "': -9.042207, " '": -10.108281}
{' A': -0.0302815, 'A': -9.770682, ' B': -3.5219157, ' "': -9.001095, " '": -10.113843}
{' A': -0.032994375, 'A': -9.692318, ' B': -3.4361353, ' "': -9.180574, " '": -10.10658}
{' A': -0.093277946, 'A': -9.708185, ' B': -2.4216776, ' "': -9.069257, " '": -10.0098915}
{' A': -0.018753668, 'A': -9.628816, ' B': -4.002505, ' "': -9.022712, " '": -9.901177}
{' A': -0.048675686, ' B': -3.052906, ' "': -9.025225, 'A': -9.710482, " '": -10.157923}
{' A': -0.022279412, ' B': -3.826774, ' "': -9.297281, 'A': -9.689276, " '": -10.250855}
{' A': -0.03652342, ' B': -3.3352962, ' "': -9.229274, 'A': -9.651192, " '": -10.233754}
{' A': -0.030776614, 'A': -9.69839, ' B': -3.504684, ' "': -9.275412, " '": -10.278326}
{' A': -0.014486701, 'A': -9.757315, ' B': -4.2617, ' "': -8.998165, " '": -10.087871}
{' A': -0.019036543, 'A': -9.666357, ' B': -3.9847958, ' "': -9.236829, " '": -10.250501}
{' A': -0.01796518, 'A': -9.707375, ' B': -4.042312, ' "': -9.261924, " '": -10.306171}
{' A': -0.018766666, 'A': -9.8242, ' B': -4.0005417, ' "': -8.946437, " '": -10.085242}
{' A': -0.14216037, 'A': -9.831718, ' B': -2.023508, ' "': -8.762419, " '": -9.958806}
{' A': -0.15732138, ' B': -1.9296088, ' "': -8.661717, " '": -9.763499, 'A': -9.799635}
{' A': -0.6150207, 'A': -9.997934, ' B': -0.77874166, ' "': -8.642845, " '": -9.836153}
{' A': -0.5142411, 'A': -10.001147, ' B': -0.9120568, ' "': -8.819993, " '": -9.944112}
{' A': -0.6443183, ' B': -0.74520564, ' "': -8.827032, " '": -9.951202, ' (': -10.1213}
{' A': -0.27963454, ' B': -1.4121132, ' "': -8.938037, 'A': -9.847463, " '": -10.128614}
{' A': -1.0553495, ' B': -0.4282342, ' (': -10.556074, ' "': -9.035785, " '": -10.195958}
{' A': -0.21245873, 'A': -9.745427, ' B': -1.6552553, ' "': -8.664656, " '": -9.88752}
{' A': -0.42647105, 'A': -10.032919, ' B': -1.0588353, ' "': -8.818757, " '": -10.0024}
{' A': -0.1696359, 'A': -9.838252, ' B': -1.859665, ' "': -8.898127, " '": -10.115469}
{' A': -0.17121342, 'A': -9.8412895, ' B': -1.8510422, ' "': -9.017782, " '": -10.173464}
{' A': -0.13987817, ' B': -2.038285, ' "': -9.034528, 'A': -9.8289995, " '": -10.083142}
{' A': -0.07470658, ' B': -2.635551, ' "': -8.919466, 'A': -9.689317, " '": -10.089605}
{' A': -0.030483525, ' B': -3.5147495, ' "': -9.069269, 'A': -9.783913, " '": -10.154102}
{' A': -0.040005032, 'A': -9.803406, ' B': -3.2453175, ' "': -9.103325, " '": -10.172121}
{' A': -0.028777806, 'A': -9.811968, ' B': -3.572004, ' "': -9.037725, " '": -10.1927595}
{' A': -0.2715437, 'A': -9.919161, ' B': -1.4376128, ' "': -8.945363, " '": -10.000701}
{' A': -0.03409411, 'A': -9.643128, ' B': -3.4042206, ' "': -9.026273, " '": -10.148935}
{' A': -0.03659149, 'A': -9.771355, ' B': -3.3336112, ' "': -9.106554, " '": -10.148129}
{' A': -0.026951773, 'A': -9.738535, ' B': -3.6371868, ' "': -9.147218, " '": -10.119757}
{' A': -0.029493153, 'A': -9.792809, ' B': -3.5479963, ' "': -9.010858, " '": -10.093882}
{' A': -0.023141146, 'A': -9.798899, ' B': -3.7896013, ' "': -9.071467, " '": -10.069975}
{' A': -0.0039844806, 'A': -9.845057, ' B': -5.600248, ' "': -9.008841, " '": -10.071813}
{' A': -0.013535708, 'A': -9.831849, ' B': -4.328908, ' "': -9.1291895, " '": -10.123982}
{' A': -0.016778948, 'A': -9.802789, ' B': -4.112623, ' "': -9.024665, " '": -10.116275}
{' A': -0.020702427, 'A': -9.851431, ' B': -3.9010751, ' "': -8.999319, " '": -10.112693}
{' A': -0.04707627, 'A': -9.809146, ' B': -3.0855548, ' "': -8.990198, " '": -10.0246935}
{' A': -0.0058410987, 'A': -9.781304, ' B': -5.1954865, ' "': -8.968839, " '": -10.104532}
{' A': -0.024192836, 'A': -9.773848, ' B': -3.7450085, ' "': -9.09605, " '": -10.160283}
{' A': -0.009412719, 'A': -9.837065, ' B': -4.699415, ' "': -9.079615, " '": -10.122403}
{' A': -0.01666773, 'A': -9.774718, ' B': -4.118203, ' "': -9.110093, " '": -10.303465}
{' A': -0.013442612, ' B': -4.3341155, ' "': -9.218618, 'A': -9.829108, " '": -10.281178}
{' A': -0.006339319, 'A': -9.832771, ' B': -5.105037, ' "': -9.075154, " '": -10.257317}
{' A': -0.008253349, 'A': -9.8440895, ' B': -4.83516, ' "': -9.041422, " '": -10.106577}
{' A': -0.0042987075, ' B': -5.5081205, ' "': -9.210924, 'A': -9.853063, " '": -10.348397}
{' A': -0.0041199154, 'A': -9.8651, ' B': -5.556453, ' "': -9.114134, " '": -10.293413}
{' A': -0.0447558, 'A': -9.78069, ' B': -3.135292, ' "': -8.932415, " '": -10.18512}
{' A': -0.05687582, 'A': -9.74401, ' B': -2.9014175, ' "': -8.740717, " '": -9.773896}
{' A': -0.9319932, ' B': -0.5012394, ' (': -10.157128, ' "': -8.308315, " '": -9.582153}
{' B': -0.61441964, ' A': -0.77957886, ' "': -8.368481, " '": -9.553922, ' (': -10.026423}
{' A': -0.70711917, ' B': -0.68024075, ' (': -10.05451, ' "': -8.388737, " '": -9.53787}
{' A': -0.35644978, ' B': -1.2059923, ' (': -9.926753, ' "': -8.3924675, " '": -9.532312}
{' B': -0.5521291, ' A': -0.8582757, ' "': -8.524339, " '": -9.71016, ' (': -10.265061}
{' A': -0.16742112, 'A': -9.737156, ' B': -1.8728445, ' "': -8.297887, " '": -9.503848}
{' A': -0.38747582, ' B': -1.1370049, ' (': -9.871888, ' "': -8.374247, " '": -9.507573}
{' A': -0.19368418, 'A': -9.868713, ' B': -1.7393155, ' "': -8.386271, " '": -9.564889}
{' A': -0.16176733, ' B': -1.9040349, ' "': -8.54462, " '": -9.66313, 'A': -9.867067}
{' A': -0.12914315, 'A': -9.836238, ' B': -2.1141226, ' "': -8.476352, " '": -9.616792}
{' A': -0.093178816, 'A': -9.754378, ' B': -2.424447, ' "': -8.386079, " '": -9.524718}
{' A': -0.07316767, 'A': -9.855531, ' B': -2.6571214, ' "': -8.46956, " '": -9.643971}
{' A': -0.08643064, 'A': -9.8324, ' B': -2.496276, ' "': -8.439507, " '": -9.628927}
{' A': -0.05710979, ' B': -2.8980937, ' "': -8.531591, " '": -9.6539755, 'A': -9.8660755}
{' A': -0.4794018, 'A': -10.139269, ' B': -0.96627736, ' "': -8.67377, " '": -9.798291}
{' A': -0.12167071, ' B': -2.1706836, ' "': -8.309557, " '": -9.508984, 'A': -9.763243}
{' A': -0.08439509, 'A': -9.842948, ' B': -2.5188758, ' "': -8.557283, " '": -9.659031}
{' A': -0.024024313, ' B': -3.756013, ' "': -8.637365, " '": -9.69035, 'A': -9.851672}
{' A': -0.029556997, 'A': -9.798458, ' B': -3.5491796, ' "': -8.582754, " '": -9.677631}
{' A': -0.022062646, 'A': -9.820396, ' B': -3.8422337, ' "': -8.57941, " '": -9.636192}
{' A': -0.007325336, 'A': -9.824629, ' B': -4.9705935, ' "': -8.654426, " '": -9.688741}
{' A': -0.04092225, 'A': -9.846654, ' B': -3.226143, ' "': -8.54883, " '": -9.625484}
{' A': -0.03065959, 'A': -9.834842, ' B': -3.5128715, ' "': -8.528133, " '": -9.628456}
{' A': -0.015170776, 'A': -9.852093, ' B': -4.220142, ' "': -8.613239, " '": -9.688426}
{' A': -0.057269532, 'A': -9.855917, ' B': -2.894979, ' "': -8.596488, " '": -9.714065}
{' A': -0.012328942, ' B': -4.435413, ' "': -8.484339, " '": -9.552099, 'A': -9.747139}
{' A': -0.028976887, 'A': -9.807844, ' B': -3.5683255, ' "': -8.625814, " '": -9.771107}
{' A': -0.010843343, 'A': -9.841287, ' B': -4.5612583, ' "': -8.731225, " '": -9.804831}
{' A': -0.023612354, 'A': -9.808019, ' B': -3.773261, ' "': -8.611574, " '": -9.747519}
{' A': -0.023928221, 'A': -9.840263, ' B': -3.7597225, ' "': -8.632085, " '": -9.761539}
{' A': -0.010817555, 'A': -9.799749, ' B': -4.5659437, ' "': -8.611945, " '": -9.734814}
{' A': -0.019968644, ' B': -3.9416378, ' "': -8.639465, " '": -9.759452, 'A': -9.828863}
{' A': -0.011309163, 'A': -9.847265, ' B': -4.5163293, ' "': -8.76302, " '": -9.927985}
{' A': -0.008653142, ' B': -4.792173, ' "': -8.746646, 'A': -9.8717575, " '": -9.876381}
{' A': -0.07847703, 'A': -9.82536, ' B': -2.589269, ' "': -8.443761, " '": -9.654002}
{' A': -0.11786467, 'A': -9.829676, ' B': -2.2010117, ' "': -8.263069, " '": -9.247121}
{' B': -0.5216906, ' A': -0.9010795, ' "': -8.708996, " '": -9.917082, ' (': -10.356846}
{' A': -0.84781003, ' B': -0.5598367, ' (': -10.20085, ' "': -8.756545, " '": -9.9751425}
{' A': -0.9168881, ' B': -0.51097757, ' (': -10.308198, ' "': -8.8138275, " '": -9.993853}
{' A': -0.6485483, ' B': -0.7405302, ' (': -10.230702, ' "': -8.775352, " '": -10.009423}
{' b': -10.455616, ' A': -1.2357918, ' B': -0.3437478, ' "': -8.911954, " '": -10.190629}
{' A': -0.340047, 'A': -9.8888035, ' B': -1.2451488, ' "': -8.686723, " '": -9.834264}
{' A': -0.54240006, 'A': -10.1967945, ' B': -0.87149197, ' "': -8.828311, " '": -10.10819}
{' A': -0.2944039, 'A': -9.966937, ' B': -1.3677225, ' "': -8.801462, " '": -9.90065}
{' A': -0.272275, ' B': -1.4352654, ' "': -8.921302, 'A': -9.958779, " '": -10.080615}
{' A': -0.23011917, 'A': -9.93154, ' B': -1.5834727, ' "': -8.934248, " '": -10.091922}
{' A': -0.2173786, 'A': -9.891485, ' B': -1.6345234, ' "': -8.801976, " '": -9.927876}
{' A': -0.08949112, ' B': -2.461531, ' "': -8.932261, 'A': -9.826568, " '": -10.085354}
{' A': -0.08771299, 'A': -9.879187, ' B': -2.480684, ' "': -8.9448595, " '": -10.027341}
{' A': -0.063761875, 'A': -9.852527, ' B': -2.788949, ' "': -8.983649, " '": -10.073655}
{' A': -0.33656996, 'A': -10.036001, ' B': -1.2535297, ' "': -8.999297, " '": -10.148526}
{' A': -0.10157562, 'A': -9.774911, ' B': -2.3402307, ' "': -9.038113, " '": -10.149411}
{' A': -0.08324006, 'A': -9.844413, ' B': -2.5308166, ' "': -9.038742, " '": -10.185633}
{' A': -0.037275523, ' B': -3.3147852, ' "': -9.305928, 'A': -9.7801285, " '": -10.238648}
{' A': -0.06631046, ' B': -2.750608, ' "': -9.074483, 'A': -9.816463, " '": -10.194252}
{' A': -0.034305483, 'A': -9.834607, ' B': -3.3973727, ' "': -9.096525, " '": -10.201792}
{' A': -0.01152735, 'A': -9.842618, ' B': -4.493905, ' "': -9.024415, " '": -10.0077305}
{' A': -0.03701212, 'A': -9.835951, ' B': -3.3225117, ' "': -9.059926, " '": -10.187872}
{' A': -0.041635104, 'A': -9.829429, ' B': -3.2060866, ' "': -9.074075, " '": -10.230025}
{' A': -0.033203352, 'A': -9.839466, ' B': -3.4298744, ' "': -9.07025, " '": -10.13985}
{' A': -0.112246595, 'A': -9.880339, ' B': -2.2453566, ' "': -8.945807, " '": -10.102018}
{' A': -0.020288538, 'A': -9.774402, ' B': -3.9222832, ' "': -8.980037, " '": -10.064319}
{' A': -0.059865963, 'A': -9.816604, ' B': -2.8502483, ' "': -9.016457, " '": -10.205426}
{' A': -0.023095945, ' B': -3.7905233, ' "': -9.191355, 'A': -9.830922, " '": -10.252929}
{' A': -0.04140273, 'A': -9.800263, ' B': -3.211246, ' "': -9.147232, " '": -10.345768}
{' A': -0.026874932, 'A': -9.847717, ' B': -3.6392043, ' "': -9.166943, " '": -10.335051}
{' A': -0.012019063, ' B': -4.449216, ' "': -9.070477, 'A': -9.842726, " '": -10.272517}
{' A': -0.026559226, 'A': -9.830386, ' B': -3.651807, ' "': -9.07827, " '": -10.203408}
{' A': -0.019499263, 'A': -9.852219, ' B': -3.9596865, ' "': -9.176875, " '": -10.391303}
{' A': -0.012804447, 'A': -9.868377, ' B': -4.384138, ' "': -9.140404, " '": -10.25251}
{' A': -0.140646, 'A': -9.898282, ' B': -2.033327, ' "': -8.842775, " '": -10.044732}
{' A': -0.12396982, ' B': -2.1517599, ' "': -8.851872, 'A': -9.840921, " '": -9.90523}
{' b': -9.6006565, ' A': -1.7336959, 'B': -10.540481, ' B': -0.19464862, ' "': -9.410973}
{' b': -9.584559, ' A': -1.453907, 'B': -10.584949, ' B': -0.2664471, ' "': -9.475469}
{' B': -0.2584793, ' A': -1.4805385, ' "': -9.459916, ' b': -9.473394, 'B': -10.543382}
{' b': -9.8799095, ' A': -0.9517764, 'A': -10.42761, ' B': -0.4882639, ' "': -9.335701}
{' b': -9.591215, ' A': -2.158203, 'B': -10.642737, ' B': -0.12298397, ' "': -9.858358}
{' b': -10.914496, ' A': -0.40797758, 'A': -9.837507, ' B': -1.0942491, ' "': -9.641314}
{' b': -9.894945, ' A': -0.955269, 'A': -10.380396, ' B': -0.48605537, ' "': -9.479507}
{' b': -10.21367, ' A': -0.6821404, 'A': -10.144008, ' B': -0.7047768, ' "': -9.417202}
{' b': -10.262508, ' A': -0.6137471, 'A': -10.149619, ' B': -0.77989435, ' "': -9.533315}
{' b': -10.358439, ' A': -0.5444852, 'A': -10.146027, ' B': -0.86835676, ' "': -9.544947}
{' b': -10.923859, ' A': -0.29986122, 'A': -9.850332, ' B': -1.3515161, ' "': -9.407112}
{' a': -10.70729, ' A': -0.144341, 'A': -9.747387, ' B': -2.0084825, ' "': -9.641106}
{' b': -10.9573765, ' A': -0.21710005, 'A': -9.901213, ' B': -1.6351107, ' "': -9.452015}
{' A': -0.09298622, ' B': -2.4237282, ' "': -9.684754, 'A': -9.758971, ' a': -10.706019}
{' b': -10.17232, ' A': -0.7788328, 'A': -10.258216, ' B': -0.61462724, ' "': -9.67674}
{' a': -10.686296, ' A': -0.112123035, 'A': -9.649907, ' B': -2.2456393, ' "': -9.729184}
{' a': -10.661605, ' A': -0.13510491, 'A': -9.738597, ' B': -2.0701272, ' "': -9.744087}
{' a': -10.793537, ' A': -0.09594458, 'A': -9.807202, ' B': -2.3937445, ' "': -9.693993}
{' a': -10.704917, ' A': -0.09521124, 'A': -9.728636, ' B': -2.4010088, ' "': -9.807913}
{' a': -10.712792, ' A': -0.105391845, 'A': -9.780589, ' B': -2.3043456, ' "': -9.671504}
{' a': -10.541053, ' A': -0.017447852, 'A': -9.670632, ' B': -4.068593, ' "': -9.797349}
{' a': -10.660792, ' A': -0.072803244, 'A': -9.751239, ' B': -2.6588895, ' "': -9.812647}
{' a': -10.715236, ' A': -0.11142564, 'A': -9.739585, ' B': -2.2513754, ' "': -9.886604}
{' a': -10.767405, ' A': -0.04563958, 'A': -9.735199, ' B': -3.1136703, ' "': -9.875101}
{' a': -10.974443, ' A': -0.15979356, 'A': -9.878224, ' B': -1.9141098, ' "': -9.473972}
{' a': -10.462721, ' A': -0.013701992, 'A': -9.639671, ' B': -4.3128467, ' "': -9.628669}
{' A': -0.123745784, ' B': -2.1524456, ' "': -9.686894, 'A': -9.810321, ' a': -10.854583}
{' a': -10.69218, ' A': -0.075143866, 'A': -9.710667, ' B': -2.6282349, ' "': -9.906111}
{' a': -10.881316, ' A': -0.14340098, 'A': -9.826033, ' B': -2.0144622, ' "': -9.600766}
{' a': -10.939201, ' A': -0.11445204, 'A': -9.844934, ' B': -2.2260664, ' "': -9.609443}
{' a': -10.915869, ' A': -0.041239977, 'A': -9.745643, ' B': -3.2133226, ' "': -9.735317}
{' A': -0.11070563, ' B': -2.2576458, ' "': -9.7099085, 'A': -9.744022, ' a': -10.744144}
{' A': -0.13361306, ' B': -2.0805182, ' "': -9.539513, 'A': -9.829455, ' a': -10.887988}
{' A': -0.074638754, ' B': -2.6347926, ' "': -9.636026, 'A': -9.825852, ' a': -10.926999}
{' b': -10.6848135, ' A': -0.49026302, 'A': -10.143584, ' B': -0.9484844, ' "': -9.491808}
{' A': -0.26425767, ' B': -1.4609816, ' "': -9.440619, 'A': -9.936079, " '": -10.899862}
