{' No': -0.008999929, ' ': -10.2733345, ' Generally': -10.194226, 'No': -4.7260695, ' Yes': -10.883266}
{' No': -0.025169658, 'No': -3.8398612, ' Yes': -6.4275565, ' Generally': -7.008576, ' ': -7.720646}
{' An': -7.606157, ' No': -0.035028506, ' Generally': -6.37282, 'No': -3.6935403, ' Yes': -5.024536}
{' No': -0.03334508, ' ': -7.8661466, ' Generally': -6.519211, 'No': -3.613507, ' Yes': -5.6609674}
{' No': -0.02378361, 'No': -3.8336778, ' Yes': -6.9894567, ' Generally': -7.74545, ' ': -8.193824}
{' An': -7.18242, ' No': -0.023118453, ' Generally': -7.192186, 'No': -4.0710483, ' Yes': -5.550891}
{' No': -0.021600325, 'No': -3.9593005, ' Yes': -6.351341, ' ': -8.125322, ' Generally': -9.108401}
{' Yes': -0.14202249, ' No': -2.4361947, ' Generally': -3.8406594, ' It': -4.7589407, 'Yes': -5.321746}
{' No': -2.1067612, ' Generally': -3.2849896, ' Yes': -0.23367819, 'Yes': -5.379873, ' It': -3.583257}
{' No': -0.7613892, ' Generally': -3.6364863, 'No': -4.2954793, ' Yes': -0.78517383, ' It': -3.8729424}
{' No': -0.6893696, ' Generally': -4.006474, 'No': -4.403446, ' Yes': -0.7872243, ' It': -5.499338}
{' No': -0.07121279, ' ': -6.8963766, ' Generally': -6.655545, 'No': -3.9094577, ' Yes': -3.0898285}
{' That': -7.471945, ' Generally': -3.928881, ' Yes': -0.031919982, 'Yes': -5.6185665, ' It': -5.2721863}
{' No': -6.8852158, ' Generally': -4.4134927, ' Yes': -0.021219915, 'Yes': -5.37386, ' It': -6.4837003}
{' Yes': -0.047379576, ' Generally': -3.6915216, ' No': -4.71202, 'Yes': -5.460578, ' It': -5.471654}
{' No': -0.25848994, ' Generally': -5.6585064, 'No': -3.917763, ' Yes': -1.602446, 'Yes': -6.327931}
{' ': -8.569815, ' Generally': -5.1286454, ' Yes': -0.010449296, ' yes': -8.917152, 'Yes': -5.5838857}
{' ': -8.791426, ' Generally': -5.507128, ' Yes': -0.0074176234, 'Yes': -5.947889, ' It': -8.550684}
{' No': -4.636818, ' ': -7.584968, ' Generally': -5.887861, ' Yes': -0.018966924, 'Yes': -5.2556534}
{' Yes': -0.017290832, ' Generally': -4.6388936, 'Yes': -5.8159585, ' No': -6.2877927, ' It': -6.8378186}
{' No': -5.097037, ' ': -7.5465393, ' Generally': -5.4551225, ' Yes': -0.016400248, 'Yes': -5.3936124}
{' ': -9.589727, ' Generally': -8.364941, ' Yes': -0.0030539967, ' yes': -9.013174, 'Yes': -5.954439}
{' An': -8.813707, ' No': -0.014441104, ' Generally': -6.623284, 'No': -4.4204392, ' Yes': -7.534497}
{' An': -8.308677, ' No': -0.019529045, ' Generally': -6.5762076, 'No': -4.4138274, ' Yes': -5.2507067}
{' No': -0.016930306, ' ': -9.0400505, ' Generally': -6.786223, 'No': -4.288632, ' Yes': -6.4577637}
{' No': -0.011971405, ' ': -9.080451, ' Generally': -8.066367, 'No': -4.552335, ' Yes': -7.0829153}
{' An': -8.844099, ' No': -0.012483797, ' Generally': -8.1265335, 'No': -4.5843697, ' Yes': -6.427298}
{' No': -0.01087317, ' ': -9.24026, ' Generally': -10.02616, 'No': -4.6351805, ' Yes': -6.9810495}
{' Yes': -0.16926457, ' No': -2.264527, ' Generally': -3.5328662, ' It': -4.5386224, 'Yes': -5.9556546}
{' That': -5.69058, ' No': -1.6508535, ' Generally': -2.956258, ' Yes': -0.3618635, ' It': -3.1797612}
{' No': -0.34844506, ' Generally': -3.5302575, 'No': -4.429824, ' Yes': -1.7196054, ' It': -2.8008986}
{' No': -0.5942812, ' Generally': -3.5690086, 'No': -4.8236246, ' Yes': -0.9140501, ' It': -5.6381745}
{' No': -0.017730236, ' ': -8.444882, ' Generally': -7.18167, 'No': -4.4973674, ' Yes': -5.25019}
{' On': -7.21536, ' Generally': -3.578315, ' Yes': -0.04078447, 'Yes': -6.0181513, ' It': -5.121589}
{' No': -5.4485927, ' Generally': -3.9410818, ' Yes': -0.0310725, 'Yes': -5.766927, ' It': -6.3535757}
{' No': -4.273405, ' Generally': -3.2391703, ' Yes': -0.067138925, 'Yes': -5.767788, ' It': -5.5236835}
{' No': -0.09414261, ' Yes': -2.5910296, 'No': -4.356294, ' Generally': -6.614743, 'Yes': -7.8627925}
{' Generally': -4.956814, ' Typically': -8.973976, ' Yes': -0.009294736, ' yes': -9.247563, 'Yes': -6.3523655}
{' Generally': -5.1274557, ' Yes': -0.008265308, ' yes': -9.190306, 'Yes': -6.3761773, ' It': -8.924778}
{' No': -4.6023073, ' ': -8.586818, ' Generally': -6.34376, ' Yes': -0.015379875, 'Yes': -5.8277116}
{' No': -6.711003, ' Generally': -3.7712274, ' Yes': -0.030415503, 'Yes': -6.1344805, ' It': -6.680266}
{' Yes': -0.020816285, ' No': -4.501523, ' Generally': -5.1901636, 'Yes': -5.8470473, ' ': -8.412784}
{' ': -10.736637, ' Generally': -8.882326, ' Yes': -0.0016922518, ' yes': -9.416351, 'Yes': -6.544619}
{' An': -8.155337, ' No': -0.015616691, ' Generally': -5.976386, 'No': -4.4416704, ' Yes': -7.80247}
{' An': -7.3715625, ' No': -0.01957992, ' Generally': -5.849702, 'No': -4.4687033, ' Yes': -5.60019}
{' An': -8.260942, ' No': -0.016427333, ' Generally': -5.9334936, 'No': -4.4139967, ' Yes': -7.1163263}
{' An': -9.325069, ' No': -0.010664826, ' Generally': -7.444081, 'No': -4.6833563, ' Yes': -7.4986405}
{' No': -0.01146428, 'No': -4.7061753, ' Yes': -6.6061387, ' Generally': -7.3415666, ' An': -8.379142}
{' No': -0.008111828, ' ': -9.681776, ' Generally': -9.813228, 'No': -4.8893485, ' Yes': -7.798616}
{' No': -1.7552495, ' Generally': -2.6799893, ' A': -5.296269, ' Yes': -0.4079557, ' It': -2.7407289}
{' That': -3.7233255, ' No': -1.6608425, ' Generally': -2.1496713, ' Yes': -1.267679, ' It': -1.0304906}
{' That': -4.181351, ' No': -0.558417, ' Generally': -3.0825732, ' Yes': -2.5335393, ' It': -1.3437716}
{' No': -0.46341762, ' Generally': -3.2214055, 'No': -4.606062, ' Yes': -1.2176043, ' It': -4.2688146}
{' No': -0.015893424, ' Generally': -6.580062, 'No': -4.465837, ' Yes': -6.0762205, ' It': -8.679608}
{' Generally': -2.6753082, ' Yes': -0.117933474, 'Yes': -5.94848, ' In': -6.261915, ' It': -3.4982433}
{' Yes': -0.13681962, ' Generally': -2.8408792, ' It': -3.1427975, ' No': -4.292436, 'Yes': -5.6168823}
{' No': -4.029294, ' Generally': -2.5766158, ' Yes': -0.14990371, 'Yes': -5.685621, ' It': -3.4792187}
{' No': -0.11608062, ' Generally': -5.862018, 'No': -4.4040194, ' Yes': -2.3699603, 'Yes': -7.639409}
{' Yes': -0.021623105, ' Generally': -4.013612, 'Yes': -6.2203255, ' Typically': -7.96715, ' It': -8.006565}
{' Generally': -4.246996, ' Typically': -8.357349, ' Yes': -0.018617697, 'Yes': -6.301416, ' It': -6.70566}
{' No': -3.3061678, ' Generally': -4.993431, 'No': -7.633302, ' Yes': -0.04924444, 'Yes': -5.7175217}
{' No': -7.2966967, ' Generally': -3.5422106, ' Yes': -0.041211028, 'Yes': -6.0855107, ' It': -5.2005606}
{' No': -4.7866697, ' Generally': -4.6736064, ' Yes': -0.022372665, 'Yes': -5.899901, ' It': -7.3327165}
{' ': -11.129747, ' Generally': -8.298062, ' Yes': -0.0016969084, ' yes': -9.620683, 'Yes': -6.6110377}
{' No': -0.018733442, 'No': -4.3049994, ' Generally': -5.743514, ' Yes': -7.0300174, ' An': -7.9611998}
{' An': -7.1179643, ' No': -0.028652733, ' Generally': -5.532786, 'No': -4.3157506, ' Yes': -4.6845384}
{' An': -8.095985, ' No': -0.020287136, ' Generally': -5.75747, 'No': -4.3039246, ' Yes': -5.9646187}
{' An': -8.096001, ' No': -0.018055787, ' Generally': -6.3832536, 'No': -4.461415, ' Yes': -5.513636}
{' No': -0.019633776, 'No': -4.521312, ' Yes': -4.97582, ' Generally': -6.8817687, ' An': -7.883588}
{' No': -0.012650207, 'No': -4.6835794, ' Yes': -5.8108764, ' Generally': -8.931717, ' ': -9.039375}
{' Yes': -0.19805287, ' No': -2.4908442, ' Generally': -3.0027401, ' It': -3.5757728, ' A': -5.649537}
{' That': -4.3477755, ' No': -2.0751808, ' Generally': -2.3688095, ' Yes': -0.55262274, ' It': -1.7879}
{' That': -4.2194867, ' No': -0.7601746, ' Generally': -2.9648619, ' Yes': -1.4752625, ' It': -1.5514935}
{' No': -1.2318045, ' Generally': -3.4216943, 'No': -5.304669, ' Yes': -0.4255358, ' It': -4.9611974}
{' No': -0.03152802, ' Generally': -6.1683583, 'No': -4.3770366, ' A': -8.4181185, ' Yes': -4.1645956}
{' Generally': -2.9143083, ' Yes': -0.089557804, 'Yes': -5.815241, ' In': -6.4489665, ' It': -3.880951}
{' No': -4.3968806, ' Generally': -2.8853068, ' Yes': -0.1098628, 'Yes': -5.5647764, ' It': -3.700826}
{' No': -4.6748986, ' Generally': -2.93253, ' Yes': -0.087953895, 'Yes': -5.6538596, ' It': -4.47461}
{' No': -0.3823047, ' Yes': -1.1998553, 'No': -4.5503936, ' Generally': -5.6130724, 'Yes': -6.5120482}
{' Generally': -4.221456, ' Typically': -8.156247, ' Yes': -0.018241819, 'Yes': -6.1296306, ' It': -8.006059}
{' Yes': -0.016482353, ' Generally': -4.3572187, 'Yes': -6.2964373, ' It': -7.198069, ' Typically': -8.516402}
{' Yes': -0.012168316, ' No': -5.184121, 'Yes': -5.748567, ' Generally': -5.885609, ' ': -8.848124}
{' Generally': -3.8833425, ' Typically': -7.757105, ' Yes': -0.02739918, 'Yes': -6.036575, ' It': -6.3395762}
{' No': -5.835243, ' Generally': -5.1142592, ' Yes': -0.012885773, 'Yes': -5.84745, ' It': -8.311307}
{' Yes': -0.0018457661, 'Yes': -6.502761, ' Generally': -8.38922, ' yes': -9.449691, ' ': -10.769412}
{' No': -0.023924131, 'No': -4.381565, ' Generally': -4.898489, ' Yes': -6.4511733, ' An': -7.235418}
{' An': -6.509742, ' No': -0.038292672, ' Generally': -4.6337667, 'No': -4.423342, ' Yes': -4.4319425}
{' No': -0.029189266, ' Generally': -4.6586847, 'No': -4.308711, ' Yes': -5.741488, ' It': -6.9951887}
{' An': -7.89847, ' No': -0.0215918, ' Generally': -5.8037534, 'No': -4.5235295, ' Yes': -5.0147977}
{' An': -7.349337, ' No': -0.019392725, ' Generally': -6.146454, 'No': -4.5144315, ' Yes': -5.2773385}
{' No': -0.012919765, ' ': -9.336006, ' Generally': -8.387296, 'No': -4.806861, ' Yes': -5.458976}
{' That': -5.262254, ' No': -2.4588428, ' Generally': -2.6792426, ' Yes': -0.2918907, ' It': -2.647409}
{' That': -3.2754972, ' No': -2.326969, ' Generally': -2.1402414, ' Yes': -1.027889, ' It': -1.0239446}
{' It': -1.0023985, ' No': -1.3624315, ' Yes': -1.3882476, ' Generally': -2.6903105, ' That': -3.4302871}
{' No': -1.3404462, ' Generally': -3.0280206, 'No': -5.4255805, ' Yes': -0.42436203, ' It': -4.047973}
{' No': -0.09128086, ' Generally': -5.472663, 'No': -4.5047, ' Yes': -2.6567695, ' It': -7.717982}
{' That': -5.9175115, ' Generally': -2.4632344, ' Yes': -0.1490083, 'Yes': -6.0487676, ' It': -3.2471814}
{' No': -5.6959963, ' Generally': -3.0807738, ' Yes': -0.08975, 'Yes': -5.733766, ' It': -3.6494024}
{' That': -5.4739156, ' No': -4.7676644, ' Generally': -2.5567157, ' Yes': -0.16895744, ' It': -2.9549336}
{' No': -0.9039719, ' Generally': -4.9167895, 'No': -5.1516414, ' Yes': -0.5479233, 'Yes': -5.9722185}
{' Generally': -3.9122655, ' Typically': -7.767696, ' Yes': -0.02371385, 'Yes': -6.2975454, ' It': -7.5860343}
{' Generally': -3.8026652, ' Typically': -7.830774, ' Yes': -0.028974252, 'Yes': -6.4188623, ' It': -5.8414607}
{' No': -5.7290673, ' Generally': -5.3497686, ' Yes': -0.011696795, 'Yes': -5.8242, ' It': -8.66395}
{' Generally': -3.486445, ' Typically': -7.1800313, ' Yes': -0.051937733, 'Yes': -6.209483, ' It': -4.291329}
{' No': -7.498858, ' Generally': -5.0321493, ' Yes': -0.011018098, 'Yes': -5.976077, ' It': -7.380164}
{' ': -11.074176, ' Generally': -7.7766294, ' Yes': -0.0018500651, ' yes': -9.70884, 'Yes': -6.629306}
