{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.08822253, '\n': -4.6024494, ' ': -7.9303756, 'No': -2.6191998, ' Unfortunately': -7.411138}
{' No': -0.11419644, 'No': -2.578668, '\n': -3.5436742, ' Unfortunately': -6.392537, ' ': -7.202001}
{' No': -0.14642547, 'No': -2.415068, '\n': -3.240906, ' Yes': -5.5623913, ' Unfortunately': -6.1500306}
{' No': -0.1282817, '\n': -3.86794, ' ': -7.3939714, 'No': -2.3448706, ' Yes': -6.1449003}
{' No': -0.12900108, '\n': -3.6545231, ' ': -7.4571295, 'No': -2.3726456, ' Yes': -7.1926565}
{' No': -0.9565527, '\n': -0.96724147, 'No': -2.2709808, ' Yes': -2.4130137, ' Unfortunately': -3.871451}
{' No': -0.27548867, '\n': -2.690297, 'No': -1.8888748, ' Yes': -6.207375, ' Unfortunately': -4.166808}
{' No': -0.60560554, '\n': -1.364696, 'No': -2.007707, ' Unfortunately': -3.4382565, ' Yes': -3.893655}
{' No': -0.57256484, '\n': -1.3812349, 'No': -1.9669911, ' Unfortunately': -3.6548955, ' Yes': -4.590894}
{' No': -0.35005552, '\n': -2.7641351, 'No': -2.2954366, ' Yes': -2.3237436, ' Unfortunately': -3.9117234}
{' No': -0.49505672, '\n': -2.048369, 'No': -2.1100833, ' Yes': -2.189158, ' Unfortunately': -4.4876122}
{' No': -0.4517006, '\n': -2.1144128, 'No': -3.005713, ' Yes': -1.7316192, 'Yes': -4.9342422}
{' No': -0.13553408, 'No': -2.4188268, '\n': -3.4329848, ' Unfortunately': -6.1935554, ' Yes': -6.5968623}
{' No': -0.2707928, '\n': -2.0824153, 'No': -2.4215152, ' Unfortunately': -4.444176, ' Yes': -4.928347}
{' No': -0.14983054, '\n': -3.037253, 'No': -2.5355058, ' Yes': -5.1722836, ' Unfortunately': -5.6956563}
{' No': -0.14175582, ' Yes': -2.7167222, 'No': -3.1888673, '\n': -3.917604, 'Yes': -6.4503794}
{' No': -0.27874166, '\n': -2.31908, 'No': -2.723747, ' Yes': -2.6401098, 'Yes': -5.7460513}
{' No': -0.8297614, '\n': -1.0028076, 'No': -2.551666, ' Yes': -3.5661275, ' Unfortunately': -2.666422}
{' No': -0.24556492, '\n': -2.4036155, 'No': -2.4972472, ' Unfortunately': -3.3029761, ' Not': -5.90879}
{' No': -0.7989447, '\n': -0.9018136, 'No': -2.6894286, ' Yes': -4.9043503, ' Unfortunately': -2.9250164}
{' No': -0.35579622, '\n': -1.7462742, 'No': -2.582946, ' Yes': -5.3747244, ' Unfortunately': -3.3037882}
{' No': -0.42600644, '\n': -1.9651642, 'No': -3.0546913, ' Yes': -2.0936987, ' Unfortunately': -4.0003777}
{' No': -0.5164389, '\n': -1.3376155, 'No': -2.7830727, ' Yes': -2.9853892, ' Unfortunately': -4.1255183}
{' No': -0.03476008, 'No': -3.7552779, '\n': -4.8774776, ' Yes': -5.948855, ' ': -8.301724}
{' No': -0.049893215, '\n': -5.9881005, ' ': -9.180774, 'No': -3.086087, ' Yes': -8.281511}
{' No': -0.084151134, 'No': -2.6970317, '\n': -4.424689, ' Yes': -7.443693, ' ': -7.966022}
{' No': -0.05831119, 'No': -3.0188136, '\n': -5.362245, ' Yes': -5.990697, ' ': -8.514089}
{' No': -0.03700717, 'No': -3.828263, ' Yes': -4.4894896, '\n': -5.8278565, ' ': -8.619926}
{' No': -0.042159256, '\n': -5.4649935, ' ': -8.351039, 'No': -3.3648462, ' Yes': -6.153996}
{' No': -0.12608917, ' Yes': -2.5498543, '\n': -3.9583569, 'No': -3.97229, 'Yes': -6.4693294}
{' No': -0.02752716, 'No': -3.6887147, '\n': -6.4121094, ' Yes': -7.9400578, ' ': -9.724022}
{' No': -0.07107359, 'No': -2.958696, '\n': -4.319351, ' Yes': -6.1829853, ' Unfortunately': -7.280189}
{' No': -0.07128217, 'No': -2.8120658, '\n': -5.00492, ' Yes': -7.1013756, ' Unfortunately': -7.5578747}
{' No': -0.020516785, 'No': -4.2916274, ' Yes': -5.255185, '\n': -6.6811175, ' ': -9.648393}
{' No': -0.042208437, '\n': -4.8545446, ' ': -8.15667, 'No': -3.8230653, ' Yes': -4.5001473}
{' No': -0.29557243, '\n': -3.5330906, 'No': -4.530802, ' Yes': -1.5757389, 'Yes': -5.0682573}
{' No': -0.016115943, 'No': -4.2059884, '\n': -7.1922383, ' Yes': -8.879419, ' no': -9.590593}
{' No': -0.033431545, 'No': -3.7556663, '\n': -4.715341, ' ': -8.357501, ' Yes': -8.63449}
{' No': -0.05889322, '\n': -4.7350917, ' ': -7.8402114, 'No': -3.1651037, ' Yes': -5.2091885}
{' No': -0.02738215, 'No': -4.1992073, ' Yes': -5.0500493, '\n': -5.2477, ' ': -8.479659}
{' No': -0.02455733, '\n': -5.727796, ' ': -8.9066, 'No': -3.8885787, ' Yes': -7.905857}
{' No': -0.42101058, '\n': -1.6670624, 'No': -2.7608926, ' Yes': -3.8509765, ' Unfortunately': -2.8900447}
{' No': -0.15374473, '\n': -3.0622032, 'No': -2.733859, ' The': -6.6198545, ' Unfortunately': -3.6650875}
{' No': -0.2740236, '\n': -2.0998769, 'No': -2.8419616, ' Unfortunately': -2.9942343, ' Not': -5.6709504}
{' No': -0.20805007, ' Not': -6.388698, '\n': -2.3757765, 'No': -2.8002017, ' Unfortunately': -3.5734808}
{' No': -0.18704091, '\n': -2.791569, 'No': -2.9050622, ' Unfortunately': -3.3871582, ' Yes': -4.340716}
{' No': -0.2777857, '\n': -1.9914716, 'No': -2.84937, ' Unfortunately': -3.8456852, ' Yes': -3.93605}
{' No': -0.0953145, '\n': -3.0351453, ' Yes': -3.4725442, 'No': -4.6238103, ' Not': -7.6099586}
{' No': -0.02355133, ' Not': -9.354619, '\n': -5.138673, 'No': -4.0739264, ' no': -9.248675}
{' No': -0.06129565, ' Not': -7.72406, '\n': -3.4970315, 'No': -3.5962305, ' Yes': -7.637018}
{' No': -0.1261764, '\n': -2.6458163, ' ': -7.234372, 'No': -3.182109, ' Yes': -5.3452983}
{' No': -0.038809255, '\n': -5.9341373, 'No': -3.679585, ' Yes': -4.63176, 'Yes': -8.68581}
{' No': -0.03499585, 'No': -3.4442918, '\n': -6.0869308, ' ': -9.769001, ' Yes': -9.810114}
{' No': -0.2462795, ' Yes': -1.9801395, '\n': -2.7784164, 'No': -4.409947, 'Yes': -6.2389693}
{' No': -0.03108369, '\n': -4.452478, ' ': -8.72969, 'No': -4.081487, ' Yes': -6.511956}
{' No': -0.04795876, 'No': -3.8088665, '\n': -3.8138795, ' Yes': -6.921984, ' Unfortunately': -7.693064}
{' No': -0.13235714, '\n': -2.8536742, 'No': -2.9328542, ' Yes': -4.5081143, ' ': -7.125477}
{' No': -0.02685344, 'No': -3.9802473, ' Yes': -5.089712, '\n': -6.5458217, 'Yes': -9.442133}
{' No': -0.026901262, '\n': -6.4465103, ' ': -9.785921, 'No': -3.7108057, ' Yes': -7.83201}
{' No': -0.1396057, ' Yes': -2.8208017, '\n': -3.0316477, 'No': -3.9703703, 'Yes': -6.653638}
{' No': -0.0462948, '\n': -4.7542014, ' ': -8.457842, 'No': -3.3624911, ' Yes': -6.5678453}
{' No': -0.0367363, '\n': -4.7177873, ' ': -8.413054, 'No': -3.661702, ' Yes': -7.1281137}
{' No': -0.11607406, '\n': -3.2723718, ' ': -7.3549795, 'No': -2.7997346, ' Yes': -4.6702633}
{' No': -0.049435623, ' Yes': -3.35596, 'No': -4.5752535, '\n': -5.9620214, 'Yes': -8.012133}
{' No': -0.021000031, '\n': -5.716266, ' ': -9.375004, 'No': -4.1177287, ' Yes': -6.821399}
{' No': -0.1858311, '\n': -2.8908002, 'No': -5.097086, ' Yes': -2.2592714, 'Yes': -6.7286315}
{' No': -0.01908891, 'No': -4.3409786, '\n': -5.3824253, ' Yes': -7.1622715, ' no': -8.695764}
{' No': -0.035089433, '\n': -4.463278, ' ': -8.3069935, 'No': -3.8321643, ' Yes': -7.3817744}
{' No': -0.073173694, '\n': -3.5943453, ' ': -7.4089003, 'No': -3.3706284, ' Yes': -4.900165}
{' No': -0.020753967, 'No': -4.1654434, ' Yes': -5.6365, '\n': -6.654707, ' ': -9.587641}
{' No': -0.020944461, 'No': -4.003618, '\n': -6.3050175, ' Yes': -7.537601, ' ': -9.529705}
{' No': -0.12248745, 'No': -2.7665038, '\n': -3.0775769, ' Yes': -5.80807, ' ': -6.688194}
{' No': -0.07568941, 'No': -2.7461338, '\n': -4.9042664, ' Yes': -7.905773, ' ': -7.9296055}
{' No': -0.09950021, '\n': -3.7957397, ' ': -7.3333254, 'No': -2.6754928, ' Unfortunately': -6.452182}
{' No': -0.10482853, 'No': -2.5020776, '\n': -4.2435327, ' Yes': -6.518599, ' Unfortunately': -7.2787137}
{' No': -0.054989032, 'No': -3.2075615, '\n': -4.611273, ' Yes': -6.131382, ' ': -7.924694}
{' No': -0.073803574, 'No': -2.908875, '\n': -4.177853, ' Yes': -7.703984, ' ': -7.941128}
{' No': -0.6994162, '\n': -1.6698465, 'No': -2.7402658, ' Yes': -1.6770029, ' Unfortunately': -3.455365}
{' No': -0.21406241, '\n': -3.0672102, 'No': -2.4988198, ' Yes': -4.2840033, ' Unfortunately': -3.2226872}
{' No': -0.4373699, '\n': -1.9885459, ' Yes': -2.4875827, 'No': -2.5838754, ' Unfortunately': -3.3556383}
{' No': -0.39897814, '\n': -1.8906411, 'No': -2.4356718, ' Unfortunately': -3.1192272, ' Yes': -3.5406406}
{' No': -0.19504814, 'No': -2.7222848, '\n': -3.0550983, ' Yes': -3.4951808, ' Unfortunately': -3.5869508}
{' No': -0.173456, '\n': -3.1683977, 'No': -2.549814, ' Yes': -4.265274, ' Unfortunately': -3.8437746}
{' No': -0.34506154, ' Not': -4.4760637, '\n': -2.1958039, 'No': -3.3661187, ' Yes': -2.1262503}
{' No': -0.07654427, ' Not': -6.316206, '\n': -4.113037, 'No': -2.9512045, ' Unfortunately': -6.1749425}
{' No': -0.24366923, '\n': -1.9822003, 'No': -2.9587493, ' Unfortunately': -4.091825, ' Yes': -5.5583506}
{' No': -0.117903896, 'No': -2.911868, '\n': -3.1843598, ' Unfortunately': -4.8625364, ' Yes': -5.439603}
{' No': -0.16963102, ' Not': -6.156798, '\n': -3.2619693, 'No': -3.3205614, ' Yes': -2.5981493}
{' No': -0.122904696, '\n': -3.1911592, 'No': -3.1054313, ' Yes': -3.7453449, ' Unfortunately': -5.8218503}
{' No': -0.3423169, '\n': -2.0025706, ' Unfortunately': -2.8481956, 'No': -3.0866098, ' Yes': -3.3720906}
{' No': -0.13386044, 'No': -2.9627957, '\n': -3.0327115, ' Unfortunately': -4.2712064, ' Yes': -5.5848064}
{' No': -0.22552666, '\n': -2.4854279, 'No': -2.9246616, ' Unfortunately': -2.9982069, ' Yes': -5.3245883}
{' No': -0.24150413, '\n': -2.2507393, 'No': -2.7021058, ' Yes': -4.7487216, ' Unfortunately': -3.8905518}
{' No': -0.25247002, '\n': -2.3689156, 'No': -2.9958153, ' Yes': -3.617897, ' Unfortunately': -3.1337814}
{' No': -0.30276316, '\n': -1.8526328, 'No': -2.7728882, ' Unfortunately': -3.71484, ' Yes': -4.5672607}
{' No': -0.03817525, '\n': -3.9748435, 'No': -4.2199492, ' Yes': -5.9386, ' ': -7.529456}
{' No': -0.025496233, ' Not': -10.056479, '\n': -6.3994684, ' ': -9.736599, 'No': -3.7576091}
{' No': -0.06269641, 'No': -3.1408498, '\n': -4.084478, ' ': -8.190662, ' Yes': -8.5958}
{' No': -0.075771645, 'No': -2.8885653, '\n': -4.326205, ' Yes': -5.711069, ' ': -7.8767257}
{' No': -0.05326069, '\n': -5.8202395, 'No': -3.761089, ' Yes': -3.687549, 'Yes': -7.830852}
{' No': -0.043496843, 'No': -3.3284528, '\n': -5.449998, ' Yes': -6.12536, ' ': -9.057833}
{' No': -0.048779134, '\n': -3.731663, 'No': -4.402842, ' Yes': -4.630684, ' Not': -7.610986}
{' No': -0.0208825, ' Not': -10.189058, '\n': -6.7849965, 'No': -3.9427707, ' Yes': -10.287925}
{' No': -0.04605872, '\n': -4.001947, ' ': -8.2860565, 'No': -3.6619415, ' Yes': -8.287571}
{' No': -0.08990788, '\n': -4.978041, ' ': -8.243206, 'No': -2.557174, ' Yes': -7.1778593}
{' No': -0.0127189625, 'No': -4.5631814, ' Yes': -6.5262895, '\n': -7.2897916, ' ': -10.446274}
{' No': -0.020198094, 'No': -4.1872625, '\n': -6.052552, ' Yes': -6.076005, ' ': -9.459855}
{' No': -0.13072832, '\n': -2.7203336, 'No': -4.557675, ' Yes': -3.1401086, 'Yes': -7.046009}
{' No': -0.021859875, 'No': -4.2736564, '\n': -5.116205, ' Yes': -6.9069495, ' no': -8.116985}
{' No': -0.033286355, 'No': -3.9058201, '\n': -4.485015, ' Yes': -7.496633, ' no': -8.394044}
{' No': -0.07407267, 'No': -3.1467977, '\n': -3.6942735, ' Yes': -5.9640565, ' ': -7.783047}
{' No': -0.013460372, 'No': -4.567993, ' Yes': -6.360319, '\n': -6.737648, ' ': -10.207369}
{' No': -0.01289622, 'No': -4.44916, '\n': -6.8647294, ' Yes': -10.272513, ' ': -10.450267}
{' No': -0.3866037, '\n': -1.9333966, 'No': -2.540195, ' Unfortunately': -2.7735035, ' Yes': -4.3614078}
{' No': -0.15004325, ' Not': -5.822076, '\n': -3.5169637, 'No': -2.4583127, ' Unfortunately': -4.010135}
{' No': -0.27613166, '\n': -2.3163233, 'No': -2.3702993, ' Unfortunately': -3.2997139, ' Not': -5.1266713}
{' No': -0.15850736, 'No': -2.4564886, '\n': -3.1457796, ' Unfortunately': -4.246188, ' ': -6.8124204}
{' No': -0.13820878, '\n': -3.309721, 'No': -2.9125175, ' Yes': -5.5519505, ' Unfortunately': -3.5236874}
{' No': -0.2255543, '\n': -2.374461, 'No': -2.6514137, ' Unfortunately': -3.9047232, ' Yes': -4.4488497}
{' No': -0.33952147, '\n': -3.17951, 'No': -4.181629, ' Yes': -1.497198, 'Yes': -5.4130363}
{' No': -0.020807764, '\n': -5.815104, 'No': -4.1002693, ' Yes': -7.628171, ' The': -8.798549}
{' No': -0.050155714, '\n': -4.250662, ' ': -7.8431425, 'No': -3.4662416, ' Yes': -6.0419993}
{' No': -0.092970595, '\n': -3.6234653, ' ': -7.2645116, 'No': -3.0464406, ' Yes': -4.330336}
{' No': -0.026751686, '\n': -5.34389, ' ': -8.364295, 'No': -4.1080294, ' Yes': -5.3380995}
{' No': -0.024597218, 'No': -3.8536644, '\n': -5.893181, ' Yes': -8.815502, ' ': -8.8328085}
{' No': -0.24678735, '\n': -3.3074012, 'No': -4.6761827, ' Yes': -1.7823976, 'Yes': -5.9213667}
{' No': -0.023166215, '\n': -4.8436217, ' ': -8.679324, 'No': -4.2389345, ' Yes': -8.1865015}
{' No': -0.055876147, 'No': -3.557236, '\n': -3.6995776, ' ': -7.669838, ' Yes': -8.04534}
{' No': -0.05148956, '\n': -4.6686616, ' ': -8.279904, 'No': -3.2971466, ' Yes': -5.7373414}
{' No': -0.017629161, '\n': -6.228076, ' ': -9.3732815, 'No': -4.4559035, ' Yes': -5.5969133}
{' No': -0.021100411, '\n': -5.9612117, ' ': -9.111768, 'No': -4.0289793, ' Yes': -8.000859}
{' No': -0.07826353, '\n': -3.1162825, 'No': -4.062507, ' Yes': -4.409316, ' ': -7.1941843}
{' No': -0.043932848, 'No': -3.308524, '\n': -5.126357, ' ': -8.235632, ' no': -9.463519}
{' No': -0.054166052, '\n': -4.009574, ' ': -7.4607763, 'No': -3.3875344, ' Yes': -9.645366}
{' No': -0.058495265, 'No': -3.192578, '\n': -4.259087, ' Yes': -6.832644, ' ': -7.9294276}
{' No': -0.03125666, 'No': -4.0802903, '\n': -4.894444, ' Yes': -5.1171193, ' ': -8.321662}
{' No': -0.069094524, 'No': -3.3327034, '\n': -3.5139756, ' Yes': -7.1818013, ' ': -7.6980534}
{' No': -0.15019403, ' Yes': -2.268669, '\n': -3.5937555, 'No': -5.1337733, 'Yes': -6.768401}
{' No': -0.017212847, '\n': -5.3136415, ' ': -8.423189, 'No': -4.553967, ' Yes': -6.7624917}
{' No': -0.026143339, '\n': -4.5317774, ' ': -7.954357, 'No': -4.2549167, ' Yes': -8.092652}
{' No': -0.017798854, '\n': -5.896188, ' ': -8.835561, 'No': -4.238401, ' Yes': -8.383342}
{' No': -0.014819421, 'No': -4.874139, ' Yes': -5.237706, '\n': -6.449149, ' ': -9.232753}
{' No': -0.015835227, '\n': -6.0166783, ' ': -8.993263, 'No': -4.411568, ' Yes': -6.9624386}
{' No': -0.14299917, 'No': -2.5621502, '\n': -2.99599, ' Yes': -5.64128, ' ': -6.6766634}
{' No': -0.10464539, 'No': -2.4639173, '\n': -4.322558, ' ': -7.512934, ' Unfortunately': -8.672883}
{' No': -0.11401191, '\n': -3.3205395, ' ': -7.038097, 'No': -2.6605206, ' Unfortunately': -7.5921516}
{' No': -0.12171817, 'No': -2.4537816, '\n': -3.687371, ' Yes': -6.2911496, ' ': -7.3613157}
{' No': -0.10916725, '\n': -3.9441948, ' ': -7.263571, 'No': -2.5018902, ' Yes': -7.109092}
{' No': -0.11729353, '\n': -3.762698, ' ': -7.304829, 'No': -2.4517758, ' Yes': -8.239083}
{' No': -0.86466664, '\n': -1.0566489, 'No': -2.4585118, ' Yes': -2.1993015, ' Unfortunately': -4.4183283}
{' No': -0.3060968, '\n': -2.0888708, 'No': -2.130533, ' Yes': -5.1982913, ' Unfortunately': -4.6789966}
{' No': -0.6165063, '\n': -1.248142, 'No': -2.1347635, ' Yes': -3.633127, ' Unfortunately': -4.1262093}
{' No': -0.42903796, '\n': -1.6048764, 'No': -2.2317455, ' Yes': -3.926871, ' Unfortunately': -4.4575257}
{' No': -0.33039564, ' Yes': -2.323125, 'No': -2.5068731, '\n': -2.5423727, ' Unfortunately': -4.411572}
{' No': -0.4054951, '\n': -1.8306794, 'No': -2.2590811, ' Yes': -2.9292166, ' Unfortunately': -5.0604076}
{' No': -0.38061106, '\n': -2.1307085, 'No': -3.3704257, ' Yes': -1.8895469, 'Yes': -5.2304645}
{' No': -0.07889179, 'No': -3.0330486, '\n': -3.6568851, ' Not': -7.5021257, ' Yes': -7.6744647}
{' No': -0.20115362, '\n': -2.2689273, 'No': -2.62868, ' Yes': -6.232661, ' Unfortunately': -6.2344575}
{' No': -0.124046415, 'No': -2.825718, '\n': -3.0379102, ' Yes': -5.185142, ' Unfortunately': -6.5382304}
{' No': -0.0843207, ' Yes': -3.1607478, 'No': -3.6854863, '\n': -4.450846, 'Yes': -7.294186}
{' No': -0.1814809, '\n': -2.555945, 'No': -2.7624915, ' Yes': -3.8206348, ' ': -6.6723156}
{'\n': -0.80966586, ' No': -0.9401229, 'No': -2.6926422, ' Yes': -3.0212803, ' Unfortunately': -3.837082}
{' No': -0.25924012, ' Not': -5.635236, '\n': -2.1682825, 'No': -2.477107, ' Unfortunately': -3.9606104}
{' No': -0.7266156, '\n': -0.9807202, 'No': -2.5538518, ' Unfortunately': -3.212192, ' ': -4.6884227}
{' No': -0.5630648, '\n': -1.1649173, 'No': -2.6299229, ' Yes': -4.59853, ' Unfortunately': -4.0276394}
{' No': -0.50493157, '\n': -1.5175697, ' Yes': -2.2896833, 'No': -2.9335623, ' Unfortunately': -4.992347}
{' No': -0.4068811, '\n': -1.4628025, 'No': -2.6364439, ' Yes': -3.9948325, ' Unfortunately': -5.3948627}
{' No': -0.032284588, 'No': -4.126208, '\n': -4.4746766, ' Yes': -5.735144, ' ': -7.773176}
{' No': -0.018715652, 'No': -4.109727, '\n': -6.3307977, ' Yes': -8.792758, ' ': -9.503733}
{' No': -0.06430392, '\n': -4.028671, ' ': -7.866612, 'No': -3.1358545, ' Yes': -7.966905}
{' No': -0.026058055, 'No': -4.050123, '\n': -5.016145, ' Yes': -6.6812105, ' ': -8.202954}
{' No': -0.05270995, ' Yes': -3.3912814, 'No': -4.2593594, '\n': -5.831528, 'Yes': -7.9646206}
{' No': -0.042631444, 'No': -3.5005665, '\n': -4.777111, ' Yes': -5.9363785, ' ': -7.982534}
{' No': -0.12660745, ' Yes': -2.669271, '\n': -3.3268561, 'No': -4.5341926, 'Yes': -6.6757236}
{' No': -0.01316977, '\n': -7.087411, ' ': -9.8924055, 'No': -4.416761, ' Yes': -9.758197}
{' No': -0.045767605, '\n': -3.8761315, ' ': -7.9840994, 'No': -3.7702641, ' Yes': -7.688206}
{' No': -0.032890085, '\n': -4.907078, ' ': -8.0897875, 'No': -3.724378, ' Yes': -7.7571197}
{' No': -0.014200938, 'No': -4.8229184, ' Yes': -5.3218446, '\n': -6.850834, ' ': -9.68651}
{' No': -0.027368242, '\n': -4.983337, ' ': -8.258036, 'No': -4.093835, ' Yes': -5.7632556}
{' No': -0.25368938, '\n': -3.2461839, 'No': -4.773314, ' Yes': -1.7671267, 'Yes': -5.7119927}
{' No': -0.014226454, 'No': -4.551046, '\n': -6.0327277, ' Yes': -7.3283954, ' no': -8.702333}
{' No': -0.03106137, 'No': -3.938177, '\n': -4.625416, ' Yes': -7.522652, ' ': -7.7831435}
{' No': -0.068668865, 'No': -3.3028283, '\n': -3.800028, ' Yes': -5.0852914, ' ': -7.4323487}
{' No': -0.02005779, '\n': -5.522592, ' ': -8.4532585, 'No': -4.447515, ' Yes': -5.555795}
{' No': -0.022647966, '\n': -5.06933, ' ': -8.228275, 'No': -4.195986, ' Yes': -7.194805}
{' No': -0.46018612, '\n': -1.5000173, 'No': -2.4870281, ' Unfortunately': -3.4269028, ' Yes': -4.4975014}
{' No': -0.13000207, ' Not': -6.1506042, '\n': -3.5044582, 'No': -2.5284452, ' Unfortunately': -4.880425}
{' No': -0.26795244, ' Not': -5.492586, '\n': -2.2207932, 'No': -2.399819, ' Unfortunately': -3.6728039}
{' No': -0.21180348, '\n': -2.2038727, 'No': -2.8707676, ' Unfortunately': -4.1070633, ' ': -5.6128254}
{' No': -0.14643714, '\n': -2.9234853, 'No': -3.0110326, ' Yes': -4.4938073, ' Unfortunately': -4.1944814}
{' No': -0.30347648, '\n': -1.7763501, 'No': -2.858021, ' Yes': -4.115694, ' Unfortunately': -4.538376}
{' No': -0.17928132, '\n': -2.6318073, 'No': -4.0719147, ' Yes': -2.6459045, 'Yes': -6.4888687}
{' No': -0.013613228, 'No': -4.6136193, '\n': -5.786503, ' Yes': -8.603378, ' no': -9.260596}
{' No': -0.060551863, '\n': -4.246476, ' ': -7.804197, 'No': -3.169913, ' Yes': -7.00175}
{' No': -0.10431196, 'No': -2.8795118, '\n': -3.4558628, ' Yes': -4.606099, ' ': -7.4229684}
{' No': -0.036866777, '\n': -6.000545, 'No': -3.937324, ' Yes': -4.284061, 'Yes': -8.536521}
{' No': -0.029084267, 'No': -3.6343548, '\n': -6.2261357, ' Yes': -8.837649, ' ': -9.371794}
{' No': -0.14150435, '\n': -2.8165894, 'No': -4.6631584, ' Yes': -2.8209455, 'Yes': -7.0338492}
{' No': -0.026773052, 'No': -4.192201, '\n': -4.6227565, ' Yes': -7.4056273, ' ': -8.313185}
{' No': -0.044243556, '\n': -4.297448, 'No': -3.6073158, ' Yes': -6.837298, ' The': -7.919627}
{' No': -0.08395476, '\n': -3.2700853, 'No': -3.2753646, ' Yes': -5.6193705, ' ': -7.4659424}
{' No': -0.022391682, '\n': -6.3397074, ' ': -9.573737, 'No': -4.120567, ' Yes': -5.5289836}
{' No': -0.026382167, 'No': -3.7733378, '\n': -5.9038634, ' Yes': -8.431391, ' ': -9.629146}
{' No': -0.042980447, '\n': -4.009243, ' ': -7.5668597, 'No': -4.2760468, ' Yes': -4.76635}
{' No': -0.04412905, '\n': -5.7880845, ' ': -8.496643, 'No': -3.227385, ' Yes': -9.621016}
{' No': -0.050265387, ' Not': -9.178599, '\n': -4.5340295, ' ': -7.5137525, 'No': -3.2890997}
{' No': -0.0644715, 'No': -3.132621, '\n': -4.0651426, ' Yes': -6.9542203, ' ': -7.660565}
{' No': -0.023101192, 'No': -4.2995863, ' Yes': -5.0463343, '\n': -5.9543257, ' ': -9.071561}
{' No': -0.037601624, 'No': -3.5616682, '\n': -5.019172, ' Yes': -6.403602, ' ': -8.673431}
{' No': -0.068262026, '\n': -3.2938576, ' Yes': -4.094406, 'No': -4.5587516, ' ': -7.2934628}
{' No': -0.024196805, 'No': -4.0973167, '\n': -5.051182, ' Yes': -8.074287, ' ': -8.100524}
{' No': -0.0337149, '\n': -4.326308, ' ': -7.779836, 'No': -3.9618003, ' Yes': -8.343661}
{' No': -0.036827877, 'No': -3.723248, '\n': -4.514487, ' Yes': -7.358649, ' ': -8.182556}
{' No': -0.025617303, '\n': -5.9116874, ' ': -9.000216, 'No': -4.1025558, ' Yes': -5.152595}
{' No': -0.02426184, 'No': -3.9222164, '\n': -5.6146927, ' Yes': -7.9332314, ' ': -9.174135}
{' No': -0.14614688, '\n': -3.4529932, ' ': -6.7934756, 'No': -2.289532, ' Unfortunately': -7.321701}
{' No': -0.083105005, 'No': -2.628479, '\n': -5.033033, ' ': -7.672285, ' Unfortunately': -8.258717}
{' No': -0.10489584, '\n': -3.9196024, ' ': -7.1467314, 'No': -2.5534945, ' Unfortunately': -7.3617544}
{' No': -0.12273696, '\n': -4.121878, ' ': -7.3724833, 'No': -2.3293657, ' Unfortunately': -7.5567102}
{' No': -0.124352254, '\n': -4.2510953, ' ': -7.4022813, 'No': -2.2906406, ' Unfortunately': -8.042999}
{' No': -0.13623169, 'No': -2.2244694, '\n': -4.008123, ' ': -7.463081, ' Unfortunately': -8.300691}
{' No': -0.5897445, '\n': -2.0376813, 'No': -2.4379919, ' Yes': -1.6806507, ' Unfortunately': -4.3010807}
{' No': -0.21782902, '\n': -2.7208385, 'No': -2.34593, ' Yes': -4.3057423, ' Unfortunately': -4.3806705}
{' No': -0.44352913, '\n': -1.8959104, 'No': -2.3231678, ' Yes': -2.6048794, ' Unfortunately': -4.131162}
