{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' #': -6.7301106, ' 1': -2.2085545, ' 2': -0.15307552, ' one': -6.7446885, ' two': -3.5510268}
{' #': -6.6717143, ' 1': -2.1286993, ' 2': -0.16183747, ' one': -6.7436867, ' two': -3.6163719}
{' number': -6.947374, ' #': -6.7731133, ' 1': -2.6307616, ' 2': -0.112434, ' two': -3.4651675}
{' #': -6.648663, ' 1': -2.2329032, ' 2': -0.14924507, ' one': -6.825225, ' two': -3.579789}
{' #': -6.7878532, ' 1': -2.3531375, ' 2': -0.1371914, ' one': -6.8647113, ' two': -3.507732}
{' #': -6.6996474, ' 1': -1.8732412, ' 2': -0.20405953, ' one': -6.5126243, ' two': -3.606901}
{' #': -6.754712, ' 1': -1.6426561, ' 2': -0.2513882, ' one': -6.28458, ' two': -3.69828}
{' #': -6.6979227, ' 1': -1.5957521, ' 2': -0.2630897, ' one': -6.295883, ' two': -3.7111964}
{' #': -6.6356187, ' 1': -1.1101483, ' 2': -0.4393681, ' one': -5.819184, ' two': -3.8811862}
{' #': -6.7021217, ' 1': -1.4976138, ' 2': -0.28855708, ' one': -6.207979, ' two': -3.785381}
{' #': -6.7381067, ' 1': -1.6751167, ' 2': -0.24369541, ' one': -6.3301797, ' two': -3.691075}
{' #': -6.782311, ' 1': -1.7440591, ' 2': -0.22750339, ' one': -6.469745, ' two': -3.6888294}
{' #': -6.7757626, ' 1': -1.7828853, ' 2': -0.21853521, ' one': -6.5013175, ' two': -3.7102973}
{' #': -6.5833097, ' 1': -1.1216729, ' 2': -0.43469942, ' one': -5.7949057, ' two': -3.8509018}
{' #': -6.676633, ' 1': -1.6467233, ' 2': -0.24958274, ' one': -6.3345537, ' two': -3.7264464}
{' #': -6.635112, ' 1': -1.1190968, ' 2': -0.43429562, ' one': -5.8691897, ' two': -3.8905752}
{' #': -6.685165, ' 1': -1.6410389, ' 2': -0.2506028, ' one': -6.3746047, ' two': -3.7379987}
{' 2': -0.26916736, ' 1': -1.5613674, ' two': -3.8126318, ' one': -6.376585, ' #': -6.6861143}
{' #': -6.6028886, ' 1': -1.5704675, ' 2': -0.2695775, ' one': -6.185348, ' two': -3.7374537}
{' #': -6.66557, ' 1': -1.435744, ' 2': -0.30572772, ' one': -6.195623, ' two': -3.8549638}
{' #': -6.6986933, ' 1': -1.9518683, ' 2': -0.18836808, ' one': -6.5755415, ' two': -3.6493282}
{' 2': -0.29259533, ' 1': -1.4793171, ' two': -3.8279748, ' one': -6.314503, ' #': -6.687856}
{' number': -6.8594565, ' #': -6.729739, ' 1': -2.5131404, ' 2': -0.12019797, ' two': -3.539418}
{' #': -6.7315717, ' 1': -1.685653, ' 2': -0.2376549, ' one': -6.487253, ' two': -3.7930024}
{' number': -6.62274, ' #': -6.7260594, ' 1': -2.8451085, ' 2': -0.09150938, ' two': -3.6521764}
{' number': -6.6792703, ' #': -6.8877378, ' 1': -3.5090032, ' 2': -0.06361824, ' two': -3.5452752}
{' number': -6.6058116, ' #': -6.8722305, ' 1': -3.301396, ' 2': -0.069670595, ' two': -3.5945387}
{' number': -6.686782, ' #': -6.8721757, ' 1': -3.3897386, ' 2': -0.06659011, ' two': -3.5819135}
{' number': -6.5953994, ' #': -6.905852, ' 1': -3.3000143, ' 2': -0.06918516, ' two': -3.6118333}
{' number': -6.47384, ' 1': -2.3404686, ' 2': -0.1385585, ' one': -6.520814, ' two': -3.5526645}
{' number': -6.629016, ' 1': -2.5066056, ' 2': -0.12140707, ' one': -6.710681, ' two': -3.5428183}
{' 2': -0.1740331, ' 1': -2.0411537, ' two': -3.6739798, ' one': -6.4688473, ' number': -6.4784713}
{' number': -6.4818883, ' 1': -2.0811868, ' 2': -0.16832788, ' one': -6.4400163, ' two': -3.6631548}
{' number': -6.466913, ' 1': -2.102523, ' 2': -0.1650746, ' one': -6.462926, ' two': -3.6680367}
{' number': -6.563849, ' 1': -1.9632459, ' 2': -0.18578963, ' one': -6.3770447, ' two': -3.7055438}
{' number': -6.4860053, ' 1': -1.7666142, ' 2': -0.22295502, ' one': -6.1351123, ' two': -3.735269}
{' number': -6.4555507, ' 1': -2.4281328, ' 2': -0.1285322, ' one': -6.6374717, ' two': -3.573196}
{' 2': -0.18321288, ' 1': -1.981461, ' two': -3.6990383, ' number': -6.3794703, ' one': -6.402564}
{' number': -6.3797774, ' #': -6.718274, ' 1': -2.6716437, ' 2': -0.10654033, ' two': -3.5806308}
{' number': -6.506549, ' 1': -2.2134914, ' 2': -0.14887424, ' one': -6.633019, ' two': -3.7011065}
{' number': -6.458111, ' 1': -2.4467516, ' 2': -0.12741388, ' one': -6.6434965, ' two': -3.5472593}
{' 2': -0.22939871, ' 1': -1.741581, ' two': -3.7085037, ' one': -6.153895, ' number': -6.4037337}
{' 2': -0.1908943, ' 1': -1.9521896, ' two': -3.6159678, ' one': -6.229325, ' number': -6.4863787}
{' number': -6.483181, ' 1': -1.7686121, ' 2': -0.22330506, ' one': -6.1813087, ' two': -3.7072508}
{' number': -6.381734, ' 1': -1.6110989, ' 2': -0.2594181, ' one': -6.0529933, ' two': -3.7598946}
{' number': -6.4821157, ' 1': -1.4984959, ' 2': -0.28935894, ' one': -5.915249, ' two': -3.8122623}
{' number': -6.4150705, ' 1': -1.6292679, ' 2': -0.25551358, ' one': -6.0388966, ' two': -3.729623}
{' 2': -0.20048366, ' 1': -1.8974403, ' two': -3.6177158, ' one': -6.293943, ' number': -6.4176283}
{' 2': -0.1839041, ' 1': -1.995784, ' two': -3.603971, ' one': -6.35508, ' number': -6.3596077}
{' 2': -0.45395082, ' 1': -1.0770243, ' two': -4.045416, ' one': -5.616811, ' number': -6.5010595}
{' number': -6.4880013, ' 1': -1.8821403, ' 2': -0.2011941, ' one': -6.226201, ' two': -3.687278}
{' number': -6.393897, ' 1': -1.5478414, ' 2': -0.27861556, ' one': -5.901329, ' two': -3.7066243}
{' number': -6.529265, ' 1': -2.2642553, ' 2': -0.14542149, ' one': -6.5141053, ' two': -3.6075299}
{' 2': -0.23987973, ' 1': -1.6962892, ' two': -3.7073689, ' one': -6.0943623, ' number': -6.4046664}
{' number': -6.3696623, ' 1': -1.9848198, ' 2': -0.18274358, ' one': -6.359127, ' two': -3.7064002}
{' number': -6.4609194, ' 1': -1.6047179, ' 2': -0.25900725, ' one': -6.0973263, ' two': -3.818005}
{' number': -6.434905, ' 1': -1.836948, ' 2': -0.20925856, ' one': -6.2564383, ' two': -3.7074902}
{' number': -6.399844, ' 1': -1.9449477, ' 2': -0.19188641, ' one': -6.3210745, ' two': -3.6241336}
{' number': -6.380054, ' #': -6.6029716, ' 1': -2.520201, ' 2': -0.11667463, ' two': -3.6708186}
{' number': -6.5781074, ' 1': -1.3530638, ' 2': -0.3350793, ' one': -5.8814692, ' two': -3.886528}
{' 2': -0.0777223, ' 1': -3.1956346, ' two': -3.513567, ' #': -6.302511, ' number': -6.50822}
{' number': -6.6008234, ' #': -6.45963, ' 1': -3.4499464, ' 2': -0.06594385, ' two': -3.5549326}
{' number': -6.545349, ' #': -6.445842, ' 1': -3.4076173, ' 2': -0.06638135, ' two': -3.593376}
{' number': -6.4778395, ' #': -6.4052086, ' 1': -3.0582561, ' 2': -0.081641965, ' two': -3.593187}
{' 2': -0.06065363, ' two': -3.559137, ' 1': -3.6183088, ' number': -6.4381614, ' #': -6.5170455}
{' number': -6.49553, ' #': -6.376321, ' 1': -2.7843544, ' 2': -0.100339234, ' two': -3.5251172}
{' number': -6.5958514, ' #': -6.467144, ' 1': -2.7900164, ' 2': -0.09771366, ' two': -3.5831013}
{' number': -6.4284177, ' #': -6.3557878, ' 1': -2.758088, ' 2': -0.10294447, ' two': -3.5050323}
{' 2': -0.09822142, ' 1': -2.7990727, ' two': -3.5554526, ' #': -6.373077, ' number': -6.5574784}
{' number': -6.472973, ' #': -6.4716725, ' 1': -2.922977, ' 2': -0.0909097, ' two': -3.535545}
{' 2': -0.112463415, ' 1': -2.6359942, ' two': -3.4969313, ' #': -6.3592687, ' number': -6.5283093}
{' number': -6.5590987, ' #': -6.385161, ' 1': -2.242296, ' 2': -0.14723189, ' two': -3.6448514}
{' number': -6.499338, ' #': -6.371449, ' 1': -2.4716175, ' 2': -0.1238581, ' two': -3.5911129}
{' number': -6.4380755, ' #': -6.376956, ' 1': -2.6319463, ' 2': -0.107968956, ' two': -3.647031}
{' number': -6.3989997, ' #': -6.449855, ' 1': -2.9375362, ' 2': -0.09123822, ' two': -3.5037785}
{' 2': -0.08965977, ' 1': -3.0048265, ' two': -3.4503546, ' #': -6.303933, ' number': -6.352453}
{' number': -6.4845386, ' #': -6.4007015, ' 1': -2.8683765, ' 2': -0.09283729, ' two': -3.5834055}
{' number': -6.4198823, ' #': -6.419619, ' 1': -2.4159906, ' 2': -0.12873271, ' two': -3.610994}
{' number': -6.4901156, ' #': -6.430249, ' 1': -2.1540837, ' 2': -0.15779173, ' two': -3.6782327}
{' number': -6.497788, ' #': -6.403954, ' 1': -2.0898864, ' 2': -0.16428836, ' two': -3.7650154}
{' #': -6.380625, ' 1': -1.8942667, ' 2': -0.19934717, ' one': -6.3022046, ' two': -3.689324}
{' number': -6.459185, ' #': -6.4168305, ' 1': -2.098721, ' 2': -0.16404386, ' two': -3.7329335}
{' 2': -0.16066347, ' 1': -2.1427422, ' two': -3.6371458, ' number': -6.4247355, ' #': -6.458888}
{' number': -6.48657, ' #': -6.434238, ' 1': -2.310104, ' 2': -0.13844827, ' two': -3.6635296}
{' 2': -0.12533575, ' 1': -2.4152393, ' two': -3.720966, ' #': -6.434138, ' number': -6.4974866}
{' #': -6.29595, ' 1': -1.7720901, ' 2': -0.22297597, ' one': -6.210151, ' two': -3.7187185}
{' number': -6.447989, ' #': -6.3449736, ' 1': -2.1559336, ' 2': -0.15616257, ' two': -3.7315583}
{' #': -6.275097, ' 1': -1.7239738, ' 2': -0.23189883, ' one': -6.2639384, ' two': -3.7729752}
{' number': -6.481755, ' #': -6.418032, ' 1': -2.3764565, ' 2': -0.13150516, ' two': -3.6556005}
{' number': -6.488958, ' #': -6.4015846, ' 1': -2.3748512, ' 2': -0.13169296, ' two': -3.6544778}
{' number': -6.468589, ' #': -6.31962, ' 1': -2.7999275, ' 2': -0.09674938, ' two': -3.6092236}
{' #': -6.4032116, ' 1': -1.9069942, ' 2': -0.19230129, ' one': -6.469569, ' two': -3.8329244}
{' number': -6.4429784, ' #': -6.421617, ' 1': -2.1342285, ' 2': -0.16130519, ' two': -3.6570706}
{' number': -6.532633, ' #': -6.4178953, ' 1': -2.584499, ' 2': -0.112460546, ' two': -3.620784}
{' number': -6.510379, ' #': -6.456392, ' 1': -4.0794153, ' 2': -0.056719806, ' two': -3.359702}
{' number': -6.710031, ' #': -6.3872437, ' 1': -2.432639, ' 2': -0.12642373, ' two': -3.6222234}
{' number': -6.580106, ' #': -6.264866, ' 1': -2.7645707, ' 2': -0.10046055, ' two': -3.5636446}
{' number': -6.742303, ' #': -6.5064073, ' 1': -3.5467086, ' 2': -0.062476482, ' two': -3.555755}
{' number': -6.6318865, ' #': -6.421517, ' 1': -3.290668, ' 2': -0.070466526, ' two': -3.6014397}
{' number': -6.6709533, ' #': -6.365029, ' 1': -2.7391982, ' 2': -0.09842832, ' two': -3.6771195}
{' number': -6.6642823, ' #': -6.571483, ' 1': -3.837963, ' 2': -0.053157717, ' two': -3.6071088}
{' number': -6.5980153, ' #': -6.2573266, ' 1': -2.5858045, ' 2': -0.1126199, ' two': -3.6186984}
{' number': -6.714547, ' #': -6.4987283, ' 1': -2.6556497, ' 2': -0.10503626, ' two': -3.6582778}
{' #': -6.2926784, ' 1': -2.0670238, ' 2': -0.17145325, ' one': -6.5844016, ' two': -3.6407752}
{' #': -6.3490543, ' 1': -2.2122931, ' 2': -0.14958525, ' one': -6.7437363, ' two': -3.6777372}
{' number': -6.566512, ' #': -6.3865337, ' 1': -2.2647011, ' 2': -0.14318018, ' two': -3.6849089}
{' number': -6.6128035, ' #': -6.362762, ' 1': -2.4852803, ' 2': -0.12453977, ' two': -3.5253954}
{' number': -6.652232, ' #': -6.378577, ' 1': -2.1103177, ' 2': -0.16068125, ' two': -3.7784941}
{' 2': -0.15468064, ' 1': -2.1715453, ' two': -3.6926425, ' #': -6.3634667, ' number': -6.65162}
{' number': -6.5336595, ' #': -6.3178253, ' 1': -2.2706954, ' 2': -0.14156601, ' two': -3.7195652}
{' number': -6.5883627, ' #': -6.4830747, ' 1': -2.9410503, ' 2': -0.08712466, ' two': -3.6140792}
{' 2': -0.11263131, ' 1': -2.5843778, ' two': -3.6242645, ' #': -6.2624593, ' number': -6.5572047}
{' number': -6.5430593, ' #': -6.3386145, ' 1': -2.4415045, ' 2': -0.12613387, ' two': -3.6091928}
{' #': -6.2912784, ' 1': -1.6764201, ' 2': -0.24153319, ' one': -6.361002, ' two': -3.8017633}
{' #': -6.3664675, ' 1': -1.8765737, ' 2': -0.20104802, ' one': -6.428016, ' two': -3.7243078}
{' #': -6.3156843, ' 1': -1.751935, ' 2': -0.22391622, ' one': -6.4219275, ' two': -3.8084497}
{' 2': -0.28711244, ' 1': -1.4898349, ' two': -3.9660466, ' one': -6.2642016, ' #': -6.3155236}
{' #': -6.3255234, ' 1': -1.6617774, ' 2': -0.24428354, ' one': -6.2966347, ' two': -3.8326206}
{' #': -6.3595586, ' 1': -1.5588863, ' 2': -0.27131924, ' one': -6.1921625, ' two': -3.8245265}
{' 2': -0.18478478, ' 1': -1.9617145, ' two': -3.7449994, ' #': -6.396899, ' one': -6.6111865}
{' number': -6.6311803, ' #': -6.4929895, ' 1': -2.3731284, ' 2': -0.12912335, ' two': -3.7304742}
{' #': -6.2677217, ' 1': -1.6638552, ' 2': -0.2436186, ' one': -6.2905154, ' two': -3.8423028}
{' number': -6.6065626, ' #': -6.4046006, ' 1': -2.3500226, ' 2': -0.1298364, ' two': -3.8052702}
{' #': -6.171476, ' 1': -1.5744911, ' 2': -0.26734704, ' one': -6.2520056, ' two': -3.825527}
{' number': -6.5376782, ' #': -6.329824, ' 1': -2.07796, ' 2': -0.16732126, ' two': -3.723178}
{' number': -6.595098, ' #': -6.270314, ' 1': -2.1127067, ' 2': -0.16063441, ' two': -3.779029}
{' number': -6.6716843, ' #': -6.4295387, ' 1': -2.862677, ' 2': -0.088675216, ' two': -3.7279153}
{' #': -6.304487, ' 1': -1.8393803, ' 2': -0.20311363, ' one': -6.5606904, ' two': -3.8993604}
{' 2': -0.18089871, ' 1': -1.9839706, ' two': -3.7626076, ' #': -6.2541094, ' one': -6.612088}
{' number': -6.754516, ' #': -6.5150075, ' 1': -2.416752, ' 2': -0.12187787, ' two': -3.823116}
{' number': -6.668937, ' #': -6.4686537, ' 1': -3.3964686, ' 2': -0.061855074, ' two': -3.766849}
{' 2': -0.09206465, ' 1': -2.7847733, ' two': -3.7789578, ' #': -6.514754, ' number': -6.89826}
{' number': -6.88105, ' #': -6.398133, ' 1': -3.0508194, ' 2': -0.077745624, ' two': -3.7225208}
{' number': -6.772778, ' #': -6.373657, ' 1': -3.3000245, ' 2': -0.06928896, ' two': -3.624228}
{' number': -6.7926316, ' #': -6.4944525, ' 1': -3.1151147, ' 2': -0.07563085, ' two': -3.6797488}
{' number': -6.8817825, ' #': -6.500779, ' 1': -2.9708369, ' 2': -0.08266506, ' two': -3.6937602}
{' number': -6.8882604, ' #': -6.545482, ' 1': -3.725723, ' 2': -0.05420877, ' two': -3.6575754}
{' 2': -0.100354455, ' 1': -2.7136738, ' two': -3.6800737, ' #': -6.2632074, ' number': -6.7329698}
{' number': -6.9130774, ' #': -6.4822903, ' 1': -2.5518806, ' 2': -0.1133353, ' two': -3.6632984}
{' 2': -0.13407648, ' 1': -2.3309758, ' two': -3.7165177, ' #': -6.4122095, ' number': -6.745324}
{' number': -6.737837, ' #': -6.404546, ' 1': -2.2672753, ' 2': -0.14245462, ' two': -3.686497}
{' number': -6.7407045, ' #': -6.476416, ' 1': -2.415347, ' 2': -0.12530987, ' two': -3.7045867}
{' 2': -0.13120338, ' 1': -2.3825119, ' two': -3.6301541, ' #': -6.3631024, ' number': -6.737644}
{' #': -6.424479, ' 1': -1.8707769, ' 2': -0.19748673, ' one': -6.59659, ' two': -3.8648162}
{' number': -6.760349, ' #': -6.434624, ' 1': -2.3963246, ' 2': -0.12830414, ' two': -3.6697507}
{' 2': -0.123815194, ' 1': -2.4274364, ' two': -3.72039, ' #': -6.379222, ' number': -6.73856}
{' number': -6.7995653, ' #': -6.4871483, ' 1': -2.8897803, ' 2': -0.08891513, ' two': -3.6468184}
{' number': -6.702283, ' #': -6.345986, ' 1': -2.3869698, ' 2': -0.12892471, ' two': -3.691415}
{' number': -6.664002, ' #': -6.428261, ' 1': -2.7539246, ' 2': -0.09933194, ' two': -3.607051}
{' 2': -0.14158791, ' 1': -2.2618806, ' two': -3.7313478, ' #': -6.430051, ' number': -6.7899103}
{' #': -6.469241, ' 1': -2.1364238, ' 2': -0.15732849, ' one': -6.7348523, ' two': -3.7470844}
{' #': -6.4291515, ' 1': -1.995064, ' 2': -0.17723304, ' one': -6.6973796, ' two': -3.799353}
{' #': -6.406216, ' 1': -1.5646387, ' 2': -0.2643191, ' one': -6.4198484, ' two': -3.9880054}
{' #': -6.4333816, ' 1': -1.8918011, ' 2': -0.1933587, ' one': -6.631631, ' two': -3.8762693}
{' #': -6.4315715, ' 1': -1.85781, ' 2': -0.20234393, ' one': -6.524525, ' two': -3.7862477}
{' #': -6.459293, ' 1': -2.022497, ' 2': -0.17382975, ' one': -6.702457, ' two': -3.760517}
{' #': -6.477562, ' 1': -2.0972948, ' 2': -0.16157627, ' one': -6.7737517, ' two': -3.7942264}
{' #': -6.3318195, ' 1': -1.5937277, ' 2': -0.25925887, ' one': -6.3393536, ' two': -3.8970954}
{' #': -6.3633127, ' 1': -2.1282349, ' 2': -0.15708554, ' one': -6.7573433, ' two': -3.8062913}
{' #': -6.320792, ' 1': -1.645935, ' 2': -0.24724773, ' one': -6.364329, ' two': -3.8445034}
{' number': -6.7416253, ' #': -6.4500427, ' 1': -2.2499187, ' 2': -0.14309779, ' two': -3.7334504}
{' number': -6.881725, ' #': -6.455323, ' 1': -2.5815995, ' 2': -0.10875449, ' two': -3.73549}
{' number': -6.753425, ' #': -6.3907576, ' 1': -2.1075563, ' 2': -0.15866369, ' two': -3.861142}
{' number': -6.826714, ' #': -6.4208045, ' 1': -2.1330545, ' 2': -0.1549834, ' two': -3.8547306}
{' 2': -0.13023275, ' 1': -2.342284, ' two': -3.8037918, ' #': -6.4497685, ' number': -6.866297}
{' 2': -0.14581242, ' 1': -2.1978412, ' two': -3.8666298, ' #': -6.455944, ' number': -6.8555493}
{' number': -6.902487, ' #': -6.5650487, ' 1': -3.7508986, ' 2': -0.05126411, ' two': -3.7459335}
{' 2': -0.14033203, ' 1': -2.251826, ' two': -3.8082342, ' #': -6.5089774, ' one': -6.929708}
{' number': -6.9654, ' #': -6.628922, ' 1': -2.5313935, ' 2': -0.12373035, ' two': -3.3943486}
{' number': -7.1156583, ' #': -6.7958612, ' 1': -2.8770683, ' 2': -0.09610259, ' two': -3.4204185}
{' 2': -0.08571495, ' 1': -3.05468, ' two': -3.4257987, ' #': -6.87022, ' number': -7.0820527}
{' number': -7.0393767, ' #': -6.8059707, ' 1': -2.5647328, ' 2': -0.117476925, ' two': -3.4718049}
{' 2': -0.07520896, ' 1': -3.2492428, ' two': -3.4661636, ' #': -6.8609715, ' number': -7.057096}
{' 2': -0.19781618, ' 1': -1.945598, ' two': -3.4257457, ' one': -6.4585633, ' #': -6.5857954}
{' #': -6.775001, ' 1': -2.2384477, ' 2': -0.15112157, ' one': -6.7950363, ' two': -3.4929872}
{' #': -6.6645327, ' 1': -1.9310757, ' 2': -0.19823988, ' one': -6.516568, ' two': -3.4726045}
{' #': -6.690537, ' 1': -1.98303, ' 2': -0.188297, ' one': -6.548383, ' two': -3.4965227}
{' #': -6.6786094, ' 1': -1.9148422, ' 2': -0.198898, ' one': -6.5578785, ' two': -3.533813}
{' 2': -0.19725576, ' 1': -1.9570482, ' two': -3.38841, ' one': -6.401325, ' #': -6.664562}
{' #': -6.762809, ' 1': -1.8287194, ' 2': -0.21298157, ' one': -6.487565, ' two': -3.59036}
{' #': -6.7424326, ' 1': -2.0684993, ' 2': -0.17341119, ' one': -6.68208, ' two': -3.52616}
{' #': -6.6944976, ' 1': -2.03274, ' 2': -0.17844832, ' one': -6.677773, ' two': -3.5449758}
{' number': -6.9109674, ' #': -6.7366586, ' 1': -2.5033646, ' 2': -0.12518314, ' two': -3.42156}
{' #': -6.5908785, ' 1': -2.1481376, ' 2': -0.16228999, ' one': -6.790008, ' two': -3.5240793}
{' 2': -0.1555718, ' 1': -2.2064195, ' two': -3.4848049, ' #': -6.74538, ' one': -6.7687235}
{' #': -6.707804, ' 1': -1.5413809, ' 2': -0.27915284, ' one': -6.320563, ' two': -3.672139}
{' #': -6.7387342, ' 1': -1.502855, ' 2': -0.2915075, ' one': -6.1934175, ' two': -3.6439283}
{' #': -6.7499366, ' 1': -1.4681115, ' 2': -0.30008382, ' one': -6.2343326, ' two': -3.6981647}
{' #': -6.6224003, ' 1': -1.0096573, ' 2': -0.49525288, ' one': -5.7879424, ' two': -3.8730965}
{' #': -6.7433105, ' 1': -1.322873, ' 2': -0.34875944, ' one': -6.065546, ' two': -3.7476737}
{' #': -6.7601476, ' 1': -1.506083, ' 2': -0.29049733, ' one': -6.2083187, ' two': -3.6459184}
{' #': -6.816363, ' 1': -1.4358616, ' 2': -0.31013104, ' one': -6.2385707, ' two': -3.7004414}
{' #': -6.7609363, ' 1': -1.8013979, ' 2': -0.21740794, ' one': -6.5493226, ' two': -3.6219676}
{' #': -6.5150695, ' 1': -0.88052595, ' 2': -0.5811408, ' one': -5.657097, ' two': -3.9105854}
{' 2': -0.23591748, ' 1': -1.7101625, ' two': -3.669816, ' one': -6.4594007, ' #': -6.697718}
{' #': -6.603403, ' 1': -1.1428151, ' 2': -0.42636544, ' one': -5.8955154, ' two': -3.7732892}
{' #': -6.6734624, ' 1': -1.8321326, ' 2': -0.21153855, ' one': -6.5089946, ' two': -3.6182785}
{' #': -6.6415787, ' 1': -1.5396805, ' 2': -0.27955428, ' one': -6.322248, ' two': -3.6794584}
{' #': -6.642405, ' 1': -1.6970983, ' 2': -0.24200684, ' one': -6.299624, ' two': -3.5939758}
{' #': -6.599829, ' 1': -1.0596591, ' 2': -0.4643757, ' one': -5.9396486, ' two': -3.9184198}
{' 2': -0.27748916, ' 1': -1.5451893, ' two': -3.6912653, ' one': -6.3030624, ' #': -6.6764946}
{' #': -6.676792, ' 1': -1.4866159, ' 2': -0.29238117, ' one': -6.3799577, ' two': -3.7539895}
{' number': -6.911683, ' #': -6.7058277, ' 1': -2.2584221, ' 2': -0.14714365, ' two': -3.5391512}
{' 2': -0.19416791, ' 1': -1.8956963, ' two': -3.7633512, ' one': -6.7623305, ' #': -6.822862}
{' number': -6.7837934, ' #': -6.6440907, ' 1': -2.7643316, ' 2': -0.10048652, ' two': -3.5335252}
{' 2': -0.08331884, ' 1': -3.0789852, ' two': -3.4764843, ' #': -6.732924, ' number': -6.821079}
{' 2': -0.11543704, ' 1': -2.549914, ' two': -3.5969431, ' #': -6.641863, ' number': -6.7414417}
{' number': -6.7714396, ' #': -6.81038, ' 1': -2.6699638, ' 2': -0.10552239, ' two': -3.585329}
{' 2': -0.0830155, ' 1': -3.0380363, ' two': -3.546234, ' number': -6.7941465, ' #': -6.858847}
{' #': -6.723799, ' 1': -2.3132074, ' 2': -0.13803475, ' one': -6.771375, ' two': -3.6353414}
{' #': -6.7006874, ' 1': -2.0828137, ' 2': -0.16857195, ' one': -6.546217, ' two': -3.625174}
{' #': -6.519619, ' 1': -1.6692181, ' 2': -0.24493232, ' one': -6.288115, ' two': -3.723259}
{' #': -6.510558, ' 1': -1.9334317, ' 2': -0.19101551, ' one': -6.45646, ' two': -3.6957495}
{' #': -6.5627623, ' 1': -1.8526118, ' 2': -0.20460929, ' one': -6.425367, ' two': -3.736267}
{' #': -6.6853685, ' 1': -2.3548808, ' 2': -0.13453628, ' one': -6.7442327, ' two': -3.6010184}
{' #': -6.521084, ' 1': -1.800873, ' 2': -0.21422803, ' one': -6.397982, ' two': -3.7644048}
{' 2': -0.10871556, ' 1': -2.6517546, ' two': -3.5404189, ' #': -6.675833, ' number': -6.7490416}
{' number': -6.7163506, ' #': -6.6724916, ' 1': -2.501566, ' 2': -0.117139995, ' two': -3.688627}
{' number': -6.6734877, ' #': -6.7214346, ' 1': -2.8405926, ' 2': -0.09542794, ' two': -3.5315719}
{' number': -6.6591454, ' #': -6.5226035, ' 1': -2.2955418, ' 2': -0.1436292, ' two': -3.5443306}
{' number': -6.703325, ' #': -6.6539364, ' 1': -2.706555, ' 2': -0.10466054, ' two': -3.5390494}
{' #': -6.495055, ' 1': -1.8732591, ' 2': -0.20153679, ' one': -6.4604225, ' two': -3.7155764}
{' 2': -0.23271175, ' 1': -1.7149332, ' two': -3.7734907, ' one': -6.307718, ' #': -6.5574718}
{' 2': -0.23782575, ' 1': -1.6880399, ' two': -3.8048782, ' one': -6.3454847, ' #': -6.575818}
{' 2': -0.28277192, ' 1': -1.5217818, ' two': -3.7785661, ' one': -6.145124, ' #': -6.4602375}
{' #': -6.512973, ' 1': -1.6665919, ' 2': -0.24358967, ' one': -6.289896, ' two': -3.7942355}
{' #': -6.567056, ' 1': -1.5554922, ' 2': -0.27329233, ' one': -6.16296, ' two': -3.770643}
{' #': -6.7270126, ' 1': -2.1769536, ' 2': -0.1545765, ' one': -6.6893334, ' two': -3.6470003}
{' 2': -0.20733875, ' 1': -1.8394397, ' two': -3.7242455, ' one': -6.4390244, ' #': -6.6844416}
{' #': -6.519852, ' 1': -1.3582234, ' 2': -0.33065268, ' one': -6.116384, ' two': -3.941954}
{' #': -6.6179533, ' 1': -2.0937998, ' 2': -0.16567637, ' one': -6.570781, ' two': -3.6758006}
{' #': -6.449118, ' 1': -1.3131051, ' 2': -0.3499875, ' one': -6.0105176, ' two': -3.8718479}
{' number': -6.6996455, ' #': -6.640952, ' 1': -2.3839645, ' 2': -0.13199231, ' two': -3.5886934}
{' number': -6.763775, ' #': -6.637226, ' 1': -2.3608859, ' 2': -0.13235502, ' two': -3.6526837}
{' number': -6.735732, ' #': -6.649979, ' 1': -2.6307313, ' 2': -0.10678098, ' two': -3.659517}
{' #': -6.709187, ' 1': -1.7810386, ' 2': -0.2173886, ' one': -6.4038754, ' two': -3.784878}
{' 2': -0.13547477, ' 1': -2.3246074, ' two': -3.683071, ' #': -6.6569633, ' number': -6.7344904}
{' 2': -0.13727708, ' 1': -2.2915492, ' two': -3.7493906, ' #': -6.653571, ' number': -6.796245}
{' number': -6.7535095, ' #': -6.660696, ' 1': -2.9012277, ' 2': -0.089750394, ' two': -3.5905895}
{' #': -6.76128, ' 1': -2.2534144, ' 2': -0.14005485, ' one': -6.861265, ' two': -3.7978477}
{' #': -6.567489, ' 1': -2.3983312, ' 2': -0.13429506, ' one': -6.869183, ' two': -3.4668543}
{' #': -6.6101384, ' 1': -2.3406632, ' 2': -0.1376963, ' one': -6.895474, ' two': -3.5451095}
{' number': -6.992543, ' #': -6.8733826, ' 1': -2.621842, ' 2': -0.11081343, ' two': -3.528498}
{' #': -6.650225, ' 1': -1.9397978, ' 2': -0.19434881, ' one': -6.5507894, ' two': -3.5422184}
{' number': -6.9232388, ' #': -6.8646007, ' 1': -2.6382158, ' 2': -0.10929861, ' two': -3.5359683}
{' #': -6.820074, ' 1': -2.04522, ' 2': -0.17577809, ' one': -6.612893, ' two': -3.5638373}
