{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' number': -6.022348, ' 1': -0.9360877, ' 2': -0.58468175, ' one': -4.7929125, ' two': -3.2873774}
{' 2': -0.44183725, ' 1': -1.1830635, ' two': -3.2247696, ' one': -5.0718975, ' number': -6.0428586}
{' number': -5.96893, ' 1': -1.3221409, ' 2': -0.38458547, ' one': -5.2465067, ' two': -3.163846}
{' number': -5.9508777, ' 1': -1.2095046, ' 2': -0.42634353, ' one': -5.172721, ' two': -3.2728286}
{' number': -5.910919, ' 1': -1.4109553, ' 2': -0.35224515, ' one': -5.325889, ' two': -3.1506515}
{' number': -6.0485635, ' 1': -1.5583345, ' 2': -0.30885527, ' one': -5.3971424, ' two': -3.083525}
{' number': -5.924804, ' 1': -1.2545143, ' 2': -0.4101501, ' one': -5.23075, ' two': -3.2024114}
{' number': -5.928397, ' 1': -1.2017335, ' 2': -0.43625706, ' one': -5.105245, ' two': -3.1798005}
{' number': -5.9424515, ' 1': -1.1737994, ' 2': -0.4496249, ' one': -5.0374036, ' two': -3.1896245}
{' number': -5.9919252, ' 1': -0.9261634, ' 2': -0.5846069, ' one': -4.8650813, ' two': -3.3863094}
{' 2': -0.54217803, ' 1': -0.99520004, ' two': -3.3081956, ' one': -4.9203324, ' number': -5.993832}
{' number': -5.9875236, ' 1': -1.1094813, ' 2': -0.47871545, ' one': -4.996899, ' two': -3.2466214}
{' number': -5.9220815, ' 1': -1.3333894, ' 2': -0.38003352, ' one': -5.2647505, ' two': -3.1668704}
{' number': -6.03256, ' 1': -1.2457504, ' 2': -0.41370568, ' one': -5.1796336, ' two': -3.2024417}
{' number': -5.9097457, ' 1': -1.5032635, ' 2': -0.32279584, ' one': -5.426471, ' two': -3.130268}
{' number': -6.0351505, ' 1': -1.3565549, ' 2': -0.37067115, ' one': -5.260951, ' two': -3.1715302}
{' number': -5.9967937, ' 1': -1.4306202, ' 2': -0.34366038, ' one': -5.415658, ' two': -3.164774}
{' number': -5.907071, ' 1': -1.4291639, ' 2': -0.34947875, ' one': -5.335474, ' two': -3.096482}
{' number': -5.9863033, ' 1': -1.6553303, ' 2': -0.28575298, ' one': -5.473334, ' two': -3.0314653}
{' number': -6.011217, ' 1': -1.4141066, ' 2': -0.35294375, ' one': -5.2888722, ' two': -3.1198657}
{' number': -5.9650006, ' 1': -1.6730689, ' 2': -0.27972788, ' one': -5.4858017, ' two': -3.0564418}
{' number': -6.052087, ' 1': -1.4964674, ' 2': -0.3241232, ' one': -5.400769, ' two': -3.1349695}
{' 2': -0.29621968, ' 1': -1.5994879, ' two': -3.1018531, ' one': -5.49585, ' number': -5.9512014}
{' number': -6.0175247, ' 1': -1.7306219, ' 2': -0.2607008, ' one': -5.6488333, ' two': -3.1271043}
{' number': -5.849425, ' 1': -1.9219582, ' 2': -0.22601627, ' one': -5.7945337, ' two': -3.05495}
{' #': -6.1007786, ' 1': -1.3647181, ' 2': -0.35629717, ' one': -5.546663, ' two': -3.3272789}
{' number': -5.8356614, ' 1': -2.2321732, ' 2': -0.18873714, ' one': -5.6465673, ' two': -2.8830216}
{' number': -5.954569, ' 1': -2.2719407, ' 2': -0.177321, ' one': -5.7542243, ' two': -2.9642947}
{' 2': -0.1829985, ' 1': -2.2652988, ' two': -2.906921, ' one': -5.688113, ' number': -5.779756}
{' number': -5.841505, ' 1': -2.1993296, ' 2': -0.18806879, ' one': -5.644831, ' two': -2.957266}
{' 2': -0.16690211, ' 1': -2.3758502, ' two': -2.952312, ' number': -5.6873617, ' one': -5.8515005}
{' number': -5.996867, ' 1': -1.8534251, ' 2': -0.24177864, ' one': -5.3292675, ' two': -3.0216627}
{' number': -5.75798, ' 1': -1.8594469, ' 2': -0.24130002, ' one': -5.4206457, ' two': -3.0237036}
{' 2': -0.27339286, ' 1': -1.7320683, ' two': -2.9740555, ' one': -5.154999, ' number': -5.78027}
{' number': -5.7391, ' 1': -1.6249387, ' 2': -0.2944525, ' one': -5.1673703, ' two': -3.0652196}
{' number': -5.785745, ' 1': -1.640478, ' 2': -0.2918147, ' one': -5.154054, ' two': -3.0376318}
{' number': -5.8860273, ' 1': -1.7045094, ' 2': -0.278793, ' one': -5.13384, ' two': -2.9831045}
{' number': -5.816697, ' 1': -1.755862, ' 2': -0.26575914, ' one': -5.223593, ' two': -3.001259}
{' number': -5.693419, ' 1': -1.9264894, ' 2': -0.24094635, ' one': -5.2678466, ' two': -2.8561616}
{' number': -5.6959906, ' 1': -2.1278105, ' 2': -0.19930933, ' one': -5.556826, ' two': -2.9627905}
{' number': -5.682219, ' 1': -2.0703945, ' 2': -0.21214284, ' one': -5.456576, ' two': -2.9015481}
{' 2': -0.17151834, ' 1': -2.3436127, ' two': -2.9295006, ' one': -5.770789, ' number': -5.8738837}
{' number': -5.732113, ' 1': -1.9180787, ' 2': -0.23928761, ' one': -5.3586893, ' two': -2.8898344}
{' 2': -0.37460703, ' 1': -1.3332022, ' two': -3.2957437, ' one': -5.100922, ' number': -5.76218}
{' 2': -0.22891338, ' 1': -1.9601717, ' two': -2.9246073, ' one': -5.3679256, ' number': -5.757813}
{' number': -5.7966056, ' 1': -1.8964539, ' 2': -0.23405656, ' one': -5.406966, ' two': -3.022493}
{' number': -5.7463565, ' 1': -1.6549048, ' 2': -0.29421178, ' one': -5.104432, ' two': -2.9565346}
{' 2': -0.22184066, ' 1': -1.9914273, ' two': -2.9505072, ' one': -5.4447646, ' number': -5.762955}
{' number': -5.682259, ' 1': -2.07754, ' 2': -0.21133663, ' one': -5.476771, ' two': -2.8958151}
{' number': -5.7511044, ' 1': -2.000624, ' 2': -0.22435586, ' one': -5.4230566, ' two': -2.8905792}
{' number': -5.6687856, ' 1': -2.3392336, ' 2': -0.1762413, ' one': -5.7588596, ' two': -2.879849}
{' 2': -0.16370884, ' 1': -2.4416478, ' two': -2.8878508, ' one': -5.846789, ' number': -5.8517995}
{' number': -5.673809, ' 1': -2.3037229, ' 2': -0.18404266, ' one': -5.6974454, ' two': -2.8334336}
{' 2': -0.1920637, ' 1': -2.24225, ' two': -2.8323643, ' one': -5.594579, ' number': -5.6919813}
{' number': -5.6659493, ' 1': -2.2760441, ' 2': -0.19024958, ' one': -5.5576143, ' two': -2.8005688}
{' number': -5.753138, ' 1': -2.1892946, ' 2': -0.19799612, ' one': -5.5326853, ' two': -2.8468587}
{' number': -5.8117285, ' 1': -2.5499587, ' 2': -0.15238328, ' one': -5.9763503, ' two': -2.8933878}
{' 2': -0.18543282, ' 1': -2.2763257, ' two': -2.8571055, ' one': -5.6470985, ' number': -5.789785}
{' 2': -0.16568467, ' 1': -2.4939642, ' two': -2.7920692, ' number': -5.6882157, ' one': -5.8200583}
{' number': -5.753904, ' 1': -2.5383983, ' 2': -0.15394188, ' one': -5.9385424, ' two': -2.8925874}
{' number': -5.67632, ' #': -6.1962, ' 1': -3.0921102, ' 2': -0.112518705, ' two': -2.9225485}
{' 2': -0.31283504, ' 1': -1.4844581, ' two': -3.413932, ' one': -5.3770676, ' number': -6.120017}
{' number': -5.781053, ' 1': -2.1021552, ' 2': -0.21397167, ' one': -5.6018057, ' two': -2.8056905}
{' number': -5.7760935, ' 1': -1.7710363, ' 2': -0.25359342, ' one': -5.590698, ' two': -3.12492}
{' number': -5.763042, ' 1': -2.0794687, ' 2': -0.21028808, ' one': -5.7029767, ' two': -2.903733}
{' #': -5.7583566, ' 1': -2.0629132, ' 2': -0.21012038, ' one': -5.7047853, ' two': -2.944457}
{' number': -5.729976, ' 1': -1.8330659, ' 2': -0.23836435, ' one': -5.7484674, ' two': -3.1558962}
{' number': -5.786676, ' 1': -1.9283094, ' 2': -0.24456109, ' one': -5.4002123, ' two': -2.802695}
{' number': -5.803095, ' 1': -1.3139986, ' 2': -0.38584468, ' one': -5.2505236, ' two': -3.2142477}
{' 2': -0.2924473, ' 1': -1.6742431, ' two': -2.9158525, ' one': -5.270179, ' number': -5.709417}
{' number': -5.6954913, ' 1': -1.7869338, ' 2': -0.26762965, ' one': -5.349991, ' two': -2.8878574}
{' #': -5.770317, ' 1': -1.8400296, ' 2': -0.2552766, ' one': -5.433139, ' two': -2.8886268}
{' 2': -0.42558122, ' 1': -1.2358783, ' two': -3.157381, ' one': -4.9978886, ' #': -5.6708484}
{' number': -5.7684045, ' 1': -2.1488461, ' 2': -0.20840144, ' one': -5.6081004, ' two': -2.7910142}
{' #': -5.678052, ' 1': -2.2259617, ' 2': -0.19998164, ' one': -5.681431, ' two': -2.767908}
{' 2': -0.20813845, ' 1': -2.1501455, ' two': -2.7955825, ' one': -5.6250005, ' number': -5.6777406}
{' number': -5.6928754, ' #': -5.7611003, ' 1': -2.3283598, ' 2': -0.1819003, ' two': -2.827507}
{' 2': -0.18783675, ' 1': -2.3143682, ' two': -2.7699137, ' number': -5.739857, ' one': -5.764599}
{' number': -5.6346607, ' #': -5.6811776, ' 1': -2.3936484, ' 2': -0.17603523, ' two': -2.810093}
{' 2': -0.22457975, ' 1': -2.05091, ' two': -2.783988, ' one': -5.5351963, ' number': -5.652779}
{' number': -5.7095323, ' 1': -2.1231787, ' 2': -0.20995338, ' one': -5.61243, ' two': -2.8270552}
{' number': -5.7943983, ' 1': -1.0596181, ' 2': -0.5033934, ' one': -4.9774694, ' two': -3.3250256}
{' 2': -0.28620714, ' 1': -1.7011644, ' two': -2.9069345, ' one': -5.3072357, ' #': -5.721829}
{' number': -5.7502146, ' 1': -2.104009, ' 2': -0.21118642, ' one': -5.628129, ' two': -2.843642}
{' 2': -0.20391831, ' 1': -2.1686075, ' two': -2.8168025, ' number': -5.6798334, ' one': -5.6831603}
{' #': -5.774856, ' 1': -2.0973012, ' 2': -0.21420647, ' one': -5.6263514, ' two': -2.8138747}
{' number': -5.699744, ' 1': -1.5025635, ' 2': -0.32335663, ' one': -5.382785, ' two': -3.1553726}
{' number': -5.762481, ' #': -5.701664, ' 1': -2.566153, ' 2': -0.16273765, ' two': -2.7474163}
{' number': -5.6462464, ' #': -5.6877913, ' 1': -2.58638, ' 2': -0.16608228, ' two': -2.687824}
{' number': -5.647574, ' #': -5.662523, ' 1': -2.4490411, ' 2': -0.17979789, ' two': -2.6884897}
{' number': -5.7019114, ' #': -5.705521, ' 1': -2.3628566, ' 2': -0.18456349, ' two': -2.7444065}
{' number': -5.7379575, ' #': -5.7082043, ' 1': -2.4294422, ' 2': -0.17784941, ' two': -2.731625}
{' number': -5.661815, ' #': -5.7417884, ' 1': -2.9753203, ' 2': -0.13540809, ' two': -2.7053657}
{' number': -5.749263, ' #': -5.703834, ' 1': -2.4204283, ' 2': -0.17633721, ' two': -2.7627764}
{' number': -5.6940312, ' #': -5.67577, ' 1': -2.6283746, ' 2': -0.15988405, ' two': -2.7156775}
{' 2': -0.14107528, ' two': -2.7446404, ' 1': -2.8327768, ' number': -5.70892, ' #': -5.8077307}
{' number': -5.5954514, ' #': -5.600487, ' 1': -3.0526292, ' 2': -0.12753509, ' two': -2.7600174}
{' #': -5.8337307, ' 1': -1.8847221, ' 2': -0.22774348, ' one': -5.7510056, ' two': -3.1546652}
{' 2': -0.33843067, ' 1': -1.4482023, ' two': -3.182482, ' one': -5.378771, ' #': -5.7738113}
{' number': -5.7510476, ' 1': -1.6989394, ' 2': -0.2708752, ' one': -5.5316515, ' two': -3.1267328}
{' number': -5.75513, ' 1': -1.3939822, ' 2': -0.35566178, ' one': -5.3991165, ' two': -3.2127118}
{' 2': -0.42544484, ' 1': -1.1916592, ' two': -3.433414, ' one': -5.3448696, ' #': -5.8925653}
{' 2': -0.2017589, ' 1': -2.0085444, ' two': -3.2247498, ' number': -5.8117704, ' #': -5.8600802}
{' 2': -0.4325276, ' 1': -1.1963255, ' two': -3.2905443, ' one': -5.154187, ' #': -5.8742347}
{' number': -5.8534107, ' 1': -1.4348298, ' 2': -0.3349191, ' one': -5.480265, ' two': -3.3113058}
{' 2': -0.56480825, ' 1': -0.9475788, ' two': -3.4714205, ' one': -4.990883, ' number': -5.8593397}
{' number': -5.8206143, ' 1': -1.3757429, ' 2': -0.35798743, ' one': -5.322344, ' two': -3.291583}
{' number': -5.8623085, ' 1': -0.97378856, ' 2': -0.5476316, ' one': -5.0313115, ' two': -3.456424}
{' #': -5.6917768, ' 1': -1.1124028, ' 2': -0.47682455, ' one': -4.996944, ' two': -3.2868297}
{' 2': -0.3882212, ' 1': -1.2903705, ' two': -3.3395188, ' one': -5.259296, ' #': -5.8678427}
{' #': -5.734738, ' 1': -1.511156, ' 2': -0.3178767, ' one': -5.406538, ' two': -3.2070866}
{' number': -5.7738624, ' 1': -1.2513996, ' 2': -0.40571353, ' one': -5.2772994, ' two': -3.3277373}
{' 2': -0.23340529, ' 1': -1.8564273, ' two': -3.1663024, ' one': -5.7089286, ' number': -5.763597}
{' #': -5.7724776, ' 1': -1.4662964, ' 2': -0.3350196, ' one': -5.3418803, ' two': -3.1536725}
{' number': -5.7448144, ' 1': -1.5033296, ' 2': -0.3191332, ' one': -5.425864, ' two': -3.2186694}
{' 2': -0.38415453, ' 1': -1.3124744, ' two': -3.2529538, ' one': -5.3256807, ' number': -5.7809315}
{' #': -5.803613, ' 1': -1.1878606, ' 2': -0.4348679, ' one': -5.2095313, ' two': -3.3237762}
{' 2': -0.4964953, ' 1': -1.0555774, ' two': -3.4497824, ' one': -5.1502767, ' number': -5.8783064}
{' 2': -0.45381397, ' 1': -1.1539692, ' two': -3.2982812, ' one': -5.1133485, ' #': -5.67167}
{' #': -5.715227, ' 1': -1.4064707, ' 2': -0.35031843, ' one': -5.309633, ' two': -3.2468162}
{' number': -5.799175, ' 1': -1.6689634, ' 2': -0.26992884, ' one': -5.642289, ' two': -3.257245}
{' number': -5.8628488, ' 1': -1.5072916, ' 2': -0.31560883, ' one': -5.461251, ' two': -3.244039}
{' number': -5.7796254, ' 1': -1.8342305, ' 2': -0.23422824, ' one': -5.7786126, ' two': -3.224413}
{' 2': -0.33255318, ' 1': -1.471555, ' two': -3.1648169, ' one': -5.3429575, ' #': -5.780691}
{' number': -5.817861, ' 1': -1.8698236, ' 2': -0.22765546, ' one': -5.78716, ' two': -3.2127647}
{' #': -5.7351813, ' 1': -1.3617561, ' 2': -0.36765933, ' one': -5.348548, ' two': -3.2203548}
{' #': -5.7971244, ' 1': -1.8988369, ' 2': -0.2250583, ' one': -5.7291055, ' two': -3.1634755}
{' #': -5.7986236, ' 1': -1.6449721, ' 2': -0.27729818, ' one': -5.5570736, ' two': -3.2412033}
{' number': -5.7717195, ' #': -5.7423615, ' 1': -2.1508431, ' 2': -0.18813577, ' two': -3.0857341}
{' #': -5.7740245, ' 1': -1.8971579, ' 2': -0.22404313, ' one': -5.757246, ' two': -3.1866212}
{' 2': -0.21319215, ' 1': -1.9674244, ' two': -3.1571732, ' #': -5.7298307, ' number': -5.775}
{' 2': -0.19647865, ' 1': -2.0286357, ' two': -3.261212, ' #': -5.8546267, ' number': -5.872891}
{' number': -5.6680045, ' #': -5.671004, ' 1': -2.2909389, ' 2': -0.16859981, ' two': -3.1137674}
{' #': -5.7312856, ' 1': -1.8781223, ' 2': -0.22422585, ' one': -5.851773, ' two': -3.2459083}
{' #': -5.8692746, ' 1': -2.294917, ' 2': -0.17826565, ' one': -5.8787637, ' two': -2.9191654}
{' #': -5.835927, ' 1': -2.2607396, ' 2': -0.17936435, ' one': -5.9171486, ' two': -2.967683}
{' #': -5.7493153, ' 1': -2.1452222, ' 2': -0.19461706, ' one': -5.8618536, ' two': -2.9826798}
{' number': -5.948357, ' #': -5.793211, ' 1': -2.2505133, ' 2': -0.17903751, ' two': -2.9943755}
{' 2': -0.14019941, ' 1': -2.6449199, ' two': -2.9601533, ' #': -5.80062, ' number': -5.8536887}
{' #': -5.808152, ' 1': -1.7550768, ' 2': -0.26730108, ' one': -5.4173284, ' two': -2.9685662}
{' #': -5.781409, ' 1': -2.1146195, ' 2': -0.2027241, ' one': -5.7777486, ' two': -2.927768}
{' #': -5.734074, ' 1': -1.8266821, ' 2': -0.24934685, ' one': -5.5135813, ' two': -3.0065644}
{' #': -5.6850457, ' 1': -2.0366044, ' 2': -0.21306285, ' one': -5.677831, ' two': -2.9674478}
{' #': -5.7611637, ' 1': -2.0410144, ' 2': -0.21066733, ' one': -5.7198763, ' two': -2.9832883}
{' 2': -0.27317703, ' 1': -1.7411356, ' two': -2.945277, ' one': -5.3704586, ' #': -5.6839933}
{' #': -5.7836676, ' 1': -2.0888524, ' 2': -0.20563564, ' one': -5.6940956, ' two': -2.9433827}
{' #': -5.689801, ' 1': -2.221634, ' 2': -0.19155514, ' one': -5.78894, ' two': -2.8780575}
{' number': -5.8730955, ' #': -5.7327657, ' 1': -2.3532443, ' 2': -0.17130262, ' two': -2.9298053}
{' number': -5.830654, ' #': -5.7964706, ' 1': -2.3276632, ' 2': -0.17405488, ' two': -2.9317148}
{' number': -6.0939035, ' #': -5.8509564, ' 1': -2.4797487, ' 2': -0.15084545, ' two': -3.0211837}
{' #': -5.783579, ' 1': -2.1315365, ' 2': -0.19985956, ' one': -5.785373, ' two': -2.932512}
{' 2': -0.19926561, ' 1': -2.1338265, ' two': -2.941039, ' #': -5.743019, ' one': -5.7910004}
{' #': -5.744813, ' 1': -2.0089948, ' 2': -0.21794292, ' one': -5.6484365, ' two': -2.9568725}
{' #': -5.7680063, ' 1': -1.9838963, ' 2': -0.21642695, ' one': -5.720261, ' two': -3.0409603}
{' 2': -0.23408647, ' 1': -1.9264272, ' two': -2.9426281, ' one': -5.585454, ' #': -5.685395}
{' #': -5.696754, ' 1': -2.1058948, ' 2': -0.20403357, ' one': -5.7141604, ' two': -2.9346375}
{' 2': -0.18112601, ' 1': -2.2737372, ' two': -2.9267676, ' #': -5.7209034, ' number': -5.8501334}
{' 2': -0.17288822, ' 1': -2.333428, ' two': -2.9287894, ' #': -5.801567, ' one': -5.9784207}
{' number': -5.8810945, ' #': -5.72802, ' 1': -2.5150669, ' 2': -0.15374842, ' two': -2.9327168}
{' #': -5.696053, ' 1': -2.313913, ' 2': -0.18209428, ' one': -5.847048, ' two': -2.8407896}
{' number': -5.870564, ' #': -5.732339, ' 1': -2.4128394, ' 2': -0.16631685, ' two': -2.901283}
{' number': -5.806112, ' #': -5.6458826, ' 1': -2.2984765, ' 2': -0.18339868, ' two': -2.8568966}
{' number': -5.8877325, ' #': -5.7445407, ' 1': -2.4785917, ' 2': -0.16166273, ' two': -2.8697848}
{' #': -5.724084, ' 1': -2.367002, ' 2': -0.17210722, ' one': -5.926656, ' two': -2.891826}
{' number': -5.8784595, ' #': -5.6877823, ' 1': -2.5714734, ' 2': -0.15470812, ' two': -2.8445807}
{' number': -5.951287, ' #': -5.7169995, ' 1': -2.5891097, ' 2': -0.14930187, ' two': -2.8944116}
{' number': -5.8531194, ' #': -5.6912103, ' 1': -2.5153468, ' 2': -0.15651354, ' two': -2.8956013}
{' number': -5.955787, ' #': -5.7458816, ' 1': -2.6802053, ' 2': -0.13745795, ' two': -2.9563913}
{' number': -5.797104, ' #': -5.726921, ' 1': -3.1283686, ' 2': -0.11276654, ' two': -2.9002767}
{' 2': -0.2056527, ' 1': -1.9556831, ' two': -3.308531, ' #': -5.899911, ' one': -5.968534}
{' 2': -0.4987377, ' 1': -1.0837139, ' two': -3.1404574, ' one': -5.053354, ' number': -6.0361123}
{' number': -6.053717, ' 1': -1.2381945, ' 2': -0.4207124, ' one': -5.2270384, ' two': -3.1336489}
{' number': -5.978725, ' 1': -1.1370951, ' 2': -0.4687926, ' one': -5.1626396, ' two': -3.1514993}
{' number': -6.0596967, ' 1': -1.202513, ' 2': -0.43398127, ' one': -5.2504168, ' two': -3.1750717}
{' number': -5.9325795, ' 1': -1.3589722, ' 2': -0.36971253, ' one': -5.452393, ' two': -3.1498158}
{' number': -6.1146526, ' 1': -0.9811411, ' 2': -0.5577842, ' one': -4.91555, ' two': -3.1989908}
{' 2': -0.45890877, ' 1': -1.1563423, ' two': -3.1518178, ' one': -5.182191, ' number': -5.977229}
{' number': -6.0134974, ' 1': -0.97654957, ' 2': -0.55772066, ' one': -4.9429574, ' two': -3.2484803}
{' number': -5.962239, ' 1': -0.9765399, ' 2': -0.5586761, ' one': -4.9289923, ' two': -3.2445984}
{' number': -6.0137744, ' 1': -1.0059984, ' 2': -0.53739136, ' one': -5.01766, ' two': -3.2582335}
{' #': -5.9630146, ' 1': -0.78232795, ' 2': -0.70547706, ' one': -4.707993, ' two': -3.3574777}
{' #': -5.9401517, ' 1': -0.97055113, ' 2': -0.55746907, ' one': -4.9431977, ' two': -3.3162427}
{' #': -5.8557835, ' 1': -1.0688788, ' 2': -0.5020681, ' one': -5.061645, ' two': -3.2317796}
{' 2': -0.42750314, ' 1': -1.2261977, ' two': -3.141399, ' one': -5.1654534, ' number': -5.886979}
{' 2': -0.38011396, ' 1': -1.3467487, ' two': -3.0799541, ' one': -5.3119235, ' number': -5.9123616}
{' #': -5.9813495, ' 1': -1.1635514, ' 2': -0.45800215, ' one': -5.028968, ' two': -3.1345482}
{' 2': -0.486869, ' 1': -1.1015998, ' two': -3.1754694, ' one': -5.0583353, ' number': -5.977556}
{' 2': -0.46473852, ' 1': -1.152309, ' two': -3.1204412, ' one': -5.0858607, ' number': -5.883131}
{' number': -5.9826236, ' 1': -1.0980589, ' 2': -0.48989502, ' one': -5.032297, ' two': -3.1646442}
{' number': -5.988214, ' 1': -0.9344693, ' 2': -0.58311087, ' one': -4.929742, ' two': -3.3044434}
{' number': -5.9710555, ' 1': -0.9617891, ' 2': -0.5688525, ' one': -4.9046373, ' two': -3.2443151}
{' 2': -0.47169623, ' 1': -1.1345475, ' two': -3.1520057, ' one': -5.038639, ' number': -5.942518}
{' number': -5.914855, ' 1': -1.2789729, ' 2': -0.40703788, ' one': -5.2269735, ' two': -3.0912893}
{' number': -6.007456, ' 1': -1.1345532, ' 2': -0.4691784, ' one': -5.1085296, ' two': -3.1711016}
{' number': -5.906935, ' 1': -1.3051877, ' 2': -0.39260718, ' one': -5.330151, ' two': -3.1371424}
{' #': -6.093818, ' 1': -1.3728882, ' 2': -0.36823237, ' one': -5.316495, ' two': -3.0997727}
{' 2': -0.3559816, ' 1': -1.4088266, ' two': -3.0934386, ' one': -5.400871, ' number': -5.951999}
{' number': -5.914065, ' 1': -1.2740242, ' 2': -0.41034818, ' one': -5.2114606, ' two': -3.081174}
{' number': -5.9676228, ' 1': -1.5041857, ' 2': -0.33061692, ' one': -5.390993, ' two': -3.0040789}
{' number': -5.991063, ' 1': -1.328346, ' 2': -0.38662705, ' one': -5.2604036, ' two': -3.093456}
{' #': -5.8059683, ' 1': -1.1465379, ' 2': -0.4631197, ' one': -5.106655, ' two': -3.186985}
{' number': -6.02552, ' 1': -1.3783625, ' 2': -0.36768132, ' one': -5.3261867, ' two': -3.0844836}
{' #': -5.7889347, ' 1': -1.4656895, ' 2': -0.33673364, ' one': -5.454717, ' two': -3.1015384}
{' #': -5.8719087, ' 1': -1.3135113, ' 2': -0.38381234, ' one': -5.38787, ' two': -3.2208483}
{' number': -5.832223, ' 1': -1.7023246, ' 2': -0.27159947, ' one': -5.7089405, ' two': -3.065543}
{' 2': -0.33017713, ' 1': -1.455816, ' two': -3.221414, ' one': -5.6074185, ' #': -6.1148424}
{' number': -6.0875096, ' 1': -1.6041837, ' 2': -0.29373023, ' one': -5.3892484, ' two': -3.114117}
{' 2': -0.39620632, ' 1': -1.2963221, ' two': -3.1522145, ' one': -5.1203475, ' number': -6.029415}
{' 2': -0.35524225, ' 1': -1.3958879, ' two': -3.1874316, ' one': -5.303949, ' number': -5.933901}
{' number': -6.0396237, ' 1': -1.0005841, ' 2': -0.53450245, ' one': -4.948822, ' two': -3.3639967}
{' number': -5.932866, ' 1': -1.5374599, ' 2': -0.30773696, ' one': -5.4621553, ' two': -3.2031057}
{' number': -6.1064754, ' 1': -1.3914194, ' 2': -0.3628034, ' one': -5.155593, ' two': -3.096913}
{' number': -6.0004573, ' 1': -1.2146003, ' 2': -0.42784184, ' one': -5.100243, ' two': -3.2130322}
{' number': -6.0316114, ' 1': -0.80463094, ' 2': -0.67789924, ' one': -4.727493, ' two': -3.4625385}
{' number': -5.9615407, ' 1': -1.1790807, ' 2': -0.44461986, ' one': -5.009275, ' two': -3.2296712}
{' 2': -0.623482, ' 1': -0.87257236, ' two': -3.4076216, ' one': -4.818386, ' number': -6.0274234}
{' #': -5.9248915, ' 1': -1.0798697, ' 2': -0.50034654, ' one': -4.8733697, ' two': -3.191974}
{' #': -5.9028473, ' 1': -1.233685, ' 2': -0.42355764, ' one': -4.9922376, ' two': -3.172911}
{' number': -5.927493, ' 1': -0.9829318, ' 2': -0.5507685, ' one': -4.892389, ' two': -3.3173127}
{' 2': -0.38690022, ' 1': -1.3152277, ' two': -3.189251, ' one': -5.134554, ' number': -5.916726}
{' number': -5.8918614, ' 1': -1.4918507, ' 2': -0.33257177, ' one': -5.2199664, ' two': -3.0547757}
{' number': -6.0610585, ' 1': -1.4758223, ' 2': -0.32848555, ' one': -5.358294, ' two': -3.1745412}
{' number': -5.869521, ' 1': -1.3447636, ' 2': -0.37983403, ' one': -5.147045, ' two': -3.1255574}
{' 2': -0.53668606, ' 1': -1.0057813, ' two': -3.309147, ' one': -4.8705845, ' number': -5.916078}
{' number': -6.001645, ' 1': -1.065162, ' 2': -0.49982762, ' one': -4.94924, ' two': -3.3080587}
{' number': -5.992653, ' 1': -0.88424253, ' 2': -0.6154418, ' one': -4.7686872, ' two': -3.4095776}
{' number': -5.9924946, ' 1': -0.91989905, ' 2': -0.5922224, ' one': -4.816462, ' two': -3.3487418}
{' number': -5.9708076, ' 1': -1.181262, ' 2': -0.44521043, ' one': -4.989477, ' two': -3.2078655}
{' number': -5.9163847, ' 1': -1.3074429, ' 2': -0.3920205, ' one': -5.1259613, ' two': -3.1563902}
{' number': -5.9446216, ' 1': -1.1099844, ' 2': -0.47823805, ' one': -4.985243, ' two': -3.257537}
{' number': -5.8957577, ' 1': -1.2761596, ' 2': -0.4006675, ' one': -5.155601, ' two': -3.2230592}
{' #': -6.05335, ' 1': -1.5583916, ' 2': -0.30547723, ' one': -5.4081354, ' two': -3.1392648}
{' number': -5.940494, ' 1': -1.5164232, ' 2': -0.32328317, ' one': -5.2867646, ' two': -3.0746183}
{' number': -5.883925, ' 1': -1.3515683, ' 2': -0.3775274, ' one': -5.140213, ' two': -3.1180246}
{' 2': -0.30187947, ' 1': -1.6037307, ' two': -3.0184815, ' one': -5.2925277, ' number': -5.8983793}
{' number': -5.934945, ' 1': -1.3709309, ' 2': -0.3731779, ' one': -5.096325, ' two': -3.0802758}
{' number': -5.9122963, ' 1': -1.6154025, ' 2': -0.2970468, ' one': -5.315895, ' two': -3.0438328}
{' number': -5.9203563, ' 1': -1.545405, ' 2': -0.31590334, ' one': -5.2730927, ' two': -3.055796}
{' number': -5.8601623, ' 1': -1.691242, ' 2': -0.28155494, ' one': -5.3767667, ' two': -2.9824347}
{' number': -5.9048853, ' 1': -1.7493222, ' 2': -0.25914687, ' one': -5.534972, ' two': -3.0987902}
{' number': -5.8056126, ' 1': -1.9619994, ' 2': -0.22030775, ' one': -5.6867266, ' two': -3.0409214}
{' #': -6.075307, ' 1': -1.7972156, ' 2': -0.24016874, ' one': -5.7825723, ' two': -3.2223825}
{' number': -6.2046285, ' 1': -1.3406587, ' 2': -0.38215113, ' one': -5.154722, ' two': -3.0779557}
{' number': -6.1759243, ' 1': -0.9078797, ' 2': -0.6018457, ' one': -4.8528333, ' two': -3.3023193}
{' number': -6.1632605, ' 1': -0.9231542, ' 2': -0.5900567, ' one': -4.922659, ' two': -3.2992334}
