{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' number': -6.4504375, ' 1': -1.7820207, ' 2': -0.24263777, ' one': -6.057559, ' two': -3.1758842}
{' number': -6.733574, ' #': -6.7841444, ' 1': -3.1561093, ' 2': -0.09293036, ' two': -3.1445987}
{' number': -6.7983637, ' #': -6.8852377, ' 1': -3.9355633, ' 2': -0.06830542, ' two': -3.1250641}
{' number': -6.7348146, ' #': -6.98813, ' 1': -3.448509, ' 2': -0.077915005, ' two': -3.206003}
{' number': -6.631835, ' #': -6.8752956, ' 1': -3.1407852, ' 2': -0.09258283, ' two': -3.1679573}
{' number': -6.5920286, ' #': -6.80595, ' 1': -2.5441878, ' 2': -0.12546562, ' two': -3.3310452}
{' number': -6.8061934, ' #': -6.9052935, ' 1': -3.5828912, ' 2': -0.070144504, ' two': -3.286924}
{' number': -6.6404905, ' #': -6.9853206, ' 1': -4.411466, ' 2': -0.05163755, ' two': -3.3333664}
{' number': -6.693243, ' #': -6.917455, ' 1': -3.6706398, ' 2': -0.0770846, ' two': -3.0793407}
{' number': -6.662512, ' 1': -2.4825444, ' 2': -0.13920252, ' one': -6.7623463, ' two': -3.1518636}
{' number': -6.54173, ' 1': -2.099527, ' 2': -0.1832789, ' one': -6.3979154, ' two': -3.2058215}
{' number': -6.6057057, ' 1': -2.1412058, ' 2': -0.17933546, ' one': -6.326489, ' two': -3.1649253}
{' number': -6.8531733, ' #': -6.9634943, ' 1': -4.761178, ' 2': -0.054427214, ' two': -3.16648}
{' number': -6.497495, ' #': -6.6789346, ' 1': -2.5525014, ' 2': -0.13298975, ' two': -3.153076}
{' number': -6.6198444, ' #': -6.8405857, ' 1': -4.1676583, ' 2': -0.0669124, ' two': -3.069218}
{' number': -6.574336, ' #': -6.7563634, ' 1': -2.8882093, ' 2': -0.105774984, ' two': -3.18962}
{' number': -6.5890603, ' 1': -2.1114335, ' 2': -0.17822881, ' one': -6.4237456, ' two': -3.276589}
{' number': -6.4704833, ' 1': -2.1437209, ' 2': -0.17519031, ' one': -6.4515657, ' two': -3.2448123}
{' number': -6.568985, ' #': -6.7111087, ' 1': -2.5122828, ' 2': -0.13603362, ' two': -3.1652086}
{' number': -6.5078907, ' 1': -0.8056677, ' 2': -0.654928, ' one': -5.3126774, ' two': -3.655935}
{' number': -6.612843, ' 1': -0.23860003, ' 2': -1.6774886, ' one': -4.499096, ' two': -4.4554157}
{' number': -6.7221513, ' 1': -1.7339399, ' 2': -0.2527424, ' one': -5.951965, ' two': -3.179008}
{' number': -6.219496, ' 1': -1.5596406, ' 2': -0.29215977, ' one': -5.6881776, ' two': -3.3250518}
{' 2': -0.6816105, ' 1': -0.7753606, ' two': -3.768532, ' one': -5.033503, ' number': -6.103144}
{' number': -6.084112, ' 1': -0.6277338, ' 2': -0.84180117, ' one': -4.780041, ' two': -3.7825093}
{' 2': -0.5850321, ' 1': -0.9035135, ' two': -3.5825028, ' one': -5.134646, ' number': -6.0855174}
{' number': -6.066468, ' 1': -0.9261739, ' 2': -0.5679013, ' one': -5.2140307, ' two': -3.5840526}
{' 2': -0.16088422, ' 1': -2.2549412, ' two': -3.2648783, ' number': -6.2374125, ' one': -6.303069}
{' number': -6.2618775, ' #': -6.5775223, ' 1': -3.205632, ' 2': -0.08907964, ' two': -3.2080786}
{' number': -6.033599, ' 1': -1.1705654, ' 2': -0.43213344, ' one': -5.320955, ' two': -3.4593434}
{' number': -6.280251, ' #': -6.6629047, ' 1': -3.3939717, ' 2': -0.08761004, ' two': -3.0726256}
{' number': -6.089782, ' 1': -2.4259992, ' 2': -0.14380701, ' one': -6.394269, ' two': -3.220177}
{' number': -6.4123526, ' #': -6.730687, ' 1': -3.3836906, ' 2': -0.07799272, ' two': -3.2835972}
{' number': -6.122037, ' #': -6.563771, ' 1': -3.1121635, ' 2': -0.091753095, ' two': -3.2558534}
{' number': -6.2185564, ' #': -6.6501393, ' 1': -3.19188, ' 2': -0.092852466, ' two': -3.1387987}
{' number': -6.2493324, ' #': -6.671347, ' 1': -3.0420551, ' 2': -0.09689923, ' two': -3.2103384}
{' number': -6.105937, ' #': -6.63502, ' 1': -3.1274002, ' 2': -0.09971882, ' two': -3.0696495}
{' number': -6.26905, ' #': -6.578217, ' 1': -4.28594, ' 2': -0.06007374, ' two': -3.1995332}
{' number': -6.241702, ' #': -6.7176986, ' 1': -5.0176888, ' 2': -0.059120208, ' two': -3.0517273}
{' number': -6.1973233, ' #': -6.69466, ' 1': -3.8118465, ' 2': -0.075173296, ' two': -3.070624}
{' number': -6.18123, ' #': -6.801104, ' 1': -4.06817, ' 2': -0.067304224, ' two': -3.117738}
{' number': -6.061673, ' #': -6.6617556, ' 1': -3.3938105, ' 2': -0.08168633, ' two': -3.208401}
{' number': -6.3723497, ' #': -6.8247986, ' 1': -5.0268984, ' 2': -0.04922203, ' two': -3.2608}
{' number': -6.1694336, ' #': -6.743008, ' 1': -5.252952, ' 2': -0.050190113, ' two': -3.2151468}
{' number': -6.21165, ' #': -6.756422, ' 1': -4.8249807, ' 2': -0.061995596, ' two': -3.0255573}
{' number': -6.1831355, ' #': -6.6987934, ' 1': -3.320227, ' 2': -0.088863865, ' two': -3.107344}
{' 2': -0.09576642, ' two': -3.106661, ' 1': -3.1678815, ' number': -6.1211467, ' #': -6.656012}
{' number': -6.2265944, ' #': -6.6303215, ' 1': -3.1787505, ' 2': -0.09380114, ' two': -3.1332164}
{' 2': -0.051338833, ' two': -3.1463227, ' 1': -5.5634365, ' number': -6.3205204, ' #': -6.7803035}
{' number': -6.080083, ' #': -6.602901, ' 1': -3.6599379, ' 2': -0.07893114, ' two': -3.0826542}
{' number': -6.1594505, ' #': -6.719139, ' 1': -5.2982044, ' 2': -0.05797998, ' two': -3.042721}
{' number': -6.146346, ' #': -6.7004323, ' 1': -4.147169, ' 2': -0.064848155, ' two': -3.1446838}
{' number': -6.3103676, ' #': -6.719253, ' 1': -3.9509764, ' 2': -0.065245844, ' two': -3.210332}
{' number': -6.016355, ' #': -6.557576, ' 1': -2.8348382, ' 2': -0.11104146, ' two': -3.1888402}
{' 2': -0.07434421, ' two': -3.1327796, ' 1': -3.7229915, ' number': -6.221188, ' #': -6.680759}
{' 2': -0.17953844, ' 1': -2.1278052, ' two': -3.231395, ' one': -6.1473746, ' number': -6.161847}
{' 1': -0.71934396, ' 2': -0.74182594, ' two': -3.6893735, ' one': -4.875544, ' number': -6.051289}
{' number': -6.3869476, ' #': -6.786134, ' 1': -3.238706, ' 2': -0.092757635, ' two': -3.0887291}
{' #': -6.1633496, ' 1': -0.94563544, ' 2': -0.54594105, ' one': -5.499867, ' two': -3.724854}
{' #': -6.2450714, ' 1': -0.465232, ' 2': -1.0570155, ' one': -5.028613, ' two': -4.2630377}
{' #': -6.302191, ' 1': -0.38581082, ' 2': -1.2213382, ' one': -4.8471775, ' two': -4.298086}
{' 1': -0.6198, ' 2': -0.8351434, ' two': -3.992282, ' one': -5.1751947, ' #': -6.2230263}
{' number': -6.288007, ' 1': -0.49937785, ' 2': -1.0056074, ' one': -5.0256248, ' two': -4.082845}
{' number': -6.452262, ' #': -6.36623, ' 1': -2.3175862, ' 2': -0.14588863, ' two': -3.4277527}
{' number': -6.3175898, ' #': -6.3761077, ' 1': -2.577171, ' 2': -0.12294379, ' two': -3.3551214}
{' #': -6.146173, ' 1': -0.7977018, ' 2': -0.65401167, ' one': -5.380227, ' two': -3.8737075}
{' number': -6.383478, ' #': -6.385661, ' 1': -2.4650507, ' 2': -0.13394263, ' two': -3.3351772}
{' number': -6.2600107, ' 1': -1.8735573, ' 2': -0.21108182, ' one': -6.215209, ' two': -3.4783833}
{' number': -6.542869, ' #': -6.533523, ' 1': -2.853614, ' 2': -0.09607443, ' two': -3.5004113}
{' number': -6.282067, ' #': -6.3976545, ' 1': -2.407216, ' 2': -0.13282113, ' two': -3.52456}
{' number': -6.3612022, ' #': -6.488439, ' 1': -2.4028785, ' 2': -0.13637234, ' two': -3.426993}
{' number': -6.3800845, ' #': -6.4977965, ' 1': -2.306812, ' 2': -0.14735572, ' two': -3.4211936}
{' number': -6.21528, ' 1': -2.081891, ' 2': -0.18173507, ' one': -6.324541, ' two': -3.3298194}
{' number': -6.4781294, ' #': -6.594939, ' 1': -4.3785663, ' 2': -0.04899577, ' two': -3.4411063}
{' 2': -0.047189105, ' two': -3.4104223, ' 1': -4.60641, ' number': -6.476722, ' #': -6.6871796}
{' number': -6.473471, ' #': -6.732686, ' 1': -3.928552, ' 2': -0.056374934, ' two': -3.4415538}
{' number': -6.3067656, ' #': -6.64369, ' 1': -3.5895917, ' 2': -0.07107692, ' two': -3.288192}
{' number': -6.314483, ' #': -6.5579, ' 1': -2.829961, ' 2': -0.09894493, ' two': -3.473369}
{' number': -6.6026926, ' #': -6.644848, ' 1': -4.7754736, ' 2': -0.04201627, ' two': -3.5128434}
{' number': -6.38491, ' #': -6.747199, ' 1': -4.6321793, ' 2': -0.042759024, ' two': -3.5406816}
{' 2': -0.061070383, ' two': -3.243676, ' 1': -4.085217, ' number': -6.403058, ' #': -6.625808}
{' number': -6.4594665, ' #': -6.638223, ' 1': -3.317789, ' 2': -0.07855595, ' two': -3.329996}
{' number': -6.288755, ' #': -6.4602942, ' 1': -2.5601375, ' 2': -0.12669641, ' two': -3.297545}
{' number': -6.416075, ' #': -6.512241, ' 1': -2.6836805, ' 2': -0.114537254, ' two': -3.3356218}
{' number': -6.5563664, ' #': -6.657895, ' 1': -5.0251436, ' 2': -0.044630837, ' two': -3.3778253}
{' 2': -0.09449173, ' 1': -2.9926848, ' two': -3.3328433, ' number': -6.274719, ' #': -6.4357214}
{' number': -6.3657885, ' #': -6.5844646, ' 1': -4.682432, ' 2': -0.05300134, ' two': -3.2452848}
{' number': -6.348986, ' #': -6.5401726, ' 1': -3.4800973, ' 2': -0.07190208, ' two': -3.359248}
{' 2': -0.081224926, ' 1': -3.218886, ' two': -3.3779244, ' #': -6.4225516, ' number': -6.4571223}
{' number': -6.2051287, ' #': -6.369322, ' 1': -2.0201435, ' 2': -0.18467724, ' two': -3.4909475}
{' number': -6.390461, ' #': -6.5228467, ' 1': -3.1795268, ' 2': -0.082504, ' two': -3.3899477}
{' 2': -0.33786118, ' 1': -1.3888427, ' two': -3.4858332, ' one': -5.8029737, ' number': -6.2095704}
{' 1': -0.5990426, ' 2': -0.8686521, ' two': -3.8848245, ' one': -5.016708, ' number': -6.210998}
{' number': -6.5645666, ' #': -6.5962577, ' 1': -2.7461634, ' 2': -0.11116915, ' two': -3.294206}
{' #': -6.0294185, ' 1': -0.8821416, ' 2': -0.59576654, ' one': -5.399264, ' two': -3.6538014}
{' #': -6.2316504, ' 1': -0.48352265, ' 2': -1.0259364, ' one': -5.108509, ' two': -4.2017803}
{' #': -6.2080307, ' 1': -0.50885445, ' 2': -0.9949269, ' one': -5.0016866, ' two': -4.009251}
{' #': -6.201978, ' 1': -0.61923736, ' 2': -0.8367324, ' one': -5.2446494, ' two': -3.9528823}
{' 1': -0.612446, ' 2': -0.8451254, ' two': -3.9466972, ' one': -5.2667446, ' #': -6.2404995}
{' number': -6.3969035, ' #': -6.3093095, ' 1': -1.989803, ' 2': -0.19095008, ' two': -3.4474463}
{' number': -6.443875, ' #': -6.4247084, ' 1': -2.9352002, ' 2': -0.09424832, ' two': -3.418139}
{' #': -6.0949855, ' 1': -0.8358459, ' 2': -0.62609285, ' one': -5.4173656, ' two': -3.773979}
{' 2': -0.0695971, ' two': -3.3962893, ' 1': -3.4963453, ' #': -6.5079846, ' number': -6.5793595}
{' number': -6.243215, ' 1': -1.8484983, ' 2': -0.21777995, ' one': -6.239904, ' two': -3.4346473}
{' number': -6.692521, ' #': -6.5853624, ' 1': -3.0772252, ' 2': -0.082917, ' two': -3.500672}
{' number': -6.226319, ' #': -6.245684, ' 1': -2.4557319, ' 2': -0.13187553, ' two': -3.4251456}
{' number': -6.3406496, ' #': -6.395087, ' 1': -2.34564, ' 2': -0.14531493, ' two': -3.361641}
{' number': -6.4076943, ' #': -6.4354224, ' 1': -2.5531778, ' 2': -0.12367725, ' two': -3.3802876}
{' 2': -0.14335537, ' 1': -2.4205904, ' two': -3.2301831, ' number': -6.2568345, ' #': -6.3357587}
{' number': -6.4407077, ' #': -6.5122747, ' 1': -4.2804627, ' 2': -0.051976096, ' two': -3.3999984}
{' number': -6.512454, ' #': -6.572756, ' 1': -4.435924, ' 2': -0.05386325, ' two': -3.2868798}
{' number': -6.5055084, ' #': -6.7326913, ' 1': -4.398221, ' 2': -0.050141547, ' two': -3.3931305}
{' number': -6.360052, ' #': -6.5824466, ' 1': -3.48196, ' 2': -0.07234577, ' two': -3.342123}
{' number': -6.3387856, ' #': -6.5398884, ' 1': -3.1198945, ' 2': -0.08245901, ' two': -3.4716132}
{' number': -6.6163254, ' #': -6.686074, ' 1': -4.7110586, ' 2': -0.042643756, ' two': -3.5099633}
{' number': -6.3903565, ' #': -6.6437926, ' 1': -5.026031, ' 2': -0.041225005, ' two': -3.486589}
{' 2': -0.044972554, ' two': -3.3359387, ' 1': -5.1954446, ' number': -6.5437613, ' #': -6.7477903}
{' 2': -0.14142016, ' 1': -2.397144, ' two': -3.3164632, ' number': -6.361596, ' #': -6.479683}
{' number': -6.272265, ' #': -6.402435, ' 1': -2.4010315, ' 2': -0.14203273, ' two': -3.300995}
{' number': -6.304297, ' #': -6.338026, ' 1': -2.458355, ' 2': -0.13794506, ' two': -3.2644444}
{' number': -6.578083, ' #': -6.6693535, ' 1': -5.0619483, ' 2': -0.04634649, ' two': -3.3228889}
{' number': -6.3035383, ' #': -6.404486, ' 1': -3.0663018, ' 2': -0.091322586, ' two': -3.311528}
{' number': -6.3264704, ' #': -6.5252366, ' 1': -4.75429, ' 2': -0.052754182, ' two': -3.2385983}
{' number': -6.3166537, ' #': -6.4785476, ' 1': -3.2160428, ' 2': -0.084293075, ' two': -3.3067358}
{' number': -6.4357715, ' #': -6.4607396, ' 1': -2.9658418, ' 2': -0.09334037, ' two': -3.3934255}
{' number': -6.183733, ' #': -6.3246355, ' 1': -2.0587494, ' 2': -0.18106213, ' two': -3.4287732}
{' number': -6.3538203, ' #': -6.487768, ' 1': -3.1636884, ' 2': -0.08614903, ' two': -3.3167722}
{' number': -6.3204975, ' 1': -1.4044312, ' 2': -0.32960024, ' one': -5.9733415, ' two': -3.535607}
{' number': -6.2453685, ' 1': -0.4237064, ' 2': -1.1487106, ' one': -4.8496895, ' two': -4.1012897}
{' number': -6.5980015, ' #': -6.5748973, ' 1': -2.713184, ' 2': -0.11606937, ' two': -3.236223}
{' #': -6.202876, ' 1': -0.8497156, ' 2': -0.61664903, ' one': -5.3779135, ' two': -3.7150168}
{' #': -6.319639, ' 1': -0.49429107, ' 2': -1.0087813, ' one': -5.0682063, ' two': -4.1583076}
{' #': -6.348037, ' 1': -0.40826157, ' 2': -1.1807625, ' one': -4.779971, ' two': -4.1192756}
{' #': -6.289509, ' 1': -0.61886334, ' 2': -0.8379566, ' one': -5.1866255, ' two': -3.9252863}
{' 1': -0.7191625, ' 2': -0.7279439, ' two': -3.829464, ' one': -5.3712697, ' #': -6.3695483}
{' #': -6.43505, ' 1': -2.008445, ' 2': -0.18814792, ' one': -6.3941255, ' two': -3.4252696}
{' number': -6.637814, ' #': -6.5862846, ' 1': -2.8802598, ' 2': -0.09509763, ' two': -3.471467}
{' 2': -0.53268075, ' 1': -0.96847934, ' two': -3.670899, ' one': -5.499317, ' #': -6.2240405}
{' number': -6.6817756, ' #': -6.613917, ' 1': -2.8053148, ' 2': -0.1043222, ' two': -3.35021}
{' 2': -0.22784236, ' 1': -1.7773226, ' two': -3.522373, ' one': -6.2598257, ' #': -6.4669185}
{' number': -6.7643175, ' #': -6.6685166, ' 1': -2.842065, ' 2': -0.097014874, ' two': -3.4784615}
{' number': -6.5146823, ' #': -6.518675, ' 1': -2.4908614, ' 2': -0.12742947, ' two': -3.423137}
{' number': -6.578733, ' #': -6.5973535, ' 1': -2.4298933, ' 2': -0.1340942, ' two': -3.396177}
{' number': -6.5871, ' #': -6.632644, ' 1': -2.3203666, ' 2': -0.14567451, ' two': -3.405955}
{' number': -6.4588804, ' #': -6.4251122, ' 1': -2.3970625, ' 2': -0.14498346, ' two': -3.2359507}
{' 2': -0.052238256, ' two': -3.4553542, ' 1': -4.1040587, ' #': -6.6561747, ' number': -6.750638}
{' number': -6.707834, ' #': -6.717326, ' 1': -4.62127, ' 2': -0.0492358, ' two': -3.3386662}
{' 2': -0.054235518, ' two': -3.3294888, ' 1': -4.2526417, ' number': -6.6542377, ' #': -6.791874}
{' number': -6.691565, ' #': -6.763602, ' 1': -4.203303, ' 2': -0.054167435, ' two': -3.3512752}
{' 2': -0.07627927, ' 1': -3.2336314, ' two': -3.4839022, ' number': -6.593866, ' #': -6.608574}
{' 2': -0.0404595, ' two': -3.5453975, ' 1': -4.7675767, ' #': -6.859949, ' number': -6.9031444}
{' number': -6.6498756, ' #': -6.8636913, ' 1': -5.055042, ' 2': -0.040149096, ' two': -3.4926503}
{' number': -6.659182, ' #': -6.821244, ' 1': -4.343121, ' 2': -0.054514382, ' two': -3.2873902}
{' number': -6.6411524, ' #': -6.7220383, ' 1': -2.964716, ' 2': -0.094460025, ' two': -3.3450491}
{' number': -6.530364, ' #': -6.610499, ' 1': -2.677557, ' 2': -0.118713684, ' two': -3.237545}
{' 2': -0.12576549, ' 1': -2.5593174, ' two': -3.3016746, ' number': -6.602821, ' #': -6.6051373}
{' 2': -0.041857276, ' two': -3.404286, ' 1': -5.219029, ' number': -6.805769, ' #': -6.8734045}
{' 2': -0.08143341, ' 1': -3.2401972, ' two': -3.3344624, ' number': -6.524135, ' #': -6.6277103}
{' 2': -0.048598718, ' two': -3.286117, ' 1': -4.920854, ' number': -6.6115484, ' #': -6.768916}
{' number': -6.566645, ' #': -6.677978, ' 1': -3.5608234, ' 2': -0.0678387, ' two': -3.3820665}
{' number': -6.6887774, ' #': -6.661454, ' 1': -3.1403172, ' 2': -0.081277035, ' two': -3.4548943}
{' number': -6.4180217, ' #': -6.41596, ' 1': -2.0569665, ' 2': -0.18092136, ' two': -3.4202993}
{' 2': -0.07426563, ' two': -3.3094568, ' 1': -3.445432, ' number': -6.651194, ' #': -6.6681814}
{' #': -6.537521, ' 1': -1.5850922, ' 2': -0.27654433, ' one': -6.0875926, ' two': -3.4621904}
{' #': -6.373222, ' 1': -0.38767156, ' 2': -1.2245876, ' one': -4.7839994, ' two': -4.156022}
{' number': -6.8473954, ' #': -6.6948056, ' 1': -2.827995, ' 2': -0.10598366, ' two': -3.2682226}
{' #': -6.502662, ' 1': -0.88401324, ' 2': -0.5985937, ' one': -5.372546, ' two': -3.5160034}
{' #': -6.6935854, ' 1': -0.36738983, ' 2': -1.2608987, ' one': -4.9087467, ' two': -4.2563744}
{' #': -6.6739564, ' 1': -0.3678603, ' 2': -1.2732197, ' one': -4.764091, ' two': -4.0930953}
{' #': -6.6279707, ' 1': -0.48741606, ' 2': -1.0293492, ' one': -5.012852, ' two': -3.9516206}
{' number': -6.663438, ' 1': -0.51769596, ' 2': -0.9795147, ' one': -5.108094, ' two': -3.9158928}
{' #': -6.662074, ' 1': -1.6498944, ' 2': -0.2667442, ' one': -6.0787444, ' two': -3.291}
{' number': -6.8416204, ' #': -6.824671, ' 1': -2.5986218, ' 2': -0.12385433, ' two': -3.2477498}
{' 1': -0.59019244, ' 2': -0.8789402, ' two': -3.8384166, ' one': -5.0881076, ' #': -6.5321608}
{' #': -6.8232474, ' 1': -2.4137363, ' 2': -0.14762706, ' one': -6.692506, ' two': -3.117411}
{' 2': -0.26432112, ' 1': -1.6524396, ' two': -3.328818, ' one': -6.0809417, ' number': -6.6939096}
{' 2': -0.1661934, ' 1': -2.195761, ' two': -3.2668307, ' one': -6.543203, ' #': -6.806095}
{' number': -6.679597, ' 1': -2.349537, ' 2': -0.14725302, ' one': -6.6903434, ' two': -3.2774541}
{' number': -6.7868376, ' 1': -2.2857158, ' 2': -0.16017027, ' one': -6.6257124, ' two': -3.153771}
{' number': -6.806393, ' 1': -2.2016866, ' 2': -0.16880204, ' one': -6.4736304, ' two': -3.1971776}
{' number': -6.5739193, ' 1': -1.9200145, ' 2': -0.21788919, ' one': -6.2151785, ' two': -3.1150026}
{' number': -6.8351755, ' #': -6.8799105, ' 1': -3.4691346, ' 2': -0.07866253, ' two': -3.1732097}
{' number': -6.923944, ' #': -7.081204, ' 1': -4.7703815, ' 2': -0.054943126, ' two': -3.14851}
{' 2': -0.062291928, ' two': -3.1976657, ' 1': -4.0510554, ' number': -6.9194026, ' #': -7.1275115}
{' number': -6.7906246, ' #': -6.959209, ' 1': -3.3910184, ' 2': -0.083639696, ' two': -3.1256776}
{' number': -6.776732, ' #': -6.962207, ' 1': -3.109796, ' 2': -0.088380285, ' two': -3.2915359}
{' number': -7.0650773, ' #': -7.105644, ' 1': -4.4810295, ' 2': -0.051649667, ' two': -3.294619}
{' 2': -0.051119566, ' two': -3.3103795, ' 1': -4.4943986, ' number': -6.815355, ' #': -7.11994}
{' 2': -0.066639416, ' two': -3.1156313, ' 1': -4.0241723, ' number': -6.870249, ' #': -7.092999}
{' number': -6.873458, ' #': -6.998546, ' 1': -2.9342835, ' 2': -0.10620455, ' two': -3.10543}
{' number': -6.6748447, ' 1': -2.250014, ' 2': -0.16684416, ' one': -6.534855, ' two': -3.116265}
{' number': -6.704501, ' 1': -2.0906367, ' 2': -0.18824907, ' one': -6.293364, ' two': -3.1323695}
{' number': -6.965966, ' #': -7.05018, ' 1': -5.00235, ' 2': -0.053238183, ' two': -3.1443598}
{' number': -6.684097, ' #': -6.8516264, ' 1': -3.0527349, ' 2': -0.1008287, ' two': -3.0874848}
{' number': -6.7566237, ' #': -6.917529, ' 1': -4.6601863, ' 2': -0.06290764, ' two': -3.0142891}
{' 2': -0.07680362, ' two': -3.2527394, ' 1': -3.4199758, ' number': -6.827944, ' #': -6.984417}
{' number': -6.8217597, ' #': -6.8545814, ' 1': -2.6857812, ' 2': -0.11866349, ' two': -3.2054305}
{' number': -6.5988545, ' 1': -2.0326722, ' 2': -0.19202556, ' one': -6.4046335, ' two': -3.2339413}
{' number': -6.6949654, ' #': -6.791013, ' 1': -2.546288, ' 2': -0.13560924, ' two': -3.1043723}
{' number': -6.6625395, ' 1': -0.97597426, ' 2': -0.53339314, ' one': -5.5264997, ' two': -3.5072813}
{' number': -6.663429, ' 1': -0.28123128, ' 2': -1.5221311, ' one': -4.5902123, ' two': -4.2561383}
{' #': -6.8568454, ' 1': -1.8477837, ' 2': -0.23080027, ' one': -6.0845733, ' two': -3.1234336}
{' #': -6.4438515, ' 1': -1.0786783, ' 2': -0.46629167, ' one': -5.7120323, ' two': -3.6409397}
{' #': -6.407002, ' 1': -0.6198599, ' 2': -0.83171093, ' one': -5.220364, ' two': -4.0178394}
{' #': -6.441766, ' 1': -0.5553214, ' 2': -0.9213245, ' one': -5.064654, ' two': -3.9886231}
{' #': -6.4404917, ' 1': -0.69245666, ' 2': -0.7522863, ' one': -5.333591, ' two': -3.8942695}
{' #': -6.540032, ' 1': -0.7983927, ' 2': -0.65278184, ' one': -5.4922066, ' two': -3.8059342}
{' #': -6.5314627, ' 1': -1.811498, ' 2': -0.2240309, ' one': -6.2715406, ' two': -3.4282928}
{' 2': -0.15989105, ' 1': -2.1685941, ' two': -3.5366168, ' #': -6.527104, ' number': -6.5941563}
{' #': -6.373432, ' 1': -0.8406447, ' 2': -0.6178112, ' one': -5.4812183, ' two': -3.8202798}
{' number': -6.628174, ' #': -6.565116, ' 1': -2.4959548, ' 2': -0.12756199, ' two': -3.3981707}
{' #': -6.522973, ' 1': -1.959412, ' 2': -0.19346465, ' one': -6.4337316, ' two': -3.4980738}
{' number': -6.7140126, ' #': -6.6756024, ' 1': -2.5294602, ' 2': -0.122720115, ' two': -3.4375618}
{' number': -6.510495, ' #': -6.5297074, ' 1': -2.3933566, ' 2': -0.13490155, ' two': -3.4862695}
{' number': -6.554804, ' #': -6.6152654, ' 1': -2.4910085, ' 2': -0.12853776, ' two': -3.3863213}
{' 2': -0.14269418, ' 1': -2.337295, ' two': -3.4337077, ' number': -6.5902934, ' #': -6.60985}
{' number': -6.4697366, ' 1': -2.1907563, ' 2': -0.16442549, ' one': -6.534772, ' two': -3.3471837}
{' number': -6.576613, ' #': -6.690997, ' 1': -3.5976968, ' 2': -0.06584594, ' two': -3.4054494}
{' number': -6.618564, ' #': -6.7414966, ' 1': -4.1521864, ' 2': -0.05435905, ' two': -3.373357}
{' number': -6.597229, ' #': -6.7967916, ' 1': -3.4651275, ' 2': -0.06931854, ' two': -3.421142}
{' number': -6.5351295, ' #': -6.749047, ' 1': -3.2853866, ' 2': -0.076646715, ' two': -3.4081876}
{' number': -6.4930797, ' #': -6.69201, ' 1': -3.075671, ' 2': -0.08317088, ' two': -3.5010614}
{' 2': -0.04641498, ' two': -3.5314574, ' 1': -4.295587, ' number': -6.795096, ' #': -6.8799586}
{' 2': -0.04609879, ' two': -3.5292165, ' 1': -4.351181, ' number': -6.540767, ' #': -6.8355503}
{' number': -6.54751, ' #': -6.8162622, ' 1': -3.7970002, ' 2': -0.0627534, ' two': -3.3410904}
{' number': -6.584906, ' #': -6.6878037, ' 1': -2.5907986, ' 2': -0.119744554, ' two': -3.3760293}
{' number': -6.509135, ' #': -6.629458, ' 1': -2.6104028, ' 2': -0.11944547, ' two': -3.3479397}
{' number': -6.5559163, ' #': -6.6246076, ' 1': -2.3503697, ' 2': -0.1441204, ' two': -3.3624713}
{' number': -6.6825523, ' #': -6.7731686, ' 1': -4.511122, ' 2': -0.04913988, ' two': -3.3742511}
{' number': -6.4070706, ' #': -6.5052295, ' 1': -2.6165364, ' 2': -0.1188427, ' two': -3.3587012}
{' 2': -0.070241496, ' two': -3.2530246, ' 1': -3.6597626, ' number': -6.4420695, ' #': -6.6360865}
{' 2': -0.087970234, ' 1': -3.01411, ' two': -3.459182, ' number': -6.450191, ' #': -6.671083}
{' number': -6.605184, ' #': -6.6213055, ' 1': -2.530851, ' 2': -0.12147093, ' two': -3.4750416}
{' number': -6.3758264, ' 1': -1.8404633, ' 2': -0.21668203, ' one': -6.3431187, ' two': -3.4758716}
{' 2': -0.122546405, ' 1': -2.578536, ' two': -3.34221, ' number': -6.474477, ' #': -6.588915}
{' number': -6.561477, ' 1': -1.2917417, ' 2': -0.368402, ' one': -5.899661, ' two': -3.5867972}
{' number': -6.486951, ' 1': -0.5129793, ' 2': -0.9869861, ' one': -4.9544277, ' two': -3.9993398}
{' #': -6.692853, ' 1': -2.3472536, ' 2': -0.14636186, ' one': -6.598214, ' two': -3.309745}
{' #': -6.7221646, ' 1': -1.1870227, ' 2': -0.41608182, ' one': -5.802946, ' two': -3.5139496}
{' #': -6.7162037, ' 1': -0.6417323, ' 2': -0.8044176, ' one': -5.2970777, ' two': -3.9753902}
{' #': -6.7137027, ' 1': -0.6260406, ' 2': -0.8280059, ' one': -5.2196627, ' two': -3.8928006}
{' #': -6.7388396, ' 1': -0.761723, ' 2': -0.68407094, ' one': -5.470091, ' two': -3.8204787}
{' 2': -0.5429634, ' 1': -0.9462207, ' two': -3.686148, ' one': -5.68797, ' number': -6.7726483}
{' #': -6.791307, ' 1': -2.1368961, ' 2': -0.17227, ' one': -6.525232, ' two': -3.312189}
{' number': -6.9253044, ' #': -6.9559135, ' 1': -3.0185962, ' 2': -0.08945058, ' two': -3.3808055}
{' #': -6.633743, ' 1': -1.0276881, ' 2': -0.49367246, ' one': -5.69797, ' two': -3.6589022}
{' number': -6.972534, ' #': -6.9795265, ' 1': -3.1554317, ' 2': -0.08698668, ' two': -3.266321}
