{' No': -12.621933, ' ': -10.259762, ' Yes': -0.0020083846, ' yes': -10.109585, 'Yes': -6.2551475}
{' ': -10.090079, ' Generally': -9.188935, ' Yes': -0.0023282594, ' yes': -9.103633, 'Yes': -6.1922755}
{' Yes': -0.002846436, 'Yes': -6.0225396, ' Generally': -8.501453, ' yes': -9.14103, ' ': -9.583116}
{' ': -9.302975, ' Generally': -8.968304, ' Yes': -0.0029909827, ' yes': -8.971224, 'Yes': -5.9598427}
{' An': -11.634652, ' ': -9.813859, ' Yes': -0.0021342922, ' yes': -9.244044, 'Yes': -6.2362056}
{' No': -1.9213799, ' ': -7.599478, 'No': -6.7518754, ' Yes': -0.16302007, 'Yes': -6.1805387}
{' Yes': -0.012812537, ' Generally': -4.9132223, 'Yes': -5.8080316, ' On': -7.732952, ' It': -7.8420906}
{' No': -6.0259285, ' Generally': -3.6281226, ' Yes': -0.060327906, 'Yes': -5.645298, ' It': -4.046574}
{' That': -2.8626308, ' No': -1.663246, ' Generally': -2.9343243, ' Yes': -1.8217602, ' It': -0.67630005}
{' No': -0.16135079, ' Generally': -5.4493275, 'No': -4.5176454, ' A': -6.1226387, ' Yes': -2.0395455}
{' No': -0.007016043, ' ': -9.615421, ' Generally': -12.344372, 'No': -4.9745893, ' A': -12.291788}
{' That': -3.3183146, ' No': -1.824706, ' Generally': -2.009225, ' Yes': -2.857688, ' It': -0.5943421}
{' That': -5.077925, ' No': -0.11272718, ' Generally': -3.8873374, 'No': -3.7813122, ' It': -2.982415}
{' No': -0.016000496, ' Generally': -6.538275, 'No': -4.275375, ' A': -8.669174, ' Yes': -8.712175}
{' No': -0.007359738, ' ': -10.428323, ' Generally': -13.538753, 'No': -4.9202166, ' no': -13.333933}
{' That': -3.5804718, ' No': -1.111472, ' Generally': -2.1634817, ' Yes': -4.780907, ' It': -0.7198228}
{' No': -0.043092143, ' Generally': -3.8009806, 'No': -4.4642806, ' A': -7.1994004, ' Yes': -5.102874}
{' No': -0.0066735446, ' ': -9.993791, ' Generally': -12.32601, 'No': -5.0212474, ' no': -13.39257}
{' No': -1.9802543, ' Generally': -2.5190957, ' A': -5.93397, ' Yes': -0.2638752, 'Yes': -5.995522}
{' No': -0.0090882825, ' ': -9.445912, ' Generally': -9.551867, 'No': -4.7245326, ' A': -11.684529}
{' No': -0.007968159, ' ': -10.092368, ' Generally': -10.357524, 'No': -4.8465033, ' A': -13.365967}
{' Yes': -0.0021732969, 'Yes': -6.3024483, ' Generally': -8.539858, ' yes': -9.4115715, ' ': -10.347865}
{' An': -10.441926, ' Generally': -8.507272, ' Yes': -0.002158543, ' yes': -9.284955, 'Yes': -6.324786}
{' An': -9.594408, ' Generally': -7.56378, ' Yes': -0.0030065258, ' yes': -9.270714, 'Yes': -6.1024804}
{' No': -9.285526, ' Generally': -7.7791753, ' Yes': -0.003090467, ' yes': -9.183407, 'Yes': -6.083086}
{' An': -10.110021, ' ': -10.353791, ' Yes': -0.0021008404, ' yes': -9.310441, 'Yes': -6.2576303}
{' An': -8.236579, ' No': -0.13820775, 'No': -5.052869, ' Yes': -2.1056492, 'Yes': -7.8714747}
{' On': -6.824051, ' Generally': -4.1748843, ' Yes': -0.025005247, 'Yes': -5.814235, ' It': -6.2923408}
{' That': -4.9285517, ' Generally': -3.0459952, ' Yes': -0.17650743, 'Yes': -5.610156, ' It': -2.4420693}
{' That': -2.409416, ' No': -3.1770873, ' Generally': -3.3671925, ' Yes': -3.4872012, ' It': -0.25516847}
{' No': -0.16605638, ' Yes': -2.0484035, 'No': -4.4782434, ' Generally': -4.789101, ' A': -5.908957}
{' No': -0.0064293556, ' ': -10.176746, ' Generally': -11.677457, 'No': -5.0590587, ' A': -11.875497}
{' That': -3.1136515, ' No': -2.833693, ' Generally': -2.511679, ' Yes': -3.9400826, ' It': -0.29470488}
{' It': -0.76297134, ' No': -0.82013834, ' That': -3.2327073, ' Generally': -3.6661694, 'No': -4.474832}
{' No': -0.015813125, ' Generally': -6.4662976, 'No': -4.2883577, ' A': -8.889092, ' Yes': -9.168072}
{' No': -0.0073655644, ' ': -10.640866, ' Generally': -13.056607, 'No': -4.9187117, ' A': -13.620786}
{' That': -3.1944666, ' No': -2.3973973, ' Generally': -2.585225, ' The': -4.822051, ' It': -0.2783844}
{' No': -0.08433088, ' Generally': -2.923358, 'No': -4.383727, ' A': -6.601334, ' Yes': -4.6697536}
{' No': -0.005595616, ' ': -10.237108, ' Generally': -11.65329, 'No': -5.197486, ' A': -13.24831}
{' No': -1.523008, ' On': -5.5014896, ' Generally': -1.7691054, ' A': -5.273662, ' Yes': -0.5310438}
{' No': -0.008490825, 'No': -4.7983446, ' Generally': -8.960794, ' ': -9.758148, ' A': -11.398484}
{' No': -0.0074610407, ' ': -10.290341, ' Generally': -9.549195, 'No': -4.917693, ' A': -12.699283}
{' ': -9.7068205, ' Generally': -8.598517, ' Yes': -0.0026716702, ' yes': -9.207379, 'Yes': -6.078239}
{' ': -9.966742, ' Generally': -8.465033, ' Yes': -0.0023578946, ' yes': -9.162306, 'Yes': -6.2404256}
{' ': -9.424622, ' Generally': -7.73934, ' Yes': -0.003196837, ' yes': -9.130077, 'Yes': -5.996895}
{' Yes': -0.0031854163, 'Yes': -6.005328, ' Generally': -7.984594, ' yes': -8.996269, ' ': -9.114305}
{' An': -10.469276, ' ': -9.945979, ' Yes': -0.0021575885, ' yes': -9.16947, 'Yes': -6.2346973}
{' No': -0.6717094, ' ': -7.6015153, 'No': -5.5302663, ' Yes': -0.7279514, 'Yes': -6.597994}
{' On': -6.924833, ' Generally': -4.1350274, ' Yes': -0.024694784, 'Yes': -5.758108, ' It': -6.632553}
{' That': -4.900891, ' Generally': -3.1141133, ' Yes': -0.16237518, 'Yes': -5.530335, ' It': -2.5400474}
{' That': -2.3089006, ' No': -2.8043344, ' Generally': -3.187219, ' Yes': -3.4749465, ' It': -0.29833007}
{' No': -0.34084958, ' Yes': -1.3525358, ' Generally': -4.476336, 'No': -4.5494065, ' A': -5.2110524}
{' No': -0.0068260254, ' ': -9.888239, ' Generally': -11.62912, 'No': -5.0008693, ' A': -11.952102}
{' That': -3.1995294, ' No': -2.6092432, ' Generally': -2.2320652, ' Yes': -3.9766579, ' It': -0.34066957}
{' That': -3.5257623, ' No': -0.5407467, ' Generally': -3.4868376, 'No': -4.1544304, ' It': -1.109083}
{' No': -0.017728476, 'No': -4.1947837, ' Generally': -6.239988, ' A': -8.440379, ' Yes': -8.989347}
{' No': -0.008087552, ' ': -10.2542305, ' Generally': -13.005411, 'No': -4.826708, ' A': -13.389965}
{' That': -3.0337052, ' No': -2.3820271, ' Generally': -2.6840005, ' The': -5.064068, ' It': -0.2741265}
{' No': -0.08010805, ' Generally': -3.0297654, 'No': -4.243049, ' A': -6.5055647, ' Yes': -4.6433787}
{' No': -0.006749692, ' ': -9.854367, ' Generally': -11.347138, 'No': -5.0122046, ' A': -12.9808445}
{' Yes': -0.1970496, ' Generally': -2.3815093, ' No': -2.6302025, ' A': -5.6856165, 'Yes': -5.826873}
{' No': -0.009797029, 'No': -4.6587796, ' Generally': -8.803108, ' ': -9.342767, ' A': -11.09053}
{' No': -0.009462118, ' ': -9.981412, ' Generally': -9.223671, 'No': -4.6825614, ' A': -12.13131}
{' Yes': -0.0024252897, 'Yes': -6.295642, ' Generally': -7.826272, ' yes': -9.382915, ' ': -10.096299}
{' An': -10.162456, ' Generally': -7.81968, ' Yes': -0.0023071116, ' yes': -9.328319, 'Yes': -6.366811}
{' An': -9.140824, ' Generally': -7.014247, ' Yes': -0.0034495683, ' yes': -9.252437, 'Yes': -6.104062}
{' An': -9.230884, ' Generally': -7.288899, ' Yes': -0.003428274, ' yes': -9.248352, 'Yes': -6.047993}
{' An': -9.873938, ' ': -10.215601, ' Yes': -0.0021046635, ' yes': -9.284667, 'Yes': -6.269512}
{' An': -7.946366, ' No': -0.19806027, 'No': -5.166396, ' Yes': -1.7554715, 'Yes': -7.628081}
{' On': -6.386254, ' Generally': -3.6950657, ' Yes': -0.037600696, 'Yes': -5.862225, ' It': -5.9886537}
{' That': -4.5005155, ' On': -5.4202466, ' Generally': -2.4875915, ' Yes': -0.29859427, ' It': -1.9845986}
{' That': -2.202497, ' No': -3.7927752, ' Generally': -3.2685845, ' Yes': -3.6712794, ' It': -0.25093597}
{' No': -0.64160883, ' Generally': -3.6886194, 'No': -4.865875, ' A': -4.859344, ' Yes': -0.8464734}
{' No': -0.0073682647, ' ': -9.986619, ' Generally': -10.581219, 'No': -4.9266605, ' A': -11.272423}
{' That': -3.1252954, ' No': -3.1321316, ' Generally': -2.0915205, ' Yes': -3.9493427, ' It': -0.334963}
{' That': -3.1008058, ' No': -0.72389454, ' Generally': -2.6906781, 'No': -4.300005, ' It': -1.0053601}
{' No': -0.022810645, ' Generally': -5.281163, 'No': -4.132815, ' A': -8.075785, ' Yes': -7.253109}
{' No': -0.0078072925, 'No': -4.862009, ' ': -10.481325, ' Generally': -11.833864, ' A': -12.6995735}
{' It': -0.32298395, ' Generally': -2.0598404, ' No': -2.9460113, ' That': -2.962144, ' Go': -4.824315}
{' No': -0.29059306, ' Go': -5.642266, ' Generally': -1.7346143, 'No': -4.4033995, ' Yes': -3.0312068}
{' No': -0.0061111664, ' ': -9.968269, ' Generally': -10.09579, 'No': -5.1172843, ' A': -12.178942}
{' Yes': -0.17238748, ' Generally': -2.224952, ' No': -3.3520558, 'Yes': -5.855378, ' It': -5.912921}
{' No': -0.00993716, 'No': -4.6746135, ' Generally': -7.804883, ' ': -9.417515, ' A': -10.565383}
{' No': -0.008176606, ' ': -10.0883665, ' Generally': -8.67361, 'No': -4.840177, ' A': -11.786322}
