{' No': -0.011050761, ' Not': -12.512437, ' ': -10.515855, ' Generally': -11.123646, 'No': -4.5152335}
{' No': -0.011766151, ' ': -9.877355, ' Generally': -9.534017, 'No': -4.4611163, ' It': -11.995145}
{' No': -0.009417593, ' ': -10.0592, 'No': -4.675576, ' A': -12.855696, ' no': -12.855323}
{' No': -0.014803875, ' Generally': -5.9128327, ' Typically': -9.001035, 'No': -4.5956163, ' It': -6.614587}
{' No': -0.012673325, ' Not': -9.893141, ' Generally': -6.4801617, 'No': -4.553271, ' It': -8.186031}
{' No': -0.009422647, 'No': -4.7424088, ' Generally': -7.5405393, ' ': -10.355637, ' It': -10.437626}
{' No': -0.007215223, ' ': -10.218261, ' Generally': -8.3289, ' Typically': -11.834156, 'No': -4.9783244}
{' No': -0.00550697, ' ': -10.279196, 'No': -5.21179, ' A': -13.625663, ' no': -13.145034}
{' That': -2.6546957, ' No': -3.3851912, ' Generally': -2.7900832, ' The': -3.9700031, ' It': -0.26225883}
{' That': -3.48488, ' No': -0.61927193, ' Generally': -2.5994506, 'No': -4.421003, ' It': -1.1794144}
{' No': -0.08776042, ' Generally': -3.255748, 'No': -4.169376, ' Yes': -5.0139785, ' It': -4.148875}
{' No': -0.0070981, 'No': -4.9685254, ' ': -9.828278, ' Generally': -10.024847, ' A': -11.225399}
{' That': -3.5325089, ' No': -3.1574936, ' Go': -3.0164814, ' Generally': -1.7404976, ' It': -0.45652217}
{' No': -0.55070233, ' Go': -4.128175, ' Generally': -1.5706913, 'No': -4.602536, ' It': -1.9113551}
{' No': -0.007333502, ' ': -9.857013, ' Generally': -9.335231, 'No': -4.9428387, ' A': -10.743234}
{' No': -0.7346997, ' On': -4.175524, ' Generally': -1.8391901, ' Yes': -1.5886656, ' It': -2.3663182}
{' No': -0.0091518015, 'No': -4.76195, ' Generally': -7.777738, ' ': -9.939434, ' A': -10.124147}
{' No': -0.0716563, ' Generally': -5.2207913, 'No': -4.5128546, ' A': -6.594559, ' Yes': -3.0000756}
{' That': -7.3179927, ' No': -0.049436748, ' Generally': -4.8865757, 'No': -3.768917, ' It': -4.2504387}
{' That': -3.5867622, ' No': -0.39363003, ' Generally': -4.9327054, 'No': -3.8492, ' It': -1.354268}
{' No': -0.017725565, ' ': -9.527393, ' Generally': -8.455029, 'No': -4.06856, ' It': -9.299494}
{' No': -0.0136401765, ' ': -9.966486, ' Generally': -9.874102, 'No': -4.311454, ' It': -11.582605}
{' No': -0.014628281, 'No': -4.248173, ' Generally': -9.044879, ' ': -9.439121, ' It': -11.859341}
{' No': -0.009868838, ' ': -9.665348, 'No': -4.630766, ' A': -13.005301, ' no': -12.714953}
{' No': -0.016211411, ' Generally': -5.824816, ' Typically': -8.920096, 'No': -4.4470434, ' It': -7.0834985}
{' No': -0.013259884, ' ': -9.519634, ' Generally': -6.5392146, 'No': -4.484642, ' It': -8.622389}
{' No': -0.009820079, ' ': -10.02319, ' Generally': -7.5944505, ' Typically': -10.889056, 'No': -4.6944876}
{' No': -0.008173421, ' ': -9.825134, ' Generally': -8.434011, ' Typically': -11.8734865, 'No': -4.848017}
{' No': -0.0060683494, ' ': -9.951325, 'No': -5.1166544, ' A': -13.586044, ' no': -12.979111}
{' That': -2.643568, ' No': -2.8621917, ' Generally': -2.4767911, ' Yes': -3.9950023, ' It': -0.33471847}
{' No': -0.3213822, ' It': -2.2021787, ' Generally': -2.2845895, 'No': -4.0488257, ' That': -4.291858}
{' No': -0.08575203, ' Generally': -3.1969025, 'No': -4.144624, ' Yes': -4.648973, ' It': -4.74707}
{' No': -0.008338931, ' ': -9.465818, ' Generally': -10.0484, 'No': -4.809036, ' A': -10.9557495}
{' That': -3.3304398, ' No': -3.0946112, ' Go': -3.5874817, ' Generally': -1.7870207, ' It': -0.4247219}
{' No': -0.42213592, ' Generally': -1.5879208, 'No': -4.566535, ' Yes': -4.570213, ' It': -2.4486632}
{' No': -0.00844448, ' ': -9.526754, ' Generally': -9.293644, 'No': -4.8027406, ' A': -10.6018715}
{' No': -0.84130615, ' On': -4.3062754, ' Generally': -1.808845, ' Yes': -1.3372321, ' It': -2.4767852}
{' No': -0.010675429, 'No': -4.612034, ' Generally': -7.5922217, ' ': -9.53951, ' A': -9.952526}
{' No': -0.096291184, ' Generally': -5.2547135, 'No': -4.47933, ' A': -6.6843286, ' Yes': -2.6272492}
{' No': -0.074016444, ' Generally': -4.0098987, 'No': -3.8809774, ' Yes': -6.7484283, ' It': -3.6445823}
{' That': -2.4989254, ' No': -1.1105434, ' The': -4.504159, ' It': -0.61687964, ' This': -4.4293838}
{' No': -0.016102921, 'No': -4.1880636, ' Generally': -7.8890104, ' It': -8.48644, ' ': -9.774947}
{' No': -0.012505223, 'No': -4.407767, ' Generally': -9.026981, ' ': -10.16651, ' It': -10.353983}
{' No': -0.012567572, ' ': -9.639753, ' Generally': -8.613921, 'No': -4.407053, ' It': -11.02159}
{' No': -0.008968714, ' ': -9.829803, ' Generally': -12.101691, 'No': -4.7262, ' A': -12.54569}
{' No': -0.024998648, ' Generally': -4.8314824, ' Typically': -7.88469, 'No': -4.5077143, ' It': -5.488917}
{' No': -0.018695429, 'No': -4.469066, ' Generally': -5.338245, ' It': -6.524129, ' That': -8.5472975}
{' No': -0.012293521, 'No': -4.600653, ' Generally': -6.325543, ' It': -9.01722, ' Typically': -9.59985}
{' No': -0.0095046, ' ': -9.970171, ' Generally': -7.20069, ' Typically': -10.804518, 'No': -4.757307}
{' No': -0.0053358716, ' ': -10.070903, ' Generally': -13.726196, 'No': -5.245, ' no': -13.35806}
{' It': -0.26732188, ' That': -2.525468, ' Generally': -2.679334, ' The': -4.0868425, ' Yes': -4.1307726}
{' No': -0.89787817, ' It': -1.0999179, ' Generally': -1.9026062, ' That': -3.2266288, ' Ge': -4.3554378}
{' No': -0.21195288, ' Generally': -2.4177518, 'No': -4.2038465, ' Yes': -3.8844914, ' It': -3.1029003}
{' No': -0.008095241, ' ': -9.696255, ' Generally': -9.053251, 'No': -4.8472557, ' A': -10.7933}
{' It': -0.4346578, ' Generally': -1.6794986, ' Go': -3.179674, ' That': -3.4612365, ' No': -3.8160322}
{' No': -0.87969404, ' Go': -4.1091895, ' Generally': -1.1786615, ' Yes': -3.9760208, ' It': -1.6670933}
{' No': -0.008917235, ' ': -9.698982, ' Generally': -8.388624, 'No': -4.7631016, ' A': -10.411985}
{' No': -0.92730147, ' On': -4.0350227, ' Generally': -1.5982265, ' Yes': -1.5743904, ' It': -2.1303272}
{' No': -0.011720436, ' ': -9.859767, ' Generally': -7.1470275, 'No': -4.5404353, ' A': -9.88932}
{' No': -0.030615399, ' Yes': -4.469065, 'No': -4.5456924, ' Generally': -5.194344, ' A': -6.9971333}
