{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' Yes': -0.053189088, ' No': -3.5791824, 'Yes': -4.028275, '\n': -5.5014124, 'No': -6.705537}
{' No': -3.7618892, '\n': -4.5355253, 'No': -6.6198163, ' Yes': -0.058327623, 'Yes': -3.898551}
{' Yes': -0.10055579, '\n': -2.9940624, ' No': -3.8467693, 'Yes': -3.856846, 'No': -6.5820446}
{' Yes': -0.052384343, '\n': -3.435666, 'Yes': -4.019482, ' ': -8.166998, ' No': -8.369682}
{' No': -0.9428062, '\n': -2.3907871, 'No': -3.535198, ' Yes': -0.77065265, 'Yes': -3.983791}
{' Yes': -0.19792289, ' No': -2.277976, '\n': -3.0561037, 'Yes': -3.8500855, 'No': -5.244052}
{' Yes': -0.010349256, 'Yes': -4.5960803, ' yes': -9.357323, '\n': -9.7078495, ' ': -10.848064}
{' Yes': -0.015546404, 'Yes': -4.258292, '\n': -7.4390655, ' No': -7.998414, ' yes': -8.326797}
{' Yes': -0.010946625, 'Yes': -4.5834503, '\n': -7.863189, ' yes': -8.750605, ' ': -9.912046}
{' Yes': -0.09188429, ' No': -2.6097047, 'Yes': -4.4676814, 'No': -6.5292068, '\n': -7.393525}
{' Yes': -0.008130635, 'Yes': -4.8605666, ' yes': -8.820487, '\n': -9.339692, ' No': -9.854093}
{' No': -0.04434985, ' Yes': -3.596039, 'No': -4.2311134, '\n': -6.955143, 'Yes': -7.9599648}
{' No': -0.2053391, '\n': -5.7424026, 'No': -3.8649342, ' Yes': -1.8405987, 'Yes': -6.021413}
{' No': -0.8569904, '\n': -4.040138, 'No': -4.054149, ' Yes': -0.6354652, 'Yes': -4.644939}
{' No': -3.397717, '\n': -6.3424873, 'No': -7.242522, ' Yes': -0.04887452, 'Yes': -4.4730325}
{' No': -3.708739, '\n': -6.2571588, 'No': -7.401583, ' Yes': -0.04188804, 'Yes': -4.3116555}
{' Yes': -0.24344696, ' No': -1.7153442, 'Yes': -3.9620762, '\n': -4.6192746, 'No': -5.049517}
{' No': -3.5154665, '\n': -5.164501, 'No': -7.096702, ' Yes': -0.055286184, 'Yes': -4.163318}
{' Yes': -0.6558881, ' No': -0.78788805, 'No': -4.571579, '\n': -4.760725, 'Yes': -5.1493225}
{' No': -3.0666149, '\n': -4.0199766, ' Yes': -0.1896105, ' Sur': -2.4020624, 'Yes': -4.359973}
{' No': -0.3860814, ' Yes': -1.2202488, 'No': -4.2501273, 'Yes': -5.29014, '\n': -5.339395}
{' No': -7.648023, '\n': -4.7995987, ' ': -8.366853, ' Yes': -0.026927833, 'Yes': -4.064058}
{' Yes': -0.044417515, 'Yes': -4.0170584, '\n': -4.0651293, ' No': -5.0381765, ' The': -7.12831}
{' Yes': -0.07422069, '\n': -3.488388, ' No': -3.661411, 'Yes': -4.3503, 'No': -6.8804984}
{' Yes': -0.061581947, '\n': -3.4876757, 'Yes': -3.5954068, ' No': -7.3761544, ' ': -7.9644513}
{' Yes': -0.5463905, ' No': -1.207075, '\n': -2.4726598, 'No': -4.2506123, 'Yes': -4.3090453}
{' No': -0.41274455, '\n': -5.8335667, 'No': -4.41007, ' Yes': -1.1448786, 'Yes': -5.394091}
{' No': -0.037335783, '\n': -4.938052, ' ': -8.104398, 'No': -3.669986, ' Yes': -5.6597643}
{' No': -0.5594576, '\n': -3.3974967, 'No': -4.38528, ' Yes': -0.9738959, 'Yes': -5.704757}
{' No': -3.291071, '\n': -4.4064445, 'No': -6.782749, ' Yes': -0.0702821, 'Yes': -4.111704}
{' No': -0.031799003, 'No': -3.9386878, ' Yes': -5.013763, '\n': -5.3701262, ' ': -8.760541}
{' Yes': -0.3933265, ' No': -1.1799629, 'Yes': -4.9126706, 'No': -5.2641435, '\n': -5.3633885}
{' Yes': -0.1410396, ' No': -2.186095, 'Yes': -4.2850156, 'No': -5.9417944, '\n': -5.982226}
{' Yes': -0.01662482, 'Yes': -4.648855, ' No': -5.119583, '\n': -7.506832, ' yes': -8.364759}
{' No': -0.12904835, ' Yes': -2.3562953, 'No': -4.19682, '\n': -4.692216, 'Yes': -7.1467066}
{' No': -5.6221895, '\n': -3.3777232, ' Yes': -0.18478379, ' Sur': -2.2028005, 'Yes': -4.106273}
{' No': -0.020015586, 'No': -4.1894946, ' Yes': -6.0160103, '\n': -6.2302284, ' ': -9.306741}
{' No': -0.26404753, ' Yes': -1.5331153, 'No': -4.468279, 'Yes': -5.7706637, '\n': -7.30865}
{' No': -0.04909587, 'No': -3.8045201, ' Yes': -3.8364491, '\n': -5.682091, 'Yes': -7.6874}
{' No': -0.418624, ' Yes': -1.1519691, 'No': -4.0578012, 'Yes': -5.099427, '\n': -6.064601}
{' No': -0.032840375, '\n': -5.046472, ' ': -7.6893415, 'No': -3.7942293, ' Yes': -5.8841033}
{' No': -0.07354622, 'No': -3.5176663, ' Yes': -3.551766, '\n': -4.5046277, 'Yes': -7.0826015}
{' No': -0.020575376, 'No': -4.2215776, ' Yes': -5.75594, '\n': -6.122839, ' ': -8.71761}
{' Yes': -0.27041724, ' No': -1.6562376, 'Yes': -3.4100065, 'No': -4.586894, ' yes': -6.5899587}
{' No': -2.6830971, '\n': -6.1653934, 'No': -6.53539, ' Yes': -0.087933786, 'Yes': -4.427554}
{' No': -5.04376, '\n': -7.3103557, ' Yes': -0.017175436, ' yes': -8.4405575, 'Yes': -4.653785}
{' No': -0.56917024, '\n': -4.4606247, 'No': -4.5320015, ' Yes': -0.8998835, 'Yes': -5.7121677}
{' No': -2.7503557, '\n': -4.1076994, ' Yes': -0.10680871, ' Sur': -4.996949, 'Yes': -4.4402914}
{' No': -0.01828231, '\n': -6.702757, ' ': -9.082903, 'No': -4.2905927, ' Yes': -5.8539085}
{' No': -0.6781086, ' Yes': -0.74460065, 'No': -4.895373, 'Yes': -5.083792, '\n': -5.6956367}
{' Yes': -0.032130577, 'Yes': -4.1827955, ' No': -4.396409, '\n': -5.7013273, 'No': -7.8444324}
{' No': -3.0219681, '\n': -5.095971, 'No': -6.618037, ' Yes': -0.074224025, 'Yes': -4.206146}
{' No': -0.2500107, '\n': -3.8222668, 'No': -3.4093733, ' Yes': -1.820161, 'Yes': -5.762149}
{' Yes': -0.06950937, 'Yes': -3.5170438, '\n': -3.641565, ' No': -4.6055884, 'No': -7.566383}
{' No': -0.05798314, 'No': -3.3717265, '\n': -4.1886306, ' Yes': -5.125843, ' ': -7.991891}
{' Yes': -0.23989794, ' No': -1.7651186, 'Yes': -3.7446072, '\n': -4.5837183, 'No': -4.875079}
{' No': -7.1154485, '\n': -5.1032877, ' ': -8.416882, ' Yes': -0.027741434, 'Yes': -3.9142847}
{' No': -7.151291, '\n': -5.4654064, ' Yes': -0.02605108, ' yes': -8.585575, 'Yes': -3.902703}
{' No': -4.834299, '\n': -3.4488316, ' ': -7.300501, ' Yes': -0.067447744, 'Yes': -3.737381}
{'\n': -5.848318, ' ': -8.130027, ' Yes': -0.032999672, ' yes': -8.16546, 'Yes': -3.545195}
{' No': -0.7275458, ' Yes': -1.091262, '\n': -2.2261384, 'No': -3.0730677, 'Yes': -4.2621737}
{' Yes': -0.11738919, ' No': -3.2319465, 'Yes': -3.3991027, '\n': -3.4196217, 'No': -5.705707}
{' No': -3.6179667, '\n': -5.414199, 'No': -6.7599683, ' Yes': -0.049925856, 'Yes': -4.1531}
{' No': -4.6207976, '\n': -5.2671313, ' Yes': -0.025350416, 'Yes': -4.7331023, ' Hospital': -7.7168593}
{' No': -1.4211221, '\n': -3.2877314, 'No': -4.3263416, ' Yes': -0.37357947, 'Yes': -3.9654238}
{' No': -0.8663449, '\n': -4.812048, 'No': -4.5125356, ' Yes': -0.5977139, 'Yes': -4.7816906}
{' Yes': -0.072061956, ' No': -3.0336995, 'Yes': -4.3141885, '\n': -5.256573, 'No': -6.4491367}
{' Yes': -0.5725159, ' No': -0.95927095, '\n': -3.729334, 'No': -4.2056866, 'Yes': -4.706616}
{' Yes': -0.040317878, 'Yes': -4.1518235, ' No': -4.249848, '\n': -4.9108486, 'No': -7.2299542}
{'\n': -7.413151, ' Yes': -0.009946734, ' yes': -8.769463, ' Sur': -8.931519, 'Yes': -4.731184}
{' No': -1.9043709, '\n': -3.3533702, 'No': -4.9570765, ' Yes': -0.24616216, 'Yes': -3.9785705}
{' Yes': -0.62549895, ' No': -0.991357, '\n': -2.7674916, 'No': -4.2672453, 'Yes': -4.5735884}
{'\n': -8.024468, ' ': -10.789925, ' Yes': -0.011903426, ' yes': -9.134023, 'Yes': -4.4791694}
{' Yes': -0.013733656, 'Yes': -4.394898, '\n': -7.213954, ' yes': -8.175186, ' No': -8.520965}
{' Yes': -0.014599008, 'Yes': -4.5242286, '\n': -6.2613983, ' Sur': -6.872299, ' yes': -7.909548}
{' Yes': -0.043039933, ' No': -3.6164136, 'Yes': -4.4028516, '\n': -6.716776, ' yes': -7.381309}
{' Yes': -0.009154449, 'Yes': -4.775199, '\n': -8.121022, ' yes': -8.230804, ' YES': -9.903825}
{' No': -0.02744249, '\n': -6.025787, ' ': -9.286687, 'No': -3.8164723, ' Yes': -6.01111}
{' No': -0.11297739, ' Yes': -2.565944, 'No': -3.7379012, '\n': -5.438173, 'Yes': -6.6740294}
{' No': -0.12275643, ' Yes': -2.431419, 'No': -3.9436445, '\n': -5.002816, 'Yes': -6.971438}
{' No': -1.1015126, '\n': -6.0811415, 'No': -5.474714, ' Yes': -0.42431796, 'Yes': -5.076404}
{' Yes': -0.021794999, 'Yes': -4.328035, ' No': -4.9848747, '\n': -7.0275497, 'No': -8.5897875}
{' No': -0.21682929, '\n': -4.3441105, 'No': -3.6768703, ' Yes': -1.8852538, 'Yes': -5.499861}
{' No': -0.18535964, '\n': -4.737035, 'No': -3.9800942, ' Yes': -1.9812921, 'Yes': -6.228862}
{' No': -0.212264, '\n': -4.2433214, 'No': -4.127534, ' Yes': -1.8456564, 'Yes': -6.673592}
{' Yes': -0.37436146, ' No': -1.2943673, '\n': -4.4280686, 'Yes': -4.6310196, ' Sur': -4.7551136}
{' No': -0.17381443, ' Yes': -2.0699782, '\n': -3.9146683, 'No': -4.6527553, 'Yes': -6.516488}
{'\n': -5.317464, ' ': -8.615392, ' Yes': -0.020365972, ' yes': -8.542941, 'Yes': -4.2222877}
{' Yes': -0.036493436, 'Yes': -3.9051092, '\n': -4.410475, ' No': -6.097139, ' The': -7.692192}
{' Yes': -0.0945159, '\n': -3.223853, ' No': -3.4979885, 'Yes': -4.112857, 'No': -6.3246083}
{'\n': -5.6372447, ' ': -8.477819, ' Yes': -0.031686116, ' yes': -7.968323, 'Yes': -3.6216843}
{' No': -1.5793501, '\n': -3.334765, 'No': -4.9049134, ' Yes': -0.32179326, 'Yes': -4.267295}
{' No': -0.11402768, '\n': -5.7783914, 'No': -4.240952, ' Yes': -2.422984, 'Yes': -6.5836854}
{' No': -0.024247974, '\n': -6.7410483, ' ': -9.496616, 'No': -3.884151, ' Yes': -6.1980147}
{' No': -0.07299884, ' Yes': -3.5507455, 'No': -3.621968, '\n': -4.3178906, ' ': -7.0016956}
{' Yes': -0.30282754, ' No': -1.5105703, '\n': -3.9985747, 'Yes': -4.2734065, 'No': -5.1690803}
{' No': -0.036355402, 'No': -3.7323716, '\n': -4.9521914, ' Yes': -5.4992323, ' ': -8.046233}
{' No': -0.4037148, '\n': -5.098997, 'No': -4.430353, ' Yes': -1.1766449, 'Yes': -5.237068}
{' Yes': -0.119815975, ' No': -2.400471, 'Yes': -4.0718365, '\n': -5.945118, 'No': -6.0659714}
{' No': -5.656968, '\n': -7.4082427, ' Yes': -0.0137569215, ' yes': -8.924132, 'Yes': -4.675456}
{' Yes': -0.25348467, ' No': -1.6895368, '\n': -3.8740597, 'Yes': -4.587288, 'No': -5.222759}
{' No': -5.2573767, '\n': -4.8066077, ' Yes': -0.030185236, ' Sur': -5.487918, 'Yes': -4.4599676}
{' No': -0.031275727, ' Not': -9.205375, '\n': -5.989321, 'No': -3.745074, ' Yes': -5.4370165}
{' No': -0.07086569, '\n': -6.988395, 'No': -4.539261, ' Yes': -2.8833616, 'Yes': -7.294584}
{' No': -0.05245809, '\n': -4.9789314, 'No': -3.5359156, ' Yes': -4.2472725, 'Yes': -7.8644047}
{' No': -0.089084655, '\n': -4.8535404, 'No': -3.3370209, ' Yes': -3.2146378, 'Yes': -6.684973}
{' No': -0.030006917, '\n': -5.577638, ' ': -8.359629, 'No': -3.6960359, ' Yes': -7.30918}
{' No': -0.042042695, 'No': -3.363362, '\n': -5.162127, ' Yes': -7.6394587, ' ': -8.483548}
{' No': -0.03875857, '\n': -5.765994, ' ': -8.603488, 'No': -3.3773358, ' Yes': -7.6768775}
{' No': -0.6237932, ' Yes': -0.8422837, 'No': -3.9882762, 'Yes': -4.379626, '\n': -6.2279935}
{' Yes': -0.6390361, ' No': -0.77619934, 'No': -5.2861137, 'Yes': -5.3763785, '\n': -6.1842437}
{' No': -4.4570875, '\n': -6.4865923, ' Yes': -0.022990547, ' yes': -7.9956574, 'Yes': -4.7227716}
{' No': -0.19014359, '\n': -5.1219597, 'No': -4.4990845, ' Yes': -1.8704529, 'Yes': -6.7445655}
{' No': -1.8912426, '\n': -2.5641398, ' Yes': -0.4638593, ' Sur': -2.0956342, 'Yes': -4.42823}
{' No': -0.013507075, '\n': -5.7738657, ' ': -8.5108595, 'No': -4.7763567, ' Yes': -6.433778}
{' Yes': -0.22787693, ' No': -1.6636546, 'Yes': -4.6949735, 'No': -6.000791, '\n': -6.116562}
{' No': -2.587398, '\n': -4.4739127, 'No': -5.605132, ' Yes': -0.12195355, 'Yes': -3.7363827}
{' Yes': -0.119330496, ' No': -2.6060686, 'Yes': -3.709748, '\n': -4.611478, 'No': -5.6574597}
{' No': -0.32841003, ' Yes': -1.8005168, '\n': -2.747012, 'No': -3.1407573, 'Yes': -5.246718}
{' No': -1.6632336, '\n': -2.748126, 'No': -4.1942625, ' Yes': -0.37309557, 'Yes': -3.1912715}
{' No': -0.085281774, '\n': -3.724316, ' ': -7.2638206, 'No': -2.944298, ' Yes': -5.584202}
{' No': -0.69864744, ' Yes': -0.81998724, 'No': -3.6826925, '\n': -3.8670413, 'Yes': -4.202914}
{' Yes': -0.05271956, 'Yes': -3.4542487, '\n': -4.2654133, ' No': -5.444021, ' ': -7.478485}
{' Yes': -0.05121843, 'Yes': -3.4115126, '\n': -4.3245187, ' No': -5.9494324, ' ': -7.7853456}
{' No': -2.106433, '\n': -2.3107805, 'No': -4.139531, ' Yes': -0.32144246, 'Yes': -3.3512712}
{' No': -7.5782275, '\n': -3.7935007, ' ': -6.934816, ' Yes': -0.0757006, 'Yes': -3.0309618}
{' No': -0.73633957, '\n': -1.8594952, 'No': -2.6792488, ' Yes': -1.304413, 'Yes': -4.0351233}
{' Yes': -0.2918124, ' No': -2.1767783, '\n': -2.7917285, 'Yes': -2.865348, 'No': -3.9989274}
{' Yes': -0.32483518, ' No': -1.4903109, 'Yes': -3.8916798, '\n': -4.0813007, 'No': -4.281172}
{' Yes': -0.15232207, ' No': -2.209903, '\n': -4.2531996, 'Yes': -4.500594, 'No': -5.3484106}
{' No': -0.15204994, 'No': -2.810247, ' Yes': -2.9797974, '\n': -3.5985236, 'Yes': -6.169735}
{' No': -0.33145002, ' Yes': -1.4171185, 'No': -3.7028816, '\n': -4.7013955, 'Yes': -5.283299}
{' Yes': -0.23771635, ' No': -1.7010229, 'Yes': -4.205951, 'No': -4.964872, '\n': -5.110296}
{' No': -2.2298136, '\n': -3.8867598, 'No': -5.1692667, ' Yes': -0.1661922, 'Yes': -4.002433}
{' Yes': -0.098841555, '\n': -3.223622, ' No': -3.4979315, 'Yes': -3.8835094, 'No': -6.270282}
{' Yes': -0.042163484, 'Yes': -3.7831051, '\n': -4.0309043, ' yes': -8.459905, ' ': -8.467174}
{' Yes': -0.7433853, ' No': -0.9815864, '\n': -2.2038612, 'No': -3.9067419, 'Yes': -4.2405186}
{' Yes': -0.30870116, ' No': -1.7258631, '\n': -2.808123, 'Yes': -4.1046433, 'No': -4.8013787}
{' Yes': -0.009053096, 'Yes': -4.7562394, '\n': -8.746381, ' yes': -8.989961, ' No': -9.4417925}
{' No': -7.945351, '\n': -7.677527, ' Yes': -0.01262419, ' yes': -8.275182, 'Yes': -4.475883}
{' Yes': -0.014599855, 'Yes': -4.4232183, '\n': -6.946503, ' Sur': -7.159228, ' yes': -8.162955}
{' No': -4.781434, '\n': -7.7620215, ' Yes': -0.020115988, ' yes': -7.68091, 'Yes': -4.5808535}
{' No': -8.536028, '\n': -9.145243, ' Yes': -0.0061135064, ' yes': -8.46533, 'Yes': -5.212057}
{' No': -0.023465168, 'No': -4.219781, ' Yes': -4.8987494, '\n': -7.1175065, 'Yes': -9.184304}
{' No': -0.058954045, '\n': -6.209009, 'No': -3.8643374, ' Yes': -3.393518, 'Yes': -7.572363}
{' No': -0.20524725, '\n': -4.50435, 'No': -3.8778734, ' Yes': -1.8921636, 'Yes': -6.1908965}
{' No': -1.5986009, '\n': -5.6056504, 'No': -5.591986, ' Yes': -0.24987654, 'Yes': -4.532084}
{' No': -3.9294496, '\n': -6.7754846, 'No': -7.981425, ' Yes': -0.032545634, 'Yes': -4.572224}
{' No': -0.19928132, ' Yes': -1.8958583, 'No': -3.9981322, '\n': -4.792251, 'Yes': -5.8059206}
{' Yes': -0.16896485, ' No': -2.0042806, 'Yes': -4.4189324, '\n': -5.4501705, 'No': -5.83716}
{' No': -0.19501004, ' Yes': -1.8444202, 'No': -4.4377656, '\n': -5.3865933, 'Yes': -6.668095}
{' Yes': -0.27204567, ' No': -1.7829653, ' Sur': -3.1482701, 'Yes': -4.3388543, '\n': -4.9369035}
{' No': -0.23627183, '\n': -4.9921765, 'No': -4.412066, ' Yes': -1.6730528, 'Yes': -5.850749}
{' Yes': -0.027971694, 'Yes': -4.0711865, '\n': -4.7072487, ' No': -7.271073, ' ': -8.097387}
{' No': -4.9490643, '\n': -3.923191, ' Yes': -0.05141451, ' The': -7.1322, 'Yes': -3.8539884}
{' No': -2.7317305, '\n': -4.2513394, 'No': -5.9100113, ' Yes': -0.10159395, 'Yes': -4.3818116}
{' No': -7.632155, '\n': -4.569024, ' Yes': -0.038588498, ' The': -7.535942, 'Yes': -3.6584823}
{' No': -3.1850438, '\n': -3.7483604, 'No': -6.416215, ' Yes': -0.091883704, 'Yes': -4.0087576}
{' No': -0.14527828, ' Yes': -2.1842513, 'No': -4.0970526, '\n': -5.5412683, 'Yes': -6.3242216}
{' No': -0.052328758, 'No': -3.4999166, ' Yes': -4.4139695, '\n': -4.848202, ' ': -7.931738}
{' No': -0.27254912, '\n': -3.9209826, 'No': -4.153359, ' Yes': -1.6110271, 'Yes': -6.295094}
{' No': -3.449449, '\n': -4.851316, 'No': -6.963378, ' Yes': -0.05986552, 'Yes': -4.0930305}
{' No': -0.030915417, '\n': -5.4468355, ' ': -8.3661585, 'No': -3.7130864, ' Yes': -6.595078}
{' No': -0.21784797, '\n': -5.290127, 'No': -4.2575397, ' Yes': -1.7529279, 'Yes': -5.9407334}
{' No': -0.5559183, ' Yes': -0.9280362, 'No': -4.363919, '\n': -4.520201, 'Yes': -4.954907}
{' No': -5.1498103, '\n': -7.640647, ' Yes': -0.015660584, ' yes': -8.7516165, 'Yes': -4.7165976}
{' No': -0.36464372, '\n': -4.2913957, 'No': -4.3977723, ' Yes': -1.2892939, 'Yes': -6.09751}
{' Yes': -0.13931105, ' Sur': -2.7393684, '\n': -3.224207, 'Yes': -3.9386387, ' No': -6.0131125}
{' No': -0.027658774, '\n': -5.542357, ' ': -8.751055, 'No': -3.7856905, ' Yes': -7.8460383}
{' No': -0.06196693, '\n': -6.76114, 'No': -4.54741, ' Yes': -3.0517282, 'Yes': -7.475915}
{' No': -0.0341115, '\n': -5.683787, ' ': -8.300562, 'No': -3.6631455, ' Yes': -5.493611}
{' No': -0.079290725, '\n': -5.9186177, 'No': -3.7999423, ' Yes': -2.9961362, 'Yes': -6.989289}
{' No': -0.022109868, '\n': -6.7379394, ' ': -8.947522, 'No': -3.9085898, ' Yes': -7.706131}
{' No': -0.054221172, 'No': -3.246867, '\n': -4.56388, ' Yes': -6.0109606, ' ': -7.724183}
{' No': -0.024475902, '\n': -6.89605, ' ': -9.1031885, 'No': -3.7962499, ' Yes': -7.6171227}
{' No': -0.3103553, '\n': -6.5401673, 'No': -4.147874, ' Yes': -1.40936, 'Yes': -5.3084726}
{' No': -0.50001836, ' Yes': -0.9814199, 'No': -4.799674, '\n': -5.103803, 'Yes': -5.554223}
{' Yes': -0.017326128, 'Yes': -4.740318, ' No': -4.9328322, '\n': -7.03391, ' yes': -8.790681}
{' No': -0.12837794, '\n': -4.727466, ' ': -7.068402, 'No': -4.3581066, ' Yes': -2.334612}
{' Yes': -0.63937384, ' No': -1.0525361, '\n': -2.7131863, ' Sur': -3.439993, 'Yes': -4.4754353}
{' No': -0.020577261, '\n': -5.5138497, ' ': -8.171177, 'No': -4.191912, ' Yes': -7.135729}
{' No': -0.70078504, ' Yes': -0.72198516, 'No': -4.854359, 'Yes': -5.0267982, '\n': -5.7516575}
{' Yes': -0.22491013, ' No': -1.8610033, 'Yes': -3.90352, '\n': -4.0384936, 'No': -4.94787}
{' No': -2.8992784, '\n': -4.294687, 'No': -5.9342246, ' Yes': -0.10103401, 'Yes': -3.7365375}
{' No': -0.35492247, '\n': -2.7402391, 'No': -2.9685223, ' Yes': -1.7514373, 'Yes': -5.0286727}
{' Yes': -0.26538163, ' No': -2.1930912, '\n': -2.632201, 'Yes': -3.2273145, 'No': -4.8402314}
{' No': -0.10799798, 'No': -2.5097067, '\n': -3.9572163, ' Yes': -7.0912724, ' ': -7.395929}
{' No': -0.27669337, '\n': -3.8861864, 'No': -3.1936488, ' Yes': -1.7557163, 'Yes': -5.1076107}
{' Yes': -0.04573572, 'Yes': -3.711875, '\n': -4.3882093, ' No': -5.0352144, 'No': -7.5785394}
{' Yes': -0.032381732, 'Yes': -3.7718244, '\n': -5.2325273, ' No': -5.8869114, ' yes': -8.453642}
{' No': -2.1477225, '\n': -2.6453001, 'No': -4.5441093, ' Yes': -0.2566283, 'Yes': -3.670107}
{' Yes': -0.06070379, 'Yes': -3.0727599, '\n': -4.5408006, ' ': -7.215071, ' No': -7.5833}
{' No': -0.5491418, '\n': -2.199893, 'No': -2.4605093, ' Yes': -1.6132935, 'Yes': -4.424119}
{' Yes': -0.25307593, ' No': -1.9974186, '\n': -3.1428826, 'Yes': -3.5016835, 'No': -4.4618998}
{' Yes': -0.18632556, ' No': -2.0411916, 'Yes': -3.9219117, '\n': -4.456858, 'No': -4.855543}
{' No': -1.8846396, '\n': -3.9457414, 'No': -5.0493107, ' Yes': -0.21049678, 'Yes': -4.597025}
{' No': -0.32999596, ' Yes': -1.6024282, '\n': -3.2136912, 'No': -3.3980348, 'Yes': -5.2547603}
{' No': -0.08146593, '\n': -4.0847673, 'No': -3.3350496, ' Yes': -3.7296803, 'Yes': -7.574614}
{' Yes': -0.23286822, ' No': -1.8140202, '\n': -4.0656853, 'Yes': -4.094896, 'No': -4.8849025}
{' No': -1.5688155, '\n': -3.4624274, 'No': -4.338831, ' Yes': -0.31801832, 'Yes': -4.07341}
{' No': -2.7613783, '\n': -3.5980065, 'No': -5.3203, ' Yes': -0.12975034, 'Yes': -3.7826052}
{' No': -7.636228, '\n': -3.562925, ' ': -6.931366, ' Yes': -0.06924437, 'Yes': -3.319948}
{' No': -0.15231797, '\n': -2.5866575, 'No': -3.1241422, ' Yes': -4.384543, ' Unfortunately': -5.0256486}
{' No': -0.75191563, '\n': -2.5806262, 'No': -3.7582195, ' Yes': -0.88317746, 'Yes': -4.597159}
{' No': -8.090328, '\n': -7.887314, ' Yes': -0.00925094, ' yes': -9.000599, 'Yes': -4.7894173}
{' Yes': -0.015537383, 'Yes': -4.454975, ' No': -5.9613266, '\n': -7.1426063, ' yes': -8.288191}
{' Yes': -0.01646369, 'Yes': -4.36378, ' Sur': -6.553542, '\n': -6.59847, ' yes': -8.065124}
{' Yes': -0.40762228, ' No': -1.1689901, 'Yes': -4.571425, 'No': -4.856681, '\n': -5.3206797}
{' No': -7.1869783, '\n': -7.657832, ' Yes': -0.010632956, ' yes': -8.0944605, 'Yes': -4.729833}
{' No': -0.028857984, '\n': -6.0228553, 'No': -4.1806273, ' Yes': -4.5642715, 'Yes': -8.849307}
{' No': -0.11926548, '\n': -4.899298, 'No': -3.6584516, ' Yes': -2.5590503, 'Yes': -6.6076207}
{' No': -0.099075764, ' Yes': -2.7493422, 'No': -3.9665892, '\n': -4.6002197, 'Yes': -7.2799625}
{' No': -0.22321215, '\n': -5.7072816, 'No': -4.5592985, ' Yes': -1.6945713, 'Yes': -6.2388515}
{' Yes': -0.034447305, ' No': -3.757399, 'Yes': -4.8446813, '\n': -6.4652405, 'No': -7.996819}
{' No': -0.047110632, 'No': -3.8708198, ' Yes': -3.933236, '\n': -5.327363, 'Yes': -7.8972707}
{' No': -0.19622318, '\n': -5.964543, 'No': -4.493954, ' Yes': -1.8178796, 'Yes': -6.4527936}
{' No': -0.08685437, ' Yes': -2.9026597, 'No': -3.874198, '\n': -5.099212, ' ': -7.383836}
{' Yes': -0.16475141, ' No': -2.1104147, 'Yes': -4.437031, ' Sur': -4.6925583, '\n': -5.155384}
{' No': -0.094200894, ' Yes': -2.774287, '\n': -4.3067517, 'No': -4.465945, 'Yes': -7.0779214}
{'\n': -5.590255, ' ': -8.556056, ' Yes': -0.018227858, ' yes': -8.626899, 'Yes': -4.2958555}
{' Yes': -0.04659344, 'Yes': -3.7820938, '\n': -4.177876, ' No': -5.236819, ' The': -7.1165357}
{' No': -2.5300763, '\n': -3.5832834, 'No': -5.325288, ' Yes': -0.14287506, 'Yes': -4.054841}
{'\n': -4.213785, ' ': -7.303259, ' Yes': -0.05334116, ' yes': -7.304514, 'Yes': -3.351889}
{' Yes': -0.7652868, ' No': -0.9108862, '\n': -2.5957272, 'No': -3.7396996, 'Yes': -4.208347}
{' No': -0.17787877, ' Yes': -1.9104435, 'No': -4.5239463, '\n': -6.1005697, 'Yes': -6.4124284}
{' No': -0.040727105, '\n': -5.616405, ' ': -8.357166, 'No': -3.6476989, ' Yes': -4.642162}
{' No': -0.08688233, '\n': -4.8145165, 'No': -3.7422588, ' Yes': -3.002587, 'Yes': -7.3657055}
{' No': -2.263276, '\n': -4.3276796, 'No': -5.7871366, ' Yes': -0.14847068, 'Yes': -4.1112943}
{' No': -0.0311924, '\n': -5.209953, ' ': -8.249371, 'No': -3.7704787, ' Yes': -6.467357}
{' No': -0.26396728, ' Yes': -1.5245606, 'No': -4.711513, '\n': -5.9672885, 'Yes': -6.1437163}
{' No': -1.8839136, '\n': -6.7623177, 'No': -6.2109933, ' Yes': -0.17801742, 'Yes': -4.86492}
{' Yes': -0.021505132, ' No': -4.436872, 'Yes': -4.8745785, '\n': -6.6680865, ' yes': -8.419398}
{' No': -2.7633395, '\n': -4.960908, 'No': -6.7535505, ' Yes': -0.083400205, 'Yes': -4.842561}
{' No': -6.903197, '\n': -4.7019434, ' Yes': -0.02311809, ' Sur': -6.5211267, 'Yes': -4.5402327}
{' No': -0.02433836, '\n': -5.702376, ' ': -8.888886, 'No': -4.0366936, ' Yes': -5.9294724}
{' No': -0.10671069, ' Yes': -2.4157412, 'No': -4.7512646, '\n': -6.5895653, 'Yes': -6.9945335}
{' No': -0.030212082, 'No': -3.651197, '\n': -6.2827168, ' Yes': -6.3786845, ' ': -8.740904}
{' No': -0.064291656, ' Yes': -3.4520478, 'No': -3.5732827, '\n': -6.404619, 'Yes': -7.3057404}
{' No': -0.023559324, '\n': -6.622616, ' ': -8.80521, 'No': -3.8368757, ' Yes': -8.541082}
