{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' A': -0.20301083, ' B': -1.6988642, ' (': -8.828173, ' "': -7.733682, " '": -8.924768}
{' A': -0.09410587, ' B': -2.4188645, ' "': -7.8519144, ' (': -8.72452, " '": -8.924494}
{' A': -0.027351396, ' B': -3.6402857, ' (': -8.756575, ' "': -7.9177876, " '": -9.025519}
{' A': -0.024817038, ' B': -3.7351823, ' (': -8.864376, ' "': -8.117979, " '": -9.125221}
{' A': -0.035836257, ' B': -3.3667097, ' "': -7.989098, ' (': -8.825684, " '": -9.068104}
{' A': -0.013430952, ' B': -4.365325, ' "': -8.097867, ' (': -8.877612, " '": -9.245023}
{' A': -0.11226167, ' B': -2.2496977, ' (': -8.906194, ' "': -7.8509164, " '": -8.9847}
{' A': -0.008730645, ' B': -4.8248487, ' (': -8.890086, ' "': -8.016093, " '": -9.089869}
{' A': -0.017623339, ' B': -4.0799346, ' (': -9.081478, ' "': -8.181651, " '": -9.46782}
{' A': -0.01020515, ' B': -4.652764, ' (': -8.940787, ' "': -8.120774, " '": -9.210608}
{' A': -0.021247009, ' B': -3.8924472, ' (': -9.00738, ' "': -8.048043, " '": -9.2761135}
{' A': -0.0057628606, ' B': -5.2651525, ' (': -8.879188, ' "': -8.261497, " '": -9.238062}
{' A': -0.007299877, ' B': -5.012715, ' (': -9.039203, ' "': -8.059105, " '": -9.224608}
{' A': -0.008576672, ' B': -4.8355627, ' (': -8.900311, ' "': -8.20219, " '": -9.222391}
{' A': -0.0134456325, ' B': -4.364285, ' (': -8.910963, ' "': -8.096054, " '": -9.221289}
{' A': -0.007260251, ' B': -5.015143, ' "': -8.173562, ' (': -8.924895, " '": -9.2774}
{' A': -0.014629672, ' B': -4.2774506, ' (': -9.032234, ' "': -7.997878, " '": -9.172087}
{' A': -0.0022422932, ' B': -6.4286776, ' "': -8.085997, ' (': -8.85523, " '": -9.308642}
{' b': -9.843369, ' A': -2.559292, ' B': -0.08100728, ' (': -9.561231, ' "': -8.445856}
{' A': -1.8622344, ' B': -0.1694129, ' (': -9.289112, ' "': -8.332111, " '": -9.697784}
{' A': -2.5443811, ' B': -0.08226116, ' (': -9.4682255, ' "': -8.518634, " '": -9.825817}
{' A': -1.7558248, ' B': -0.19032246, ' (': -9.09385, ' "': -8.325187, " '": -9.670111}
{' A': -2.0898936, ' B': -0.13257848, ' (': -9.657072, ' "': -8.394688, " '": -9.727981}
{' A': -1.6147157, ' B': -0.22252472, ' (': -9.234457, ' "': -8.239555, " '": -9.625254}
{' B': -0.17908783, ' A': -1.8110363, ' "': -8.476059, ' (': -9.271414, " '": -9.789303}
{' A': -1.3323894, ' B': -0.30715334, ' (': -9.034897, ' "': -8.1669655, " '": -9.46207}
{' A': -2.2079468, ' B': -0.117004365, ' (': -9.327314, ' "': -8.414495, " '": -9.698624}
{' B': -0.27753237, ' A': -1.4199024, ' "': -8.202311, ' (': -8.926262, " '": -9.528932}
{' A': -1.0502357, ' B': -0.4316635, ' (': -8.760303, ' "': -8.002514, " '": -9.369245}
{' A': -1.3201969, ' B': -0.3115317, ' (': -9.086758, ' "': -8.222717, " '": -9.526207}
{' B': -0.4875528, ' A': -0.9539568, ' "': -8.118417, ' (': -8.87509, " '": -9.549893}
{' B': -0.29269597, ' A': -1.3737221, ' "': -8.251589, ' (': -9.072698, " '": -9.53195}
{' B': -0.055550218, ' A': -2.9250648, ' "': -8.652209, ' b': -9.861139, " '": -9.964219}
{' A': -0.32143015, ' B': -1.2940272, ' (': -8.720618, ' "': -7.996716, " '": -9.484744}
{' A': -0.5662924, ' B': -0.8399684, ' (': -8.828214, ' "': -8.161649, " '": -9.543524}
{' A': -0.13033059, ' B': -2.107849, ' (': -8.577531, ' "': -8.136403, " '": -9.468392}
{' A': -0.73882604, ' B': -0.6508801, ' (': -8.6981125, ' "': -8.002997, " '": -9.352269}
{' A': -0.24933738, ' B': -1.5143406, ' (': -8.61644, ' "': -8.030122, " '": -9.368434}
{' A': -0.06983005, ' B': -2.7067623, ' (': -8.520371, ' "': -8.111876, " '": -9.509336}
{' A': -0.08137166, ' B': -2.5571654, ' (': -8.667736, ' "': -8.2595, " '": -9.565308}
{' A': -0.08600871, ' B': -2.5037827, ' (': -8.700842, ' "': -8.19385, " '": -9.551082}
{' A': -0.03832215, ' B': -3.2961879, ' "': -8.338141, ' (': -8.769265, " '": -9.619454}
{' A': -0.22832267, ' B': -1.5924242, ' (': -8.752047, ' "': -8.035531, " '": -9.409177}
{' A': -0.015680866, ' B': -4.200085, ' (': -8.757453, ' "': -8.313266, " '": -9.659806}
{' A': -0.043972336, ' B': -3.1583178, ' "': -8.462111, ' (': -8.896641, 'A': -9.642607}
{' A': -0.021008434, 'A': -9.667484, ' B': -3.8990448, ' (': -8.817926, ' "': -8.455249}
{' A': -0.06317268, ' B': -2.803111, ' (': -8.787277, ' "': -8.274976, " '": -9.580084}
{' A': -0.020855416, ' B': -3.9055388, ' "': -8.531578, ' (': -8.792329, 'A': -9.688985}
{' A': -0.01655634, ' B': -4.144276, ' "': -8.337605, ' (': -8.735405, 'A': -9.685572}
{' A': -0.039789684, ' B': -3.2588675, ' "': -8.331857, ' (': -8.777537, " '": -9.591979}
{' A': -0.045936715, ' B': -3.1165903, ' (': -8.712442, ' "': -8.338181, " '": -9.631488}
{' A': -0.0151002165, 'A': -9.667539, ' B': -4.2349696, ' (': -8.786381, ' "': -8.532468}
{' A': -0.024422279, 'A': -9.668324, ' B': -3.7474616, ' (': -8.826756, ' "': -8.34317}
{' A': -0.003390238, ' B': -5.8661656, ' "': -8.452959, ' (': -8.618258, 'A': -9.651398}
{' A': -2.0944738, ' B': -0.13199544, ' (': -9.544223, ' "': -8.248785, " '": -9.4837265}
{' A': -1.104741, ' B': -0.40345854, ' (': -9.030374, ' "': -7.9756274, " '": -9.229306}
{' A': -1.7507219, ' B': -0.1914244, ' (': -9.357937, ' "': -8.176019, " '": -9.341879}
{' A': -1.1500686, ' B': -0.3816951, ' (': -8.956273, ' "': -8.046511, " '": -9.2177725}
{' B': -0.22811076, ' A': -1.5929141, ' "': -8.09919, ' (': -9.23748, " '": -9.28367}
{' A': -1.1360492, ' B': -0.38820258, ' (': -9.117002, ' "': -8.090886, " '": -9.39112}
{' A': -1.0006444, ' B': -0.4592722, ' (': -9.046376, ' "': -8.198934, " '": -9.362491}
{' A': -0.86834943, ' B': -0.54534185, ' (': -8.955168, ' "': -8.010761, " '": -9.027979}
{' A': -1.1623996, ' B': -0.3759826, ' (': -8.986137, ' "': -8.13691, " '": -9.205907}
{' A': -0.81302017, ' B': -0.58743614, ' (': -8.771651, ' "': -8.015359, " '": -9.077288}
{' A': -0.69238186, ' B': -0.69536877, ' (': -8.7726965, ' "': -7.999348, " '": -9.236733}
{' B': -0.57331944, ' A': -0.8308649, ' "': -8.090908, ' (': -8.975844, " '": -9.142516}
{' A': -0.5738072, ' B': -0.8303399, ' (': -8.8761015, ' "': -7.991995, " '": -9.096813}
{' B': -0.5535354, ' A': -0.857069, ' "': -8.084751, ' (': -8.959868, " '": -9.12717}
{' A': -2.4130425, ' B': -0.094359145, ' (': -9.738551, ' "': -8.300615, " '": -9.41139}
{' A': -0.15680201, ' B': -1.9353207, ' (': -8.672441, ' "': -7.9730616, " '": -9.234548}
{' A': -0.33131212, ' B': -1.2681521, ' (': -8.831655, ' "': -8.138521, " '": -9.240852}
{' A': -0.12015092, ' B': -2.185098, ' "': -8.0397835, ' (': -8.573399, " '": -9.132697}
{' A': -0.39507285, ' B': -1.1221274, ' (': -8.635749, ' "': -7.9774184, " '": -9.103175}
{' A': -0.17862202, ' B': -1.8151786, ' (': -8.58922, ' "': -7.996323, " '": -9.065786}
{' A': -0.039990824, ' B': -3.256324, ' "': -8.190066, ' (': -8.561475, " '": -9.26537}
{' A': -0.057629492, ' B': -2.8940456, ' (': -8.664398, ' "': -8.225113, " '": -9.273868}
{' A': -0.07731904, ' B': -2.6073828, ' (': -8.689273, ' "': -8.108739, " '": -9.262161}
{' A': -0.038406007, ' B': -3.2959402, ' (': -8.75044, ' "': -8.1662, " '": -9.228351}
{' A': -0.26365566, ' B': -1.4653653, ' (': -8.759549, ' "': -7.9260807, " '": -9.035162}
{' A': -0.015123211, ' B': -4.240217, ' (': -8.75185, ' "': -8.206178, " '": -9.413792}
{' A': -0.0299385, ' B': -3.542113, ' (': -8.847845, ' "': -8.402416, " '": -9.559008}
{' A': -0.02040734, ' B': -3.9329245, ' (': -8.664556, ' "': -8.309884, " '": -9.305557}
{' A': -0.0384887, ' B': -3.293396, ' (': -8.691076, ' "': -8.269104, " '": -9.293643}
{' A': -0.013658182, ' B': -4.3430743, ' (': -8.703676, ' "': -8.413159, " '": -9.422024}
{' A': -0.007847044, ' B': -4.9241085, ' "': -8.4217615, ' (': -8.786036, " '": -9.486653}
{' A': -0.0270274, ' B': -3.647154, ' (': -8.766528, ' "': -8.301887, " '": -9.311472}
{' A': -0.024150703, ' B': -3.761873, ' (': -8.714828, ' "': -8.248445, " '": -9.287148}
{' A': -0.009190121, ' B': -4.7552896, ' (': -8.705496, ' "': -8.482349, " '": -9.591606}
{' A': -0.02941556, ' B': -3.561516, ' "': -8.291346, ' (': -8.771313, " '": -9.381679}
{' A': -0.0031797348, ' B': -5.941147, ' "': -8.473386, ' (': -8.64575, " '": -9.639444}
{' A': -1.7229847, ' B': -0.19738433, ' (': -9.167402, ' "': -8.224009, " '": -9.432462}
{' B': -0.43115425, ' A': -1.051279, ' "': -7.9426656, ' (': -8.852983, " '": -9.188169}
{' A': -1.4911019, ' B': -0.25592393, ' (': -8.981444, ' "': -8.08274, " '": -9.257132}
{' A': -1.0196515, ' B': -0.44860655, ' (': -8.74086, ' "': -7.955766, " '": -9.168138}
{' A': -1.3686559, ' B': -0.29452875, ' (': -9.092246, ' "': -8.107406, " '": -9.220534}
{' A': -0.86541736, ' B': -0.54744714, ' (': -8.892906, ' "': -8.084852, " '": -9.325035}
{' A': -0.8109308, ' B': -0.5890565, ' (': -8.784806, ' "': -8.096516, " '": -9.337689}
{' A': -0.6428527, ' B': -0.7476978, ' (': -8.788193, ' "': -7.9813514, " '": -9.133372}
{' A': -1.1719283, ' B': -0.3717802, ' (': -8.797884, ' "': -8.053414, " '": -9.137125}
{' A': -0.6553591, ' B': -0.73399526, ' (': -8.637354, ' "': -8.040013, " '": -9.147898}
{' A': -0.43014663, ' B': -1.0533004, ' (': -8.546686, ' "': -7.9508286, " '": -9.209879}
{' A': -0.7329824, ' B': -0.65615433, ' (': -8.8403225, ' "': -8.150606, " '": -9.210573}
{' A': -0.38753957, ' B': -1.137883, ' (': -8.634993, ' "': -7.979029, " '": -9.190105}
{' A': -0.71264577, ' B': -0.67549837, ' (': -8.808448, ' "': -8.00537, " '": -9.147492}
{' A': -2.1030605, ' B': -0.1308372, ' (': -9.424783, ' "': -8.300477, " '": -9.403527}
{' A': -0.15303488, ' B': -1.9578941, ' (': -8.5879755, ' "': -8.061169, " '": -9.295628}
{' A': -0.26843882, ' B': -1.4495473, ' (': -8.615631, ' "': -8.034167, " '": -9.2688465}
{' A': -0.06967597, ' B': -2.7089868, ' "': -8.2092905, ' (': -8.475532, " '": -9.340423}
{' A': -0.26674342, ' B': -1.455323, ' (': -8.551139, ' "': -7.942082, " '": -9.164427}
{' A': -0.12014964, ' B': -2.18516, ' (': -8.460845, ' "': -8.097397, " '": -9.189303}
{' A': -0.026320422, ' B': -3.6747158, ' (': -8.485499, ' "': -8.389622, " '": -9.520072}
{' A': -0.038632296, ' B': -3.289681, ' (': -8.54048, ' "': -8.359477, " '": -9.45019}
{' A': -0.052897703, ' B': -2.978259, ' "': -8.288463, ' (': -8.579573, " '": -9.419719}
{' A': -0.02161549, ' B': -3.8713846, ' "': -8.497826, ' (': -8.683875, " '": -9.544855}
{' A': -0.22152902, ' B': -1.6196785, ' (': -8.6568775, ' "': -8.019047, " '": -9.197846}
{' A': -0.007266136, ' B': -5.0110617, ' (': -8.58343, ' "': -8.415714, " '": -9.6356}
{' A': -0.017246319, 'A': -9.588239, ' B': -4.099895, ' (': -8.694984, ' "': -8.600345}
{' A': -0.012966501, ' B': -4.3963356, ' (': -8.587339, ' "': -8.537119, " '": -9.577045}
{' A': -0.022391194, ' B': -3.8383603, ' (': -8.550702, ' "': -8.404918, " '": -9.48361}
{' A': -0.008263267, 'A': -9.637433, ' B': -4.869195, ' (': -8.552297, ' "': -8.603738}
{' A': -0.0046732733, ' B': -5.4947357, ' (': -8.603066, ' "': -8.532964, " '": -9.634617}
{' A': -0.011340507, ' B': -4.535936, ' (': -8.594463, ' "': -8.541443, " '": -9.56655}
{' A': -0.01543066, ' B': -4.2187634, ' (': -8.564905, ' "': -8.445074, " '": -9.531152}
{' A': -0.0061804354, 'A': -9.640821, ' B': -5.179747, ' (': -8.596768, ' "': -8.615109}
{' A': -0.021029433, ' B': -3.902436, ' (': -8.604362, ' "': -8.327666, " '": -9.394905}
{' A': -0.0022737756, 'A': -9.639567, ' B': -6.3767085, ' (': -8.429437, ' "': -8.559539}
{' B': -0.21153075, ' A': -1.6597481, ' "': -8.491905, ' (': -9.394018, " '": -9.717491}
{' B': -0.5738637, ' A': -0.8298661, ' "': -8.304138, ' (': -9.175127, " '": -9.486523}
{' A': -1.3481195, ' B': -0.3014582, ' (': -9.311632, ' "': -8.305585, " '": -9.446042}
{' A': -0.7431182, ' B': -0.6467151, ' (': -9.010345, ' "': -8.204042, " '": -9.352472}
{' A': -1.1594739, ' B': -0.3771041, ' (': -9.380957, ' "': -8.404204, " '": -9.501174}
{' A': -0.7275826, ' B': -0.66097033, ' (': -9.138618, ' "': -8.247697, " '": -9.490157}
{' A': -0.68853134, ' B': -0.6988958, ' (': -9.070436, ' "': -8.361695, " '": -9.521292}
{' A': -0.5611655, ' B': -0.84667665, ' (': -9.006819, ' "': -8.195577, " '": -9.313705}
{' A': -0.973254, ' B': -0.4755467, ' (': -9.0929575, ' "': -8.202701, " '": -9.289628}
{' A': -0.36025044, ' B': -1.19775, ' (': -8.85228, ' "': -8.21939, " '": -9.38307}
{' A': -0.3806775, ' B': -1.152139, ' (': -8.8244, ' "': -8.174727, " '": -9.358771}
{' A': -0.5567381, ' B': -0.8525735, ' "': -8.256742, ' (': -9.016697, " '": -9.2164545}
{' A': -0.3053368, ' B': -1.3375518, ' (': -8.928337, ' "': -8.168395, " '": -9.307127}
{' A': -0.41534293, ' B': -1.0809104, ' (': -9.009465, ' "': -8.275257, " '": -9.393675}
{' B': -0.14824253, ' A': -1.9850458, ' "': -8.64475, " '": -9.717557, ' (': -9.767605}
{' A': -0.115621634, ' B': -2.2197628, ' "': -8.355034, ' (': -8.979054, " '": -9.558689}
{' A': -0.17775172, ' B': -1.8183519, ' (': -8.995197, ' "': -8.348302, " '": -9.515668}
{' A': -0.03296955, ' B': -3.4441805, ' (': -8.992443, ' "': -8.488713, " '": -9.640164}
{' A': -0.16904072, ' B': -1.865013, ' "': -8.190699, ' (': -8.869153, " '": -9.3630295}
{' A': -0.06644314, ' B': -2.7528405, ' (': -8.867799, ' "': -8.454889, " '": -9.487843}
{' A': -0.013618909, ' B': -4.339197, ' "': -8.647839, ' (': -8.8197155, " '": -9.683757}
{' A': -0.015560932, 'A': -9.726925, ' B': -4.2002263, ' (': -8.946367, ' "': -8.719545}
{' A': -0.03455774, ' B': -3.397303, ' (': -8.923701, ' "': -8.517212, " '": -9.5887785}
{' A': -0.008141271, 'A': -9.706752, ' B': -4.8691278, ' (': -9.009035, ' "': -8.764051}
{' A': -0.07639848, ' B': -2.6171584, ' (': -9.011052, ' "': -8.365239, " '": -9.469728}
{' A': -0.0046586604, ' B': -5.481389, ' "': -8.551794, ' (': -8.85547, " '": -9.696843}
{' A': -0.009772049, 'A': -9.7474375, ' B': -4.6740823, ' (': -9.23599, ' "': -8.764634}
{' A': -0.0045171087, 'A': -9.715241, ' B': -5.501379, ' (': -8.964709, ' "': -8.796461}
{' A': -0.013017769, 'A': -9.736003, ' B': -4.3819485, ' (': -9.155909, ' "': -8.636688}
{' A': -0.003630932, ' B': -5.7440386, ' "': -8.855727, ' (': -8.8966675, 'A': -9.729257}
{' A': -0.0031016485, ' B': -5.934725, ' "': -8.75045, ' (': -8.849873, 'A': -9.7352915}
{' A': -0.004513875, ' B': -5.5043206, ' "': -8.802455, ' (': -8.923897, 'A': -9.72145}
{' A': -0.0065900832, 'A': -9.671429, ' B': -5.093672, ' (': -8.94734, ' "': -8.795654}
{' A': -0.0029760373, ' B': -5.967068, ' "': -8.882221, ' (': -8.926749, 'A': -9.722118}
{' A': -0.009203713, ' B': -4.743565, ' (': -8.99149, ' "': -8.655378, " '": -9.680677}
{' A': -0.0013549093, 'A': -9.682377, ' B': -7.0500717, ' (': -8.689336, ' "': -8.686829}
{' B': -0.124801256, ' A': -2.1476169, ' "': -8.110762, " '": -9.267803, ' (': -9.412002}
{' A': -1.1661266, ' B': -0.37449297, ' (': -8.951427, ' "': -7.775944, " '": -8.962905}
{' B': -0.18339609, ' A': -1.7902018, ' "': -8.017663, " '": -9.169722, ' (': -9.18351}
{' A': -1.1303085, ' B': -0.39125094, ' (': -8.790954, ' "': -7.715646, " '": -8.862289}
{' A': -1.4228616, ' B': -0.27674353, ' (': -9.225599, ' "': -7.8300343, " '": -9.020508}
{' A': -0.96177304, ' B': -0.48282447, ' (': -9.060795, ' "': -7.8399563, " '": -8.975702}
{' A': -1.119289, ' B': -0.39633328, ' (': -9.055888, ' "': -7.9345307, " '": -9.040577}
{' A': -0.63705885, ' B': -0.75429606, ' "': -7.790755, " '": -8.84693, ' (': -8.878785}
{' B': -0.28315797, ' A': -1.4029586, ' "': -7.9239707, " '": -8.879814, ' (': -9.017316}
{' A': -0.7106571, ' B': -0.6775646, ' (': -8.769545, ' "': -7.7986712, " '": -8.8358345}
{' A': -0.46805486, ' B': -0.98639786, ' "': -7.7320056, ' (': -8.707009, " '": -8.841232}
{' B': -0.6352045, ' A': -0.7563002, ' "': -7.876232, " '": -8.788416, ' (': -8.959715}
{' A': -0.44130138, ' B': -1.0328847, ' (': -8.805024, ' "': -7.8091707, " '": -8.848648}
{' A': -0.86044794, ' B': -0.5511352, ' (': -8.935155, ' "': -7.944981, " '": -8.959507}
{' B': -0.0863591, ' A': -2.4989567, ' "': -8.104934, " '": -9.143162, ' (': -9.715772}
{' A': -0.21670534, ' B': -1.6401137, ' (': -8.723192, ' "': -7.726806, " '": -8.830267}
{' A': -0.31055832, ' B': -1.3237325, ' (': -8.700836, ' "': -7.8250217, " '": -8.9462385}
{' A': -0.097042195, ' B': -2.388647, ' "': -8.003645, ' (': -8.75533, " '": -8.968104}
{' A': -0.32153666, ' B': -1.294315, ' (': -8.648781, ' "': -7.767522, " '": -8.751563}
{' A': -0.13635758, ' B': -2.0663655, ' "': -7.8386903, ' (': -8.6591015, " '": -8.826841}
{' A': -0.027887417, ' B': -3.6186578, ' (': -8.656988, ' "': -8.079906, " '": -9.149407}
{' A': -0.033787463, ' B': -3.42322, ' (': -8.777811, ' "': -8.243613, " '": -9.176432}
{' A': -0.04295718, ' B': -3.18532, ' (': -8.762346, ' "': -8.066629, " '": -9.07458}
{' A': -0.016410671, ' B': -4.1540713, ' (': -8.918643, ' "': -8.27412, " '": -9.224357}
{' A': -0.18674624, ' B': -1.7747685, ' (': -8.782798, ' "': -7.7924547, " '": -8.849496}
{' A': -0.008240789, ' B': -4.881938, ' (': -8.742785, ' "': -8.184518, " '": -9.185382}
{' A': -0.027240774, ' B': -3.6388185, ' (': -8.92386, ' "': -8.251897, " '": -9.175486}
{' A': -0.014695841, ' B': -4.268285, ' "': -8.2718, ' (': -8.882632, " '": -9.217547}
{' A': -0.0245423, ' B': -3.7462106, ' (': -8.789271, ' "': -8.183618, " '": -9.114124}
{' A': -0.008323789, ' B': -4.861759, ' (': -8.813236, ' "': -8.397047, " '": -9.287117}
{' A': -0.0075168894, ' B': -4.979439, ' (': -8.716602, ' "': -8.233873, " '": -9.267781}
{' A': -0.014584914, ' B': -4.2742586, ' "': -8.366591, ' (': -8.8792305, " '": -9.253504}
{' A': -0.018912863, ' B': -4.011005, ' "': -8.206626, ' (': -8.754181, " '": -9.254254}
{' A': -0.011124111, ' B': -4.562514, ' (': -8.702858, ' "': -8.20808, " '": -9.248202}
{' A': -0.015274684, ' B': -4.2315297, ' (': -8.865188, ' "': -8.1390505, " '": -9.160991}
{' A': -0.0021537654, ' B': -6.4642544, ' (': -8.629883, ' "': -8.325594, " '": -9.338716}
{' A': -2.053952, ' B': -0.13773434, ' (': -9.543406, ' "': -8.4558115, " '": -9.711752}
{' A': -1.2221824, ' B': -0.34972686, ' (': -9.263574, ' "': -8.271686, " '": -9.494857}
{' B': -0.17169906, ' A': -1.8495231, ' "': -8.460266, ' (': -9.479392, " '": -9.613219}
{' A': -1.0930549, ' B': -0.4090856, ' (': -9.121986, ' "': -8.295596, " '": -9.413221}
{' A': -1.5079061, ' B': -0.25083753, ' (': -9.519644, ' "': -8.417601, " '": -9.538513}
{' B': -0.47657666, ' A': -0.97145355, ' "': -8.25057, ' (': -9.162995, " '": -9.500453}
{' A': -1.1161709, ' B': -0.39753336, ' (': -9.234364, ' "': -8.466483, " '": -9.522054}
{' A': -0.82069564, ' B': -0.5810621, ' (': -9.115918, ' "': -8.281576, " '": -9.30415}
{' A': -1.6772754, ' B': -0.20748793, ' (': -9.34013, ' "': -8.412053, " '": -9.443693}
{' B': -0.58401597, ' A': -0.8170711, ' "': -8.177466, ' (': -8.9519415, " '": -9.261994}
{' A': -0.495164, ' B': -0.94192594, ' (': -8.796881, ' "': -8.145791, " '": -9.335666}
{' A': -0.8135186, ' B': -0.58667004, ' (': -9.181812, ' "': -8.383708, " '": -9.402959}
{' A': -0.5801599, ' B': -0.82198125, ' (': -8.95718, ' "': -8.169476, " '": -9.237569}
{' A': -0.92162526, ' B': -0.50822467, ' (': -9.15349, ' "': -8.305876, " '": -9.285498}
{' A': -2.3547099, ' B': -0.10014183, ' (': -9.914224, ' "': -8.716792, " '": -9.73279}
{' A': -0.19830404, ' B': -1.7187184, ' "': -8.258793, ' (': -8.925423, " '": -9.553463}
{' A': -0.30445737, ' B': -1.3397814, ' (': -8.958901, ' "': -8.317657, " '": -9.405325}
{' A': -0.098661564, ' B': -2.370943, ' "': -8.393696, ' (': -8.840733, " '": -9.477642}
{' A': -0.42429015, ' B': -1.0639424, ' "': -8.098018, ' (': -8.831957, " '": -9.190416}
{' A': -0.1555512, ' B': -1.9419644, ' (': -8.760573, ' "': -8.207968, " '": -9.258652}
{' A': -0.02279747, ' B': -3.8158078, ' "': -8.504453, ' (': -8.746094, " '": -9.589228}
{' A': -0.050155085, ' B': -3.0281174, ' (': -8.861488, ' "': -8.511216, " '": -9.585911}
{' A': -0.05081279, ' B': -3.0165908, ' "': -8.350081, ' (': -8.76088, " '": -9.420748}
{' A': -0.02741431, ' B': -3.6280286, ' "': -8.6063175, ' (': -8.93906, " '": -9.629389}
{' A': -0.17456718, ' B': -1.835227, ' "': -8.251251, ' (': -8.908424, " '": -9.264711}
{' A': -0.0062408918, ' B': -5.1557503, ' (': -8.860635, ' "': -8.650436, " '": -9.778585}
{' A': -0.017810384, ' B': -4.0616717, ' (': -9.026916, ' "': -8.7196, " '": -9.744752}
{' A': -0.01364513, ' B': -4.3357067, ' "': -8.675772, ' (': -8.904865, " '": -9.640768}
{' A': -0.027195876, ' B': -3.637141, ' (': -8.8784485, ' "': -8.535744, " '": -9.578546}
{' A': -0.0097772265, ' B': -4.6761074, ' "': -8.813641, ' (': -8.978737, 'A': -9.771571}
{' A': -0.0055237496, ' B': -5.287742, ' (': -8.894029, ' "': -8.681488, " '": -9.717659}
{' A': -0.012659443, ' B': -4.4107533, ' (': -8.975282, ' "': -8.748549, " '": -9.749022}
{' A': -0.010063469, ' B': -4.651272, ' (': -8.874927, ' "': -8.663625, " '": -9.727892}
{' A': -0.0059164623, 'A': -9.782082, ' B': -5.2045455, ' (': -8.966681, ' "': -8.842441}
{' A': -0.014785123, ' B': -4.2552214, ' (': -8.92, ' "': -8.531634, " '": -9.600026}
{' A': -0.0019122912, 'A': -9.790598, ' B': -6.5577397, ' (': -8.668789, ' "': -8.624098}
{' B': -0.039215937, ' A': -3.2680802, ' "': -8.746314, ' b': -9.181887, ' (': -10.311021}
{' b': -9.347764, ' A': -2.0706062, ' B': -0.13527298, ' (': -9.957022, ' "': -8.650121}
{' b': -9.363826, ' A': -2.7090592, ' B': -0.06930409, ' (': -10.127643, ' "': -8.84382}
{' b': -9.350916, ' A': -2.0290422, ' B': -0.1414558, ' (': -9.690093, ' "': -8.589771}
{' b': -9.170693, ' A': -2.0005524, ' B': -0.14582747, ' (': -10.181934, ' "': -8.598633}
{' b': -9.175104, ' A': -1.9257141, ' B': -0.1581131, ' (': -9.780198, ' "': -8.511691}
{' b': -9.552627, ' A': -1.7920022, ' B': -0.18273592, ' (': -9.972944, ' "': -8.729617}
{' b': -9.482937, ' A': -1.5358937, ' B': -0.24300143, ' (': -9.674882, ' "': -8.500724}
{' B': -0.09227935, ' A': -2.4331167, ' "': -8.716995, ' b': -9.385778, ' (': -10.052853}
{' b': -9.520781, ' A': -1.7552387, ' B': -0.19033155, ' (': -9.605698, ' "': -8.553214}
{' B': -0.19902433, ' A': -1.7152234, ' "': -8.38442, ' b': -9.218221, ' (': -9.316288}
{' B': -0.24184553, ' A': -1.5400614, ' "': -8.505415, ' b': -9.48912, ' (': -9.729148}
{' b': -9.366554, ' A': -1.6107963, ' B': -0.22336431, ' (': -9.820021, ' "': -8.581779}
{' b': -9.355918, ' A': -1.7083409, ' B': -0.20044069, ' (': -9.770868, ' "': -8.522642}
{' b': -9.207146, ' A': -3.3224106, 'B': -10.39304, ' B': -0.037059687, ' "': -9.043497}
{' b': -9.47027, ' A': -0.4782984, ' B': -0.9688589, ' (': -9.077303, ' "': -8.197939}
{' B': -0.6626646, ' A': -0.72562045, ' "': -8.446489, ' (': -9.457437, ' b': -9.789962}
{' A': -0.39571396, 'A': -9.737421, ' B': -1.1201992, ' (': -8.980083, ' "': -8.302381}
{' b': -9.475664, ' A': -1.1702901, ' B': -0.37227824, ' (': -9.327002, ' "': -8.305148}
{' b': -9.753354, ' A': -0.7627913, ' B': -0.62915677, ' (': -9.196594, ' "': -8.201622}
{' A': -0.3596101, 'A': -9.802291, ' B': -1.1995568, ' (': -8.7378435, ' "': -8.04749}
{' A': -0.23809394, 'A': -9.661875, ' B': -1.5543227, ' (': -9.130397, ' "': -8.356936}
{' A': -0.21874179, 'A': -9.681651, ' B': -1.6298019, ' (': -9.301331, ' "': -8.421915}
{' A': -0.14853859, 'A': -9.587732, ' B': -1.9839591, ' (': -9.209598, ' "': -8.421531}
{' A': -0.41583803, 'A': -9.821617, ' B': -1.0797175, ' (': -9.368081, ' "': -8.356988}
{' A': -0.018458795, ' B': -4.0254836, ' "': -8.623688, ' (': -9.112997, 'A': -9.61842}
{' A': -0.08372498, 'A': -9.611509, ' B': -2.5269759, ' (': -9.382696, ' "': -8.688692}
{' A': -0.058130566, 'A': -9.546747, ' B': -2.8824697, ' (': -9.063612, ' "': -8.566618}
{' A': -0.09952687, 'A': -9.570222, ' B': -2.3617663, ' (': -9.188001, ' "': -8.513719}
{' A': -0.048387244, 'A': -9.56286, ' B': -3.0621428, ' (': -9.097193, ' "': -8.640271}
{' A': -0.07485861, 'A': -9.617607, ' B': -2.6371145, ' (': -8.904653, ' "': -8.316109}
{' A': -0.084228165, 'A': -9.587708, ' B': -2.5220141, ' (': -9.135472, ' "': -8.523408}
