{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' Yes': -0.08960371, '\n': -3.0992453, 'Yes': -3.6880894, ' No': -4.394947, ' ': -6.6965313}
{' No': -0.3071179, 'No': -2.0229437, '\n': -2.512423, ' Unfortunately': -3.3401337, ' Yes': -5.4580083}
{' No': -0.5843688, '\n': -1.6673118, ' Yes': -1.8382943, 'No': -2.6293669, 'Yes': -4.5580378}
{' No': -0.5709546, '\n': -1.6445897, 'No': -2.620458, ' Yes': -1.9240983, 'Yes': -4.45288}
{' Yes': -0.022095185, 'Yes': -3.9905322, '\n': -6.180311, ' Nurse': -7.1106114, ' ': -8.701651}
{' Yes': -0.027642658, 'Yes': -3.8303826, '\n': -5.5514708, ' Doctor': -7.258128, ' yes': -7.4710536}
{' No': -6.5443683, '\n': -5.470979, ' Yes': -0.05067602, ' Sur': -4.0490375, 'Yes': -3.6986842}
{' No': -0.05085029, 'No': -3.2745059, '\n': -4.749787, ' Yes': -6.249495, ' ': -7.431351}
{' No': -4.284699, '\n': -5.0763483, ' Yes': -0.06816203, ' Patient': -3.6397066, 'Yes': -4.1580305}
{' No': -0.8370338, '\n': -5.0037284, 'No': -5.035106, ' Yes': -0.60271794, 'Yes': -5.160182}
{' No': -0.05914234, ' Yes': -3.4529412, 'No': -4.22569, '\n': -4.5858564, 'Yes': -7.541358}
{' No': -0.702224, ' Yes': -0.81918454, '\n': -3.2428524, 'No': -4.3338327, 'Yes': -4.9764166}
{' No': -0.34914577, '\n': -3.8213098, 'No': -3.35618, ' Yes': -1.5899066, ' Hospital': -3.7000175}
{' No': -0.0680295, '\n': -4.1480823, ' ': -7.3035502, 'No': -3.1718423, ' Yes': -5.1467743}
{' No': -0.753768, '\n': -3.6501, 'No': -4.3352494, ' Yes': -0.8067847, ' Patient': -3.5337589}
{' No': -0.02873597, '\n': -4.784185, ' ': -8.099456, 'No': -4.295524, ' Yes': -5.1595817}
{' No': -0.07800264, 'No': -3.441692, ' Yes': -3.5260406, '\n': -4.435835, 'Yes': -6.9707155}
{' No': -0.09787883, '\n': -4.203471, 'No': -3.1859312, ' Yes': -3.3721993, 'Yes': -7.3262773}
{' No': -0.0517742, 'No': -3.2589521, ' Yes': -5.341773, '\n': -5.343686, ' Hospital': -6.5101285}
{' No': -0.12777016, '\n': -4.168189, 'No': -3.924246, ' Yes': -2.5092628, 'Yes': -6.6505623}
{' No': -0.0332105, ' Yes': -4.1516337, 'No': -4.382324, '\n': -5.9042697, ' Patient': -7.392811}
{' No': -0.012082466, '\n': -8.41978, ' ': -10.429673, 'No': -4.4523273, ' Yes': -9.3866}
{'\n': -3.8095453, ' ': -7.6259556, ' Yes': -0.06661413, ' The': -7.858692, 'Yes': -3.2000713}
{' No': -2.8686495, '\n': -1.8082974, 'No': -4.6695585, ' Yes': -0.34373015, 'Yes': -2.9960124}
{' No': -0.4380014, '\n': -2.2378573, 'No': -2.4885252, ' Yes': -2.0912168, ' Unfortunately': -4.1116767}
{' No': -1.9900916, '\n': -2.3201315, 'No': -4.311178, ' Yes': -0.347563, 'Yes': -3.2947598}
{' No': -0.23620133, 'No': -1.9989882, '\n': -3.4709234, ' Unfortunately': -3.6662395, ' Yes': -4.942069}
{' No': -0.97704566, '\n': -1.104674, 'No': -3.0265203, ' Yes': -1.5364234, 'Yes': -4.111735}
{' Yes': -0.08048111, ' No': -2.8575253, 'Yes': -4.6411386, '\n': -4.775694, 'No': -6.936494}
{' No': -2.3073337, '\n': -3.860488, ' Yes': -0.16367628, 'Yes': -4.659449, ' Doctor': -4.050294}
{' No': -0.062738486, 'No': -3.4623451, ' Hospital': -4.207662, '\n': -4.695221, ' Yes': -5.6794147}
{' No': -0.04327188, '\n': -4.427374, 'No': -4.002607, ' Yes': -4.551004, ' Sur': -7.282083}
{' No': -0.049117282, 'No': -3.2801316, '\n': -4.6593065, ' ': -7.9397545, ' Yes': -8.770547}
{' No': -0.04759052, '\n': -4.229519, 'No': -4.230686, ' Yes': -4.4884605, ' Patient': -5.361683}
{' No': -0.29068112, ' Yes': -1.5714104, 'No': -3.7701387, '\n': -4.2314177, 'Yes': -5.099099}
{' No': -0.06653583, '\n': -6.092599, 'No': -3.91896, ' Yes': -3.2026343, ' Doctor': -7.404475}
{' No': -0.13492598, '\n': -3.2831688, 'No': -3.2973576, ' Yes': -4.817133, ' Hospital': -3.2944374}
{' No': -1.0204751, ' Yes': -1.2000271, '\n': -1.5210435, ' Sur': -2.864353, 'No': -3.6540637}
{' No': -0.05202601, '\n': -4.5511446, ' ': -7.631514, 'No': -3.3291826, ' Yes': -5.6571875}
{'Pat': -5.944123, ' No': -0.11129479, '\n': -3.6048021, 'No': -3.682603, ' Yes': -3.0990133}
{' No': -0.04302214, 'No': -3.9136808, ' Yes': -4.1357956, '\n': -5.2242393, 'Yes': -7.8228354}
{' No': -2.5608044, '\n': -3.749933, 'No': -5.5119705, ' Yes': -0.1484794, 'Yes': -3.4869115}
{' No': -1.79806, '\n': -4.4573307, ' Yes': -0.23598734, 'Yes': -4.2180257, ' Doctor': -4.489161}
{' No': -0.21266411, '\n': -3.0399823, 'No': -3.6283631, ' Yes': -4.746041, ' Hospital': -2.30444}
{' Yes': -0.79296315, '\n': -1.479292, ' No': -1.6878417, ' Sur': -2.4388795, 'Yes': -3.7220364}
{' No': -0.038226467, '\n': -5.1435976, ' ': -8.308931, 'No': -3.5347474, ' Yes': -6.26912}
{' No': -0.039086264, 'No': -3.920384, ' Yes': -4.956795, ' Pat': -5.751507, '\n': -5.7943153}
{' No': -0.03617604, '\n': -5.8609767, 'No': -4.090743, ' Yes': -4.1770754, 'Yes': -8.0307455}
{' No': -0.039222572, '\n': -5.3780513, ' ': -8.773253, 'No': -3.4411347, ' Yes': -6.445511}
{' No': -0.07110092, 'No': -3.2768388, ' Yes': -3.5998712, '\n': -5.9789257, 'Yes': -7.3308187}
{' No': -0.023428129, '\n': -6.1168876, 'No': -3.9968684, ' Yes': -6.88105, ' Hospital': -6.7635593}
{' No': -0.037868775, 'No': -3.6251452, '\n': -4.705658, ' Yes': -7.180282, ' ': -8.118012}
{' No': -0.054312292, 'No': -2.9666426, ' Yes': -7.0292478, '\n': -8.206764, ' no': -9.210645}
{' No': -0.04857325, '\n': -6.830265, 'No': -3.384421, ' Yes': -4.447427, 'Yes': -7.7930603}
{' No': -0.01585727, 'No': -4.1948905, '\n': -7.9582376, ' Yes': -8.355847, ' ': -9.830251}
{' No': -0.1688918, '\n': -5.2939944, 'No': -3.824657, ' Yes': -2.0743237, 'Yes': -5.986573}
{' No': -0.74290663, '\n': -5.0888233, 'No': -4.806673, ' Yes': -0.68851674, 'Yes': -5.1529026}
{' No': -0.02923431, '\n': -5.6387863, 'No': -4.5076547, ' Yes': -6.094671, ' Hospital': -4.4923897}
{' No': -0.06507408, '\n': -3.4814177, 'No': -4.463809, ' Yes': -4.159274, ' Sur': -5.6021104}
{' No': -0.015972154, '\n': -7.12483, ' ': -9.637764, 'No': -4.2408137, ' Yes': -7.5833015}
{' No': -0.03332567, 'No': -3.8369775, ' Yes': -4.5865726, '\n': -7.392782, 'Yes': -8.360973}
{' No': -0.013578668, 'No': -4.4844685, ' Yes': -6.4007645, '\n': -7.679325, ' ': -10.058065}
{' No': -1.903489, '\n': -4.482512, 'No': -4.888999, ' Yes': -0.21926768, 'Yes': -3.5618882}
{' No': -0.46706232, ' Yes': -1.2085327, 'No': -3.250315, '\n': -3.7644026, 'Yes': -4.467926}
{' No': -0.09548669, '\n': -3.4601142, ' ': -6.969006, 'No': -2.8832958, ' Yes': -6.1728516}
{' No': -0.18514553, '\n': -2.6808271, 'No': -3.0123303, ' Yes': -3.0577898, 'Yes': -5.9386773}
{' No': -0.12233844, '\n': -4.6411104, 'No': -2.268794, ' Yes': -6.979403, ' Unfortunately': -7.716805}
{' No': -0.07433304, '\n': -4.6740108, 'No': -2.9686618, ' Yes': -4.6238627, 'Yes': -7.630672}
{' No': -0.12448679, 'No': -2.5145147, '\n': -3.6583097, ' Yes': -4.752754, ' ': -7.4439063}
{' No': -3.4539797, '\n': -3.1603072, 'No': -5.3795853, ' Yes': -0.14148176, 'Yes': -2.9593546}
{' Yes': -0.22244646, ' No': -2.117487, 'Yes': -3.0996263, 'No': -4.1422215, '\n': -4.1556244}
{' No': -0.7905136, ' Yes': -1.4482894, '\n': -1.69552, 'No': -2.3142715, 'Yes': -3.8996387}
{' No': -2.8782065, '\n': -2.2647388, 'No': -4.831265, ' Yes': -0.27370888, 'Yes': -2.6778436}
{' No': -0.49963892, '\n': -1.9135431, 'No': -1.8869089, ' Yes': -2.63693, ' Unfortunately': -4.699142}
{' No': -0.7386946, '\n': -2.9786277, 'No': -2.4694514, ' Yes': -1.0455755, 'Yes': -3.4835734}
{' No': -0.7509689, '\n': -1.3253858, 'No': -2.1282578, ' Yes': -2.132063, 'Yes': -4.2217135}
{' No': -5.2048373, '\n': -6.7507925, 'No': -8.874747, ' Yes': -0.023220018, 'Yes': -4.1373463}
{' No': -1.3797476, '\n': -4.614805, 'No': -4.9311485, ' Yes': -0.3359797, 'Yes': -4.3271084}
{' No': -0.73407996, '\n': -3.5293317, 'No': -4.1517262, ' Yes': -3.979899, ' Hospital': -0.81487733}
{' Yes': -0.38127935, ' No': -1.8842204, '\n': -2.3302484, 'Yes': -3.4969084, ' Sur': -3.8967745}
{' No': -0.041930925, '\n': -5.1805935, ' ': -7.90418, 'No': -3.404386, ' Yes': -6.5016475}
{' No': -0.18640634, ' Yes': -2.179141, 'No': -3.6172857, '\n': -4.017112, 'Yes': -5.675111}
{' No': -0.034271434, '\n': -6.3722286, 'No': -4.1370373, ' Yes': -4.1681232, 'Yes': -8.12329}
{' Yes': -0.06938651, 'Yes': -3.1028373, ' No': -4.2678423, '\n': -5.1631365, 'No': -6.5329022}
{' No': -0.9440158, '\n': -1.7233776, 'No': -3.3925612, ' Yes': -1.1029152, ' Hospital': -2.9892848}
{' No': -1.3249999, '\n': -2.1461422, 'No': -3.8069773, ' Yes': -0.57613486, 'Yes': -3.5556555}
{' No': -0.106201306, '\n': -3.627695, ' ': -7.4316907, 'No': -2.7449915, ' Yes': -4.829281}
{' No': -1.5248123, '\n': -3.6377423, ' Yes': -0.33722073, ' Patient': -4.302093, 'Yes': -4.0892463}
{' No': -1.2504292, '\n': -4.30071, 'No': -4.9631553, ' Yes': -0.38384044, 'Yes': -4.4949737}
{' No': -3.6602464, '\n': -3.3321023, 'No': -6.3539314, ' Yes': -0.09944023, 'Yes': -3.490416}
{'\n': -0.7708774, ' No': -0.88091433, 'No': -3.1062198, ' Yes': -3.3546805, ' Unfortunately': -3.8636012}
{' Yes': -0.19237402, '\n': -1.9605986, 'Yes': -3.5215802, ' No': -6.1261864, ' ': -6.693968}
{' No': -0.21912868, '\n': -2.3264074, 'No': -2.7887185, ' Yes': -4.0965986, ' Unfortunately': -4.2033854}
{' No': -1.5001842, '\n': -1.7851267, 'No': -4.3848333, ' Yes': -0.56680596, 'Yes': -3.9573965}
{' Yes': -0.4116091, ' No': -1.7681878, '\n': -2.0229888, 'Yes': -3.807748, 'No': -4.661556}
{' No': -7.830965, '\n': -7.052717, ' Yes': -0.02222846, ' Nurse': -9.093243, 'Yes': -3.8935702}
{' Yes': -0.025842363, 'Yes': -3.77185, ' Doctor': -6.9501143, ' yes': -7.5515394, '\n': -7.583064}
{' No': -5.0670557, '\n': -4.8573127, ' Yes': -0.07698398, ' Sur': -3.6028206, 'Yes': -3.506515}
{' No': -0.07077734, 'No': -2.7949424, '\n': -5.498597, ' Yes': -6.040382, ' ': -7.738463}
{' No': -4.8157597, '\n': -6.0597825, ' Yes': -0.0330261, ' Patient': -5.381506, 'Yes': -4.1218534}
{' No': -0.5369442, '\n': -6.449212, 'No': -4.4548903, ' Yes': -0.9270047, 'Yes': -5.093884}
{' No': -0.30324444, ' Yes': -1.4766778, 'No': -3.8583305, '\n': -5.089581, 'Yes': -5.2123857}
{' No': -0.5703022, ' Yes': -0.91309845, 'No': -3.9779673, 'Yes': -5.022197, ' Doctor': -5.369565}
{' No': -0.17562625, '\n': -3.2956614, 'No': -3.6196265, ' Yes': -2.8058085, ' Hospital': -3.4077065}
{' No': -0.044964578, '\n': -5.543284, ' ': -8.351932, 'No': -3.3121498, ' Yes': -5.7600617}
{' No': -0.6324495, '\n': -2.889375, 'No': -3.9305987, ' Yes': -1.0123266, ' Patient': -4.026208}
{' No': -0.029510833, ' Yes': -4.065079, 'No': -4.579178, '\n': -6.6614304, 'Yes': -8.500511}
{' No': -0.24927372, '\n': -4.34446, 'No': -3.6331923, ' Yes': -1.7464719, 'Yes': -5.150534}
{' No': -0.27052006, ' Yes': -1.7974042, ' Doctor': -3.5545397, 'No': -3.9234855, '\n': -4.09084}
{' No': -0.029441835, '\n': -5.5195727, 'No': -3.894855, ' Yes': -6.426086, ' Hospital': -6.0766654}
{' No': -0.79627377, '\n': -3.2651343, 'No': -4.353397, ' Yes': -1.5961224, ' Sur': -1.2750584}
{' No': -0.0551085, ' Yes': -4.1296606, 'No': -4.179017, '\n': -4.2573466, ' Patient': -5.3828406}
{' No': -0.010279641, '\n': -7.780377, ' ': -9.102367, 'No': -4.732159, ' Yes': -7.071026}
{' Yes': -0.042113315, 'Yes': -3.5954638, '\n': -4.3738527, ' No': -7.416095, ' ': -8.555888}
{' Yes': -0.14021133, '\n': -2.8399184, ' No': -3.3417568, 'Yes': -3.5167656, 'No': -5.9004536}
{' No': -0.53643167, '\n': -1.3309072, ' Yes': -2.6576092, 'No': -2.9200108, ' Unfortunately': -4.6846437}
{'\n': -1.0156841, ' No': -1.182106, ' Yes': -1.2351018, 'No': -3.9563675, 'Yes': -4.358219}
{' No': -0.15768027, '\n': -2.9287715, 'No': -2.5176961, ' Yes': -5.9120264, ' Unfortunately': -5.1387362}
{' No': -0.4387683, '\n': -1.9183692, 'No': -3.1410806, ' Yes': -1.8828659, 'Yes': -4.9094944}
{' Yes': -0.033595126, 'Yes': -3.8642185, ' No': -4.6950636, '\n': -6.1531796, 'No': -8.013853}
{' No': -6.8214893, '\n': -6.508142, ' Yes': -0.033143833, 'Yes': -3.8994212, ' Doctor': -4.7193236}
{' No': -0.060787905, ' Hospital': -3.7532377, 'No': -3.8854072, '\n': -4.656506, ' Yes': -5.515258}
{' No': -0.1925009, ' Yes': -2.417217, '\n': -3.3643434, 'No': -3.4654863, ' Sur': -4.255325}
{' No': -0.041179664, 'No': -3.3247871, '\n': -5.6615386, ' Yes': -7.685287, ' ': -8.375417}
{' No': -0.1544679, ' Yes': -2.2323966, 'No': -4.038934, ' Patient': -4.6644316, '\n': -5.2035723}
{' No': -0.069849424, ' Yes': -3.1920433, 'No': -3.974999, '\n': -5.038161, 'Yes': -7.1078587}
{' No': -0.03837275, '\n': -4.576407, ' ': -7.8558693, 'No': -3.9603868, ' Yes': -4.896338}
{' No': -0.031503536, '\n': -4.5944743, 'No': -4.3817687, ' Yes': -5.5348353, ' Hospital': -5.865421}
{' No': -0.09753787, ' Yes': -2.8687398, '\n': -3.7004354, 'No': -4.7338576, ' Sur': -6.9697027}
{' No': -0.0245759, 'No': -4.126838, '\n': -5.4821315, ' Yes': -5.669328, ' ': -8.735027}
{' No': -0.20828547, '\n': -4.1368895, 'No': -4.4493628, ' Yes': -1.8600454, 'Yes': -6.3451962}
{' No': -0.020943303, 'No': -4.2993035, ' Yes': -5.4207253, '\n': -6.0015564, ' ': -9.30303}
{' No': -0.25120127, ' Yes': -1.7638338, 'No': -3.551813, '\n': -4.164766, 'Yes': -5.3514266}
{' Yes': -0.11686294, ' No': -2.9147468, ' Doctor': -3.495803, 'Yes': -4.4823184, '\n': -4.492519}
{' No': -0.025828663, '\n': -4.8282027, 'No': -4.747714, ' Yes': -5.934274, ' Hospital': -5.3625593}
{' Yes': -1.1025034, ' Sur': -1.195069, ' No': -1.2307384, '\n': -3.0637, 'No': -4.988663}
{' No': -0.017073387, '\n': -6.05757, ' ': -9.006997, 'No': -4.2753854, ' Yes': -7.704886}
{'Pat': -6.374721, ' No': -0.02297774, 'No': -4.345716, ' Pat': -5.8464026, ' Yes': -5.80587}
{' No': -0.02325656, '\n': -5.950173, ' ': -9.101154, 'No': -4.325104, ' Yes': -4.9870644}
{' No': -0.02345571, 'No': -3.8779745, '\n': -6.2321577, ' Yes': -7.803115, ' ': -9.407531}
{' No': -0.030987654, 'No': -3.8104563, ' Yes': -5.1371083, '\n': -6.190451, ' Doctor': -8.685355}
{' No': -0.018807234, 'No': -4.5528016, '\n': -5.5346537, ' Yes': -5.911967, ' Hospital': -7.441838}
{' No': -0.023028608, '\n': -4.6911, ' ': -8.171943, 'No': -4.5529966, ' Yes': -6.013896}
{' No': -0.021494841, 'No': -4.1149316, '\n': -5.893347, ' Yes': -6.3318214, ' ': -8.613706}
{' No': -0.045204327, ' Yes': -3.9713688, 'No': -4.7824135, '\n': -4.873203, 'Pat': -5.775328}
{' No': -0.010904204, 'No': -4.559215, '\n': -8.342277, ' Yes': -9.190418, ' ': -10.667255}
{' No': -0.11192542, ' Yes': -2.4246104, 'No': -4.454817, '\n': -5.424818, 'Yes': -6.866301}
{' No': -0.6489509, '\n': -4.6991234, 'No': -5.0969524, ' Yes': -0.78854215, 'Yes': -5.6065903}
{' No': -0.065195456, '\n': -4.6886215, 'No': -4.637625, ' Yes': -3.6958356, ' Hospital': -4.0930543}
{' No': -0.18200481, ' Yes': -2.1964567, '\n': -3.3262498, 'No': -4.7044373, ' Sur': -5.010492}
{' No': -0.014428587, 'No': -4.6309714, '\n': -6.049243, ' Yes': -6.4094973, ' ': -8.517088}
{'Pat': -4.603394, ' No': -0.06241329, '\n': -4.1623197, ' Pat': -4.6174593, ' Patient': -4.7156496}
{' No': -0.0078088543, '\n': -7.6894665, ' ': -10.165839, 'No': -5.0687695, ' Yes': -6.946373}
{' No': -0.37860474, '\n': -4.419443, 'No': -4.211302, ' Yes': -1.2613696, 'Yes': -5.390362}
{' No': -0.12604327, ' Yes': -2.44244, 'No': -3.9458046, '\n': -4.5713806, 'Yes': -6.651397}
{' No': -0.08542192, '\n': -3.082843, 'No': -3.4452887, ' ': -6.500209, ' Hospital': -7.1837206}
{' No': -0.10431361, '\n': -2.7081726, ' ': -6.5477514, 'No': -3.8379428, ' Yes': -4.810311}
{' No': -0.053767703, 'No': -3.1238399, '\n': -4.9733176, ' Unfortunately': -7.5822177, ' Yes': -7.982436}
{' No': -0.05037816, 'No': -3.4133692, '\n': -4.80367, ' Yes': -4.960458, ' Unfortunately': -8.410927}
{' No': -0.044457395, '\n': -4.771369, ' ': -8.605927, 'No': -3.4300048, ' Yes': -6.166706}
{' Yes': -0.19298813, ' No': -2.1823986, '\n': -3.5789514, 'Yes': -3.6569488, 'No': -4.8593335}
{' Yes': -0.06308697, 'Yes': -3.573739, ' No': -3.7246928, '\n': -5.099971, 'No': -6.3617926}
{' No': -0.85858905, '\n': -1.9728909, 'No': -2.844961, ' Yes': -1.0623645, 'Yes': -4.016718}
{' Yes': -0.17722513, ' No': -2.3277378, 'Yes': -3.1537225, '\n': -4.560575, 'No': -4.7024364}
{' No': -0.27643675, 'No': -2.401385, ' Yes': -2.6520777, '\n': -3.062207, ' Unfortunately': -3.8857563}
{' No': -0.76484853, '\n': -4.3564854, 'No': -2.957094, ' Yes': -0.8148326, 'Yes': -3.733242}
{' No': -0.46202406, '\n': -2.0171845, ' Yes': -2.0228055, 'No': -2.4580624, 'Yes': -4.678437}
{' No': -6.556529, '\n': -6.713926, ' ': -9.583603, ' Yes': -0.012984858, 'Yes': -4.602239}
{' No': -0.80207396, '\n': -4.664428, 'No': -5.43686, ' Yes': -0.6334644, 'Yes': -5.58817}
{' No': -0.12274423, '\n': -4.9413877, 'No': -5.232836, ' Yes': -2.5260398, ' Hospital': -3.90226}
{' Yes': -0.5264612, ' Sur': -1.2159772, ' No': -3.111258, '\n': -3.1725314, 'Yes': -4.464556}
{' No': -0.019653896, '\n': -5.666693, ' ': -8.384185, 'No': -4.219376, ' Yes': -7.0150313}
{'Pat': -3.7399828, ' No': -0.38613328, '\n': -3.277655, ' Yes': -1.6676464, ' Patient': -3.5928612}
{' No': -0.028284594, ' Yes': -3.9788613, 'No': -4.9687295, '\n': -6.262133, 'Yes': -8.774685}
{' Yes': -0.05353011, 'Yes': -3.760794, ' No': -3.8899934, '\n': -5.024225, 'No': -6.7154026}
{' No': -0.6163305, '\n': -1.8213037, ' Yes': -1.8646749, ' Hospital': -2.2267299, 'No': -3.6595068}
{' No': -2.7339017, '\n': -2.5185544, 'No': -5.5517807, ' Yes': -0.1940001, 'Yes': -3.7519948}
{' No': -0.08114457, 'No': -3.0441363, '\n': -3.7277641, ' Yes': -5.5306745, ' Not': -7.02029}
{' Yes': -0.6423208, ' No': -0.90900826, '\n': -3.439106, ' Patient': -4.2070904, 'No': -4.2672806}
{' Yes': -0.31368273, ' No': -1.4042588, '\n': -4.3615575, 'Yes': -4.9777474, 'No': -5.6480255}
{' No': -2.0914917, '\n': -3.6614377, 'No': -4.851431, ' Yes': -0.200758, 'Yes': -3.7567577}
{' No': -0.28569123, '\n': -2.258729, 'No': -3.2997427, ' Yes': -3.6391478, ' Unfortunately': -2.8942747}
{' No': -7.2086487, '\n': -5.177803, ' Yes': -0.019466748, ' Sur': -6.655025, 'Yes': -4.52721}
{' No': -0.2117483, '\n': -2.7251303, 'No': -2.8603535, ' Unfortunately': -3.055336, ' Yes': -4.5515842}
{' No': -1.0018537, '\n': -2.1024911, 'No': -3.8577416, ' Yes': -0.7575413, 'Yes': -4.2556186}
{' No': -0.39221218, '\n': -1.811619, ' Yes': -2.2350965, 'No': -3.1441097, ' Unfortunately': -5.517584}
{' Yes': -0.010684826, 'Yes': -4.644899, '\n': -7.220168, ' No': -8.938828, ' yes': -9.754125}
{'\n': -6.160703, ' Yes': -0.020366216, ' yes': -7.6442347, 'Yes': -4.0969534, ' Doctor': -7.4209185}
{'Sur': -6.981744, '\n': -5.2095923, ' Yes': -0.15914305, ' Sur': -2.2282195, 'Yes': -3.5147815}
{' No': -0.03751944, '\n': -5.4867344, ' ': -8.193192, 'No': -3.470375, ' Yes': -6.8891673}
{' No': -5.567608, '\n': -6.071001, ' Yes': -0.024784531, ' Patient': -5.3885136, 'Yes': -4.358254}
{' No': -0.54633373, '\n': -5.4518647, 'No': -5.0267854, ' Yes': -0.90084505, 'Yes': -5.675556}
{' No': -0.076672, '\n': -5.3018823, 'No': -3.9438214, ' Yes': -3.0317159, 'Yes': -6.9456425}
{' No': -0.37627053, ' Yes': -1.3350546, 'No': -3.998478, ' Doctor': -4.098461, '\n': -4.5445137}
{' No': -0.1520006, '\n': -3.0008545, ' Hospital': -3.1604347, 'No': -3.6727104, ' Yes': -3.9466877}
{' No': -0.034203336, '\n': -5.221047, ' ': -8.3971815, 'No': -3.6523578, ' Yes': -6.3795824}
{' No': -0.56441104, '\n': -2.7865252, 'No': -4.3461394, ' Yes': -1.2277926, ' Patient': -2.911615}
{' No': -0.02028483, '\n': -5.7552185, ' ': -8.639999, 'No': -4.5941253, ' Yes': -5.0456243}
{' No': -0.051706593, '\n': -4.3031063, ' ': -7.6630955, 'No': -3.727909, ' Yes': -4.437914}
{' No': -0.072119795, ' Doctor': -3.3823497, 'No': -4.4539557, '\n': -4.478513, ' Yes': -4.494769}
{' No': -0.021886256, 'No': -4.4346175, '\n': -5.130761, ' Yes': -6.3782396, ' Hospital': -6.5946054}
{' No': -0.123595506, '\n': -4.248023, 'No': -4.6988993, ' Yes': -2.4132738, ' Sur': -6.5223994}
{' No': -0.030689154, '\n': -5.0003605, 'No': -4.825567, ' Yes': -4.2630267, ' Patient': -7.6061106}
{' No': -0.006066608, 'No': -5.1712503, '\n': -8.307269, ' Yes': -9.729608, ' ': -10.076201}
{' No': -7.2383456, '\n': -4.5481067, ' ': -8.768068, ' Yes': -0.03662469, 'Yes': -3.7245135}
{' No': -4.632902, '\n': -3.3781683, ' Yes': -0.075027764, ' The': -6.8603554, 'Yes': -3.6722338}
{' No': -0.48453987, '\n': -1.4716806, 'No': -2.8504264, ' Yes': -2.9475121, ' Unfortunately': -3.8999755}
{' Yes': -0.584116, ' No': -1.133831, '\n': -2.5680714, 'No': -3.9995859, 'Yes': -4.088802}
{' No': -0.13954787, '\n': -3.9948084, 'No': -2.38234, ' Yes': -5.4207025, ' Unfortunately': -4.8352914}
{' No': -0.27891567, '\n': -2.1664984, ' Yes': -2.8077126, 'No': -2.8388636, ' Unfortunately': -5.653192}
{' No': -1.010471, '\n': -4.900497, 'No': -5.1799827, ' Yes': -0.4843994, 'Yes': -5.088554}
{' No': -2.8984196, '\n': -5.2665267, ' Yes': -0.1775566, 'Yes': -4.995792, ' Doctor': -2.370422}
{' No': -0.09430038, ' Hospital': -2.707406, '\n': -4.470149, 'No': -4.880526, ' Yes': -6.210791}
{' No': -0.12875786, ' Yes': -3.0221138, ' Sur': -3.158039, '\n': -4.2975807, 'No': -4.367531}
{' No': -0.021913309, '\n': -5.779348, ' ': -8.867341, 'No': -4.000797, ' Yes': -9.950895}
{' No': -0.10635867, '\n': -5.1685286, 'No': -4.324794, ' Yes': -3.313716, ' Patient': -3.1527965}
{' No': -0.11588711, '\n': -4.2489514, 'No': -3.4272656, ' Yes': -2.8161833, 'Yes': -6.193129}
{' No': -0.03956971, 'No': -3.7452087, ' Yes': -4.7493153, '\n': -5.5862446, ' Doctor': -6.2739115}
{' No': -0.022864368, 'No': -4.1561937, '\n': -5.2763853, ' Yes': -7.440829, ' Hospital': -7.6832128}
{' No': -0.09399325, '\n': -4.187516, 'No': -4.2625566, ' Yes': -2.8632536, 'Yes': -6.845294}
{' No': -0.022907484, '\n': -5.3893147, ' ': -8.078131, 'No': -4.084831, ' Yes': -7.0600257}
{' No': -0.03741183, ' Yes': -4.1000147, 'No': -4.349122, '\n': -5.3516645, ' Pat': -7.094079}
{' No': -0.026880011, '\n': -6.3602767, ' ': -8.967226, 'No': -3.9680321, ' Yes': -5.189008}
{' No': -0.41028574, '\n': -4.3776107, 'No': -4.016109, ' Yes': -1.2111491, 'Yes': -5.049625}
{' No': -0.8521973, '\n': -4.1950717, 'No': -4.870678, ' Yes': -0.66643685, ' Doctor': -3.5335174}
{' No': -0.059676386, '\n': -4.151054, 'No': -4.1454077, ' Yes': -5.8815107, ' Hospital': -3.9184656}
{' Yes': -1.0533104, ' No': -1.3283081, ' Sur': -1.652027, '\n': -1.8501815, 'Yes': -4.2280807}
{' No': -0.03709556, 'No': -3.5984206, '\n': -4.899738, ' Yes': -6.8216505, ' ': -8.120315}
{'Pat': -5.625766, ' No': -0.032386597, 'No': -4.2714043, ' Pat': -5.0943274, ' Patient': -5.789077}
{' No': -0.027464977, '\n': -6.2830935, 'No': -4.288497, ' Yes': -4.500676, 'Yes': -8.571608}
{' No': -0.023801437, '\n': -6.70206, ' ': -9.311267, 'No': -3.8213227, ' Yes': -8.185744}
