{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' Yes': -0.5037483, '\n': -1.5738968, ' No': -2.0389042, 'Yes': -3.3064122, 'No': -4.6233983}
{' No': -0.26997578, '\n': -2.1561718, 'No': -2.8175929, ' Unfortunately': -2.9781876, ' Yes': -5.6324654}
{' No': -0.26741236, 'No': -2.2106571, '\n': -2.5848238, ' Yes': -3.6259744, ' Unfortunately': -4.1481113}
{' No': -0.24398535, '\n': -2.168668, 'No': -2.7171376, ' Yes': -3.6697342, ' Unfortunately': -5.0099497}
{' Yes': -0.029658854, 'Yes': -3.8290703, '\n': -5.0973716, ' No': -7.50208, ' Nurse': -7.9994287}
{' No': -5.97985, '\n': -5.3889365, ' Yes': -0.025390277, ' yes': -7.4351816, 'Yes': -4.090526}
{' No': -3.7247267, '\n': -4.6121054, ' Yes': -0.0833638, ' Sur': -3.6760266, 'Yes': -4.0709066}
{' No': -0.03807432, '\n': -5.097219, ' ': -8.013261, 'No': -3.5557418, ' Yes': -6.2160463}
{' No': -4.584911, '\n': -5.008706, ' Yes': -0.033988226, ' Patient': -5.928256, 'Yes': -4.4354258}
{' No': -0.050534382, '\n': -5.2299356, 'No': -4.405919, ' Yes': -3.4757814, 'Yes': -7.887925}
{' No': -0.049100813, ' Yes': -3.7541294, 'No': -4.2780266, '\n': -4.6474247, 'Yes': -7.8839316}
{' No': -0.06472179, ' Yes': -3.8194575, 'No': -3.8211343, '\n': -4.084196, ' Unfortunately': -7.4512134}
{' No': -0.18881948, '\n': -3.9038675, 'No': -3.180883, ' Yes': -2.3166976, ' Hospital': -5.419618}
{' No': -0.04191663, 'No': -3.5198486, '\n': -4.868363, ' Yes': -6.1558175, ' The': -7.6979213}
{' No': -0.3173315, '\n': -3.1958046, 'No': -4.2607193, ' Yes': -1.5883371, ' Patient': -5.0054855}
{' No': -0.013387276, 'No': -4.807466, '\n': -5.599594, ' Yes': -6.7757225, ' ': -8.8328085}
{' No': -0.039532688, '\n': -4.4587507, ' ': -8.340564, 'No': -3.8081427, ' Yes': -5.395091}
{' No': -0.06918075, ' Yes': -3.259139, 'No': -4.039609, '\n': -4.63652, 'Yes': -7.6386905}
{' No': -0.11917416, '\n': -3.655158, 'No': -3.169835, ' Yes': -3.2915716, ' Hospital': -5.567757}
{' No': -0.12419338, '\n': -4.108942, 'No': -3.829111, ' Yes': -2.5820792, 'Yes': -6.5465884}
{' No': -0.059223916, ' Yes': -3.4027374, 'No': -4.0935693, '\n': -5.1989903, ' The': -7.6443524}
{' No': -0.00866246, '\n': -7.725112, ' ': -10.0386305, 'No': -4.825677, ' Yes': -9.360648}
{' No': -0.7051686, ' Yes': -1.2614163, '\n': -1.8701218, 'No': -3.1904418, 'Yes': -4.4514813}
{' No': -3.2955103, '\n': -2.475591, 'No': -5.2857866, ' Yes': -0.1954339, 'Yes': -3.0776627}
{' No': -0.8744418, '\n': -1.1648527, ' Yes': -1.8696907, 'No': -2.5013015, ' Unfortunately': -4.2893605}
{' Yes': -0.35338885, ' No': -2.0759497, '\n': -2.4452088, 'Yes': -2.9650717, 'No': -4.1956377}
{' No': -0.41169193, '\n': -1.908749, 'No': -2.2256205, ' Yes': -4.568548, ' Unfortunately': -2.8805697}
{' No': -0.47946325, '\n': -1.3827282, 'No': -2.6671445, ' Yes': -3.123609, ' Unfortunately': -4.8775992}
{' No': -0.036412396, '\n': -5.337907, 'No': -4.394721, ' Yes': -4.003358, 'Yes': -8.5590515}
{' Yes': -0.25921777, ' No': -1.592729, '\n': -4.4834757, 'Yes': -4.7075186, 'No': -5.5644865}
{' No': -0.06292401, 'No': -3.8192298, ' Yes': -4.1832128, ' Hospital': -4.319306, '\n': -4.8134427}
{' No': -0.03529231, 'No': -4.1084905, '\n': -4.2539124, ' Yes': -5.774962, ' ': -8.2523775}
{' No': -0.043999612, 'No': -3.4438562, '\n': -4.5915174, ' ': -7.9215126, ' Yes': -8.097015}
{' No': -0.027250512, 'No': -4.3437405, '\n': -4.9957294, ' Yes': -5.139303, ' Patient': -7.1833453}
{' No': -0.06459735, 'No': -3.5706663, '\n': -3.7746327, ' Yes': -4.557763, ' ': -7.5838656}
{' No': -0.051904336, 'No': -3.474708, ' Yes': -4.09308, '\n': -6.1379576, 'Yes': -7.936288}
{' No': -0.027910953, 'No': -4.076611, '\n': -4.8589354, ' Yes': -6.308507, ' ': -8.076411}
{' No': -0.07092027, '\n': -3.1402123, 'No': -3.8070896, ' Yes': -6.2812834, ' ': -7.3032866}
{' No': -0.029572653, '\n': -5.4354506, ' ': -8.814238, 'No': -3.845042, ' Yes': -5.797955}
{' No': -0.057607517, 'No': -3.2874067, ' Yes': -4.1415176, '\n': -6.7170024, 'Yes': -7.446284}
{' No': -0.018214868, '\n': -6.755483, ' ': -9.569525, 'No': -4.171468, ' Yes': -6.643781}
{' No': -0.1322786, ' Yes': -2.665043, 'No': -3.4817924, '\n': -3.8862705, 'Yes': -6.1916676}
{' No': -1.160881, '\n': -5.341003, 'No': -4.883705, ' Yes': -0.4104594, 'Yes': -4.589266}
{' No': -0.17179815, '\n': -3.9072182, 'No': -3.9239342, ' Yes': -3.8204968, ' Hospital': -2.4103272}
{' No': -0.09367153, '\n': -3.2456663, 'No': -3.7234056, ' Yes': -3.7601275, 'Yes': -7.271658}
{' No': -0.034137897, '\n': -6.354927, 'No': -3.9147663, ' Yes': -4.46327, 'Yes': -8.861813}
{' No': -0.033816874, '\n': -8.675721, 'No': -4.037225, ' Yes': -4.2043567, 'Yes': -8.094148}
{' No': -0.019581987, 'No': -4.2617235, ' Yes': -5.6486635, '\n': -6.501136, ' ': -9.377366}
{' No': -0.039002225, 'No': -3.4885468, '\n': -5.014033, ' Yes': -7.0803723, ' ': -8.713924}
{' No': -0.06235778, 'No': -3.4905193, ' Yes': -3.6092975, '\n': -6.171021, 'Yes': -7.4355664}
{' No': -0.025875455, 'No': -4.11611, ' Yes': -5.308909, '\n': -5.552773, ' ': -8.640354}
{' No': -0.021272948, 'No': -4.096485, '\n': -5.474018, ' ': -9.375172, ' Yes': -9.482526}
{' No': -0.02178921, '\n': -6.9261394, ' ': -9.501832, 'No': -3.93115, ' Yes': -7.130819}
{' No': -0.0509995, '\n': -7.702013, 'No': -3.3781135, ' Yes': -4.2379117, 'Yes': -7.5981293}
{' No': -0.011084633, '\n': -8.05363, ' ': -10.3049135, 'No': -4.5460634, ' Yes': -9.905878}
{' No': -0.026916444, 'No': -4.3990765, ' Yes': -4.5448437, '\n': -5.6895633, 'Yes': -8.941755}
{' No': -0.3247987, ' Yes': -1.3358518, 'No': -4.614687, 'Yes': -5.87981, '\n': -6.548813}
{' No': -0.026677366, 'No': -4.38416, ' Yes': -5.355649, '\n': -5.4570856, ' Hospital': -5.4973574}
{' No': -0.015340292, 'No': -4.735206, '\n': -5.4728518, ' Yes': -6.26591, ' ': -9.179841}
{' No': -0.01415451, '\n': -7.2358985, ' ': -9.857158, 'No': -4.523613, ' Yes': -6.067365}
{' No': -0.014287638, '\n': -7.5066404, 'No': -4.4717236, ' Yes': -6.17851, ' Unfortunately': -10.404748}
{' No': -0.010254407, 'No': -4.697533, '\n': -7.5378056, ' Yes': -7.7114906, ' ': -9.762289}
{' No': -0.081864275, 'No': -3.0785584, '\n': -3.7698636, ' Yes': -4.7684655, ' ': -7.7283444}
{' No': -0.45141804, ' Yes': -1.3206922, 'No': -3.059515, '\n': -3.3294182, 'Yes': -4.417986}
{' No': -0.090866804, 'No': -2.8228192, '\n': -3.773974, ' Yes': -5.9237394, ' ': -7.240702}
{' No': -0.13865517, '\n': -2.871344, ' ': -7.035241, 'No': -2.775965, ' Yes': -4.804562}
{' No': -0.08179803, '\n': -4.4721637, 'No': -2.8413024, ' Yes': -4.9817443, ' Unfortunately': -6.9908667}
{' No': -0.06674525, '\n': -4.9453635, 'No': -2.9133697, ' Yes': -6.0517297, ' Unfortunately': -8.381181}
{' No': -0.13627335, '\n': -3.264199, ' ': -6.9846087, 'No': -2.4702349, ' Yes': -5.961137}
{' No': -0.73149705, '\n': -1.9197599, 'No': -2.7475054, ' Yes': -1.2600919, 'Yes': -4.000107}
{' Yes': -0.67550904, ' No': -1.0064187, 'No': -3.0044463, '\n': -3.201466, 'Yes': -3.4336417}
{' No': -0.5093431, '\n': -1.6109799, 'No': -2.3667936, ' Yes': -2.458516, ' Unfortunately': -4.681235}
{' No': -0.67407894, '\n': -1.277522, 'No': -2.103385, ' Yes': -2.7340038, ' Unfortunately': -4.6149836}
{' No': -0.4960289, '\n': -1.8479632, 'No': -2.2801247, ' Yes': -2.2388973, ' Unfortunately': -4.494108}
{' No': -0.4202834, ' Yes': -1.8846407, 'No': -2.3228235, '\n': -2.6007452, 'Yes': -4.4034705}
{' No': -0.491832, '\n': -1.6303723, 'No': -2.0467446, ' Yes': -3.0740614, ' Unfortunately': -4.889861}
{' No': -0.3676451, '\n': -3.641222, 'No': -3.5447216, ' Yes': -1.4094371, 'Yes': -4.929085}
{' No': -2.1475153, '\n': -5.7100706, 'No': -5.7926946, ' Yes': -0.15000072, 'Yes': -4.1742587}
{' No': -0.07073813, ' Yes': -3.365517, ' Hospital': -3.9930592, 'No': -4.7867165, '\n': -5.3627033}
{' No': -0.2882011, ' Yes': -1.7384479, '\n': -2.9248376, 'No': -4.3501935, 'Yes': -5.6452546}
{' No': -0.038520046, 'No': -3.909589, ' Yes': -4.2095823, '\n': -6.0230494, 'Yes': -8.51105}
{' No': -0.0400703, '\n': -5.932708, 'No': -4.4039598, ' Yes': -3.732041, 'Yes': -8.051596}
{' No': -0.015378907, 'No': -4.7601695, ' Yes': -5.169849, '\n': -7.0755363, ' ': -9.738412}
{' Yes': -0.609376, ' No': -0.98479944, 'No': -3.38272, 'Yes': -3.7154667, '\n': -3.760728}
{' No': -0.27583396, '\n': -2.3131359, 'No': -3.1755512, ' Yes': -2.4633472, ' Hospital': -4.6346917}
{' Yes': -0.43839154, ' No': -1.525357, '\n': -2.3039844, 'Yes': -3.842753, 'No': -4.307469}
{' No': -0.095919654, '\n': -4.0562983, 'No': -2.8090677, ' Yes': -4.4817376, ' Unfortunately': -7.177378}
{' No': -0.18919313, '\n': -3.5919755, 'No': -3.3192208, ' Yes': -2.286054, ' Patient': -5.757634}
{' No': -0.33697966, '\n': -4.462554, 'No': -4.086964, ' Yes': -1.3760555, 'Yes': -5.378785}
{' Yes': -0.14008845, '\n': -2.78803, ' No': -3.3190584, 'Yes': -3.559602, 'No': -5.9650183}
{' No': -1.015458, '\n': -1.2476987, 'No': -3.4598434, ' Yes': -1.2192526, 'Yes': -4.5495405}
{' No': -3.9445767, '\n': -1.5257041, 'No': -6.824683, ' Yes': -0.31078035, 'Yes': -3.6374002}
{' No': -0.2362038, '\n': -2.4041915, 'No': -2.883949, ' Unfortunately': -3.135236, ' Yes': -4.2360187}
{' No': -0.41727754, ' Yes': -1.8881962, '\n': -2.072612, 'No': -3.1431017, ' Unfortunately': -4.707156}
{' No': -0.6754322, '\n': -1.6247387, 'No': -3.6343286, ' Yes': -1.3663044, 'Yes': -4.7157435}
{' No': -3.866168, '\n': -6.0595326, 'No': -7.512727, ' Yes': -0.03774949, 'Yes': -4.34955}
{' Yes': -0.028248113, 'Yes': -3.944342, ' No': -5.1101723, '\n': -6.6372833, ' yes': -7.438364}
{' No': -3.9347427, '\n': -4.059113, ' Yes': -0.09011149, ' Sur': -3.68307, 'Yes': -3.8664804}
{' No': -0.039163683, '\n': -6.2198634, ' ': -8.46308, 'No': -3.5340078, ' Yes': -5.005028}
{' No': -1.757756, '\n': -6.998526, 'No': -6.152121, ' Yes': -0.20184971, 'Yes': -5.016022}
{' No': -0.026124619, '\n': -7.3241377, 'No': -4.6033015, ' Yes': -4.212005, 'Yes': -8.696597}
{' No': -0.07179647, '\n': -5.838718, 'No': -4.270788, ' Yes': -2.965267, 'Yes': -7.2791023}
{' No': -0.07751109, '\n': -6.626905, 'No': -4.0477276, ' Yes': -2.9021356, 'Yes': -7.435345}
{' No': -0.089268476, '\n': -3.8469036, 'No': -4.044097, ' Yes': -3.3246982, ' Hospital': -4.7557383}
{' No': -0.0320185, '\n': -6.072774, ' ': -8.931833, 'No': -3.7799811, ' Yes': -5.111009}
{' No': -0.29299307, '\n': -3.6149495, 'No': -3.707929, ' Yes': -1.6375078, 'Yes': -5.493255}
{' No': -0.014099255, 'No': -4.7506523, ' Yes': -5.551395, '\n': -6.679612, ' ': -9.019406}
{' No': -0.07065112, 'No': -3.560441, '\n': -3.8244464, ' Yes': -4.109668, ' ': -6.966819}
{' No': -0.39266434, '\n': -4.472803, 'No': -3.9817028, ' Yes': -1.2609924, ' Doctor': -5.3081875}
{' No': -0.01588004, 'No': -4.496652, '\n': -6.070361, ' Yes': -6.588653, ' Hospital': -7.6165624}
{' No': -0.07147043, '\n': -3.6445904, ' Yes': -3.9079647, 'No': -4.2338295, ' Sur': -5.3086185}
{' No': -0.030031182, 'No': -4.318313, ' Yes': -4.683, '\n': -5.326656, ' Patient': -6.9200745}
{' No': -0.007353493, '\n': -7.8262734, ' ': -9.453702, 'No': -5.0111985, ' Yes': -8.723623}
{' No': -0.23206171, '\n': -3.1660445, 'No': -3.2421515, ' Yes': -2.1381972, 'Yes': -5.7274013}
{' Yes': -0.24962467, ' No': -1.9413073, '\n': -3.3017278, 'Yes': -3.6519206, 'No': -4.62884}
{' No': -0.46048772, '\n': -1.2861542, 'No': -3.0923195, ' Unfortunately': -3.6780493, ' Yes': -4.3141484}
{' Yes': -0.8139133, '\n': -1.2061957, ' No': -1.5198687, 'Yes': -4.0435925, 'No': -4.417965}
{' No': -0.1452855, '\n': -3.038598, 'No': -3.013495, ' Yes': -4.710219, ' Unfortunately': -3.718596}
{' No': -0.1537925, '\n': -2.5515397, 'No': -3.1605139, ' Yes': -4.0860605, ' Unfortunately': -6.127831}
{' No': -0.09297903, '\n': -5.235248, 'No': -4.334802, ' Yes': -2.6708865, 'Yes': -6.9911647}
{' No': -4.9075727, '\n': -6.840287, ' Yes': -0.022917485, ' yes': -7.694979, 'Yes': -4.3354673}
{' No': -0.029408256, '\n': -4.7129827, 'No': -4.239657, ' Yes': -6.6508718, ' Hospital': -5.6971064}
{' No': -0.020080108, 'No': -4.2479186, '\n': -5.3760047, ' Yes': -7.3468175, ' ': -8.915402}
{' No': -0.019941768, '\n': -5.8166122, ' ': -8.819647, 'No': -4.1673303, ' Yes': -6.9121704}
{' No': -0.02677489, 'No': -4.2691374, ' Yes': -4.595695, '\n': -6.299636, ' Patient': -8.727502}
{' No': -0.013771422, '\n': -6.130678, ' ': -9.6073475, 'No': -4.608286, ' Yes': -6.560759}
{' No': -0.01802872, '\n': -6.2024517, ' ': -9.911457, 'No': -4.1789517, ' Yes': -7.7792726}
{' No': -0.07930911, '\n': -4.0584807, 'No': -4.1449275, ' Yes': -3.2718098, ' Hospital': -5.984864}
{' No': -0.0399394, '\n': -3.958316, ' ': -7.842638, 'No': -4.514003, ' Yes': -4.824443}
{' No': -0.040098593, 'No': -3.9375746, ' Yes': -4.344893, '\n': -5.1440873, ' ': -8.380812}
{' No': -0.1147523, ' Yes': -2.409905, 'No': -4.4934773, '\n': -5.182053, 'Yes': -6.9481373}
{' No': -0.0114994915, 'No': -4.6316395, '\n': -7.0697837, ' Yes': -7.183748, ' ': -10.179996}
{' No': -0.040918153, ' Yes': -3.872137, 'No': -4.260103, '\n': -5.3629265, 'Yes': -8.111512}
{' No': -0.15576904, '\n': -5.6879606, 'No': -4.5277457, ' Yes': -2.0504699, 'Yes': -6.7850337}
{' No': -0.105768695, ' Hospital': -2.6598134, '\n': -4.498043, ' Yes': -4.799319, 'No': -4.9704747}
{' No': -0.046888042, '\n': -3.5036788, ' ': -7.6485825, 'No': -4.3761764, ' Yes': -6.0605063}
{' No': -0.018577922, ' Not': -9.354969, '\n': -7.0743904, 'No': -4.291121, ' Yes': -5.62516}
{' No': -0.08434632, '\n': -7.4956245, 'No': -4.1659636, ' Yes': -2.7599711, 'Yes': -6.8916006}
{' No': -0.011346658, 'No': -4.7275844, ' Yes': -6.7252007, '\n': -6.8133974, ' ': -9.717334}
{' No': -0.020755244, 'No': -4.1080637, '\n': -5.674293, ' Yes': -7.509639, ' ': -9.299175}
{' No': -0.025174182, 'No': -3.9445143, ' Yes': -5.4271555, '\n': -6.9670415, 'Yes': -9.449688}
{' No': -0.02107722, 'No': -4.7496557, ' Yes': -4.940234, '\n': -5.6260824, ' Hospital': -7.218316}
{' No': -0.025389668, '\n': -4.519776, 'No': -4.6087236, ' Yes': -5.750789, ' ': -7.5624776}
{' No': -0.012220629, '\n': -6.951456, ' ': -9.184553, 'No': -4.567412, ' Yes': -7.415856}
{' No': -0.060253896, ' Yes': -3.4189057, 'No': -3.8524387, '\n': -6.0190773, 'Yes': -7.0301228}
{' No': -0.0050802687, '\n': -7.952611, ' ': -10.082791, 'No': -5.3870974, ' Yes': -9.377579}
{' No': -0.025365394, '\n': -5.67329, ' ': -8.946317, 'No': -4.5058894, ' Yes': -4.5783744}
{' No': -0.28649363, '\n': -5.8510823, 'No': -4.604637, ' Yes': -1.453978, 'Yes': -6.1010075}
{' No': -0.09360312, '\n': -5.132416, 'No': -4.709736, ' Yes': -3.0677564, ' Hospital': -3.6819305}
{' No': -0.05598236, '\n': -3.936851, ' Yes': -3.9841094, 'No': -4.777202, ' Sur': -5.1295104}
{' Band': -8.879367, ' No': -0.012970003, '\n': -6.718721, 'No': -4.526737, ' Yes': -7.574489}
{' No': -0.022455566, '\n': -7.4422193, 'No': -4.1720314, ' Yes': -5.14937, 'Yes': -9.199936}
{' No': -0.007124212, '\n': -7.53305, ' ': -10.137138, 'No': -5.0614014, ' Yes': -8.728386}
{' No': -0.033653192, '\n': -4.987674, 'No': -3.739317, ' Yes': -6.2444186, ' Unfortunately': -8.416296}
{' No': -0.05971144, '\n': -5.0127754, 'No': -3.7717245, ' Yes': -3.5939693, 'Yes': -7.6452904}
{' No': -0.05623233, '\n': -3.8420522, 'No': -3.4976745, ' Yes': -6.762399, ' Unfortunately': -7.2452745}
{' No': -0.06813019, '\n': -3.4333339, 'No': -3.5253005, ' Yes': -6.2571993, ' Unfortunately': -6.6592073}
{' No': -0.032026686, 'No': -3.7543073, '\n': -5.725582, ' Yes': -5.9832044, ' Unfortunately': -6.3131337}
{' No': -0.03993295, 'No': -3.475163, '\n': -5.4226365, ' Yes': -5.7944894, ' Unfortunately': -7.9198856}
{' No': -0.036278695, 'No': -3.5368068, '\n': -5.1917543, ' Yes': -7.544335, ' ': -8.713496}
{' No': -0.1764452, '\n': -3.4088404, 'No': -3.1363735, ' Yes': -2.5991175, ' Unfortunately': -4.940712}
{' No': -2.2667413, '\n': -4.426066, 'No': -5.191786, ' Yes': -0.1558194, 'Yes': -3.8293214}
{' No': -0.4148659, '\n': -1.7425808, ' Yes': -2.3899484, 'No': -3.103794, ' Unfortunately': -3.8880887}
{' No': -0.5605947, '\n': -1.6857358, 'No': -2.7551272, ' Yes': -1.8574867, 'Yes': -4.424818}
{' No': -0.271892, '\n': -2.4975617, 'No': -2.7464325, ' Yes': -2.6739364, ' Unfortunately': -4.1568003}
{' No': -0.7559741, ' Yes': -0.8226989, '\n': -3.2828789, 'No': -3.4189854, 'Yes': -4.0726147}
{' No': -0.19945054, 'No': -2.6524534, '\n': -2.9046395, ' Yes': -3.1641567, ' Unfortunately': -4.7103753}
{' No': -0.13925816, '\n': -4.7156873, 'No': -4.4139314, ' Yes': -2.2330692, 'Yes': -6.6605706}
{' Yes': -0.22044136, ' No': -1.7428145, 'Yes': -4.7011924, '\n': -4.7625194, 'No': -5.845048}
{' No': -0.74979, ' Hospital': -0.7740496, ' Yes': -3.0708501, '\n': -5.0748744, ' Hosp': -5.2894664}
{' No': -0.46883926, '\n': -2.2353683, 'No': -4.340198, ' Yes': -1.8002008, ' Sur': -2.604751}
{' No': -0.017132927, 'No': -4.782941, ' Yes': -5.126174, '\n': -6.047734, ' ': -8.83118}
{' No': -0.024688186, ' Yes': -4.417823, 'No': -4.554157, '\n': -6.6122518, 'Yes': -8.825604}
{' No': -0.011943959, ' Yes': -5.1481495, 'No': -5.3486176, '\n': -6.748586, ' ': -9.818974}
{' No': -1.4908859, '\n': -4.2509775, 'No': -4.3063993, ' Yes': -0.31912345, 'Yes': -3.9457293}
{' No': -0.33490717, ' Yes': -2.1269832, '\n': -2.2199225, 'No': -3.4691765, ' Hospital': -3.9743383}
{' No': -2.0954328, '\n': -2.1500437, 'No': -5.2130246, ' Yes': -0.3061222, 'Yes': -4.149071}
{' No': -0.09364372, 'No': -3.0150342, '\n': -3.6173768, ' Yes': -4.9775696, ' Unfortunately': -5.5019703}
{' No': -0.24893989, '\n': -3.20776, 'No': -3.5415022, ' Yes': -1.9976351, ' Patient': -4.574259}
{' No': -0.46776527, '\n': -4.4826937, 'No': -5.0199995, ' Yes': -1.0432886, 'Yes': -5.824523}
{' No': -1.8525734, '\n': -2.6225855, 'No': -4.752382, ' Yes': -0.30017674, 'Yes': -4.0569553}
{' No': -0.8012262, '\n': -2.2299142, 'No': -3.6536524, ' Yes': -0.9378438, 'Yes': -4.7547836}
{' Yes': -0.1374297, '\n': -2.5923438, ' No': -3.5352166, 'Yes': -3.9939795, ' The': -6.1915736}
{' No': -0.218771, '\n': -2.65905, ' Unfortunately': -2.8564625, 'No': -2.973663, ' Yes': -4.496328}
{' No': -0.36408597, ' Yes': -2.0173948, '\n': -2.3455105, 'No': -3.1137273, ' Unfortunately': -3.8401754}
{' No': -0.1842271, '\n': -2.4587803, 'No': -3.3076591, ' Yes': -3.2091274, ' Unfortunately': -5.923073}
{' No': -6.328713, '\n': -6.096985, ' Yes': -0.014107719, ' yes': -9.254753, 'Yes': -4.6351175}
{' Yes': -0.021017075, 'Yes': -4.1115932, '\n': -6.267654, ' No': -6.3928204, ' yes': -7.59514}
{' No': -5.4422174, '\n': -3.515944, ' Yes': -0.14031681, ' Sur': -2.6397104, 'Yes': -3.831126}
{' No': -0.020937582, '\n': -5.9703574, ' ': -9.1424675, 'No': -4.1088123, ' Yes': -6.524489}
{' No': -7.2415857, '\n': -6.9789495, ' Yes': -0.011260273, ' Patient': -7.768571, 'Yes': -4.76266}
{' No': -0.05547253, '\n': -6.084203, 'No': -4.9472303, ' Yes': -3.1238587, 'Yes': -7.925351}
{' No': -0.059981145, ' Yes': -3.1988094, 'No': -4.2789063, '\n': -5.8652215, 'Yes': -7.5021806}
{' No': -0.08473543, '\n': -5.73446, 'No': -4.038305, ' Yes': -2.8287709, 'Yes': -7.299159}
{' No': -0.08678305, 'No': -3.5313325, '\n': -3.6156297, ' Yes': -3.8792212, ' Hospital': -5.523152}
{' No': -0.019199064, 'No': -4.205062, '\n': -6.0574236, ' Yes': -6.583544, ' Unfortunately': -9.092879}
{' No': -0.17672718, ' Yes': -2.2104416, '\n': -3.7956388, 'No': -3.8623178, ' Patient': -5.1565013}
{' No': -0.009085576, 'No': -5.2248907, ' Yes': -6.0041885, '\n': -6.8717546, ' ': -9.320285}
{' No': -0.03877858, '\n': -4.3505917, ' ': -8.096203, 'No': -3.7366698, ' Yes': -7.025141}
{' No': -0.059011772, '\n': -4.790245, 'No': -4.269961, ' Yes': -3.9336035, ' Doctor': -4.238398}
{' No': -0.023278587, '\n': -5.099311, 'No': -4.6440077, ' Yes': -5.2352705, ' Hospital': -6.8170366}
{' No': -0.046919778, '\n': -4.0069723, ' ': -7.7687464, 'No': -4.450328, ' Yes': -4.207114}
{' No': -0.02707333, ' Yes': -4.646963, 'No': -4.8144665, '\n': -5.0381737, ' Patient': -6.72122}
{' No': -0.005759802, 'No': -5.274345, '\n': -7.621541, ' ': -9.415285, ' Yes': -10.4788475}
{' No': -0.27485836, '\n': -2.7609422, 'No': -3.3064554, ' Yes': -2.0546932, ' Unfortunately': -5.0592976}
{' Yes': -0.13938746, ' No': -2.7462752, '\n': -3.5135632, 'Yes': -3.5909712, 'No': -5.347628}
{' No': -0.71927863, '\n': -0.8850157, 'No': -2.9177287, ' Unfortunately': -3.8005502, ' Yes': -4.1009865}
{' Yes': -0.7955581, '\n': -1.0517647, ' No': -2.0624478, 'Yes': -3.3323221, 'No': -4.287278}
{' No': -0.11238004, 'No': -3.0842292, ' Unfortunately': -3.603358, '\n': -3.8754246, ' Yes': -5.209544}
{' No': -0.11151293, 'No': -2.953615, '\n': -3.2162642, ' Yes': -4.990354, ' Unfortunately': -5.5198817}
{' No': -0.012086689, 'No': -4.8269176, '\n': -5.946687, ' Yes': -6.6703444, ' ': -9.63495}
{' No': -3.7877762, '\n': -6.2874656, ' Yes': -0.03474749, 'Yes': -4.833947, ' Doctor': -7.226148}
{' No': -0.06134711, '\n': -4.4953413, 'No': -4.5437117, ' Yes': -7.0717783, ' Hospital': -3.347289}
{' No': -0.027885884, '\n': -4.456351, ' ': -8.078611, 'No': -4.22469, ' Yes': -7.611414}
{' No': -0.009829408, 'No': -4.699551, '\n': -7.5912805, ' Yes': -9.328738, ' ': -10.420859}
{' No': -0.017007422, '\n': -6.549321, 'No': -4.491769, ' Yes': -5.660899, ' Patient': -7.60309}
{' No': -0.061203003, 'No': -3.5264564, '\n': -3.8738022, ' Yes': -4.8017464, ' ': -7.5059075}
{' No': -0.03333479, '\n': -5.928816, ' ': -9.05722, 'No': -3.659811, ' Yes': -5.508585}
{' No': -0.022896266, 'No': -4.696087, '\n': -4.9869823, ' Yes': -5.5555973, ' Hospital': -6.392116}
{' No': -0.052174266, '\n': -3.6947887, ' ': -7.298793, 'No': -3.8659673, ' Yes': -5.5736203}
{' No': -0.03390344, '\n': -5.005724, ' ': -8.178276, 'No': -3.802803, ' Yes': -5.5409913}
{' No': -0.031954315, 'No': -3.8503404, ' Yes': -5.2703843, '\n': -5.419274, ' ': -8.59691}
{' No': -0.016673548, 'No': -4.2569838, '\n': -6.666667, ' Yes': -6.958331, ' ': -9.380803}
{' No': -0.033894435, 'No': -4.1724725, ' Yes': -4.3045454, '\n': -5.5078588, 'Yes': -8.401943}
{' No': -0.61753213, ' Yes': -0.8311667, 'No': -4.480706, '\n': -5.066053, 'Yes': -5.1365943}
{' No': -0.03213587, '\n': -4.3733373, 'No': -4.853577, ' Hospital': -5.022763, ' Yes': -5.620024}
{' No': -0.24964143, '\n': -2.4035149, ' Yes': -2.5159683, 'No': -3.7925262, ' Sur': -3.9292393}
{' No': -0.012248507, 'No': -4.6540403, ' Yes': -6.357446, '\n': -7.18077, ' Not': -9.615514}
