{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' No': -3.8233185, '\n': -4.1750546, ' Yes': -0.061395783, ' Patient': -6.2297306, 'Yes': -3.9984112}
{' Yes': -0.07779787, ' No': -3.5033214, 'Yes': -3.765954, '\n': -3.9919195, 'No': -6.3222413}
{' Yes': -0.35822338, '\n': -1.7686868, ' No': -2.3378565, 'Yes': -3.7865086, 'No': -4.8515286}
{' No': -6.653529, '\n': -2.8593915, ' ': -7.9012237, ' Yes': -0.083131246, 'Yes': -3.9094934}
{' No': -0.3596652, '\n': -1.7564127, ' Yes': -2.7682514, 'No': -3.0440235, ' Unfortunately': -4.661003}
{' Yes': -0.21747912, ' No': -2.2900841, '\n': -2.7269127, 'Yes': -3.8895218, 'No': -5.342386}
{' No': -8.366736, '\n': -8.924611, ' Yes': -0.007218946, ' yes': -9.495479, 'Yes': -5.004207}
{' Yes': -0.0142618185, 'Yes': -4.3284593, '\n': -8.070721, ' yes': -8.087585, ' No': -8.294181}
{' Yes': -0.018943904, 'Yes': -4.3253098, ' Sur': -5.724954, '\n': -6.4887843, ' yes': -8.11455}
{' No': -0.04584573, '\n': -6.303618, 'No': -3.529454, ' Yes': -4.328816, 'Yes': -8.321443}
{' Yes': -0.019875247, 'Yes': -4.568558, ' No': -5.287728, ' Patient': -6.0885277, '\n': -6.782326}
{' No': -0.024987219, 'No': -4.1153097, ' Yes': -5.1543245, '\n': -6.043679, ' ': -9.154317}
{' No': -0.35018677, '\n': -5.78126, 'No': -4.273692, ' Yes': -1.2919477, 'Yes': -5.744096}
{' No': -0.19536187, '\n': -4.3310866, 'No': -3.7978685, ' Yes': -1.971809, 'Yes': -6.3218474}
{' No': -0.06892574, ' Yes': -3.2504041, 'No': -3.8019464, '\n': -5.426561, 'Yes': -7.322376}
{' Yes': -0.10659133, ' No': -2.5465117, 'Yes': -4.33055, '\n': -5.2417746, 'No': -6.198884}
{' No': -0.4470655, '\n': -3.9249403, 'No': -3.8589213, ' Yes': -1.1703265, 'Yes': -4.7829456}
{' Yes': -0.31749147, ' No': -1.4920863, '\n': -4.179994, 'Yes': -4.3909607, ' Doctor': -4.4636836}
{' No': -0.28919217, '\n': -5.078258, 'No': -3.9453504, ' Yes': -1.508564, 'Yes': -5.8791537}
{' Yes': -0.40763354, ' No': -1.6823987, ' Sur': -2.2526536, '\n': -3.7413032, 'Yes': -4.571027}
{' No': -0.48826456, ' Yes': -1.1150327, '\n': -3.538262, 'No': -4.489125, ' Patient': -4.706412}
{' Yes': -0.052321345, 'Yes': -3.761525, '\n': -3.9183412, ' No': -5.0234957, 'No': -7.8574033}
{' Yes': -0.04724972, 'Yes': -3.828477, '\n': -3.9828594, ' No': -5.5289145, ' The': -6.9896398}
{' Yes': -0.5156349, ' No': -1.3231931, '\n': -2.181294, 'No': -4.5787487, 'Yes': -4.6561146}
{' Yes': -0.059116606, 'Yes': -3.4118845, '\n': -3.8034573, ' The': -7.2226696, ' No': -7.457285}
{' No': -0.24993119, '\n': -2.3086908, ' Yes': -3.0529475, 'No': -3.1230998, ' Unfortunately': -4.0343814}
{' No': -0.018940259, 'No': -4.4073734, ' Yes': -5.2134724, '\n': -6.9224415, 'Yes': -9.365751}
{' No': -0.031646743, 'No': -3.923986, '\n': -5.17614, ' Yes': -5.2458706, ' ': -8.5679655}
{' No': -0.7377991, ' Yes': -0.77908754, '\n': -3.279326, 'No': -4.159535, 'Yes': -5.192721}
{' Yes': -0.3488786, ' No': -1.3946033, '\n': -3.4971077, 'Yes': -4.6029296, 'No': -5.361205}
{' Band': -7.273438, ' No': -0.07601639, '\n': -4.2327547, 'No': -4.0068617, ' Yes': -3.267594}
{' Yes': -0.42360005, ' No': -1.1453046, '\n': -4.3265557, 'Yes': -4.895844, 'No': -5.2617745}
{' No': -0.0862652, '\n': -5.6629477, 'No': -4.1349216, ' Yes': -2.7807343, 'Yes': -6.8861723}
{' Yes': -0.018369243, 'Yes': -4.554132, ' No': -5.14903, '\n': -6.604808, ' yes': -8.097627}
{' Yes': -0.73117334, ' No': -0.7632322, '\n': -3.5032392, 'No': -4.3152304, 'Yes': -5.1740575}
{' No': -2.090333, '\n': -3.8859146, ' Yes': -0.18074515, ' Sur': -5.6048117, 'Yes': -4.2836637}
{' No': -0.04516504, 'No': -3.4345899, ' Yes': -4.540641, '\n': -7.3977723, 'Yes': -8.191696}
{' Yes': -0.31949112, ' No': -1.3578479, 'Yes': -4.603577, 'No': -5.276194, '\n': -7.3853}
{' No': -0.028104039, 'No': -3.7789166, '\n': -5.6672945, ' Yes': -6.6808677, ' ': -9.149512}
{' No': -0.5443901, ' Yes': -0.9460814, 'No': -4.0065613, 'Yes': -4.738659, '\n': -5.51239}
{' No': -0.03352375, 'No': -3.862591, ' Yes': -4.6004567, '\n': -6.4049735, 'Yes': -8.991261}
{' No': -0.07770027, '\n': -4.3913007, 'No': -3.8021781, ' Yes': -3.3332162, ' Sur': -5.9422383}
{' No': -0.036168687, '\n': -7.665813, 'No': -3.547155, ' Yes': -5.1577315, 'Yes': -8.673935}
{' No': -0.6145322, '\n': -5.8752227, 'No': -3.7418704, ' Yes': -0.8795582, 'Yes': -4.155153}
{' No': -0.12044865, '\n': -5.4407973, 'No': -4.5379634, ' Yes': -2.331531, 'Yes': -6.8329782}
{' Yes': -0.012614714, 'Yes': -4.8032866, ' No': -5.9028697, '\n': -6.770572, ' yes': -8.07525}
{' No': -0.22775094, ' Yes': -1.7482053, 'No': -4.559715, '\n': -4.6017933, ' Hospital': -4.9723377}
{' No': -0.8405218, '\n': -3.3112416, 'No': -4.931979, ' Yes': -1.1347132, ' Sur': -1.6385204}
{' No': -0.021384863, 'No': -4.0555186, ' Yes': -5.829234, '\n': -7.6319685, ' no': -8.970868}
{' No': -1.0114506, '\n': -5.651116, 'No': -5.2526712, ' Yes': -0.47949684, 'Yes': -4.8627653}
{' No': -0.83153844, '\n': -4.356191, 'No': -4.470992, ' Yes': -0.632457, 'Yes': -4.7623153}
{' No': -2.8567162, '\n': -4.4454403, 'No': -6.4519863, ' Yes': -0.08973331, 'Yes': -4.2339478}
{' No': -0.15907437, ' Yes': -2.3982482, 'No': -3.378614, '\n': -3.939361, 'Yes': -6.331017}
{' Yes': -0.26906067, ' No': -1.837418, '\n': -3.110051, 'Yes': -3.7381346, 'No': -4.916924}
{' No': -0.05600177, 'No': -3.1780396, '\n': -5.0522346, ' Yes': -5.189331, ' Unfortunately': -8.496395}
{' No': -0.5075915, ' Yes': -1.0393754, 'No': -3.7837236, '\n': -4.5668416, 'Yes': -4.5723324}
{' Yes': -0.05000744, 'Yes': -3.7786949, ' No': -4.3779035, '\n': -4.4217267, 'No': -7.106772}
{' Yes': -0.028410912, 'Yes': -3.8934064, '\n': -5.2569757, ' No': -6.293553, ' yes': -8.690803}
{' No': -2.0413213, '\n': -2.5831304, 'No': -4.52537, ' Yes': -0.2780328, 'Yes': -3.740225}
{'\n': -4.7106853, ' ': -8.140079, ' Yes': -0.04487362, ' yes': -8.377988, 'Yes': -3.3800097}
{' No': -0.2744176, '\n': -2.0714622, 'No': -2.9071233, ' Yes': -3.174028, ' Unfortunately': -4.449556}
{' No': -4.2316732, '\n': -4.2075834, 'No': -6.713351, ' Yes': -0.06750035, 'Yes': -3.3957357}
{' No': -3.332842, '\n': -5.3696866, 'No': -6.653389, ' Yes': -0.058065884, 'Yes': -4.252064}
{' No': -2.5772398, '\n': -4.163746, 'No': -5.923557, ' Yes': -0.11028092, 'Yes': -4.7613616}
{' Yes': -0.51845264, ' No': -1.2582388, '\n': -2.4408216, 'Yes': -4.07084, 'No': -4.2218046}
{' No': -0.04313633, 'No': -3.5997539, '\n': -4.7909555, ' Yes': -5.3064837, ' Unfortunately': -7.365096}
{' No': -3.5011606, '\n': -4.7994947, ' Yes': -0.057007886, ' Patient': -6.119483, 'Yes': -4.3398275}
{' Yes': -0.5419523, ' No': -1.0478479, '\n': -3.4438689, 'No': -4.02676, 'Yes': -4.3337708}
{' Yes': -0.42583516, '\n': -1.5394883, ' No': -2.3066523, 'Yes': -3.987265, 'No': -4.877098}
{' No': -8.1876745, '\n': -3.7256734, ' Yes': -0.04541557, ' yes': -8.159595, 'Yes': -3.9541507}
{' No': -0.23881266, '\n': -2.1495087, 'No': -3.569963, ' Yes': -4.46436, ' Unfortunately': -2.9952896}
{' No': -1.2642589, '\n': -2.9758298, 'No': -4.6369376, ' Yes': -0.44456434, 'Yes': -4.4952064}
{' Yes': -0.013023203, 'Yes': -4.435598, '\n': -7.1908717, ' No': -8.697721, ' yes': -9.06271}
{' No': -10.028766, '\n': -7.27789, ' Yes': -0.014288968, ' yes': -7.972093, 'Yes': -4.341254}
{'\n': -5.7456284, ' Yes': -0.028747808, ' yes': -7.790161, ' Sur': -4.6089025, 'Yes': -4.254332}
{' No': -0.038693573, 'No': -3.7540271, ' Yes': -4.3370543, '\n': -7.0388684, 'Yes': -8.175718}
{' No': -7.3887844, '\n': -7.9537077, ' Yes': -0.00856104, ' yes': -8.241141, 'Yes': -4.956792}
{' No': -0.021230327, '\n': -5.803872, ' ': -9.5605955, 'No': -4.0870867, ' Yes': -6.8404226}
{' No': -0.59046334, ' Yes': -0.86323136, 'No': -4.5304008, '\n': -4.9632564, 'Yes': -5.320457}
{' No': -0.050420783, ' Yes': -3.7849827, 'No': -3.9754677, '\n': -4.9937263, 'Yes': -8.383118}
{' No': -0.03078424, 'No': -4.2426124, ' Yes': -4.42823, '\n': -5.6446276, 'Yes': -8.736764}
{' No': -1.3596753, '\n': -3.585145, ' Yes': -0.4026479, ' Patient': -3.4755945, 'Yes': -4.774512}
{' No': -0.04354229, 'No': -3.7907135, '\n': -4.6233897, ' Yes': -4.6521297, ' ': -8.030065}
{' No': -0.34073704, ' Yes': -1.5385557, ' Doctor': -3.4081063, '\n': -3.7001824, 'No': -4.4308248}
{' No': -0.07546417, ' Yes': -3.2067199, 'No': -4.033544, '\n': -4.467821, ' Hospital': -6.2995887}
{' No': -1.1331099, '\n': -4.244278, ' Yes': -0.5349177, ' Sur': -2.7835596, 'Yes': -4.979671}
{' No': -0.31902438, ' Yes': -2.204463, '\n': -2.5984929, ' Patient': -2.905288, 'Pat': -4.0044203}
{' Yes': -0.03639898, 'Yes': -3.859458, '\n': -4.4135957, ' No': -6.333619, ' ': -8.485784}
{' No': -5.574167, '\n': -4.4122024, ' Yes': -0.03635392, ' The': -7.172104, 'Yes': -4.0120807}
{' Yes': -0.8949288, ' No': -1.0249261, '\n': -1.6716509, 'No': -3.7202535, 'Yes': -4.6170793}
{' Yes': -0.07265414, 'Yes': -3.3038568, '\n': -3.4519818, ' The': -7.580173, ' No': -7.9603567}
{' No': -0.16319428, '\n': -3.1095026, 'No': -3.2573943, ' Yes': -3.2676156, ' Unfortunately': -3.952598}
{' No': -0.02693169, 'No': -4.2315764, ' Yes': -4.9652653, '\n': -5.353756, ' ': -8.622645}
{' No': -0.018872408, 'No': -4.36209, ' Yes': -5.3467016, '\n': -6.9165998, ' ': -9.63156}
{' No': -0.11430356, ' Yes': -2.5507028, 'No': -4.1087856, '\n': -4.534872, ' Hospital': -6.866531}
{' Yes': -0.58121574, ' No': -0.9644154, '\n': -3.4664102, 'Yes': -4.639006, ' Sur': -4.6849985}
{' No': -0.030735865, '\n': -5.3334413, ' ': -8.166743, 'No': -3.8515728, ' Yes': -5.586337}
{' No': -0.3804575, '\n': -4.094971, 'No': -4.0166802, ' Yes': -1.3046347, 'Yes': -5.0386434}
{' No': -0.1965276, '\n': -4.414406, 'No': -4.2760067, ' Yes': -1.8996259, 'Yes': -6.052153}
{' Yes': -0.018218024, 'Yes': -4.7031026, ' No': -5.506518, '\n': -5.6547, ' Doctor': -7.121178}
{' No': -0.49772304, '\n': -3.9160883, 'No': -4.4508615, ' Yes': -1.2958455, ' Hospital': -2.491778}
{' No': -2.6762648, '\n': -3.0879185, ' Yes': -0.30918235, ' Sur': -2.0093164, 'Yes': -4.3756647}
{' No': -0.025014415, '\n': -6.628999, ' ': -9.443269, 'No': -3.8912463, ' Yes': -5.9102206}
{' No': -0.15853307, ' Yes': -2.176256, 'No': -4.3529797, '\n': -4.525902, 'Pat': -6.0569534}
{' No': -0.037038658, '\n': -5.416019, ' ': -8.424355, 'No': -3.5089452, ' Yes': -6.385093}
{' No': -0.16776569, ' Yes': -2.1427279, 'No': -3.5546443, '\n': -5.269498, 'Yes': -5.820578}
{' No': -0.026499063, '\n': -5.8863754, ' ': -8.572063, 'No': -3.9050448, ' Yes': -5.822136}
{' No': -0.026504325, 'No': -3.870191, '\n': -5.419597, ' Yes': -7.404745, ' ': -8.869853}
{' No': -0.036763072, '\n': -6.0638685, ' ': -8.695006, 'No': -3.4728477, ' Yes': -6.0187764}
{' No': -0.20246805, '\n': -5.437476, 'No': -3.0825796, ' Yes': -2.0691614, 'Yes': -5.093133}
{' No': -0.09717081, ' Yes': -2.5097895, 'No': -4.9564557, '\n': -5.6628094, 'Yes': -7.418083}
{' Yes': -0.015222759, ' No': -4.8425217, 'Yes': -5.144333, '\n': -6.9264255, ' yes': -8.434454}
{' No': -0.13363595, ' Yes': -2.3052323, '\n': -4.631908, 'No': -4.6756377, ' Hospital': -5.334497}
{' No': -0.10765794, '\n': -4.24624, 'No': -4.682555, ' Yes': -2.6220336, ' Sur': -5.453672}
{' No': -0.011971769, 'No': -4.651534, ' Yes': -6.4968705, '\n': -7.3903437, ' ': -9.451766}
{' No': -0.62788135, '\n': -6.2029676, 'No': -5.2663946, ' Yes': -0.78851455, 'Yes': -5.466829}
{' No': -0.35187805, ' Yes': -1.468398, 'No': -3.4458148, '\n': -3.6236959, 'Yes': -4.983218}
{' No': -1.7848089, '\n': -4.1490593, 'No': -4.9627833, ' Yes': -0.23719388, 'Yes': -3.926017}
{' No': -0.12831388, 'No': -3.041043, ' Yes': -3.0751157, '\n': -3.7305286, 'Yes': -6.6576505}
{' Yes': -0.79277927, ' No': -0.82932025, '\n': -2.8447125, 'No': -3.5372384, 'Yes': -3.7973037}
{' No': -0.08794973, 'No': -2.858684, '\n': -3.9947507, ' Yes': -4.9784656, ' ': -7.417412}
{' No': -0.16056703, ' Yes': -2.478125, 'No': -3.0737097, '\n': -4.2778726, 'Yes': -5.6677976}
{' No': -3.458582, '\n': -3.7223458, 'No': -5.788626, ' Yes': -0.09779569, 'Yes': -3.4037132}
{' No': -4.3832927, '\n': -4.4243345, 'No': -6.9168634, ' Yes': -0.05938469, 'Yes': -3.4617875}
{' No': -2.3471377, '\n': -2.2511199, 'No': -4.542404, ' Yes': -0.28009063, 'Yes': -3.5123386}
{' No': -6.405192, '\n': -3.2518678, ' ': -7.378193, ' Yes': -0.09484169, 'Yes': -3.0218225}
{' No': -0.35234734, '\n': -1.7837096, 'No': -2.521636, ' Yes': -3.2229986, ' Unfortunately': -5.9080477}
{' Yes': -0.25358343, ' No': -2.4906611, 'Yes': -2.738277, '\n': -2.8118339, 'No': -4.2826114}
{' No': -1.1825734, '\n': -3.9474218, 'No': -4.071165, ' Yes': -0.44667834, 'Yes': -4.106922}
{' No': -0.90541136, '\n': -2.816977, 'No': -4.0668645, ' Yes': -0.6829096, 'Yes': -4.969258}
{' No': -0.116072856, 'No': -2.8549833, '\n': -3.4410543, ' Yes': -3.9754515, 'Yes': -7.1205325}
{' No': -0.06310646, 'No': -3.3348863, '\n': -4.1133804, ' Yes': -4.8318458, ' ': -7.871374}
{' Yes': -0.25006908, ' No': -1.6998906, 'Yes': -4.2924995, '\n': -4.400517, 'No': -4.96834}
{' Yes': -0.30110607, ' No': -1.7480075, '\n': -2.926108, 'Yes': -3.8786929, 'No': -4.608418}
{' No': -1.8578925, '\n': -2.4893527, 'No': -4.646316, ' Yes': -0.31235072, 'Yes': -4.085386}
{' Yes': -0.09684728, '\n': -2.6850352, 'Yes': -3.8552794, ' No': -6.374283, ' ': -7.9572606}
{' No': -0.19944255, '\n': -2.4146066, 'No': -3.322863, ' Yes': -3.0815985, ' Unfortunately': -5.683333}
{' Yes': -0.28267807, ' No': -2.0493577, '\n': -2.446136, 'Yes': -3.9157002, 'No': -5.0241065}
{' Yes': -0.0089843515, 'Yes': -5.121739, ' No': -6.0638433, '\n': -7.7152047, ' yes': -9.151258}
{' No': -7.9221787, '\n': -7.98334, ' Yes': -0.009804492, ' yes': -8.32677, 'Yes': -4.7400475}
{'\n': -6.3101225, ' Yes': -0.020188058, ' yes': -8.071067, ' Sur': -5.1034646, 'Yes': -4.490275}
{' No': -0.030830033, '\n': -6.187512, ' ': -8.657399, 'No': -4.0438414, ' Yes': -4.573732}
{' No': -5.2183633, '\n': -6.4060535, ' Yes': -0.028742347, ' Patient': -4.618675, 'Yes': -4.60919}
{' No': -0.021936946, 'No': -4.131396, ' Yes': -5.7035356, '\n': -6.1647167, ' ': -9.02371}
{' No': -0.059277296, '\n': -6.095307, 'No': -4.0683827, ' Yes': -3.2830265, 'Yes': -7.681256}
{' No': -0.13130559, ' Yes': -2.6372757, '\n': -3.5163896, 'No': -4.152017, ' Hospital': -5.5729785}
{' No': -0.06475734, '\n': -4.966889, 'No': -4.0871, ' Yes': -3.282733, 'Yes': -7.3696847}
{' No': -1.4165347, '\n': -3.792509, ' Yes': -0.34826502, ' Patient': -4.408333, 'Yes': -4.657627}
{' No': -0.16351761, ' Yes': -2.157292, 'No': -3.9058902, '\n': -4.443461, 'Yes': -5.988034}
{' No': -1.719993, '\n': -4.9056673, 'No': -5.5846868, ' Yes': -0.22974709, 'Yes': -4.5044336}
{' No': -0.108214535, '\n': -5.439683, 'No': -3.803193, ' Yes': -2.6027575, 'Yes': -6.8907595}
{' Yes': -0.4842081, ' No': -1.4511806, ' Sur': -2.0988836, '\n': -4.496459, 'Yes': -4.8004675}
{' No': -0.20656784, '\n': -3.6476784, 'No': -4.557247, ' Yes': -1.9449178, ' Patient': -6.03602}
{' Yes': -0.0450033, 'Yes': -3.8543997, '\n': -4.200881, ' No': -5.040744, ' The': -7.7408814}
{' Yes': -0.057206165, 'Yes': -3.7265272, '\n': -3.796607, ' No': -4.9994764, ' The': -6.803199}
{' No': -1.0596725, '\n': -2.0566587, 'No': -3.8056307, ' Yes': -0.7214958, 'Yes': -4.416087}
{' Yes': -0.08103048, '\n': -3.175917, 'Yes': -3.54205, ' No': -5.3339443, ' The': -6.936076}
{' No': -0.21917714, '\n': -2.5123022, ' Yes': -2.8387735, 'No': -3.2178476, ' Unfortunately': -4.9795322}
{' No': -0.020711431, '\n': -5.801627, ' ': -8.969489, 'No': -4.3170066, ' Yes': -5.5427566}
{' No': -0.01777125, '\n': -6.4623275, ' ': -9.742422, 'No': -4.3267674, ' Yes': -5.925814}
{' No': -0.08948141, ' Yes': -3.0081995, 'No': -3.7875745, '\n': -4.465891, ' ': -7.241592}
{' No': -0.9375424, '\n': -3.885769, ' Yes': -0.5859132, ' Sur': -4.5546536, 'Yes': -4.6281304}
{' No': -0.02437189, 'No': -3.9455447, '\n': -6.0166354, ' Yes': -6.2588725, ' ': -8.553776}
{' No': -0.12409829, ' Yes': -2.4041293, 'No': -4.379816, '\n': -4.6804547, 'Yes': -6.678721}
{' No': -0.04671241, '\n': -5.013177, 'No': -4.1435175, ' Yes': -3.7925506, 'Yes': -7.8635244}
{' Yes': -0.019132897, ' No': -4.6880836, 'Yes': -4.809475, '\n': -6.777084, ' yes': -8.437212}
{' No': -0.071723476, 'No': -3.7787585, '\n': -3.803508, ' Yes': -3.820129, ' Hospital': -6.9747267}
{' Yes': -0.49676815, ' Sur': -1.6400845, ' No': -2.255145, '\n': -2.626922, 'Yes': -4.4004984}
{' No': -0.012709184, ' Not': -9.629435, '\n': -7.5873113, 'No': -4.4673448, ' Yes': -7.665112}
{' No': -0.028501853, '\n': -6.5200133, 'No': -4.3222694, ' Yes': -4.3699417, 'Yes': -8.533655}
{' No': -0.020659098, '\n': -6.0394783, ' ': -9.050045, 'No': -4.0619736, ' Yes': -7.2649918}
{' No': -0.12342488, ' Yes': -2.379162, 'No': -3.9566367, '\n': -5.968695, 'Yes': -6.4784265}
{' No': -0.018429892, 'No': -4.1773214, ' Yes': -6.4220247, '\n': -6.7727175, ' ': -9.207828}
{' No': -0.016097406, '\n': -5.9744997, ' ': -9.273793, 'No': -4.360376, ' Yes': -7.7311583}
{' No': -0.019037576, 'No': -4.0627804, ' Yes': -7.037084, '\n': -7.4475417, ' ': -9.407835}
{' No': -0.27635565, '\n': -5.8247433, 'No': -3.3094788, ' Yes': -1.6469707, 'Yes': -4.825222}
{' No': -0.041686244, ' Yes': -3.6985447, 'No': -4.4529963, '\n': -5.5240602, 'Yes': -8.184276}
{' Yes': -0.036934253, ' No': -3.6238139, 'Yes': -4.856966, '\n': -6.7821484, 'No': -8.018776}
{' No': -0.058391247, '\n': -4.4758677, 'No': -4.1829605, ' Yes': -3.563539, ' Hospital': -7.2961626}
{' No': -0.27144825, '\n': -2.5697517, 'No': -4.166168, ' Yes': -1.991062, ' Sur': -5.3989353}
{' No': -0.011948179, ' Not': -9.609121, '\n': -7.13477, 'No': -4.586827, ' Yes': -7.365767}
{' No': -0.14893954, ' Yes': -2.1312509, 'No': -4.2587986, '\n': -5.754477, 'Yes': -6.3306108}
{' No': -0.20206308, '\n': -3.8691316, 'No': -3.265402, ' Yes': -2.124722, 'Yes': -5.614119}
{' No': -0.5019068, ' Yes': -1.2223125, '\n': -2.8699965, 'No': -3.4343598, 'Yes': -4.6454763}
{' No': -0.12586722, 'No': -2.7982666, '\n': -3.298688, ' Yes': -3.989854, ' ': -6.905249}
{' No': -0.27904573, '\n': -3.0059648, 'No': -3.2556999, ' Yes': -1.9110152, 'Yes': -5.101174}
{' No': -0.077533245, '\n': -4.8105617, 'No': -2.7673752, ' Yes': -6.023345, ' Unfortunately': -7.8077497}
{' No': -0.09573952, 'No': -3.0524085, ' Yes': -3.4527376, '\n': -4.573017, 'Yes': -6.6947227}
{' Yes': -0.076193586, 'Yes': -3.6380982, ' No': -3.7728238, '\n': -3.854567, 'No': -6.2974033}
{' No': -4.2760735, '\n': -4.590545, 'No': -7.0505285, ' Yes': -0.049291402, 'Yes': -3.8002486}
{' Yes': -0.47300604, ' No': -1.4316317, '\n': -2.3769958, 'No': -3.8660932, 'Yes': -3.9048278}
{' Yes': -0.07765118, 'Yes': -3.2200441, '\n': -3.5376537, ' No': -5.5935388, ' ': -6.9514947}
{' No': -0.323325, '\n': -2.0224464, 'No': -2.6938658, ' Yes': -2.7539854, ' Unfortunately': -5.21246}
{' No': -1.9339991, '\n': -3.295825, 'No': -4.369151, ' Yes': -0.2572929, 'Yes': -3.5059345}
{' No': -3.5787797, '\n': -5.4214196, 'No': -6.7026772, ' Yes': -0.05155853, 'Yes': -4.128884}
{' No': -1.1247454, '\n': -2.993176, 'No': -4.1818438, ' Yes': -0.51694006, 'Yes': -4.8042054}
{' No': -0.2291882, '\n': -2.4806378, 'No': -3.0875618, ' Yes': -2.632747, 'Yes': -5.9883986}
{' No': -0.08109577, ' Not': -7.0891786, '\n': -4.0292025, 'No': -2.912198, ' Yes': -5.7236834}
{' No': -2.0611365, '\n': -3.7544498, ' Yes': -0.20578018, ' Patient': -4.663599, 'Yes': -4.0559044}
{' Yes': -0.61876863, ' No': -1.0238495, '\n': -2.7361524, 'No': -3.9190216, 'Yes': -4.223873}
{' No': -0.9544877, ' Yes': -1.005042, '\n': -1.6529872, 'No': -3.361001, 'Yes': -4.2422075}
{' No': -5.0089216, '\n': -2.6355295, ' ': -7.215506, ' Yes': -0.115065694, 'Yes': -3.5739605}
{' No': -0.19581515, '\n': -2.3029566, 'No': -3.188935, ' Yes': -4.0572023, ' Unfortunately': -4.300645}
{' No': -1.0902265, '\n': -2.3668242, 'No': -4.038369, ' Yes': -0.6351711, 'Yes': -4.2548933}
{' Yes': -0.04492449, ' No': -3.3996036, 'Yes': -4.8015885, '\n': -6.50346, 'No': -7.502463}
{' Yes': -0.013559273, 'Yes': -4.495367, ' No': -6.6512694, '\n': -7.3621883, ' yes': -8.294432}
{'\n': -5.8540463, ' Yes': -0.024109853, ' yes': -7.9314556, ' Sur': -5.091147, 'Yes': -4.29313}
{' No': -0.027170582, 'No': -4.0625825, ' Yes': -4.994168, '\n': -6.0745506, ' ': -8.622281}
{' No': -3.958153, '\n': -5.8802934, ' Yes': -0.036324, ' Patient': -6.30971, 'Yes': -4.5400167}
{' No': -0.022745399, '\n': -5.5131054, ' ': -8.756641, 'No': -4.4149246, ' Yes': -5.104969}
{' No': -0.15032564, '\n': -4.583643, 'No': -3.9411469, ' Yes': -2.2291107, 'Yes': -6.525963}
{' No': -0.06313681, ' Yes': -3.5603614, 'No': -4.0055766, '\n': -4.310989, ' ': -7.7998533}
{' No': -0.023750896, '\n': -5.9075146, ' ': -8.720026, 'No': -4.3449273, ' Yes': -4.909434}
{' No': -0.67718697, '\n': -4.3149967, 'No': -4.8395405, ' Yes': -0.77759737, ' Patient': -5.2905517}
{' No': -0.032391217, '\n': -5.077019, ' ': -8.2644615, 'No': -3.9153962, ' Yes': -5.241862}
{' No': -0.28958482, '\n': -4.7970157, 'No': -4.402765, ' Yes': -1.4844452, 'Yes': -5.921077}
{' No': -0.046957757, '\n': -5.407622, ' ': -7.494057, 'No': -3.8936183, ' Yes': -3.9114845}
{' No': -1.7990786, '\n': -4.5872636, ' Yes': -0.55848, ' Sur': -1.4448076, 'Yes': -4.8782434}
{' No': -0.05782449, '\n': -4.7754107, 'No': -4.222982, ' Yes': -3.556472, ' Patient': -5.922698}
{' No': -5.628386, '\n': -4.5544767, ' Yes': -0.03627295, ' The': -8.05846, 'Yes': -3.887198}
{' No': -6.281886, '\n': -4.547172, ' Yes': -0.03475144, ' The': -7.5035415, 'Yes': -3.8880723}
{' No': -0.73915, ' Yes': -0.92988294, '\n': -2.468228, 'No': -3.6362486, 'Yes': -4.832143}
{' No': -6.214799, '\n': -2.9913323, ' Yes': -0.09528683, ' The': -7.059701, 'Yes': -3.3132262}
{' No': -0.11329177, 'No': -3.2339716, '\n': -3.4422903, ' Unfortunately': -4.247897, ' Yes': -4.2970076}
{' No': -0.02342465, '\n': -7.152844, 'No': -4.313256, ' Yes': -4.735623, 'Yes': -8.990133}
{' No': -0.03560467, 'No': -3.9315796, ' Yes': -4.532292, '\n': -5.5149918, 'Yes': -8.698623}
{' No': -0.047572892, '\n': -4.761749, ' ': -7.779611, 'No': -3.7913737, ' Yes': -4.243715}
{' No': -0.6810657, ' Yes': -0.82089907, '\n': -3.553296, 'No': -4.598439, ' Sur': -4.9515657}
{' No': -0.020927174, ' Not': -8.96014, '\n': -6.4078956, 'No': -4.072965, ' Yes': -6.3908973}
{' No': -0.76345974, '\n': -4.929561, 'No': -4.791391, ' Yes': -0.6755539, 'Yes': -4.8987455}
{' No': -0.050622787, ' Yes': -3.3428707, 'No': -4.4082108, '\n': -6.601286, 'Yes': -7.8401637}
{' No': -2.3296452, '\n': -6.16627, 'No': -6.582337, ' Yes': -0.115616016, 'Yes': -4.8177624}
{' No': -0.20161708, ' Yes': -1.9067543, 'No': -3.8874078, '\n': -4.5466714, 'Yes': -6.283627}
{' Yes': -0.32803896, ' No': -1.6315609, '\n': -2.8339818, 'Yes': -4.601545, ' Sur': -4.690841}
{' No': -0.021134138, ' Not': -8.98637, '\n': -6.9652925, 'No': -3.984593, ' Yes': -6.910083}
