{' ': -10.746939, ' Generally': -9.173347, ' Yes': -0.0015200131, ' yes': -10.15593, 'Yes': -6.613252}
{' Generally': -6.390523, ' Typically': -10.206584, ' Yes': -0.00410567, ' yes': -8.960668, 'Yes': -6.1437283}
{' No': -9.7827425, ' Generally': -6.159829, ' Yes': -0.0049868147, ' yes': -8.637764, 'Yes': -6.0272927}
{' ': -10.556284, ' Generally': -7.8735566, ' Yes': -0.0023257514, ' yes': -9.005125, 'Yes': -6.351153}
{' YES': -12.559658, ' ': -10.842578, ' Yes': -0.0018764609, ' yes': -9.14988, 'Yes': -6.357522}
{' No': -6.660926, ' Generally': -3.085416, ' Yes': -0.06687671, 'Yes': -5.75583, ' It': -4.702018}
{' No': -3.4326944, ' Generally': -2.5869226, ' Yes': -0.13585767, 'Yes': -5.5372686, ' It': -5.079253}
{' No': -5.4865522, ' Generally': -4.5098696, ' A': -8.453883, ' Yes': -0.018794177, 'Yes': -6.042598}
{' No': -6.9172006, ' ': -9.562808, ' Yes': -0.0040636566, ' yes': -8.861836, 'Yes': -5.89272}
{' Generally': -3.717962, ' Yes': -0.0294039, 'Yes': -6.1349525, ' In': -7.7501507, ' It': -7.0192146}
{' Generally': -5.206077, ' Typically': -9.6993, ' Yes': -0.007574003, ' yes': -9.498439, 'Yes': -6.3408785}
{' ': -10.759781, ' Generally': -11.6302395, ' Yes': -0.002112369, ' yes': -9.470692, 'Yes': -6.2203946}
{' Generally': -5.66297, ' Typically': -9.772065, ' Yes': -0.0059484807, ' yes': -9.235982, 'Yes': -6.171012}
{' ': -10.939718, ' Generally': -10.54145, ' Yes': -0.0021962356, ' yes': -9.33444, 'Yes': -6.19742}
{' No': -0.7640551, ' Generally': -7.9153113, 'No': -5.212814, ' Yes': -0.6418016, 'Yes': -6.4544134}
{' ': -9.681119, ' Generally': -7.656692, ' Yes': -0.00456423, ' yes': -8.980577, 'Yes': -5.570375}
{' ': -9.155431, ' Generally': -7.1499968, ' Yes': -0.0067456705, ' yes': -8.594291, 'Yes': -5.1966467}
{' No': -4.62821, ' ': -7.7786827, ' Generally': -6.1404243, ' Yes': -0.022018591, 'Yes': -4.7905426}
{' Yes': -0.1917123, ' No': -1.850314, 'Yes': -4.777608, 'No': -5.3429823, ' Generally': -6.243796}
{' No': -8.225286, ' ': -8.492272, ' Generally': -7.6597795, ' Yes': -0.0069131684, 'Yes': -5.174178}
{' Yes': -0.0067393696, 'Yes': -5.1072774, ' No': -8.301507, ' yes': -8.602792, ' ': -8.647126}
{' ': -9.077436, ' Generally': -7.011689, ' Yes': -0.0042339377, ' yes': -8.550221, 'Yes': -5.834304}
{' ': -8.700233, ' Generally': -6.654621, ' Yes': -0.004772205, ' yes': -8.668821, 'Yes': -5.8091636}
{' Yes': -0.0058227517, 'Yes': -5.5612864, ' Generally': -6.6295085, ' yes': -8.4246, ' ': -8.636184}
{' ': -8.948443, ' Generally': -8.022891, ' Yes': -0.00314099, ' yes': -8.722356, 'Yes': -6.009103}
{' No': -10.6836195, ' ': -8.980296, ' Yes': -0.0036690375, ' yes': -8.680032, 'Yes': -5.709174}
{' Yes': -0.047391262, ' Generally': -3.569993, ' It': -5.0554843, 'Yes': -5.4447393, ' No': -5.951417}
{' Yes': -0.21439908, ' No': -2.155353, ' Generally': -2.8982425, ' It': -5.2090755, 'Yes': -5.2934756}
{' Yes': -0.025199182, ' No': -4.2430773, ' Generally': -5.2097387, 'Yes': -5.6787076, ' ': -7.2483907}
{' No': -4.208513, ' ': -7.2950525, 'No': -8.264459, ' Yes': -0.020631352, 'Yes': -5.4440837}
{' Yes': -0.013246838, ' Generally': -4.6770844, 'Yes': -5.826542, ' ': -8.569273, ' It': -8.629616}
{' ': -8.926372, ' Generally': -6.426164, ' Yes': -0.004567764, ' yes': -9.350248, 'Yes': -5.940429}
{' Yes': -0.0035682407, 'Yes': -5.7117305, ' ': -9.073733, ' yes': -9.131342, ' Generally': -12.056204}
{' ': -8.739887, ' Generally': -6.5988255, ' Yes': -0.0045987796, ' yes': -9.068959, 'Yes': -5.8801966}
{' No': -9.92596, ' ': -9.270099, ' Yes': -0.0037793026, ' yes': -8.973498, 'Yes': -5.6637025}
{' No': -1.1285342, ' ': -6.7879767, 'No': -5.154054, ' Yes': -0.40682593, 'Yes': -5.7016044}
{' ': -10.697997, ' Generally': -7.7196155, ' Yes': -0.0027997533, ' yes': -9.254238, 'Yes': -6.1258426}
{' Yes': -0.0034717578, 'Yes': -5.8837934, ' Generally': -7.6599126, ' yes': -8.974199, ' ': -10.216873}
{' No': -6.8871303, ' Generally': -7.7075534, ' Yes': -0.00589158, ' yes': -8.957553, 'Yes': -5.4999785}
{' No': -3.197937, ' Generally': -7.8281097, 'No': -7.2634635, ' Yes': -0.047779188, 'Yes': -5.452469}
{' ': -9.9993, ' Generally': -8.268473, ' Yes': -0.003116955, ' yes': -9.042341, 'Yes': -5.942019}
{' Yes': -0.0024872527, 'Yes': -6.0723224, ' yes': -9.170907, ' ': -10.24311, ' No': -10.3791275}
{' Yes': -0.0025392396, 'Yes': -6.533894, ' Generally': -7.06349, ' yes': -8.927151, ' ': -10.186603}
{' Yes': -0.0029323967, 'Yes': -6.410987, ' Generally': -6.859641, ' yes': -9.034411, ' ': -9.907254}
{' No': -7.901179, ' Generally': -6.5418687, ' Yes': -0.004124823, ' yes': -8.688987, 'Yes': -6.2456603}
{' ': -10.117944, ' Generally': -8.386916, ' Yes': -0.0016945206, ' yes': -9.072585, 'Yes': -6.6593957}
{' No': -11.14071, ' ': -10.152452, ' Yes': -0.0014632464, ' yes': -9.265711, 'Yes': -6.639229}
{' No': -4.3536506, ' Generally': -2.976709, ' Yes': -0.08922553, 'Yes': -5.874605, ' It': -4.3799777}
{' No': -0.94601166, ' Generally': -2.5000048, 'No': -4.965501, ' Yes': -0.68540674, ' It': -4.8025103}
{' Yes': -0.06184835, ' No': -3.335284, ' Generally': -3.892239, 'Yes': -6.218291, 'No': -7.6998615}
{' No': -4.0425353, ' ': -8.1687975, 'No': -8.80148, ' Yes': -0.020341702, 'Yes': -6.212415}
{' Generally': -4.4653287, ' Typically': -8.75454, ' Yes': -0.014098107, 'Yes': -6.4583592, ' It': -8.424962}
{' ': -9.910754, ' Generally': -5.7954574, ' Yes': -0.0046078814, ' yes': -9.464753, 'Yes': -6.619937}
{' No': -12.733587, ' ': -10.184289, ' Yes': -0.0016433528, ' yes': -9.527774, 'Yes': -6.4899435}
{' No': -9.364972, ' Generally': -5.835451, ' Yes': -0.0050050877, ' yes': -9.170633, 'Yes': -6.3949203}
{' No': -9.293044, ' ': -10.429784, ' Yes': -0.0019871204, ' yes': -9.250201, 'Yes': -6.3538356}
{' No': -0.43398395, ' Yes': -1.0644332, 'No': -5.206004, 'Yes': -7.0843935, ' ': -7.772393}
{' Generally': -7.1214366, ' Yes': -0.0032369632, ' yes': -9.325395, 'Yes': -6.1363635, ' It': -9.506107}
{' Yes': -0.0031362078, 'Yes': -6.0693245, ' Generally': -7.364689, ' yes': -9.329006, ' Typically': -10.791077}
{' No': -5.5842137, ' Generally': -6.901036, ' Yes': -0.009279996, ' yes': -9.19056, 'Yes': -5.520385}
{' Yes': -0.10314792, ' No': -2.3951037, 'Yes': -5.520207, 'No': -6.684322, ' Generally': -6.933607}
{' No': -10.040933, ' Generally': -8.233399, ' Yes': -0.0028414745, ' yes': -9.374845, 'Yes': -6.0444136}
{' No': -11.024662, ' ': -10.775393, ' Yes': -0.0020538357, ' yes': -9.588492, 'Yes': -6.2454505}
{' Generally': -6.4137354, ' Typically': -10.020009, ' Yes': -0.0032290092, ' yes': -9.130267, 'Yes': -6.6083174}
{' Yes': -0.0036851906, ' Generally': -6.3324027, 'Yes': -6.40241, ' yes': -9.2115555, ' Typically': -10.231667}
{' No': -7.5695558, ' Generally': -6.0095615, ' Yes': -0.005421447, ' yes': -8.84935, 'Yes': -6.192366}
{' ': -10.725967, ' Generally': -8.110817, ' Yes': -0.0016975063, ' yes': -9.336138, 'Yes': -6.683651}
{' Yes': -0.0012166875, 'Yes': -6.7935133, ' yes': -9.644648, ' ': -10.84346, ' No': -12.044989}
{' That': -5.810888, ' No': -4.7741585, ' Generally': -2.3407822, ' Yes': -0.19029628, ' It': -2.9552062}
{' Yes': -0.6577963, ' No': -1.2689489, ' Generally': -1.9231505, ' It': -3.450832, 'No': -5.2892675}
{' No': -3.637887, ' Generally': -3.7057335, ' A': -7.5574365, ' Yes': -0.05671621, 'Yes': -6.201859}
{' No': -5.8091254, ' ': -9.05451, ' Yes': -0.005022398, ' yes': -9.401215, 'Yes': -6.348486}
{' Generally': -3.4953856, ' Yes': -0.035621285, 'Yes': -6.4568343, ' In': -7.5829024, ' It': -6.763939}
{' Generally': -4.823529, ' Typically': -9.397386, ' Yes': -0.009652097, ' yes': -9.724769, 'Yes': -6.695761}
{' ': -10.751072, ' Generally': -11.772473, ' Yes': -0.0013983622, ' yes': -9.86282, 'Yes': -6.6415195}
{' No': -9.041224, ' Generally': -5.116357, ' Typically': -9.326927, ' Yes': -0.008198722, 'Yes': -6.4297185}
{' Yes': -0.0015880108, 'Yes': -6.569688, ' yes': -9.646113, ' No': -9.903659, ' Generally': -10.051421}
{' No': -0.35662365, ' Generally': -7.6111913, 'No': -5.269646, ' Yes': -1.2274084, 'Yes': -7.329879}
{' ': -10.714513, ' Generally': -7.4590764, ' Yes': -0.0031590487, ' yes': -9.217516, 'Yes': -6.0370765}
{' Yes': -0.0036531275, 'Yes': -5.9318943, ' Generally': -7.173596, ' yes': -9.060877, ' ': -10.3019}
{' No': -7.9398, ' Generally': -7.397928, ' Yes': -0.005327303, ' yes': -9.023485, 'Yes': -5.510353}
{' No': -4.7902913, ' Generally': -7.3557205, ' Yes': -0.013890115, ' yes': -8.842278, 'Yes': -5.453589}
{' ': -10.233299, ' Generally': -8.764372, ' Yes': -0.002918468, ' yes': -9.195238, 'Yes': -5.95845}
{' Yes': -0.0021611722, 'Yes': -6.1942635, ' yes': -9.389633, ' ': -10.643806, ' No': -12.421855}
{' Generally': -6.6122046, ' Typically': -10.2900305, ' Yes': -0.003064457, ' yes': -8.950689, 'Yes': -6.521586}
{' Yes': -0.0032251212, 'Yes': -6.34234, ' Generally': -6.700687, ' yes': -9.054568, ' ': -10.217143}
{' No': -9.258568, ' Generally': -6.330384, ' Yes': -0.0043437243, ' yes': -8.737683, 'Yes': -6.1584954}
{' ': -10.373134, ' Generally': -8.436489, ' Yes': -0.001810057, ' yes': -9.123589, 'Yes': -6.5544815}
{' No': -12.892403, ' ': -10.552552, ' Yes': -0.0014353112, ' yes': -9.405673, 'Yes': -6.63173}
{' No': -5.138774, ' Generally': -2.6437309, ' Yes': -0.121083215, 'Yes': -5.7774887, ' It': -3.694426}
{' No': -1.7468518, ' Generally': -2.1694114, 'No': -5.66875, ' Yes': -0.38627517, ' It': -4.2810087}
{' No': -4.2108455, ' Generally': -4.0135565, ' A': -7.851142, ' Yes': -0.037557065, 'Yes': -6.1242}
{' No': -8.098892, ' ': -9.408543, ' Yes': -0.0024341336, ' yes': -9.162525, 'Yes': -6.2589207}
{' Generally': -3.6060383, ' Yes': -0.032126766, 'Yes': -6.3737803, ' In': -7.705325, ' It': -6.9069605}
{' Generally': -4.95017, ' Typically': -9.558647, ' Yes': -0.008828834, ' yes': -9.48529, 'Yes': -6.592735}
{' Yes': -0.0016089634, 'Yes': -6.508765, ' yes': -9.628547, ' ': -10.283413, ' Generally': -11.895547}
{' No': -9.037617, ' Generally': -5.100485, ' Yes': -0.008634927, ' yes': -9.177502, 'Yes': -6.2786536}
{' No': -9.909275, ' Generally': -10.207128, ' Yes': -0.0019757138, ' yes': -9.341058, 'Yes': -6.3430624}
{' No': -0.6459417, ' Generally': -7.7234235, 'No': -5.327668, ' Yes': -0.7579126, 'Yes': -6.740353}
{' Generally': -6.685728, ' Yes': -0.0036759786, ' yes': -9.422419, 'Yes': -6.1822753, ' It': -8.900304}
{' Generally': -6.5448422, ' Yes': -0.0042083794, ' yes': -9.3295765, 'Yes': -5.9987416, ' It': -9.754926}
{' No': -8.722884, ' Generally': -6.770861, ' Yes': -0.0051412564, ' yes': -9.266229, 'Yes': -5.653176}
{' No': -4.78094, ' Generally': -6.4375467, ' A': -8.705169, ' Yes': -0.014888086, 'Yes': -5.491996}
{' ': -10.613557, ' Generally': -7.873967, ' Yes': -0.0029983341, ' yes': -9.458333, 'Yes': -6.006591}
{' No': -12.77952, ' ': -10.987413, ' Yes': -0.0018798044, ' yes': -9.639273, 'Yes': -6.327664}
{' Generally': -5.946191, ' Typically': -9.477872, ' Yes': -0.004205446, ' yes': -9.251298, 'Yes': -6.6500654}
{' Generally': -5.9264984, ' Typically': -9.770086, ' Yes': -0.004476752, ' yes': -9.319294, 'Yes': -6.4869175}
{' Generally': -5.7519693, ' Typically': -9.462264, ' Yes': -0.005252283, ' yes': -9.099095, 'Yes': -6.4044766}
{' ': -10.8101845, ' Generally': -7.601176, ' Yes': -0.0018071913, ' yes': -9.375872, 'Yes': -6.762421}
{' YES': -13.31297, ' ': -10.969479, ' Yes': -0.0012326802, ' yes': -9.645498, 'Yes': -6.7747207}
{' That': -5.6007237, ' Generally': -2.5825624, ' Yes': -0.15562911, 'Yes': -6.0251007, ' It': -2.943221}
{' No': -3.849866, ' Generally': -2.3591528, ' Yes': -0.17055616, 'Yes': -5.855553, ' It': -3.6250083}
{' Yes': -0.01761721, ' Generally': -4.3187604, 'Yes': -6.3400393, ' No': -6.6638236, ' A': -8.352143}
{' Yes': -0.0019523648, 'Yes': -6.3780737, ' yes': -9.3935, ' No': -9.491508, ' ': -9.891465}
{' Generally': -2.975692, ' Yes': -0.06073128, 'Yes': -6.4625425, ' In': -7.1034136, ' It': -5.83401}
{' Generally': -4.374916, ' Typically': -8.927912, ' Yes': -0.0144540435, ' yes': -9.715609, 'Yes': -6.6385226}
{' Yes': -0.0014876588, 'Yes': -6.584867, ' yes': -9.855046, ' ': -10.689856, ' Generally': -10.899953}
{' On': -9.463739, ' Generally': -4.826713, ' Typically': -9.06385, ' Yes': -0.01036835, 'Yes': -6.3758845}
{' No': -10.96941, ' Generally': -9.527766, ' Yes': -0.0016041867, ' yes': -9.680975, 'Yes': -6.5562377}
{' No': -1.0653096, ' Generally': -6.951399, 'No': -5.8229575, ' Yes': -0.43190587, 'Yes': -6.5542336}
