{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' #': -5.8373523, ' 1': -0.10818756, ' 2': -2.6480052, ' one': -3.9280405, ' two': -5.0758805}
{' number': -6.264647, ' #': -6.140513, ' 1': -0.04865754, ' 2': -3.8012002, ' one': -3.9632385}
{' #': -5.646176, ' 1': -0.17480192, ' 2': -2.1262503, ' one': -3.8134012, ' two': -4.4355574}
{' #': -5.8817825, ' 1': -0.09622832, ' 2': -2.8594155, ' one': -3.7645364, ' two': -5.1910424}
{' #': -5.8202453, ' 1': -0.110343285, ' 2': -2.6676838, ' one': -3.8224175, ' two': -4.959338}
{' number': -5.8880553, ' 1': -0.08143399, ' 2': -3.1393979, ' one': -3.7010608, ' two': -5.4217925}
{' 1': -0.08882555, ' 2': -2.994202, ' one': -3.7366393, ' two': -5.30079, ' #': -5.832155}
{' number': -6.2744045, ' #': -6.139354, ' 1': -0.044945747, ' 2': -3.9998348, ' one': -3.9232414}
{' 1': -0.090472564, ' 2': -2.883464, ' one': -3.8882954, ' two': -5.3676157, ' #': -5.8999743}
{' number': -6.3663964, ' #': -6.3546643, ' 1': -0.0301485, ' 2': -4.915004, ' one': -4.0184216}
{' #': -6.049374, ' 1': -0.056309294, ' 2': -3.6648467, ' one': -3.8188043, ' two': -6.0386806}
{' number': -6.116499, ' #': -6.016907, ' 1': -0.05242147, ' 2': -3.7991235, ' one': -3.8312888}
{' #': -5.9065, ' 1': -0.06616647, ' 2': -3.3451273, ' one': -3.889113, ' two': -5.8478465}
{' number': -6.316473, ' #': -6.112009, ' 1': -0.03539611, ' 2': -4.6108923, ' one': -3.9259446}
{' #': -5.9294796, ' 1': -0.06732048, ' 2': -3.3156283, ' one': -3.9044042, ' two': -5.73597}
{' number': -6.365159, ' #': -6.2260056, ' 1': -0.039558735, ' 2': -4.1842747, ' one': -3.9953043}
{' 1': -0.0361596, ' one': -4.0092807, ' 2': -4.392826, ' #': -6.201097, ' number': -6.3398533}
{' number': -6.4572377, ' #': -6.3021803, ' 1': -0.031986378, ' 2': -4.6624203, ' one': -4.039089}
{' #': -6.1604314, ' 1': -0.052806213, ' 2': -3.6108463, ' one': -4.0232406, ' two': -6.110743}
{' 1': -0.029883903, ' one': -4.00127, ' 2': -4.9443107, ' number': -6.331685, ' #': -6.6236835}
{' number': -5.3923807, ' 1': -1.0122397, ' 2': -0.56814986, ' one': -4.514149, ' two': -2.9731905}
{' number': -5.4256973, ' 1': -0.494281, ' 2': -1.0945007, ' one': -4.0095053, ' two': -3.5311062}
{' number': -5.434435, ' 1': -0.4917455, ' 2': -1.1000257, ' one': -4.0010533, ' two': -3.5196137}
{' number': -5.503335, ' 1': -0.32276365, ' 2': -1.4748156, ' one': -3.897074, ' two': -3.9416294}
{' number': -5.356061, ' 1': -0.5505545, ' 2': -1.0117266, ' one': -4.046536, ' two': -3.3805733}
{' number': -5.3191695, ' 1': -0.51772445, ' 2': -1.0561919, ' one': -4.077815, ' two': -3.4826574}
{' number': -5.4184527, ' 1': -0.314039, ' 2': -1.5054718, ' one': -3.8538392, ' two': -3.9866064}
{' 1': -0.45065916, ' 2': -1.1653178, ' two': -3.6637826, ' one': -4.0314083, ' number': -5.4739523}
{' number': -5.3631616, ' 1': -0.47770807, ' 2': -1.1314938, ' one': -3.9500496, ' two': -3.5262022}
{' number': -5.4339476, ' 1': -0.2632298, ' 2': -1.6949676, ' one': -3.7403738, ' two': -4.1277127}
{' number': -5.315026, ' 1': -0.48373842, ' 2': -1.1126466, ' one': -4.0654683, ' two': -3.5392423}
{' 1': -0.2810778, ' 2': -1.6253542, ' one': -3.7559273, ' two': -4.0962615, ' number': -5.393147}
{' number': -5.4597197, ' 1': -0.2026598, ' 2': -1.9723912, ' one': -3.6968098, ' two': -4.417635}
{' 1': -0.21050604, ' 2': -1.923284, ' one': -3.7151845, ' two': -4.387609, ' number': -5.580903}
{' number': -5.3220572, ' 1': -0.4931807, ' 2': -1.1117357, ' one': -3.9060032, ' two': -3.45482}
{' number': -5.460822, ' 1': -0.22765075, ' 2': -1.8167354, ' one': -3.9325707, ' two': -4.259671}
{' number': -5.6187134, ' 1': -0.19893286, ' 2': -1.9526082, ' one': -3.8564816, ' two': -4.5269556}
{' number': -5.6121063, ' 1': -0.15370956, ' 2': -2.276974, ' one': -3.6915321, ' two': -4.7749043}
{' number': -5.351949, ' 1': -0.41395253, ' 2': -1.2576683, ' one': -3.8882966, ' two': -3.6609442}
{' number': -5.5261297, ' 1': -0.21701637, ' 2': -1.8922827, ' one': -3.716551, ' two': -4.3590336}
{' number': -5.423251, ' 1': -0.29181513, ' 2': -1.5829128, ' one': -3.8255997, ' two': -4.010409}
{' number': -5.565969, ' 1': -0.16351286, ' 2': -2.2254713, ' one': -3.628181, ' two': -4.6651845}
{' number': -5.465669, ' 1': -0.1899889, ' 2': -2.0544467, ' one': -3.6489942, ' two': -4.475224}
{' 1': -0.14251402, ' 2': -2.3691928, ' one': -3.6854272, ' two': -4.8532796, ' number': -5.652596}
{' number': -5.411283, ' 1': -0.31475484, ' 2': -1.5171378, ' one': -3.771206, ' two': -3.9246292}
{' number': -5.7085857, ' 1': -0.10604594, ' 2': -2.6923876, ' one': -3.8373652, ' two': -5.1951466}
{' 1': -0.12089707, ' 2': -2.5806746, ' one': -3.6610887, ' two': -5.0833344, ' number': -5.6631045}
{' number': -5.6896253, ' 1': -0.09850072, ' 2': -2.8603473, ' one': -3.6597626, ' two': -5.367991}
{' number': -5.4235344, ' 1': -0.18253759, ' 2': -2.0924916, ' one': -3.6814768, ' two': -4.563894}
{' number': -5.6673, ' 1': -0.09486679, ' 2': -2.939889, ' one': -3.61394, ' two': -5.443179}
{' number': -5.602461, ' 1': -0.14898977, ' 2': -2.2744303, ' one': -3.8494234, ' two': -4.8663187}
{' 1': -0.11070377, ' 2': -2.6635432, ' one': -3.7392857, ' two': -5.2201266, ' number': -5.73446}
{' number': -5.6807666, ' 1': -0.1062298, ' 2': -2.726244, ' one': -3.7239301, ' two': -5.277762}
{' number': -5.8456225, ' 1': -0.09124945, ' 2': -2.9008923, ' one': -3.7835672, ' two': -5.4571075}
{' number': -5.5349474, ' 1': -0.25330004, ' 2': -1.7013552, ' one': -3.9302294, ' two': -4.2182007}
{' number': -5.8381395, ' 1': -0.0664755, ' 2': -3.4738276, ' one': -3.6741643, ' two': -5.8843975}
{' number': -5.4066987, ' 1': -0.75026226, ' 2': -0.7566061, ' one': -4.5470605, ' two': -3.2524993}
{' #': -5.399081, ' 1': -0.4166337, ' 2': -1.2330285, ' one': -4.17243, ' two': -3.707462}
{' #': -5.401808, ' 1': -0.41495246, ' 2': -1.2334322, ' one': -4.196611, ' two': -3.7288353}
{' #': -5.4333296, ' 1': -0.29307264, ' 2': -1.5510529, ' one': -4.1176233, ' two': -4.0787745}
{' number': -5.2866135, ' 1': -0.31841326, ' 2': -1.5027432, ' one': -3.9410288, ' two': -3.8874364}
{' #': -5.351723, ' 1': -0.31783342, ' 2': -1.4806142, ' one': -4.121859, ' two': -3.9627898}
{' 1': -0.25035286, ' 2': -1.7128906, ' one': -4.039257, ' two': -4.2623997, ' #': -5.373437}
{' #': -5.4279957, ' 1': -0.24456522, ' 2': -1.7319729, ' one': -4.051217, ' two': -4.2769785}
{' #': -5.2686987, ' 1': -0.36282104, ' 2': -1.3637748, ' one': -4.087154, ' two': -3.837066}
{' #': -5.3326035, ' 1': -0.22228098, ' 2': -1.8543098, ' one': -3.9164393, ' two': -4.3253884}
{' #': -5.3928995, ' 1': -0.26552978, ' 2': -1.6597502, ' one': -4.0321903, ' two': -4.12566}
{' #': -5.3747344, ' 1': -0.17212562, ' 2': -2.1261394, ' one': -3.9004104, ' two': -4.66891}
{' #': -5.4064384, ' 1': -0.1411225, ' 2': -2.3602328, ' one': -3.8790526, ' two': -4.868524}
{' #': -5.43698, ' 1': -0.16117808, ' 2': -2.2204967, ' one': -3.8033116, ' two': -4.6758327}
{' #': -5.262612, ' 1': -0.5270925, ' 2': -1.0475755, ' one': -4.1579843, ' two': -3.4248776}
{' #': -5.5777607, ' 1': -0.16678232, ' 2': -2.1270463, ' one': -4.063947, ' two': -4.6684804}
{' #': -5.5234923, ' 1': -0.16545165, ' 2': -2.1414742, ' one': -4.0118375, ' two': -4.727676}
{' 1': -0.102874696, ' 2': -2.7337968, ' one': -3.8959517, ' two': -5.273276, ' #': -5.6066775}
{' #': -5.291534, ' 1': -0.3105253, ' 2': -1.5161891, ' one': -3.9897377, ' two': -3.9715855}
{' #': -5.493485, ' 1': -0.13847409, ' 2': -2.3725498, ' one': -3.8840888, ' two': -4.906797}
{' #': -5.516069, ' 1': -0.16148898, ' 2': -2.1828892, ' one': -3.9617722, ' two': -4.6912646}
{' #': -5.5631227, ' 1': -0.09422683, ' 2': -2.8892899, ' one': -3.812988, ' two': -5.387302}
{' number': -5.479702, ' 1': -0.12826945, ' 2': -2.5166705, ' one': -3.7347202, ' two': -4.9474087}
{' #': -5.576898, ' 1': -0.100893766, ' 2': -2.7788227, ' one': -3.8488433, ' two': -5.282302}
{' #': -5.332028, ' 1': -0.28301385, ' 2': -1.607017, ' one': -3.958034, ' two': -4.068025}
{' #': -5.728164, ' 1': -0.07429471, ' 2': -3.175098, ' one': -3.9296508, ' two': -5.6815376}
{' #': -5.599894, ' 1': -0.0880747, ' 2': -2.9607284, ' one': -3.8593357, ' two': -5.506475}
{' number': -5.8403335, ' #': -5.5996118, ' 1': -0.05209244, ' 2': -3.8041484, ' one': -3.9224231}
{' #': -5.411444, ' 1': -0.16694225, ' 2': -2.160972, ' one': -3.9030242, ' two': -4.683698}
{' #': -5.518601, ' 1': -0.08569755, ' 2': -3.030119, ' one': -3.8079624, ' two': -5.5566764}
{' #': -5.553345, ' 1': -0.12053451, ' 2': -2.5003352, ' one': -4.0216556, ' two': -5.1324515}
{' #': -5.606229, ' 1': -0.08724882, ' 2': -2.9495075, ' one': -3.9058368, ' two': -5.5488734}
{' 1': -0.10111276, ' 2': -2.7331088, ' one': -3.9596634, ' two': -5.3724403, ' #': -5.586343}
{' #': -5.7114725, ' 1': -0.08328742, ' 2': -2.9815073, ' one': -3.9639788, ' two': -5.5843334}
{' #': -5.5400887, ' 1': -0.20758572, ' 2': -1.8894819, ' one': -4.077882, ' two': -4.477348}
{' 1': -0.04680197, ' one': -3.8424616, ' 2': -4.0747786, ' #': -5.892998, ' number': -5.940965}
{' #': -5.365666, ' 1': -0.58862185, ' 2': -0.94735783, ' one': -4.439877, ' two': -3.328505}
{' number': -5.364463, ' 1': -0.4529041, ' 2': -1.1674637, ' one': -4.2272034, ' two': -3.5415974}
{' 1': -0.4698384, ' 2': -1.1343396, ' two': -3.5055096, ' one': -4.258481, ' number': -5.3988314}
{' #': -5.5012984, ' 1': -0.10236634, ' 2': -2.6885233, ' one': -4.0757565, ' two': -5.3081336}
{' #': -5.317544, ' 1': -0.33528075, ' 2': -1.4423022, ' one': -4.121986, ' two': -3.796315}
{' #': -5.284838, ' 1': -0.2515605, ' 2': -1.707762, ' one': -4.120707, ' two': -4.1768003}
{' number': -5.3997235, ' 1': -0.2564456, ' 2': -1.7004133, ' one': -4.0170293, ' two': -4.1177797}
{' #': -5.4835134, ' 1': -0.28751522, ' 2': -1.5669628, ' one': -4.191509, ' two': -4.047174}
{' #': -5.4097996, ' 1': -0.1563641, ' 2': -2.1995103, ' one': -4.068996, ' two': -4.773559}
{' #': -5.372871, ' 1': -0.21751669, ' 2': -1.8791091, ' one': -3.9397054, ' two': -4.2791586}
{' #': -5.4255934, ' 1': -0.120103866, ' 2': -2.5022008, ' one': -4.0691795, ' two': -5.120302}
{' #': -5.5104747, ' 1': -0.111377604, ' 2': -2.6084805, ' one': -3.990213, ' two': -5.215737}
{' #': -5.5592656, ' 1': -0.099637486, ' 2': -2.7463775, ' one': -3.9956203, ' two': -5.3264184}
{' #': -5.565464, ' 1': -0.10926345, ' 2': -2.6096718, ' one': -4.0453863, ' two': -5.2247}
{' #': -5.357363, ' 1': -0.2085988, ' 2': -1.9105946, ' one': -3.9937072, ' two': -4.359302}
{' number': -5.617429, ' 1': -0.14587235, ' 2': -2.2348998, ' one': -4.266918, ' two': -4.8933935}
{' #': -5.6506763, ' 1': -0.0961972, ' 2': -2.747839, ' one': -4.103693, ' two': -5.40849}
{' number': -5.941969, ' #': -5.7643185, ' 1': -0.05266496, ' 2': -3.7344062, ' one': -3.9441729}
{' #': -5.3977156, ' 1': -0.1534561, ' 2': -2.2294333, ' one': -4.0313435, ' two': -4.801418}
{' #': -5.645188, ' 1': -0.07245118, ' 2': -3.1838326, ' one': -3.9698646, ' two': -5.7928357}
{' #': -5.666411, ' 1': -0.07478507, ' 2': -3.1323354, ' one': -3.9879737, ' two': -5.732137}
{' 1': -0.06724735, ' 2': -3.3348024, ' one': -3.9149494, ' #': -5.6854415, ' number': -5.8263044}
{' 1': -0.079681806, ' 2': -3.082722, ' one': -3.903353, ' two': -5.650733, ' #': -5.655443}
{' 1': -0.05827714, ' 2': -3.5447807, ' one': -3.9491594, ' #': -5.7448206, ' number': -5.9356227}
{' number': -5.411081, ' 1': -0.24211103, ' 2': -1.7695674, ' one': -3.9426742, ' two': -4.1346054}
{' 1': -0.042535093, ' one': -4.0331836, ' 2': -4.041236, ' #': -6.0569506, ' number': -6.082256}
{' number': -5.9731946, ' #': -5.622786, ' 1': -0.04699886, ' 2': -3.9460256, ' one': -3.9832053}
{' #': -5.617857, ' 1': -0.08357574, ' 2': -3.0424721, ' one': -3.8689015, ' two': -5.479686}
{' #': -5.5361495, ' 1': -0.07687345, ' 2': -3.1254954, ' one': -3.9593902, ' two': -5.695192}
{' number': -6.0355816, ' #': -5.7243104, ' 1': -0.04103657, ' 2': -4.294653, ' one': -3.9371793}
{' 1': -0.046583947, ' 2': -3.8617864, ' one': -4.078738, ' #': -5.769, ' number': -5.9766507}
{' number': -5.987308, ' #': -5.836098, ' 1': -0.049152467, ' 2': -3.800438, ' one': -4.008419}
{' number': -5.957626, ' #': -5.7749133, ' 1': -0.048927285, ' 2': -3.8023186, ' one': -4.029997}
{' number': -6.185848, ' #': -5.929743, ' 1': -0.036019076, ' 2': -4.364899, ' one': -4.0935636}
{' 1': -0.12872654, ' 2': -2.381042, ' one': -4.1847906, ' two': -5.028524, ' number': -5.7131867}
{' number': -5.9717293, ' #': -6.1999235, ' 1': -0.038972665, ' 2': -4.262361, ' one': -4.0158935}
{' #': -5.416552, ' 1': -0.8296889, ' 2': -0.69803804, ' one': -4.5563216, ' two': -3.0585687}
{' #': -5.364124, ' 1': -0.46623847, ' 2': -1.1488938, ' one': -4.155585, ' two': -3.4825957}
{' #': -5.3662534, ' 1': -0.46703324, ' 2': -1.1488359, ' one': -4.13364, ' two': -3.4740121}
{' 1': -0.24875903, ' 2': -1.7175949, ' one': -4.0370183, ' two': -4.1640725, ' #': -5.5321097}
{' 1': -0.37789991, ' 2': -1.3347937, ' two': -3.6646924, ' one': -4.06045, ' #': -5.4358306}
{' #': -5.4192624, ' 1': -0.3418041, ' 2': -1.429895, ' one': -4.0215297, ' two': -3.749351}
{' #': -5.3140874, ' 1': -0.26378873, ' 2': -1.6897626, ' one': -3.8988023, ' two': -4.030131}
{' #': -5.3532305, ' 1': -0.32865822, ' 2': -1.4582586, ' one': -4.0645456, ' two': -3.8441765}
{' #': -5.234345, ' 1': -0.28729308, ' 2': -1.6103693, ' one': -3.8925366, ' two': -3.929116}
{' #': -5.293549, ' 1': -0.2018775, ' 2': -1.9752291, ' one': -3.821262, ' two': -4.331861}
{' 1': -0.29438606, ' 2': -1.5649625, ' two': -3.931473, ' one': -4.0256596, ' #': -5.4123287}
{' #': -5.285888, ' 1': -0.1736417, ' 2': -2.131312, ' one': -3.861384, ' two': -4.586889}
{' 1': -0.17128876, ' 2': -2.157529, ' one': -3.808528, ' two': -4.5190964, ' #': -5.3591995}
{' #': -5.373507, ' 1': -0.18352069, ' 2': -2.0717938, ' one': -3.832864, ' two': -4.4445143}
{' #': -5.240462, ' 1': -0.42453143, ' 2': -1.2510867, ' one': -3.9688103, ' two': -3.4850342}
{' #': -5.6184673, ' 1': -0.17214608, ' 2': -2.0967524, ' one': -4.0479774, ' two': -4.540558}
{' #': -5.4656067, ' 1': -0.16235091, ' 2': -2.1950219, ' one': -3.8800135, ' two': -4.6032834}
{' #': -5.507931, ' 1': -0.12427855, ' 2': -2.5274959, ' one': -3.8060184, ' two': -4.9194016}
{' #': -5.2522907, ' 1': -0.2700373, ' 2': -1.679484, ' one': -3.8371165, ' two': -3.969828}
{' #': -5.4070563, ' 1': -0.1416919, ' 2': -2.3816783, ' one': -3.7715116, ' two': -4.7513137}
{' #': -5.571092, ' 1': -0.15609547, ' 2': -2.249899, ' one': -3.8218727, ' two': -4.60734}
{' #': -5.507343, ' 1': -0.10590831, ' 2': -2.7731464, ' one': -3.7060935, ' two': -5.1228437}
{' #': -5.443319, ' 1': -0.11956935, ' 2': -2.6018348, ' one': -3.747203, ' two': -4.96989}
{' #': -5.522697, ' 1': -0.08943598, ' 2': -3.011902, ' one': -3.7133756, ' two': -5.347996}
{' #': -5.3472605, ' 1': -0.23091996, ' 2': -1.8379604, ' one': -3.8073206, ' two': -4.146525}
{' #': -5.794253, ' 1': -0.07271203, ' 2': -3.254017, ' one': -3.8230782, ' two': -5.6295404}
{' #': -5.570199, ' 1': -0.08217354, ' 2': -3.137166, ' one': -3.7137747, ' two': -5.50072}
{' #': -5.5912313, ' 1': -0.06841768, ' 2': -3.4434597, ' one': -3.714837, ' two': -5.7757363}
{' 1': -0.15199888, ' 2': -2.305525, ' one': -3.7655222, ' two': -4.6825585, ' #': -5.3594637}
{' #': -5.4842367, ' 1': -0.076231025, ' 2': -3.285282, ' one': -3.6873243, ' two': -5.643151}
{' 1': -0.105992936, ' 2': -2.690683, ' one': -3.9225004, ' two': -5.1924186, ' #': -5.524201}
{' #': -5.5513706, ' 1': -0.08587569, ' 2': -3.0191624, ' one': -3.8060465, ' two': -5.479289}
{' 1': -0.083760366, ' 2': -3.0419893, ' one': -3.8329306, ' two': -5.489194, ' #': -5.5947924}
{' #': -5.6578183, ' 1': -0.0813433, ' 2': -3.056622, ' one': -3.8717923, ' two': -5.5376725}
{' 1': -0.1535101, ' 2': -2.2089777, ' one': -4.059506, ' two': -4.735781, ' #': -5.7146096}
{' 1': -0.046337813, ' one': -3.7961695, ' 2': -4.125994, ' #': -5.9755526, ' number': -6.112753}
{' number': -5.5986786, ' 1': -0.47304276, ' 2': -1.1501706, ' one': -4.1267443, ' two': -3.3049176}
{' 1': -0.3206989, ' 2': -1.490224, ' two': -3.7215793, ' one': -4.032336, ' number': -5.6733856}
{' number': -5.668242, ' 1': -0.2770833, ' 2': -1.6462123, ' one': -3.9021556, ' two': -3.8231647}
{' #': -5.791832, ' 1': -0.15858454, ' 2': -2.2165127, ' one': -3.9020536, ' two': -4.4879527}
{' number': -5.676228, ' 1': -0.22504754, ' 2': -1.8663094, ' one': -3.8223262, ' two': -4.0255294}
{' number': -5.681155, ' 1': -0.20038672, ' 2': -1.9687393, ' one': -3.9198024, ' two': -4.191952}
{' 1': -0.15867932, ' 2': -2.238031, ' one': -3.8205826, ' two': -4.475812, ' #': -5.698269}
{' 1': -0.10326019, ' 2': -2.6807308, ' one': -3.9934711, ' two': -5.1431885, ' #': -5.8797474}
{' #': -5.745131, ' 1': -0.10872606, ' 2': -2.6607792, ' one': -3.878242, ' two': -5.040116}
{' #': -5.817389, ' 1': -0.0710805, ' 2': -3.2489939, ' one': -3.8717606, ' two': -5.6504197}
{' 1': -0.08732102, ' 2': -2.939204, ' one': -3.9257782, ' two': -5.2594, ' #': -5.850691}
{' #': -5.8091154, ' 1': -0.07601067, ' 2': -3.154584, ' one': -3.858462, ' two': -5.5761776}
{' #': -5.880367, ' 1': -0.066645786, ' 2': -3.3466253, ' one': -3.8784363, ' two': -5.7347097}
{' #': -5.9015756, ' 1': -0.05998248, ' 2': -3.5148525, ' one': -3.8781602, ' two': -5.907881}
{' 1': -0.14869274, ' 2': -2.28627, ' one': -3.8897185, ' two': -4.6884723, ' #': -5.611084}
{' number': -5.955955, ' 1': -0.082284905, ' 2': -3.0376508, ' one': -3.8800678, ' two': -5.2615376}
{' #': -6.0116835, ' 1': -0.05588743, ' 2': -3.5709915, ' one': -3.9611244, ' two': -5.99023}
{' 1': -0.04161876, ' one': -3.8858569, ' 2': -4.2433743, ' #': -6.0757666, ' number': -6.2367435}
{' 1': -0.10222279, ' 2': -2.7361567, ' one': -3.8928473, ' two': -5.118448, ' #': -5.762418}
{' #': -5.974809, ' 1': -0.055150066, ' 2': -3.670201, ' one': -3.8661737, ' two': -6.028117}
{' #': -6.0675097, ' 1': -0.054880474, ' 2': -3.6129763, ' one': -3.9531555, ' two': -5.9704328}
{' number': -6.14923, ' #': -6.0590262, ' 1': -0.045941453, ' 2': -4.1272783, ' one': -3.7960215}
{' number': -6.0920663, ' #': -5.9836717, ' 1': -0.051874887, ' 2': -3.8646226, ' one': -3.79469}
{' number': -6.2429037, ' #': -6.07911, ' 1': -0.044684436, ' 2': -4.115868, ' one': -3.848088}
{' #': -5.824278, ' 1': -0.08056942, ' 2': -3.0801783, ' one': -3.8389294, ' two': -5.4542375}
{' number': -6.34516, ' #': -6.347297, ' 1': -0.0312697, ' 2': -4.9294305, ' one': -3.9598546}
{' 1': -0.03654537, ' one': -3.8874192, ' 2': -4.582665, ' #': -6.1322427, ' number': -6.3149123}
{' number': -6.281786, ' #': -6.097352, ' 1': -0.03527576, ' 2': -4.7086535, ' one': -3.8907309}
{' #': -5.860772, ' 1': -0.05957643, ' 2': -3.5616152, ' one': -3.84762, ' two': -5.946641}
{' number': -6.326045, ' #': -6.050321, ' 1': -0.033699676, ' 2': -4.873759, ' one': -3.8938186}
{' number': -6.306367, ' #': -6.181959, ' 1': -0.036546294, ' 2': -4.404916, ' one': -3.9929385}
{' number': -6.3387713, ' #': -6.1439166, ' 1': -0.038028628, ' 2': -4.3170033, ' one': -3.980766}
{' number': -6.3167567, ' #': -6.1731405, ' 1': -0.035100114, ' 2': -4.5581636, ' one': -3.9650831}
{' number': -6.4851246, ' #': -6.2760363, ' 1': -0.028858416, ' 2': -4.978653, ' one': -4.056242}
{' number': -6.3305545, ' #': -6.2400413, ' 1': -0.04347368, ' 2': -3.9426494, ' one': -4.0467997}
{' number': -6.4539413, ' #': -6.5246367, ' 1': -0.027509147, ' 2': -5.7940207, ' one': -3.8887722}
{' number': -5.5836053, ' 1': -0.5399154, ' 2': -0.99028426, ' one': -4.4564004, ' two': -3.6218321}
{' #': -5.6314883, ' 1': -0.21094424, ' 2': -1.8578825, ' one': -4.098851, ' two': -4.5440435}
{' #': -5.675405, ' 1': -0.2087818, ' 2': -1.8665404, ' one': -4.112649, ' two': -4.540088}
{' #': -5.7546883, ' 1': -0.12881508, ' 2': -2.383671, ' one': -4.100445, ' two': -5.1189775}
{' 1': -0.1698237, ' 2': -2.089589, ' one': -4.06223, ' two': -4.7723236, ' #': -5.6318994}
{' number': -5.675501, ' 1': -0.21586059, ' 2': -1.8253957, ' one': -4.1937847, ' two': -4.514902}
{' #': -5.705695, ' 1': -0.14120446, ' 2': -2.2808604, ' one': -4.098354, ' two': -5.0376477}
{' #': -5.727781, ' 1': -0.1372221, ' 2': -2.3127954, ' one': -4.093963, ' two': -5.0562778}
{' 1': -0.19235878, ' 2': -1.9534366, ' one': -4.100018, ' two': -4.6621203, ' #': -5.590422}
{' #': -5.7042327, ' 1': -0.10624465, ' 2': -2.6364858, ' one': -3.998979, ' two': -5.363363}
{' #': -5.6739917, ' 1': -0.12197408, ' 2': -2.4700785, ' one': -4.021878, ' two': -5.149094}
{' 1': -0.11063146, ' 2': -2.5920863, ' one': -3.985246, ' two': -5.3283615, ' #': -5.6783094}
{' #': -5.7116575, ' 1': -0.10073989, ' 2': -2.7103152, ' one': -3.9842446, ' two': -5.4128923}
{' #': -5.69431, ' 1': -0.107222594, ' 2': -2.6254604, ' one': -3.995484, ' two': -5.3477592}
{' #': -5.5068445, ' 1': -0.26447803, ' 2': -1.6445687, ' one': -4.0682154, ' two': -4.2389383}
{' number': -5.8795676, ' 1': -0.11692719, ' 2': -2.4892683, ' one': -4.127534, ' two': -5.1880302}
{' #': -5.8153563, ' 1': -0.09081159, ' 2': -2.8109424, ' one': -4.0570364, ' two': -5.5814133}
{' 1': -0.060738124, ' 2': -3.4202027, ' one': -3.9748538, ' #': -5.8958764, ' two': -6.0931134}
{' #': -5.5973806, ' 1': -0.17156072, ' 2': -2.0844197, ' one': -4.0352345, ' two': -4.7605634}
{' #': -5.8057427, ' 1': -0.08814187, ' 2': -2.8925316, ' one': -3.9412282, ' two': -5.574254}
{' #': -5.7858515, ' 1': -0.08509231, ' 2': -2.9386957, ' one': -3.9625986, ' two': -5.595629}
{' #': -5.8651795, ' 1': -0.06564377, ' 2': -3.3425715, ' one': -3.902821, ' two': -5.9813666}
{' 1': -0.07592533, ' 2': -3.1123154, ' one': -3.924453, ' two': -5.787127, ' #': -5.845813}
{' #': -5.8693833, ' 1': -0.06253047, ' 2': -3.393486, ' one': -3.9443645, ' two': -6.0487256}
{' #': -5.694169, ' 1': -0.13204822, ' 2': -2.3726335, ' one': -4.0269704, ' two': -5.077287}
{' 1': -0.0416525, ' one': -3.984428, ' 2': -4.1073737, ' #': -6.1321344, ' number': -6.18532}
{' number': -6.210002, ' #': -6.0043626, ' 1': -0.049205683, ' 2': -3.7416725, ' one': -4.0174994}
{' 1': -0.03950026, ' one': -3.9819705, ' 2': -4.2416525, ' #': -5.990433, ' number': -6.271871}
{' #': -5.7046504, ' 1': -0.092538774, ' 2': -2.8177564, ' one': -3.987888, ' two': -5.565129}
{' number': -6.2609487, ' #': -5.9344163, ' 1': -0.044686362, ' 2': -3.9707518, ' one': -3.978999}
{' number': -6.1379533, ' #': -5.953121, ' 1': -0.052330017, ' 2': -3.6378725, ' one': -4.027052}
{' number': -6.2013297, ' #': -5.966924, ' 1': -0.051804766, ' 2': -3.6582232, ' one': -4.011541}
{' number': -6.173844, ' #': -5.911013, ' 1': -0.05138452, ' 2': -3.6710703, ' one': -4.0246186}
{' number': -6.3610387, ' #': -6.053725, ' 1': -0.043115545, ' 2': -3.9518907, ' one': -4.056391}
{' 1': -0.07353012, ' 2': -3.1065598, ' one': -4.0206294, ' two': -5.826546, ' #': -5.9200687}
{' number': -6.202098, ' #': -6.218945, ' 1': -0.039680034, ' 2': -4.186683, ' one': -4.0050745}
{' number': -5.6360593, ' 1': -0.5577438, ' 2': -0.97211534, ' one': -4.4582605, ' two': -3.4822469}
{' number': -5.762802, ' 1': -0.3234637, ' 2': -1.430571, ' one': -4.3293533, ' two': -4.028752}
{' 1': -0.2493392, ' 2': -1.6895915, ' one': -4.1592283, ' two': -4.264312, ' #': -5.7453012}
{' #': -5.732132, ' 1': -0.16732782, ' 2': -2.107828, ' one': -4.074941, ' two': -4.6715503}
{' #': -5.696824, ' 1': -0.22450268, ' 2': -1.8015575, ' one': -4.0955086, ' two': -4.3473854}
{' number': -5.7292056, ' 1': -0.26457673, ' 2': -1.6268413, ' one': -4.234738, ' two': -4.2053423}
{' #': -5.78138, ' 1': -0.14992747, ' 2': -2.2215693, ' one': -4.075609, ' two': -4.8537846}
{' #': -5.763456, ' 1': -0.17309357, ' 2': -2.0590513, ' one': -4.127414, ' two': -4.684734}
{' 1': -0.19961596, ' 2': -1.9211544, ' one': -4.0935764, ' two': -4.5080266, ' #': -5.6241198}
{' #': -5.686909, ' 1': -0.12080055, ' 2': -2.5035558, ' one': -3.9399, ' two': -5.067906}
