{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.31305894, '\n': -2.6032124, 'No': -2.2478924, ' Yes': -5.4574904, ' Unfortunately': -2.616993}
{' No': -0.40346447, '\n': -1.9051123, 'No': -1.962371, ' Yes': -3.8760252, ' Unfortunately': -4.270566}
{' No': -0.3488376, '\n': -1.7416577, 'No': -2.3349025, ' Unfortunately': -4.234837, ' Yes': -5.514162}
{' No': -3.715418, '\n': -4.3474483, 'No': -6.7479053, ' Yes': -0.06468224, 'Yes': -3.7884943}
{' No': -4.872182, '\n': -4.300939, ' Yes': -0.045613497, 'Yes': -3.9762354, ' Doctor': -5.831916}
{' Yes': -0.13004775, ' No': -2.4048355, 'Yes': -4.118628, '\n': -4.8308535, ' Sur': -5.689458}
{' No': -0.044923805, '\n': -4.7103157, ' ': -7.7991967, 'No': -3.442703, ' Yes': -6.1892104}
{' No': -0.40663078, '\n': -3.9807866, 'No': -3.9708204, ' Yes': -1.3377011, ' Patient': -3.661813}
{' No': -0.027402917, '\n': -5.5595207, ' ': -8.531756, 'No': -4.372759, ' Yes': -4.595213}
{' No': -0.20443377, '\n': -3.6256485, 'No': -4.4368057, ' Yes': -1.9484597, 'Yes': -6.0509014}
{' No': -0.10371399, '\n': -3.8010576, 'No': -4.043789, ' Yes': -2.8850918, 'Yes': -7.1048827}
{' No': -0.07067946, 'No': -3.625222, '\n': -4.0870385, ' Yes': -4.5081735, ' Hospital': -5.1344743}
{' No': -0.05484137, '\n': -4.3920527, ' ': -7.530548, 'No': -3.3450365, ' Yes': -5.495376}
{' No': -0.38223165, '\n': -3.8905666, 'No': -3.8563678, ' Yes': -1.3784857, ' Patient': -4.2168717}
{' No': -0.02483977, '\n': -4.6761727, ' ': -8.519587, 'No': -4.2550282, ' Yes': -7.4573555}
{' No': -0.04744845, 'No': -3.4001994, '\n': -4.9111643, ' Yes': -5.3722773, ' ': -7.778068}
{' No': -0.1305234, '\n': -4.083822, 'No': -3.0748801, ' Yes': -2.8782003, 'Yes': -6.6414256}
{' No': -0.052160013, '\n': -4.109983, ' ': -7.4387426, 'No': -3.5770984, ' Yes': -5.3523517}
{' No': -0.04211667, '\n': -4.3473783, ' ': -7.9683146, 'No': -4.038546, ' Yes': -4.66252}
{' No': -0.029062793, '\n': -5.996298, 'No': -4.2803845, ' Yes': -4.506148, ' Patient': -8.039663}
{' No': -0.011104161, 'No': -4.5744166, '\n': -7.4902873, ' Yes': -9.495372, ' ': -9.951619}
{' No': -0.48103932, '\n': -1.430176, 'No': -2.4234126, ' Yes': -4.4901257, ' Unfortunately': -3.3599799}
{' Yes': -0.6829752, ' No': -1.2377733, '\n': -2.0951912, 'No': -3.3687105, 'Yes': -3.6134198}
{' No': -0.24814183, 'No': -2.4033542, ' Unfortunately': -2.7529826, '\n': -2.9298434, ' The': -5.775119}
{' No': -0.32453713, '\n': -2.6154954, 'No': -2.1537225, ' Yes': -3.3055797, ' Unfortunately': -3.399389}
{' No': -0.34443808, 'No': -2.0847526, '\n': -2.3480048, ' Unfortunately': -2.9581618, ' Yes': -4.931508}
{' No': -0.34678313, '\n': -1.8120712, 'No': -2.3135514, ' Yes': -5.2430844, ' Unfortunately': -3.867869}
{' No': -0.029744936, '\n': -4.9082146, ' ': -8.798472, 'No': -4.0988464, ' Yes': -5.2988505}
{' Yes': -0.53564423, ' No': -0.9841992, '\n': -3.835176, 'Yes': -4.786821, 'No': -4.89344}
{' No': -0.042653583, '\n': -4.3838515, ' ': -7.4571443, 'No': -3.646276, ' Hospital': -7.3403387}
{' No': -0.0435177, '\n': -3.8666263, ' ': -7.9863086, 'No': -3.8980784, ' Yes': -7.8539896}
{' No': -0.039060857, '\n': -4.8877106, ' ': -8.324279, 'No': -3.5061626, ' Yes': -8.462841}
{' No': -0.027672805, '\n': -4.871714, 'No': -4.2445726, ' Yes': -5.665524, ' Patient': -6.784034}
{' No': -0.06928743, 'No': -3.3431842, '\n': -3.755311, ' Yes': -4.954871, ' ': -7.587888}
{' No': -0.037137568, 'No': -3.5759099, ' Yes': -5.018052, '\n': -6.6573896, ' Doctor': -8.867287}
{' No': -0.05077021, 'No': -3.562546, '\n': -4.010216, ' Yes': -6.4717374, ' ': -7.091518}
{' No': -0.12701797, '\n': -2.4971921, ' ': -6.468204, 'No': -3.547884, ' Yes': -5.155466}
{' No': -0.037696257, 'No': -3.6429932, ' Yes': -5.178041, '\n': -5.374059, ' ': -8.211411}
{'Pat': -7.958582, ' No': -0.042161435, '\n': -6.020888, 'No': -3.422698, ' Yes': -5.3492785}
{' No': -0.02828171, '\n': -6.199507, ' ': -9.187009, 'No': -3.712972, ' Yes': -6.7195463}
{' No': -0.075993046, 'No': -3.211779, '\n': -4.1408486, ' Yes': -4.156571, 'Yes': -7.3191843}
{' No': -2.0950434, '\n': -5.0373898, 'No': -5.6187243, ' Yes': -0.16341801, 'Yes': -4.2235737}
{' No': -0.025641154, ' Not': -7.7771897, '\n': -4.8058515, 'No': -4.325106, ' Yes': -5.985207}
{' No': -0.0792533, '\n': -3.015468, ' ': -6.982603, 'No': -3.7727556, ' Yes': -6.056357}
{' No': -0.018323164, 'No': -4.267619, ' Yes': -6.0310445, '\n': -6.6215105, ' Not': -8.5462055}
{' No': -0.029740574, '\n': -6.580979, 'No': -3.976859, ' Pat': -6.903547, ' Yes': -5.1773252}
{' No': -0.02678707, '\n': -6.0323424, ' ': -9.11725, 'No': -3.8197043, ' Yes': -6.337442}
{' No': -0.032628458, 'No': -3.7628415, '\n': -4.7892966, ' Yes': -7.958394, ' ': -8.742909}
{' No': -0.05228555, '\n': -6.3520937, 'No': -3.6858876, ' Yes': -3.7498162, 'Yes': -7.730727}
{' No': -0.02441458, '\n': -5.025093, 'No': -4.195378, ' Yes': -7.189407, ' Hospital': -7.5953035}
{' No': -0.023759989, 'No': -4.326578, '\n': -4.6047, ' ': -8.714004, ' no': -10.245913}
{' No': -0.018788287, 'No': -4.028157, '\n': -7.811101, ' Yes': -8.1971855, ' ': -9.856328}
{' No': -0.03556502, 'No': -3.43257, ' Yes': -6.2110786, '\n': -7.9529805, ' no': -9.396458}
{' No': -0.025855517, '\n': -7.6590757, ' ': -10.050612, 'No': -3.690477, ' Yes': -10.442544}
{' No': -0.016104132, '\n': -6.1067386, ' ': -9.58661, 'No': -4.370863, ' Yes': -6.924234}
{' No': -0.06014685, '\n': -6.7331796, 'No': -4.4529653, ' Yes': -3.1025488, 'Yes': -7.7153974}
{' No': -0.014807747, '\n': -6.235932, 'No': -4.633881, ' Yes': -7.367413, ' Hospital': -6.5157456}
{' No': -0.012709909, '\n': -5.2994432, ' ': -8.918795, 'No': -4.922103, ' Yes': -9.053075}
{' No': -0.008406669, 'No': -4.8999186, ' Yes': -7.5452714, '\n': -8.148676, ' ': -10.269293}
{' No': -0.009612499, '\n': -8.335925, ' ': -10.670295, 'No': -4.795024, ' Yes': -6.9310155}
{' No': -0.010583862, '\n': -7.6254115, ' ': -9.834051, 'No': -4.62401, ' Yes': -8.938189}
{' No': -0.097865954, '\n': -3.8632674, ' ': -7.490153, 'No': -2.6516492, ' Yes': -7.368567}
{' No': -0.16838855, '\n': -3.5527098, 'No': -2.7685988, ' Yes': -2.816492, 'Yes': -5.8531775}
{' No': -0.094410695, '\n': -3.769225, ' ': -7.1890025, 'No': -2.7445343, ' Unfortunately': -7.0455785}
{' No': -0.13532169, '\n': -2.7441645, ' ': -6.8924713, 'No': -2.825547, ' Yes': -6.9271116}
{' No': -0.09101558, '\n': -4.473536, 'No': -2.6485813, ' Yes': -5.7558675, ' Unfortunately': -7.1299005}
{' No': -0.06767547, 'No': -2.8773904, '\n': -4.8621945, ' Yes': -7.4043756, ' ': -8.29683}
{' No': -0.13880546, '\n': -3.661419, ' ': -7.4105225, 'No': -2.2831821, ' Yes': -7.3725524}
{' No': -0.44133398, '\n': -2.0462859, 'No': -2.1206992, ' Yes': -2.401888, 'Yes': -4.7510986}
{' No': -0.78930634, '\n': -2.9419057, 'No': -2.72624, ' Yes': -0.9248445, 'Yes': -3.5873024}
{' No': -0.5237746, '\n': -1.2935843, 'No': -2.301355, ' Unfortunately': -3.9113097, ' Yes': -4.9624953}
{' No': -0.5448104, '\n': -1.6668445, 'No': -1.8778564, ' Yes': -3.0297575, ' Unfortunately': -4.165784}
{' No': -0.46815312, '\n': -1.8696404, 'No': -1.8981133, ' Yes': -3.2749062, ' Unfortunately': -3.809866}
{' No': -0.40093598, '\n': -2.2310026, 'No': -1.8589096, ' Yes': -2.9785955, 'Yes': -5.0046935}
{' No': -0.4008098, '\n': -2.0177646, 'No': -1.7884555, ' Yes': -4.069858, ' Unfortunately': -4.9513426}
{' No': -0.09666961, '\n': -4.254821, 'No': -3.5163755, ' Yes': -3.071222, 'Yes': -6.641114}
{' Yes': -0.14037696, ' No': -2.2779691, 'Yes': -4.0819926, '\n': -5.0935307, 'No': -5.740635}
{' No': -0.053097315, '\n': -5.2052746, 'No': -4.321789, ' Yes': -4.0617433, ' Hospital': -4.391381}
{' No': -0.08357567, '\n': -3.002414, ' ': -6.683427, 'No': -3.8313591, ' Yes': -5.10527}
{' No': -0.024905026, '\n': -6.459547, ' ': -9.244932, 'No': -3.9490972, ' Yes': -5.684317}
{' No': -0.039708562, '\n': -5.353957, 'No': -3.677808, ' Yes': -4.851667, 'Yes': -8.37836}
{' No': -0.019509654, 'No': -4.186708, ' Yes': -5.990426, '\n': -6.578105, ' ': -9.426857}
{' No': -1.3788193, '\n': -3.3161056, 'No': -3.78222, ' Yes': -0.42084196, 'Yes': -3.481349}
{' No': -0.26748052, '\n': -1.878654, 'No': -2.7978284, ' Yes': -5.045329, ' Unfortunately': -5.458339}
{' No': -0.76651144, '\n': -1.7235465, 'No': -3.719947, ' Yes': -1.1474166, 'Yes': -4.398397}
{' No': -0.07721453, 'No': -3.020694, '\n': -4.154357, ' Yes': -4.767558, ' ': -7.811548}
{' No': -0.18530002, '\n': -3.3101661, 'No': -3.2973795, ' Yes': -2.437726, ' Patient': -5.3902597}
{' No': -0.11173325, ' Yes': -2.736241, 'No': -3.861264, '\n': -4.021365, 'Yes': -6.550481}
{' Yes': -0.1821234, '\n': -2.485901, ' No': -3.1699085, 'Yes': -3.332695, 'No': -5.630922}
{' No': -0.64213365, '\n': -0.922636, 'No': -3.277706, ' Yes': -4.8336506, ' Unfortunately': -3.8620472}
{'\n': -0.8397024, ' Yes': -1.216587, ' No': -1.4679563, 'Yes': -4.1012015, 'No': -4.151081}
{' No': -0.26552528, '\n': -2.103519, 'No': -3.072347, ' Yes': -4.5549464, ' Unfortunately': -3.0415661}
{' No': -0.24829377, '\n': -2.450696, ' Yes': -2.4802597, 'No': -3.1788795, 'Yes': -5.7991815}
{' No': -0.4700031, '\n': -1.4280701, 'No': -3.2126482, ' Yes': -2.4732075, 'Yes': -5.495868}
{' No': -1.8256978, '\n': -6.5624986, 'No': -5.8922653, ' Yes': -0.19169317, 'Yes': -4.7141843}
{' No': -3.6924374, '\n': -6.1714907, 'No': -6.9389997, ' Yes': -0.04863301, 'Yes': -3.9918835}
{' No': -1.9824172, '\n': -3.24833, ' Yes': -0.26901934, ' Sur': -3.6480055, 'Yes': -3.7773921}
{' No': -0.050333966, '\n': -5.755723, ' ': -8.085456, 'No': -3.1681926, ' Yes': -5.740634}
{' No': -0.21881211, '\n': -5.1126566, 'No': -3.977252, ' Yes': -1.8001395, ' Patient': -5.7729497}
{' No': -0.018712616, 'No': -4.233749, ' Yes': -5.730163, '\n': -7.365442, ' ': -9.579707}
{' Yes': -0.6312724, ' No': -0.8451339, '\n': -4.1820517, 'No': -4.479026, 'Yes': -4.5296774}
{' No': -0.18253715, '\n': -5.4972878, 'No': -3.932232, ' Yes': -1.9827307, ' Doctor': -5.897407}
{' No': -0.061291847, 'No': -3.699544, '\n': -3.7473114, ' Hospital': -5.3219767, ' Yes': -6.0039315}
{' No': -0.03105897, '\n': -5.842866, ' ': -8.53519, 'No': -3.8039641, ' Yes': -5.3156714}
{' No': -0.06374218, '\n': -4.062409, 'No': -3.539364, ' Yes': -4.2902856, ' Patient': -7.0337105}
{' No': -0.018488785, '\n': -6.324021, ' ': -8.766139, 'No': -4.476178, ' Yes': -5.3274865}
{' No': -0.04966342, '\n': -4.310753, ' ': -7.7686954, 'No': -3.5773294, ' Yes': -5.0547004}
{' No': -0.3403129, '\n': -4.5564003, 'No': -4.034689, ' Yes': -1.3834724, 'Yes': -5.4462204}
{' No': -0.026083138, '\n': -4.915182, 'No': -4.193762, ' Yes': -6.750856, ' Hospital': -7.015722}
{' No': -0.033102803, '\n': -4.064181, ' ': -7.359877, 'No': -4.2769647, ' Yes': -7.2332067}
{' No': -0.024191065, '\n': -5.7380733, 'No': -4.09779, ' Yes': -5.7307124, ' Patient': -7.92497}
{' No': -0.013666159, 'No': -4.364435, '\n': -7.3481092, ' Yes': -9.271084, ' ': -9.376593}
{' No': -0.3335972, ' Yes': -2.146595, '\n': -2.2278345, 'No': -3.0923328, 'Yes': -5.277183}
{' No': -2.7005184, '\n': -2.8093631, 'No': -5.41722, ' Yes': -0.17857835, 'Yes': -3.5717702}
{' No': -0.26771238, '\n': -1.9495436, 'No': -3.093821, ' Unfortunately': -3.2190862, ' Not': -6.230679}
{' No': -0.45142367, '\n': -1.2305392, 'No': -3.3859766, ' Yes': -4.461147, ' Unfortunately': -3.9527683}
{' No': -0.18628398, '\n': -2.5510948, 'No': -2.728749, ' Yes': -5.472203, ' Unfortunately': -4.049765}
{' No': -0.08840978, 'No': -3.1262684, '\n': -3.4583628, ' Yes': -5.135771, ' Unfortunately': -6.422283}
{' No': -0.02445074, 'No': -4.117899, '\n': -5.4473915, ' Yes': -5.706276, ' ': -9.039014}
{' No': -3.2227204, '\n': -6.1107664, ' Yes': -0.061858684, 'Yes': -4.3323545, ' Doctor': -5.7695003}
{' No': -0.028172884, 'No': -4.126348, '\n': -4.6831737, ' ': -7.5453343, ' Hospital': -7.7536607}
{' No': -0.031136813, '\n': -4.2889743, ' ': -7.9093637, 'No': -4.1448126, ' Yes': -7.686565}
{' No': -0.019845698, '\n': -6.069151, ' ': -8.853968, 'No': -4.0880027, ' Yes': -8.085528}
{' No': -0.029680528, '\n': -6.059351, 'No': -4.100189, ' Yes': -4.7105236, ' Patient': -7.014298}
{' No': -0.018708728, 'No': -4.276464, '\n': -5.4688373, ' Yes': -8.326455, ' ': -8.976611}
{' No': -0.045033723, '\n': -4.378459, ' ': -7.9476767, 'No': -3.5418043, ' Yes': -6.265694}
{' No': -0.03036936, '\n': -4.5756497, ' ': -7.8858294, 'No': -4.1650662, ' Yes': -5.980393}
{' No': -0.025165929, '\n': -4.2207413, ' ': -8.174181, 'No': -4.897732, ' Yes': -6.1717396}
{' No': -0.023691023, 'No': -4.257026, ' Yes': -4.9914126, '\n': -6.185129, ' ': -9.182081}
{'Pat': -7.146663, ' No': -0.09453779, '\n': -4.382366, 'No': -4.3822284, ' Yes': -2.7744846}
{' No': -0.022851441, 'No': -3.9752498, '\n': -5.8845286, ' Yes': -7.087766, ' ': -9.48482}
{' No': -0.016808404, 'No': -4.4140954, '\n': -5.7579293, ' Yes': -6.679919, ' ': -9.274005}
{' No': -0.07558617, ' Yes': -2.8582878, 'No': -4.4447494, '\n': -5.902616, 'Yes': -7.5427265}
{' No': -0.04052523, '\n': -3.8423173, ' ': -7.0729575, 'No': -4.502056, ' Yes': -5.5271754}
{' No': -0.03246633, '\n': -4.2648425, ' ': -7.444305, 'No': -4.2295427, ' Yes': -6.2033453}
{' No': -0.01621341, '\n': -5.9778867, ' ': -8.85719, 'No': -4.3751497, ' Yes': -7.256228}
{'Pat': -5.2215376, ' No': -0.045756437, '\n': -4.9966097, 'No': -4.043103, ' Pat': -4.8931627}
{' No': -0.017114857, 'No': -4.2700424, '\n': -6.137148, ' Yes': -7.376722, ' ': -9.44396}
{' No': -0.021742547, '\n': -5.433207, ' ': -9.36356, 'No': -4.085297, ' Yes': -8.518791}
{' No': -0.05886762, '\n': -7.0251455, 'No': -3.1871212, ' Yes': -4.2526197, 'Yes': -7.717631}
{' No': -0.023683699, '\n': -4.789255, ' ': -7.599653, 'No': -4.7328568, ' Yes': -5.3203545}
{' No': -0.02046933, '\n': -4.612409, ' ': -7.9238014, 'No': -4.8296885, ' Yes': -6.3933}
{' No': -0.014642252, '\n': -6.259708, ' ': -8.943686, 'No': -4.531032, ' Yes': -6.534885}
{' No': -0.018756038, 'No': -4.838643, ' Yes': -5.156972, '\n': -5.6270456, 'Pat': -8.066171}
{' No': -0.009576509, '\n': -8.283472, ' ': -10.701738, 'No': -4.6855407, ' Yes': -10.925797}
{' No': -0.01428921, '\n': -6.262532, ' ': -9.402701, 'No': -4.431724, ' Yes': -8.319222}
{' No': -0.05383853, ' Yes': -3.3633077, 'No': -4.4905066, '\n': -5.1706233, 'Yes': -7.9757185}
{' No': -0.029213324, '\n': -4.4706993, 'No': -4.472042, ' Yes': -5.8385224, ' ': -7.244328}
{' No': -0.022829855, '\n': -4.2630568, ' ': -7.8691, 'No': -5.0726457, ' Yes': -6.5414166}
{' No': -0.014156747, 'No': -4.488629, '\n': -6.65592, ' Yes': -6.8675575, ' ': -8.78684}
{'Pat': -6.618917, ' No': -0.024248648, '\n': -4.816054, 'No': -5.0601063, ' Yes': -5.1565957}
{' No': -0.011375413, '\n': -7.303962, ' ': -9.985839, 'No': -4.562633, ' Yes': -9.023504}
{' No': -0.047473576, 'No': -3.2719815, '\n': -4.8669124, ' ': -8.21779, ' Unfortunately': -8.299227}
{' No': -0.08889962, ' Yes': -2.8762968, 'No': -3.860773, '\n': -5.0490513, 'Yes': -7.0280685}
{' No': -0.083999686, '\n': -3.1053123, ' ': -6.4372325, 'No': -3.4415548, ' Unfortunately': -7.130695}
{' No': -0.059253834, '\n': -3.3542366, ' ': -7.561611, 'No': -3.8487527, ' Unfortunately': -7.803476}
{' No': -0.039687287, '\n': -5.282857, 'No': -3.4553554, ' Yes': -7.1091394, ' Unfortunately': -7.037635}
{' No': -0.045079116, '\n': -5.091758, 'No': -3.3082356, ' Yes': -7.716076, ' Unfortunately': -7.5752034}
{' No': -0.05206368, 'No': -3.2461686, '\n': -4.5378633, ' Yes': -7.844561, ' Unfortunately': -8.01556}
{' No': -0.19741738, '\n': -2.575961, 'No': -2.7044687, ' Yes': -4.1689425, ' Unfortunately': -4.052745}
{' No': -1.385253, '\n': -3.9856806, 'No': -4.399831, ' Yes': -0.35959908, 'Yes': -3.998904}
{' No': -0.27740777, '\n': -2.4167166, 'No': -2.702035, ' Unfortunately': -3.0438926, ' Yes': -3.6615171}
{' No': -0.2060781, '\n': -3.749598, 'No': -2.536654, ' Yes': -2.700705, ' Unfortunately': -4.836809}
{' No': -0.22312072, '\n': -3.661893, 'No': -2.664737, ' Yes': -2.7098954, ' Unfortunately': -3.5846815}
{' No': -0.39099938, ' Yes': -1.6556498, 'No': -2.676602, '\n': -3.2725585, 'Yes': -4.5115304}
{' No': -0.14697434, '\n': -3.4721198, 'No': -2.4205167, ' Yes': -5.352798, ' Unfortunately': -4.5840983}
{' No': -0.032125164, ' Yes': -4.1830497, 'No': -4.437265, '\n': -5.4834743, 'Yes': -8.584217}
{' No': -0.9479564, '\n': -4.5431485, ' Yes': -0.543055, 'Yes': -5.070982, ' Doctor': -4.9119396}
{' No': -0.22157304, '\n': -4.9694653, 'No': -5.282238, ' Yes': -1.7296067, ' Hospital': -5.150505}
{' No': -0.030530475, '\n': -4.186223, 'No': -4.9636335, ' Yes': -4.9820857, ' ': -7.5778604}
{' No': -0.012473416, 'No': -4.6796446, '\n': -6.2964106, ' Yes': -6.853661, ' ': -9.004369}
{' No': -0.026768275, '\n': -5.9067407, 'No': -4.0757446, ' Yes': -5.1357236, ' no': -8.673447}
{' No': -0.009428663, '\n': -7.053667, ' ': -10.133055, 'No': -4.8879457, ' Yes': -7.0133133}
{' Yes': -0.16849513, ' No': -2.2555046, 'Yes': -3.8310485, '\n': -3.8464963, 'No': -5.1261764}
{' No': -0.1689551, ' Not': -5.2341404, '\n': -2.3712351, 'No': -3.4093647, ' Unfortunately': -4.302195}
{' Yes': -0.59382474, ' No': -1.0992284, '\n': -2.405558, 'Yes': -4.4537053, 'No': -4.552031}
{' No': -0.06139173, '\n': -4.2224593, 'No': -3.3592584, ' Yes': -4.9334545, ' Unfortunately': -6.677436}
{' No': -0.10528867, '\n': -3.4717455, 'No': -3.3867211, ' Yes': -3.5451307, ' Patient': -5.5260496}
{' No': -0.078220665, '\n': -4.201174, 'No': -4.2938747, ' Yes': -3.088663, 'Yes': -7.3532524}
{' No': -1.2278168, '\n': -2.1924622, 'No': -4.142709, ' Yes': -0.58167577, 'Yes': -4.223979}
{' No': -0.21501228, ' Not': -5.326018, '\n': -2.8843257, 'No': -3.360457, ' Unfortunately': -2.445586}
{' No': -0.17494904, '\n': -3.6645386, 'No': -3.9505074, ' Yes': -2.2946522, ' Unfortunately': -4.6675563}
{' No': -0.15586732, ' Unfortunately': -2.979714, '\n': -3.0742497, 'No': -3.3581014, ' Yes': -5.3418984}
{' No': -0.33331525, ' Yes': -1.8250659, '\n': -2.709004, 'No': -3.3092368, ' Unfortunately': -4.9098873}
{' No': -0.20429479, '\n': -2.1550794, 'No': -3.0572855, ' Yes': -4.156794, ' Unfortunately': -5.610741}
{' Yes': -0.06990387, ' No': -3.0172017, 'Yes': -4.5323787, '\n': -5.0386133, 'No': -6.900096}
{' Yes': -0.043519195, ' No': -3.917117, 'Yes': -4.180867, '\n': -5.2984056, ' Doctor': -7.009375}
{' No': -3.1046548, '\n': -4.4458776, ' Yes': -0.3351085, ' Sur': -1.6032892, 'Yes': -3.988482}
{' No': -0.02935111, '\n': -5.735647, ' ': -8.226025, 'No': -3.7093205, ' Yes': -7.2162437}
{' No': -0.093019776, '\n': -6.0655503, 'No': -4.588684, ' Yes': -2.5923216, 'Yes': -7.296245}
{' No': -0.016364625, 'No': -4.5133967, ' Yes': -5.6366935, '\n': -6.469028, ' ': -9.649653}
{' Yes': -0.14215103, ' No': -2.297966, 'Yes': -4.2268333, '\n': -4.232727, 'No': -6.152027}
{' No': -0.28045556, ' Yes': -1.613637, 'No': -3.9974563, '\n': -4.3259974, ' Doctor': -4.664174}
{' No': -0.036438044, '\n': -4.1258087, ' ': -6.9148955, 'No': -4.3961334, ' Hospital': -5.575966}
{' No': -0.02118211, ' Not': -8.773042, '\n': -5.79818, 'No': -4.0928483, ' Yes': -7.212971}
{' No': -0.0697453, '\n': -3.52189, 'No': -3.7896316, ' Yes': -4.7835894, ' Patient': -5.197065}
{' No': -0.013337803, '\n': -6.104305, ' ': -9.129042, 'No': -4.642732, ' Yes': -6.7329955}
{' No': -0.035490595, '\n': -4.485239, ' ': -8.364599, 'No': -3.7728407, ' Yes': -8.130691}
{' No': -0.05904863, 'No': -3.944596, '\n': -4.0552664, ' Yes': -4.4317536, ' Doctor': -4.866345}
{' No': -0.024391068, 'No': -4.489595, '\n': -4.550617, ' Yes': -6.841684, ' ': -7.8650365}
{' No': -0.024144046, '\n': -4.4536505, 'No': -4.772042, ' Yes': -5.762393, ' ': -8.04956}
{' No': -0.027445247, ' Yes': -4.5570297, 'No': -4.7298436, '\n': -5.0430284, ' Patient': -7.5949154}
{' No': -0.007712325, '\n': -7.9223566, ' ': -10.37314, 'No': -4.9255915, ' Yes': -11.164587}
{' No': -0.16832295, '\n': -2.490348, 'No': -2.9568913, ' Unfortunately': -4.264718, ' Yes': -5.5322638}
{' Yes': -0.12716071, '\n': -3.0055575, ' No': -3.3124728, 'Yes': -3.5941558, 'No': -5.9682627}
{' No': -0.38259068, ' Not': -5.1841803, '\n': -1.7563643, 'No': -2.7151332, ' Unfortunately': -2.7459996}
{' No': -0.14101166, '\n': -3.1009285, 'No': -3.07908, ' Yes': -4.173511, ' Unfortunately': -3.9516077}
{' No': -0.2217708, 'No': -2.2480693, '\n': -2.8180423, ' Unfortunately': -3.9930987, ' Not': -4.9135165}
{' No': -0.112045966, '\n': -3.4915893, 'No': -2.6693428, ' Yes': -7.301234, ' Unfortunately': -5.476088}
{' No': -0.015788542, 'No': -4.374719, '\n': -5.9564505, ' Yes': -8.019601, ' ': -9.415532}
{' No': -3.1572788, '\n': -5.885762, ' Yes': -0.060551547, 'Yes': -4.9226136, ' Doctor': -5.3252206}
{' No': -0.020206548, '\n': -4.857668, ' ': -7.6037903, 'No': -4.5731354, ' Yes': -7.933405}
{' No': -0.017780958, '\n': -4.819388, ' ': -8.415799, 'No': -4.7630353, ' Yes': -7.46751}
{' No': -0.013196949, 'No': -4.530712, '\n': -6.198517, ' Yes': -9.054636, ' ': -9.261966}
{' No': -0.07432379, ' Patient': -3.5581932, ' Yes': -3.803402, 'No': -4.5028515, '\n': -4.885372}
{' No': -0.059173394, 'No': -3.3495517, '\n': -4.2397532, ' Yes': -4.9612823, ' ': -7.734442}
{' No': -0.052203655, '\n': -4.90653, ' ': -7.87647, 'No': -3.2017589, ' Yes': -6.185855}
{' No': -0.02602961, 'No': -4.2041454, '\n': -4.7050056, ' Yes': -7.220216, ' ': -7.4653945}
{' No': -0.03927539, '\n': -3.8618383, 'No': -4.1868105, ' Yes': -6.5139375, ' ': -7.500887}
{' No': -0.025592234, 'No': -4.031209, '\n': -5.4925547, ' Yes': -5.8174963, ' ': -8.12716}
{' No': -0.02776429, '\n': -5.285384, ' ': -8.242209, 'No': -4.128791, ' Yes': -5.251918}
{' No': -0.031559084, 'No': -3.6056192, '\n': -5.843818, ' Yes': -7.207917, ' ': -8.934672}
{' No': -0.042545047, 'No': -3.6778502, ' Yes': -4.674009, '\n': -5.0445857, 'Yes': -8.246589}
{' No': -0.35846287, '\n': -4.693853, 'No': -4.4273944, ' Yes': -1.3082385, ' Doctor': -5.2036695}
{' No': -0.022101825, 'No': -4.612344, '\n': -4.677596, ' Yes': -6.781514, ' ': -7.231498}
{' No': -0.10024026, '\n': -2.7314334, 'No': -3.7590194, ' Yes': -5.4192495, ' ': -6.592146}
{' No': -0.027696336, '\n': -5.311889, ' ': -8.311781, 'No': -3.88211, ' Yes': -6.560607}
{' No': -0.07893321, ' Pat': -3.7162373, 'Pat': -4.0561724, 'No': -4.2474833, ' Patient': -4.5335913}
